序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,今晚的月亮此时！祝愿大家团圆。幸福 ​​​​,否,,2012-09-30 20:27,转发,评论,赞,iPhone客户端,https://weibo.com/2649762111/yEiQ6elZt
1,,是,【中秋国庆节日天气】大部分时间天气晴好，风力不大，气温适宜。其中10月2日受冷空气影响，有4级左右偏北风，北部山区有短时小阵雨。天气有利于外出郊游等户外活动，但空气干燥，需及时补充水分，注意防火。早晚天气较凉，外出的朋友要将外套带在身边。在此，祝大家节日快乐! ​​​​,2012-09-29 10:49,转发,评论,赞,政府版微博,https://weibo.com/2649762111/yE5D61rqz
2,过节出行往往要乘坐出租车，大家看看生活提示，祝您节日快乐！[放假啦],是,【生活提示】今天起，本市调整出租车燃油附加费标准，3公里以上每运次2块钱调整为3块钱，3公里以内不收燃油附加费。 ​​​​,2012-09-29 10:43,转发,评论,赞,媒体版微博,https://weibo.com/2649762111/yE5AKjq9M
3,大家可以去北海公园看看，祝大家节日快乐，身体健康，天天幸福！,是,【过节—祭月[满月]】从今天到10月7号北海公园在静心斋举行中秋文化节，今年北海公园在静心斋恢复了皇帝祭月礼仪的表演。祭月后还可以欣赏情景交融的祭月舞表演。游客可以亲身参与拜月、吃团圆饼、赏花灯，猜灯谜、民俗工艺制作等活动。 ​​​​,2012-09-29 10:41,转发,评论,赞,媒体版微博,https://weibo.com/2649762111/yE5zO8jIo
4,凌冽的大风，吹得睁不开眼睛。为了西柳村民在这个双节的日子里能够安逸，愉快的欢度2012年的中秋、国庆节。维修队刘德龙、刘德鑫、杨振对老化的饮用水管线进行更换。队长刘德龙下到地下井内，溅了一脸的水，踩着积水的脚，身体湿透了，可是没有一句“不应该”，这就是“精神”西柳人的精神！[萌萌敲鼓] ​​​​,否,,2012-09-29 10:33,转发,评论,赞,专业版微博,https://weibo.com/2649762111/yE5wDzmte
5,转发微博。,是,最先道歉的人，不一定就是她错了，而是她学会理解了。 ​​​​,2012-09-29 09:24,转发,评论,赞,iPhone客户端,https://weibo.com/2649762111/yE54BelHa
6,转发微博。,是,【如果国漫画成这样……】    ​​​​,2012-09-29 09:23,转发,评论,赞,iPhone客户端,https://weibo.com/2649762111/yE54iB52y
7,花好月圆日，中秋喜相逢； 明月寓团圆，祝福寄友朋： 愿生活如圆月，梦想皆达成， 幸福明月光，伴你天下行！ 愿西柳村民、党员、广大流动人口中秋节快乐！[high] ​​​​,否,,2012-09-28 15:35,转发,评论,赞,专业版微博,https://weibo.com/2649762111/yDY4ElDFK
8,西柳村党支部、村委会、社会保障服务窗口认真研讨、调研新形势下农村剩余劳动力转移就业，增加农民收入，鼓励村民走出家门，融入社会。2012年9月我村村民迈出了步伐，投身到交通协管员的队伍中来。用西柳农民的精神站好一班岗，迎接党的十八大胜利召开。 ​​​​,否,,2012-09-28 15:00,转发,评论,赞,专业版微博,https://weibo.com/2649762111/yDXQnEbyU
9,2012年9月28日上午。西柳维修队、村民监督委员会成员谱写和谐融合农村社区化新篇章。监督委员会成员韩丽梅、刘凤鹃与维修队成员刘德鑫、刘德龙、王震和村民刘德成共同参与农村社区化推进实施阶段共建西柳和谐乐章！庆双节来临、喜添和谐画面！迎建西柳国际动漫小镇。为十八大胜利召开迎建美好新篇章 ​​​​,否,,2012-09-28 13:38,转发,评论,赞,iPhone客户端,https://weibo.com/2649762111/yDXjjfK77
10,//@北京市民政局:今年“十五的月亮十五圆”,是,【今年“十五的月亮十五圆”】俗话说：十五的月亮，十六圆。不过今年的最圆月是在中秋节当天11时。虽然“最圆”的时刻发生在中午，不利于大家用肉眼观测，但天文学家告诉大家：中秋节前后几日的月亮都比较圆，差别并不明显。您依旧可以举杯邀明月，对影成三人。 ​​​​,2012-09-28 10:38,转发,评论,赞,iPhone客户端,https://weibo.com/2649762111/yDW85kmWR
11,//@中国国际动漫节:中国缺的不仅是高端动漫人才，更缺的是国人对国漫的信心。中国的动画人们任重而道远啊。,是,O网页链接 【动漫反思 日本叫好国人质疑的《侠岚》】在日本网友的帖子中，“震惊”、“可怕”、“威胁”这些词频频出现：大震惊！没有想到中国已经有了这么成熟的3D动画片！O网页链接 ​​​​,2012-09-28 10:35,转发,评论,赞,iPhone客户端,https://weibo.com/2649762111/yDW6QuZy1
12,//@微博iPhone客户端:你不知道的微博秘方：位置妙用！,是,【你不知道的微博秘方】帅哥们、美女们、吃货们、萌妹们、汉子们...[放假啦]知道你的周边有多神秘吗？用位置微博吐槽酒店，赞美姑娘，寻找美食，记录一路足迹！你在哪里，偶就在哪里！#国庆长假# 暴走吧！[带感]O网页链接 ​​​​,2012-09-27 15:02,转发,评论,赞,iPhone客户端,https://weibo.com/2649762111/yDOqKjCRQ
13,转发微博。,是,【政策解答】#工伤保险#职工因下落不明被认定为工伤，经人民法院宣告死亡的，核定一次性工亡补助金和丧葬补助金时，以职工下落不明的上一年度本市职工月平均工资和上一年度全国城镇居民人均可支配收入作为计发基数。 ​​​​,2012-09-27 15:00,转发,评论,赞,iPhone客户端,https://weibo.com/2649762111/yDOpYat1Q
14,转发微博。,是,【国务院：调整低保政策 对申请家庭逐一入户调查】昨天，国务院公布《关于进一步加强和改进最低生活保障工作的意见》，明确提出应当对最低生活保障申请家庭逐一入户调查，并对收入来源不固定、成员有劳动能力和劳动条件的最低生活保障家庭，实行城市按月、农村按季核查。O网页链接 ​​​​,2012-09-27 14:59,转发,评论,赞,iPhone客户端,https://weibo.com/2649762111/yDOpMBWGY
15,//@朝阳社区学院培训中心:转发微博,是,马仲良：社区自治就是老百姓当家做主“可以说，我们改革开放的前三十年，主要冲击了计划经济的经济体制，现在实行的社区体制改革，开始冲击计划经济的社会体制。”O网页链接 ​​​​,2012-09-27 14:58,转发,评论,赞,iPhone客户端,https://weibo.com/2649762111/yDOpgphnr
