序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,龙眼银耳羹：银耳10克，龙眼肉10克，大枣5枚，冰糖少许。用温水将银耳发开，切碎，龙眼肉及大枣洗净切碎，加冰糖少许，放碗中蒸1小时即可食用。 ​​​​,否,,2012-09-28 14:40,3,评论,赞,专业版微博,https://weibo.com/2657629505/yDXIrDLrr
1,沙参银耳汤：银耳10克，百合5克，北沙参5克，冰糖适量。将银耳水发切碎，与百合、北沙参文火合煮1小时，吃前加冰糖适量，早中晚餐都可食用。 ​​​​,否,,2012-09-28 14:40,转发,评论,赞,专业版微博,https://weibo.com/2657629505/yDXIo6FWi
2,银耳粥：干银耳10克，大米50克。将银耳水发洗净，撕碎与米同煮为粥食用，适用于中老年人身体虚弱及患有高血压、高血脂及慢性支气管炎患者。 ​​​​,否,,2012-09-28 14:40,转发,评论,赞,专业版微博,https://weibo.com/2657629505/yDXIlrvNu
3,银耳为药食两用之品，药性平和，服用安全，能清肺之热，养胃之阴，既能补脾开胃，又能益气清肠，有滋润而不腻滞、健脑而不兴奋的特点，有扶正固本和滋补强壮作用，特别适合于中老年人长期食用。 银耳防治秋燥的食疗妙方： ​​​​,否,,2012-09-28 14:40,转发,评论,赞,专业版微博,https://weibo.com/2657629505/yDXIiubzn
4,银耳既为滋阴的良药，又是餐桌上的美食，并且是上等营养滋补佳品，所以被人们誉为“食用菌之王”。银耳味甘淡性平，归肺、胃经，具有滋阴润肺、养胃生津的功效，适用于虚劳干咳、少痰和痰中带血丝、口燥咽干、神经衰弱、失眠多梦等症。 ​​​​,否,,2012-09-28 14:40,转发,评论,赞,专业版微博,https://weibo.com/2657629505/yDXIffgc7
5,中医有“燥性干涩，易伤津液”，“燥易伤肺”之说，就是指秋天的干燥气候容易耗伤人体的津液和肺液，多表现为口鼻干燥、咽干口渴、干咳少痰等。建议人们可以选用银耳等具有滋阴润燥功效的食物和中药来进行防治保健。 ​​​​,否,,2012-09-28 14:40,转发,评论,赞,专业版微博,https://weibo.com/2657629505/yDXIczxbr
6,入秋多喝银耳粥 立秋后，民间有“贴秋膘”、“以肉贴膘”的习俗。其实，秋冬季节，气候特点以干燥为主，肺脏很容易因秋燥而伤，所以更加需要养护，入秋季节多吃些银耳粥就能很好的预防。 ​​​​,否,,2012-09-28 14:39,转发,评论,赞,专业版微博,https://weibo.com/2657629505/yDXIadQMH
7,同时，饭后脑部供血不足，如果饭后立即上床，很容易因大脑局部供血不足而导致中风。另外，入睡后，人体新陈代谢率降低，易使摄入食物中所含热量转变为脂肪而使人发胖。 ​​​​,否,,2012-09-28 14:39,转发,评论,赞,专业版微博,https://weibo.com/2657629505/yDXI2wIcM
8,对于年轻人，最好不要饱食之后唱歌，俗话说“饱吹饿唱”，因为，饱食后唱歌，会使膈膜下移，腹腔压力增大，轻则引起消化不良，重则引发胃肠不适等其他病症。 饭后立刻就睡觉=中风、发胖 刚吃了饭，胃内充满食物，消化机能正处于运动状态，这时睡觉会影响胃的消化，不利于食物的吸收。 ​​​​,否,,2012-09-28 14:39,转发,1,赞,专业版微博,https://weibo.com/2657629505/yDXI0b1Nq
9,使消化功能受到影响；饭后立即散步对患有冠心病、心肌梗塞的老人可导致头昏、乏力、眩晕、肢体麻木；对患有消化道溃疡和胃下垂的病人则会加重病情。饭后宜静坐30分钟再活动。 ​​​​,否,,2012-09-28 14:39,转发,评论,赞,专业版微博,https://weibo.com/2657629505/yDXHWC3NY
