序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,#出行提示#预计明日主要拥堵点段将出现在8时至12时各主要高速公路的出京方向，具体路段在图中标出来了，出行的网友们请关注。,是,#出行提示#预计明日主要拥堵点段将出现在8时至12时各主要高速公路的出京方向，具体路段小编在图中标出来喽，出行的通心粉们关注哦。预计机场高速的拥堵点段与平日类似，8时至9时和14时至18时进京方向苇沟至五元桥路段会出现拥堵，8时至12时出京方向五元桥至苇沟路段、机场高速与城区路网交汇出口处拥堵 ​​​​,2012-09-30 22:58,103,20,赞,微博 weibo.com,https://weibo.com/2590506142/yEjPurzER
1,回复@老虎花园ZlL:但愿人长久，千里共婵娟。此时此刻，每一个中华儿女都是此心愿！ //@老虎花园ZlL:我想这样的夜晚，大家都在想着团圆吧！,是,#丰台发布##2012北京卢沟晓月中秋晚会#不管两岸还是四地，我们都是中华民族！台湾清华大学的嘉宾的话让人心动、感人至深！ ​​​​,2012-09-30 22:05,103,21,赞,微博 weibo.com,https://weibo.com/2590506142/yEjucskEQ
2,应该是每一个中华民族儿女的心声 //@纵马隋朝风流出击:台湾嘉宾的话，是不是就是台湾同胞的心声呢？,是,#丰台发布##2012北京卢沟晓月中秋晚会#不管两岸还是四地，我们都是中华民族！台湾清华大学的嘉宾的话让人心动、感人至深！ ​​​​,2012-09-30 22:01,104,20,赞,微博 weibo.com,https://weibo.com/2590506142/yEjsxlsOe
3,回复@才女双手机:感谢关注，感谢理解！ //@才女双手机:感谢你们这么辛苦的付出，大过节的也不休息,是,#丰台发布##交通提示#截止9月30日10时30分，我区主要道路运行平稳，京港澳高速出京方向交通拥堵有所缓解，出京方向行驶缓慢，进京方向正常；京开高速出京方向行驶缓慢，进京方向正常；市内主要道路道路车辆行驶正常，六里桥、丽泽桥、赵公口长途客运站人流量较大，目前全区交通应急人员全部在岗在位。 ​​​​,2012-09-30 21:37,189,17,赞,微博 weibo.com,https://weibo.com/2590506142/yEjiAnc5v
4,回复@一枚QQ币:感谢关注北京丰台。祝您双节快乐！ //@一枚QQ币:你们辛苦了，感谢你们,是,#丰台发布##交通提示#截止9月30日10时30分，我区主要道路运行平稳，京港澳高速出京方向交通拥堵有所缓解，出京方向行驶缓慢，进京方向正常；京开高速出京方向行驶缓慢，进京方向正常；市内主要道路道路车辆行驶正常，六里桥、丽泽桥、赵公口长途客运站人流量较大，目前全区交通应急人员全部在岗在位。 ​​​​,2012-09-30 21:18,194,21,赞,微博 weibo.com,https://weibo.com/2590506142/yEjaZBYJ4
5,#丰台发布##2012北京卢沟晓月中秋晚会#一曲刘若英《为爱痴狂》，道出了观看晚会的两岸四地同胞的心声：此刻，我们为这明月、团聚痴狂，为这文化同感、情感同源痴狂！ ​​​​,否,,2012-09-30 21:17,115,22,赞,微博 weibo.com,https://weibo.com/2590506142/yEjaEEmjO
6,#丰台发布##2012北京卢沟晓月中秋晚会#不管两岸还是四地，我们都是中华民族！台湾清华大学的嘉宾的话让人心动、感人至深！ ​​​​,否,,2012-09-30 21:06,313,21,赞,微博 weibo.com,https://weibo.com/2590506142/yEj65zCT6
7,回复@古怪精灵人物:感谢关注北京丰台！ //@古怪精灵人物:挺不错的，大家都来关注丰台发布吧,是,#丰台发布##交通提示#截止9月30日8时，我区主要道路运行平稳，京港澳高速受窦店交通事故影响，车流浪逐渐增多，出京方向行驶缓慢，进京方向正常；京开高速出京方向行驶缓慢，进京方向正常；市内主要道路除南三环、木樨园、赵公口西向东车流较大外，其他车辆行驶正常。提醒各位出行朋友注意相交通信息。 ​​​​,2012-09-30 21:03,105,19,赞,微博 weibo.com,https://weibo.com/2590506142/yEj50eiYv
8,回复@joanlulu:丰台：丰收的沃土，成功的舞台。每个丰台人都为之自豪！ //@joanlulu:做为丰台人，真自豪…,是,#丰台发布##2012北京卢沟晓月中秋晚会#《在水一方》！如诗如画，扣人心弦！文化同根、情感同源在此际感受尤深！ ​​​​,2012-09-30 20:54,106,21,赞,微博 weibo.com,https://weibo.com/2590506142/yEj16cHWQ
9,#丰台发布##2012北京卢沟晓月中秋晚会#香港艺人演唱的《上弦月》。此情此景，同胞情深！ ​​​​,否,,2012-09-30 20:53,101,21,赞,微博 weibo.com,https://weibo.com/2590506142/yEj0Gu0Wy
