序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,转发微博,是,起床三个“半分钟”1、醒来不要马上起床，在床上躺半分钟；2、坐起后再在床上坐半分钟；3、然后两腿下垂在床沿再等半分钟。这三个半分钟可减少猝死、心梗和脑中风。 ​​​​,2012-09-28 14:38,转发,评论,赞,专业版微博,https://weibo.com/1899250633/yDXHxfiWf
1,转发微博,是,#健康知识#【世界狂犬病日】亲们，上午好！今天是世界狂犬病日，随着养狗的朋友越来越多，狂犬病成了我们生活中一个不能避免的话题。据统计，全国有23个省份、超过900个县区有人狂犬病病例的报告。因此，对大多数朋友来说，狂犬病离我们并不遥远。今天我们就来说说狂犬病的事儿吧。 ​​​​,2012-09-28 14:37,转发,评论,赞,专业版微博,https://weibo.com/1899250633/yDXHitGk5
2,转发微博,是,#健康知识#【世界狂犬病日】狂犬病又叫疯狗病或恐水症，人得了狂犬病后的特征为恐水、畏光、吞咽困难、狂躁等，最后死于呼吸、循环和全身衰竭。一旦发病，目前尚没有有效的治疗方法，几乎100%死亡，病死率是所有传染病中最高的。但需要和大家强调的是，狂犬病是一种完全可以预防的致死性疾病。 ​​​​,2012-09-28 14:37,转发,评论,赞,专业版微博,https://weibo.com/1899250633/yDXH12Dja
3,转发微博,是,#健康知识#【世界狂犬病日】狂犬病的潜伏期有多久？潜伏期的长短受多种因素的影响，比如伤口的严重程度及其距头面部的远近、感染病毒的数量和病毒的毒力等。总的来说，狂犬病的潜伏期相对较长，从我国现有的狂犬病病例来看，大多数病例的潜伏期为半年以内，一般为半个月至三个月。 ​​​​,2012-09-28 14:36,转发,评论,赞,专业版微博,https://weibo.com/1899250633/yDXGXtEEZ
4,转发微博,是,#健康知识#【世界狂犬病日】哪些动物可传播狂犬病病毒？并非只有狗才能传播狂犬病病毒。事实上，几乎所有的温血动物都可以感染狂犬病病毒，但在自然条件下，主要的易感动物包括狗、猫、狐狸、狼、浣熊、蝙蝠等。我国的狂犬病病例中绝大部分为狗或猫引起，尤以狗最多。 ​​​​,2012-09-28 14:36,转发,评论,赞,专业版微博,https://weibo.com/1899250633/yDXGI8NEH
5,转发微博,是,需要的“最好”运动是什么——1.最好减肥运动：游泳，消耗能量大，消除赘肉；2.最好健脑运动：弹跳，加强血液循环，供给氧气；3.最好防近视运动：乒乓球，使眼睛疲劳消除，改善视力；4.最好抗衰老运动：跑步，促进新陈代谢；5.最好健美运动：体操，加强平衡协调；6.最好抗高血压运动：散步。 ​​​​,2012-09-28 14:35,转发,评论,赞,专业版微博,https://weibo.com/1899250633/yDXGe0cBm
6,//@北京市疾病预防控制中心: 北京市部分医院中秋节“国庆节”门急诊安排，分享给大家。但不希望有人用上,是,#服务信息#本市部分医院中秋节“国庆节”门急诊安排，戳图点链接都可以！O网页链接 ​​​​,2012-09-28 14:33,转发,评论,赞,专业版微博,https://weibo.com/1899250633/yDXFpsVJV
7,转发微博,是,【5类人群不宜吃螃蟹】1三高病人：螃蟹中含大量胆固醇，高血压、高血脂、糖尿病患者尽量少吃；2脂肪肝或其他肝病患者：摄入大量蛋白质加重肝脏负担；3肾功能患者：只能少量食用；4皮炎及有外伤者：对螃蟹有过敏史、荨麻疹、过敏性哮喘、过敏性皮炎等不吃为好；5腹泻、体质寒凉者。O网页链接 ​​​​,2012-09-28 14:32,转发,评论,赞,专业版微博,https://weibo.com/1899250633/yDXF1vFaw
8,#新浪博客七周年#我的博客今天1岁279天了，我领取了新锐博主徽章。原文地址:O网页链接。你也来领取属于你的博客徽章吧:O网页链接 ​​​​,否,,2012-09-24 15:25,转发,评论,赞,新浪博客,https://weibo.com/1899250633/yDmiywCvl
9,转发微博,是,【正确喝水治疗11种小毛病】色斑→清晨一杯凉白开；恶心→盐水催吐；肥胖→餐后半小时喝一些水；感冒→要喝比平时更多的水；咳嗽→多喝热水；胃疼→经常喝点粥；失眠→热水的按摩作用是强效的安神剂；便秘→大口大口地喝水；烦躁→多多喝水；心脏病→睡前一杯水；发热→间断性、小口补水 ​​​​,2012-09-24 15:12,转发,评论,赞,专业版微博,https://weibo.com/1899250633/yDmdi27lT
