序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,//@北京12320在聆听:,是,#健康知识#【打造健康假期游】十一黄金周同样是各地食源性疾病及食物中毒高发期。大家再国内旅行及聚会聚餐时应注意食品卫生、包装食品标签和餐厅卫生等级，尽量避免在卫生条件差的摊点就餐，少食生食，特别注意勿食用未煮熟的菜豆及海水产品。同时，到人群集中场所时应做好呼吸道传染病的防护措施。 ​​​​,2012-09-30 16:08,转发,评论,赞,iPhone客户端,https://weibo.com/1720638681/yEh8WtjQr
1,"开学以来，丰台区卫生局卫生监督所联合丰台区教育委员会开展了秋季学校食品卫生安全专项整治工作。截止到目前，共计监督学校40户次，托幼机构20户次,检查情况良好。 ​​​​",否,,2012-09-25 09:00,转发,评论,赞,专业版微博,https://weibo.com/1720638681/yDtcID4K1
2,转发微博,是,#健康知识#【秋季当心感冒来袭】预防秋季感冒第三条就是要尽量做到规律的作息。很多朋友在夏天时睡的很晚。作息不规律，容易造成抵抗力下降，使疾病钻了空子。所以在季节交替期要保证规律的作息和生活节律，早点上床睡觉，适当延长睡眠时间，同时记得多喝水。 ​​​​,2012-09-24 10:28,转发,评论,赞,专业版微博,https://weibo.com/1720638681/yDklZayoI
3,共同关注,是,#丰台发布#2012北京国际铁人三项赛9月16日将在青龙湖发枪，国际铁人巨星即将登场，首部铁人三项宣传片已经开播，详情关注O网页链接 ​​​​,2012-09-13 10:39,转发,评论,赞,专业版微博,https://weibo.com/1720638681/yBEJcjmtB
4,2012年9月10日，丰台区卫生局卫生监督所铁营站对辖区内3户集体用餐配送单位进行监督检查。监督员检查中发现，其中一家企业（北京食全美餐饮中心）已关门停业。另外两家集体用餐企业在原材料进货渠道、中心温度记录、餐具消毒效果、分餐到就餐的时间记录等均能够达到食品卫生要求。 ​​​​,否,,2012-09-13 10:37,转发,评论,赞,专业版微博,https://weibo.com/1720638681/yBEIbmNfd
5,"2012年9月5日，丰台区卫生局卫生监督所会同丰台区法制办召开了针对查处无证餐饮的工作研讨会,探讨了《丰台区食品安全行政问责办法》中关于监督员在查处无证餐饮履行职责时的相关法律事宜,从而进一步建立丰台区查处无证餐饮工作的新模式. ​​​​",否,,2012-09-13 10:29,转发,评论,赞,专业版微博,https://weibo.com/1720638681/yBEF8evWd
6,近期，丰台区卫生局卫生监督所联合区工商局广告科，共同召开了丰台区民营医疗机构法人代表约见会暨深入开展打击违法发布医疗广告专项整治工作会议，要求各医疗机构严格按照规范进行宣传，杜绝虚假信息和虚假广告，严格按照核准的诊疗科目进行医疗活动，对举报投诉较多的医疗机构将进行重点督查。 ​​​​,否,,2012-08-30 09:38,转发,评论,赞,微博 weibo.com,https://weibo.com/1720638681/yzwlg2TYt
7,积极参与,是,#关爱婴幼儿健康#如何正确选购、使用婴幼儿卫生用品？北京地区相关产品监督抽检合格率是多少？今天上午10点至11点，北京公共卫生消毒产品专家李健做客微访谈，和大家聊聊正确选购、使用婴幼儿卫生用品，欢迎大家提问！提问页面：O网页链接    ​​​​,2012-08-30 09:10,转发,评论,赞,微博 weibo.com,https://weibo.com/1720638681/yzwa06ls7
8,,是,石景山区首批卫生监督协管员上岗履职！近日，经过基层推荐、资格审查、岗前培训和考试考核等程序，石景山区首批70名卫生监督协管员领取了“卫生监督协管员证”，正式持证上岗。卫生监督协管员负责对辖区餐饮服务、公共场所卫生和学校卫生工作进行巡回检查、服务指导等，详情：O网页链接 ​​​​,2012-08-28 15:43,2,1,赞,iPhone客户端,https://weibo.com/1720638681/yzfSL1LdW
9,#监督动态#【丰台河西76家餐饮单位接受“体检”】民以食为天，食以安为先。7·21特大自然灾害后，区卫生监督所及时启动应急预案，7月21日至8月7日期间，出动卫生监督员128人次，对我区河西地区76家餐饮服务单位进行监督检查，确保餐饮单位能为百姓提供安全的餐饮服务。O网页链接 ​​​​,否,,2012-08-13 13:20,3,1,赞,微博 weibo.com,https://weibo.com/1720638681/ywXxbka3p
