序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,大家出行做好准备,是,【北京地铁10号线日本使馆附近亮马桥站暂时关闭】据北京地铁公司消息，从今天上午八点起至另有通知止，地铁10号线亮马桥站暂时封站，列车在此通过不停车。请乘客安排好出行。（@北京地铁） ​​​​,2012-09-19 15:33,转发,评论,赞,专业版微博,https://weibo.com/2476005300/yCBdDE4dD
1,,是,社区书法班 ​​​​,2012-09-19 15:32,转发,评论,赞,专业版微博,https://weibo.com/2476005300/yCBcVkq5l
2,注意食品安全,是,【四川合江38名小学生食用火腿肠后腹痛入院】昨日上午9点，合江县佛荫镇中心小学部分学生，在食用配送的火腿肠后，出现腹痛症状。一整天陆续有娃娃被送到医院开药输液。配送商透露，火腿肠系由江苏雨润集团生产，9月4日从江苏运到泸州，此次共运送了40万根，目前已有20万根被食用。O网页链接 ​​​​,2012-09-19 15:31,转发,评论,赞,专业版微博,https://weibo.com/2476005300/yCBcKEyDJ
3,转发微博,是,#交通资讯# [叶子]【节假日小客车免费通行】免费通行期间，北京市各收费公路收费站不改变现有收费管理方式，所有车辆采取入口发卡、出口收卡方式，使用ETC方式的 7座以下（含7座）小型客车在免费期间驶离收费公路收费道口时显示通行费交费金额为零。 ​​​​,2012-09-19 15:30,转发,评论,赞,专业版微博,https://weibo.com/2476005300/yCBc765eH
4,@双井13社区,是,双井7-11，原来真的有这么严重... 我在#北京富力广场# 2北京·北京富力广场 ​​​​,2012-09-18 09:50,转发,评论,赞,微博搜索,https://weibo.com/2476005300/yCpxKwt3F
5,转发微博,是,双井富力广场门口，两张照片拍摄间隔十分钟。 ​​​​,2012-09-18 09:50,转发,评论,赞,微博搜索,https://weibo.com/2476005300/yCpxEkbz5
6,@双井13社区,是,德川家这是怕被咂吗？都不敢开门了…我在这里： #麦当劳(双井富力店)# 2北京·麦当劳(双井桥店) ​​​​,2012-09-18 09:44,转发,评论,赞,微博搜索,https://weibo.com/2476005300/yCpvogZ2b
7,转发微博,是,【今麦郎方便面吃出香烟过滤嘴 切成方块似肉丁】据环球网，赵先生从超市里购买了五连包的今麦郎香锅麻辣牛肉面，煮面时突然闻到家里有烟味。吃面时，在方便面中吃出一个使用过的香烟过滤嘴，令人恶心不已。今麦郎客服表示，从未出现过此种情况，对于原因也未做解释。O网页链接 ​​​​,2012-08-28 11:47,转发,评论,赞,微博 weibo.com,https://weibo.com/2476005300/yzekQe9Fg
8,富力社区芳草地小学少先队大队辅导员带领学生们参与志愿服务活动。 ​​​​,否,,2012-08-28 09:59,转发,评论,赞,微博 weibo.com,https://weibo.com/2476005300/yzdCQfykI
9,富力社区居干、居民投身治安巡逻志愿工作，为城市文明献力量。 ​​​​,否,,2012-08-27 16:37,转发,评论,赞,微博 weibo.com,https://weibo.com/2476005300/yz6NTnMZ8
10,转发微博,是,#微活动#在中国，有多少地方有社工的影踪？不妨来做一下试验。有兴趣的社工就转发，并请标明您的所在地及所属机构或院校。我们看看它走的范围有多广，走过的地方有哪些？社工，一家亲！  ​​​​,2012-08-27 15:26,转发,评论,赞,微博 weibo.com,https://weibo.com/2476005300/yz6lhfWpg
11,//@时尚趣味馆: 各种笑，转走！,是,各种笑，转走，以后写日记用。。。  ​​​​,2012-08-27 15:26,转发,评论,赞,微博 weibo.com,https://weibo.com/2476005300/yz6lbDJaQ
12,【王超先生】【证件】【失物招领】,是,失物招领!!!!!!!!!【王超先生】请联系双井街道富力社区(58621732)!!求扩散!!!!! ​​​​,2012-08-27 14:11,转发,评论,赞,微博 weibo.com,https://weibo.com/2476005300/yz5QLdnBx
13,失物招领!!!!!!!!!【王超先生】请联系双井街道富力社区(58621732)!!求扩散!!!!! ​​​​,否,,2012-08-27 10:30,3,评论,赞,微博 weibo.com,https://weibo.com/2476005300/yz4oQazHv
