序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,【晚安北京】10月1日升旗时间6:11，降旗时间17:57。今天夜间晴，南转北风1、2级，最低气温11℃，明天白天晴间多云，北转南风2、3级，最高气温27℃。下周本市除有时阴天以外，大部分时间天气晴好，风力不大，气温适宜，适合大家外出游玩。今晚是中秋月圆夜，愿大家都团团圆圆。但愿人长久，千里共婵娟。 ​​​​,否,,2012-09-30 22:03,63,23,赞,微博 weibo.com,https://weibo.com/2418724427/yEjt6vqvN
1,月圆人圆事事圆，祝大家及家人中秋快乐！,是,中秋月圆之夜，家人团聚一堂，吃月饼、品香茗、赏圆月。咱都知道中秋节要吃月饼，您知道月饼的来历吗？俗话中有：“八月十五月正圆，中秋月饼香又甜”。月饼最初是用来祭奉月神的祭品，“月饼”一词最早见于南宋吴自牧的《梦梁录》中。后来人们逐渐把中秋赏月与品尝月饼结合一起，寓意家人团圆的象征。 ​​​​,2012-09-30 20:19,22,12,1,政府版微博,https://weibo.com/2418724427/yEiMOlYR1
2,【今冬征兵全部网上报名】本市2012年冬季征兵已启动。男女适龄青年参军报名将全部在网上进行，不在网上报名将无法参加下一步的体检等。应征的适龄男青年可于10月1日8时—10月31日18时登录首都征兵网报名；女青年可于9月28日至—10月31日，登录首都征兵网或国防部女兵网上报名系统报名。 ​​​​,否,,2012-09-30 18:01,59,13,3,微博 weibo.com,https://weibo.com/2418724427/yEhT584U0
3,【小布带你游北京•前门】随着十一的到来，北京的秋意越来越浓。您想畅游北京吗？今后几天，土著小布要给大家介绍那些只有土著才知道的北京攻略哦。今天介绍的是“天安门地区”，包括天安门城楼、广场、前门。从壮丽的广场，到浓浓北京味的胡同，有玩有看有吃有买，快来跟小布瞜瞜吧。 ​​​​,否,,2012-09-30 16:05,59,31,赞,微博 weibo.com,https://weibo.com/2418724427/yEh7Ro4Ld
4,【城市河湖将划定游泳垂钓区】#聚焦北京#从10月1日起，大家可以在城市河湖的指定区域开展游泳、垂钓、滑冰等活动了。预计护城河、昆玉河等水域都将开放垂钓区，而游泳受水质影响，开放区域仍在选定中。锻炼是好事，安全也很重要呢~ ​​​​,否,,2012-09-30 14:04,34,6,赞,360安全浏览器,https://weibo.com/2418724427/yEgkQiRM3
5,【炒肝】#最IN北京#炒肝的知名度和受欢迎程度，绝对能在众多北京小吃中稳坐前三甲的位置。肝香肠肥，味浓不腻，汤汁油亮酱红，稀而不澥，口感柔滑，蒜香浓郁，再配上刚出锅的小笼包，真是一顿不错的早餐！天兴居、鼓楼姚记、凯琳饭馆等都是京城有名吃炒肝的名店，就连美国副总统都来吃过呢！ ​​​​,否,,2012-09-30 11:34,180,73,赞,360安全浏览器,https://weibo.com/2418724427/yEfm4sC40
6,"#长假郊区游#【雁翅镇】近年来,雁翅镇依托得天独厚的自然资源,积极培育和发展山区旅游产业,逐步形成了以碣石村明清古居古井,市级森林公园南石洋大峡谷,黄岩沟百年丁香谷等为代表的一批自然人文景观旅游景点,形成了苹果采摘节、香椿文化节、淤白蹦蹦戏等为代表的民俗特色生态旅游项目。 @京西门头沟 ​​​​",否,,2012-09-30 10:00,28,5,赞,360安全浏览器,https://weibo.com/2418724427/yEeJBhhr9
7,【中秋佳节】#北京你好#今日不限行，最高气温25度，北转南风2、3级。今天是中秋佳节，而且天公作美，秋高气爽，艳阳高照，晚上应该会看到一轮明月吧！大家今晚是不是都会围坐在一起，吃吃月饼，聊聊天，赏赏月呢？祝各位同学中秋节快乐！ ​​​​,否,,2012-09-30 08:49,91,17,赞,360安全浏览器,https://weibo.com/2418724427/yEeh7nINL
8,同学们，高速上的副驾们，看到这条微博一定严肃叮嘱司机，开车要谨慎啊、杜绝事故。放假兴奋、飘忽的心还是到了目的地再放飞吧！,是,【北京京港澳高速路拥堵28公里】据北京交通广播103.9播报，北京京港澳高速窦店段发生20多起事故，拥堵长达28公里。附图为北京高速路绕行线路。另外京开高速出京方向玉泉营桥至西红门南桥车多缓慢，京承高速出京方向来广营主站有短暂排队情况，京藏高速居庸关路段车多行驶缓慢。 ​​​​,2012-09-30 08:42,126,55,赞,360安全浏览器,https://weibo.com/2418724427/yEedZvD5v
9,第一年高速免费，各位在路上的同学要淡定。一定要谨慎驾驶，避免事故。没出门的同学严密收集路况，做好准备，可以缓一缓，玩也要玩得那么紧张，那么累么？,是,#出行提示#目前本市各条高速公路均车流量大，其中：京港澳高速和京开高速均受事故影响导致车辆行驶缓慢。网友@神人来人 说：为什么总发生追尾事故？ 1） 跟车太紧；2） 速度快；3） 注意力不集中。如果注意到这3方面，不会出现追尾事故。所以，提醒各位出行的通心粉们，一定要注意安全驾驶哦！ ​​​​,2012-09-30 08:36,33,17,赞,政府版微博,https://weibo.com/2418724427/yEebOeyfX
