序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,发表了博文 《9月27日朝阳门街工委书记周彤走访史家社区居民》 - 9月27日朝阳门街工委书记周彤走访史家社区居民  分别到社区低保人员、守望岗积极分子李朋家，社区文化名人金雅琴以及蓝荫海家慰问。为他 O网页链接 ​​​​,否,,2012-09-28 10:03,转发,评论,赞,新浪博客,https://weibo.com/1398615133/yDVU4fIwg
1,发表了博文 《9月26日史家社区召开“同喜同贺中秋国庆，同欢同乐和谐史家”庆中秋茶话会》 - 9月26日史家社区召开“同喜同贺中秋国庆，同欢同乐和谐史家”庆中秋茶话会  社区党员、群众、积极分子、统战 O网页链接 ​​​​,否,,2012-09-27 16:53,转发,评论,赞,新浪博客,https://weibo.com/1398615133/yDP9P2SS4
2,发表了博文 《9月25日史家社区召开胡同停车治理管理专项行动协调会》 - 9月25日史家社区召开胡同停车治理管理专项行动协调会  社区居民常务代表、社区机动车车主代表等共计30余人参加。会议宣读了街道 O网页链接 ​​​​,否,,2012-09-27 16:42,转发,评论,赞,新浪博客,https://weibo.com/1398615133/yDP5ty2Dw
3,"通过@微盘 下载了@南都周刊 分享的""coverstory120917.pdf""，推荐给大家！",是,"“他们曾在政治上效忠于台湾，在大陆“失事”被捕。如今，他们出得牢房，却已众叛亲离，成了无主的人。”我在@微盘 分享了一个很不错的文件：""2012年度36期封面报道：台海谍战往事""，快来看看吧~ O网页链接 ​​​​",2012-09-21 16:08,转发,评论,赞,微盘,https://weibo.com/1398615133/yCUiCjZKE
4,发表了博文 《9月21日史家社区召开社区健康讲座》 - 邀请同仁堂的医生为社区居民讲解高血压的防治。通过介绍高血压的形成原因、治疗原理和如何预防为大家深入浅出地讲解高血压相关知识。共有社区居民30余人 O网页链接 ​​​​,否,,2012-09-21 15:59,转发,评论,赞,新浪博客,https://weibo.com/1398615133/yCUeX48Zx
5,转发微博,是,【@健康时报：看鸭肉怎样变身成羊肉串(图)】人们对街边羊肉串一直有疑问，街边烤串究竟卖的是什么肉？用鸭肉、马肉、猪肉能烤出的羊肉串，从口味上能否识别？近日，本报记者从市场买来鸭肉，做出了以假乱真的“羊肉串”。羊肉香精18块钱一盒（1斤），一斤香精能加工1000斤羊肉……O网页链接 ​​​​,2012-09-10 14:42,2,评论,赞,微博 weibo.com,https://weibo.com/1398615133/yBe2dkcEy
6,发表了博文 《2012年08月09日》 -  家住在史家胡同3号后门的居民孙红宇，常年患病，也是史家值班站岗人员。8月6日21时許，由于当天忘记服用自己的药物，卧倒在干面胡同东口静雅大酒店门旁草坪上， O网页链接 ​​​​,否,,2012-08-09 17:22,2,1,赞,新浪博客,https://weibo.com/1398615133/ywnpp73sT
7,发表了博文 《2012年08月09日》 - “我好心给婆婆买了一件衣服，她不但不领情还跟我吵了一架。”8月9日，一对婆媳在朝阳门街道四楼大厅当着众多居民的面，向大家发着牢骚。   别误会，这只是史家社 O网页链接 ​​​​,否,,2012-08-09 17:22,1,评论,赞,新浪博客,https://weibo.com/1398615133/ywnpi0gDv
8,发表了博文 《“学道德模范 诵中华经典 做有德之人”史家社区道德讲坛活动》 - 8月7日史家社区召开“学道德模范 诵中华经典 做有德之人”史家社区道德讲坛活动  召集社区党员、青少年、社区商户驻地代表 O网页链接 ​​​​,否,,2012-08-07 11:04,转发,评论,赞,新浪博客,https://weibo.com/1398615133/yw24UcqFC
9,"发表了博文 《8月1日""庆八一""史家社区慰问驻地武警官兵》 -  8月1日下午，社区班子成员由党委书记赵博言带队，对史家胡同驻地武警北京总队第六支队的官兵送去了节日的祝福和慰问品。汤智勇队长对社区的慰 O网页链接 ​​​​",否,,2012-08-02 10:56,转发,评论,赞,新浪博客,https://weibo.com/1398615133/yvgT0DZnm
10,发表了博文 《史家社区开展防汛期间安全生产检查工作》 -  为了进一步做好防汛期间安全生产工作，吸取“7.21”特大暴雨灾害教训，全力做好强降雨防御工作，确保社区居民生命财产安全，史家社区近期积极开展 O网页链接 ​​​​,否,,2012-08-01 14:59,转发,评论,赞,新浪博客,https://weibo.com/1398615133/yv93mkkyR
11,@赵春雁yanyan,是,发表了博文 《史家文艺汇精英，文化展演献风采—记史家社区文艺展演季活动》 -  7月31日，朝阳门街道多功能厅内人头攒动、热闹非凡，一场“朝阳门街道群众文化展演季—史家社区文艺演出”正在红红火火地举行 O网页链接 ​​​​,2012-07-31 15:34,转发,评论,赞,微博 weibo.com,https://weibo.com/1398615133/yuZR4CyJJ
12,发表了博文 《史家文艺汇精英，文化展演献风采—记史家社区文艺展演季活动》 -  7月31日，朝阳门街道多功能厅内人头攒动、热闹非凡，一场“朝阳门街道群众文化展演季—史家社区文艺演出”正在红红火火地举行 O网页链接 ​​​​,否,,2012-07-31 15:16,1,评论,赞,新浪博客,https://weibo.com/1398615133/yuZJPbCsn
13,转发微博,是,,2012-07-23 10:55,1,1,赞,微博 weibo.com,https://weibo.com/1398615133/ytKBQFk1C
14,发表了博文 《7月19日史家社区慰问守望岗值守队伍》 -  将综治办发放的绿豆送到了每位值班守望岗同志手中。综治委主任朱春芳对值班人员表达了感谢，并叮嘱他们天气炎热，在不影响守望工作的前提下注意守望防 O网页链接 ​​​​,否,,2012-07-19 17:07,1,评论,赞,新浪博客,https://weibo.com/1398615133/ytbkTn1aR
15,发表了博文 《7月19日史家社区迎接创建“六型社区”检查工作》 - 检查分为两个部分。首先对史家社区近两年的干净、规范、服务、安全、健康、文明等档案工作进行了检查，并与社区工作人员进行了沟通；然后检查 O网页链接 ​​​​,否,,2012-07-19 17:05,1,评论,赞,新浪博客,https://weibo.com/1398615133/ytbk34TY4
16,发表了博文 《7月6日史家社区召开“平安我先行”志愿者知识竞答赛》 - 史家社区综治小组组织社区治保积极分子、劝导队成员参加7月6日史家社区召开“平安我先行”志愿者知识竞答赛。通过安全知识、守望岗值守 O网页链接 ​​​​,否,,2012-07-06 18:00,1,评论,赞,新浪博客,https://weibo.com/1398615133/yrd83hUIM
