序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,#镇域风采#【瀛海镇“80后”宣讲团 真心投入 动情感触生活 】近日，瀛海镇百姓宣讲活动在兴海园园社区拉开帷幕。瀛海自行组建的“80后”宣讲团在社区、机关政府分别开展三场巡讲，200余名居民、村民认真倾听了宣讲。此次新区百姓宣讲“双十佳”活动也为瀛海年轻人创造展现自我的全新舞台。 ​​​​,否,,2012-09-28 16:05,转发,1,赞,微博 weibo.com,https://weibo.com/2590508324/yDYgT9RK0
1,#镇域风采#【北臧村镇特色农民运动会】北臧村镇巴园子村为了丰富广大村民业余文化生活，增强村民的身体素质，进一步使满族文化能够更快的渗透到村民的生产生活中去，开展了全部都是满族传统的运动项目的“巴园子村村民运动会”。 ​​​​,否,,2012-09-28 11:36,2,1,赞,微博 weibo.com,https://weibo.com/2590508324/yDWvyhPuV
2,#镇域风采#【亦庄镇第三届原创综艺节目大赛隆重召开】26日，亦庄镇第三届原创综艺节目大赛在亦庄宣传文体中心多功能厅召开，共有22家单位的31个节目参与了本次比赛。比赛节目包括：原创歌曲独唱、小合唱、小品、相声、三句半、快板、双簧、童谣等多种形式，参与演员超过100人，观看观众超过300人。 ​​​​,否,,2012-09-27 16:55,2,3,赞,微博 weibo.com,https://weibo.com/2590508324/yDPaN3pSo
3,#镇域风采#【安定镇中心小学举行消防少年军校启动仪式】9月21日安定镇中心小学与大兴消防支队安定中队共建消防少年军校仪式正式启动。 ​​​​,否,,2012-09-27 16:15,2,1,赞,微博 weibo.com,https://weibo.com/2590508324/yDOUtxLfF
4,#街道新闻#【公共文明引导员 志愿服务在社区】近日，大兴区兴丰街道黄村西里社区和大兴区公共文明引导员队伍在社区联合开展小广告清理活动。20名大兴区公共文明引导员来到黄村西里社区，在社区工作人员的带领下开始了小广告清理活动。大家拿着各种工具，将楼门、墙体上的小广告一一清除干净。 ​​​​,否,,2012-09-27 15:44,转发,2,赞,微博 weibo.com,https://weibo.com/2590508324/yDOHT9Hiv
5,#街道新闻#【仁和医院医疗专家爱心义诊进楼宇活动】近日，大兴区兴丰街道清城北区联合仁和医院为楼宇广大企业员工进行免费义诊，通过张贴通知、入户走访等多种形式宣传义诊活动，咨询义诊人员络绎不绝。义诊进楼宇为企业员工提供免费义诊，带来健康关怀，得到楼宇企业员工的一致好评。 ​​​​,否,,2012-09-27 14:23,转发,1,赞,微博 weibo.com,https://weibo.com/2590508324/yDOaYtlL9
6,#街道新闻#【兴丰街道清城北区开展健康饮食进社区活动】为了让生活水平提高的居民吃出健康，清城北区社区携手李锦记健康产业集团，为社区居民举行了别具一格“健康美食”科学饮食健康讲座。健康饮食老师通过现场操作展示健康菜的制作过程，为社区居民带来“少油、少盐、方便、简单”的烹饪新主张。 ​​​​,否,,2012-09-27 13:18,1,1,赞,微博 weibo.com,https://weibo.com/2590508324/yDNKADecY
7,#街道新闻#【兴丰街道兴华中里社区开展健康大讲堂活动】近日兴华中里社区医院的王大夫为居民讲解了秋季高血压注意事项及预防。讲课中大家对高血压疾病的相关知识非常关心，王大夫对居民提出的健康问题一一做了解答。为了更好地服务社区居民，王大夫为大家发放了健康知识手册，并为大家测量血压。 ​​​​,否,,2012-09-27 12:40,3,评论,赞,微博 weibo.com,https://weibo.com/2590508324/yDNv85KY8
8,#街道新闻#【兴丰街道成立阳光福润书画社】近日，“兴丰街道阳光福润书画社”在兴丰街道温馨家园举行揭牌仪式，书画社的成立丰富社区居民的文化生活，提高社区居民的文艺素养，为广大退休老年人们提供再学习的活动场所。 ​​​​,否,,2012-09-27 11:37,1,1,赞,微博 weibo.com,https://weibo.com/2590508324/yDN5xz46G
9,#镇域风采#【安定镇举办“世界避孕日”宣传活动】25日，安定镇计生办在9.26世界避孕日来临之际，在安定镇市场开展以“你的未来选择避孕主宰性福”为主题的宣传活动。活动旨在向育龄群众宣传避孕知识，唤起大家对避孕日的关注，认识到避孕的重要性。同时，免费发放避孕药具100多份、宣传材料近千份。 ​​​​,否,,2012-09-27 10:53,1,评论,赞,微博 weibo.com,https://weibo.com/2590508324/yDMNHfmtS
