序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,其他体液中，如眼泪、唾液和汗液，存在的数量很少，一般不会导致艾滋病的传播。 ​​​​,否,,2012-09-29 09:05,转发,评论,赞,微博 weibo.com,https://weibo.com/2013595335/yE4WRlmwi
1,艾滋病的传染主要是通过性行为、体液的交流而传播，母婴传播。体液主要有：精液、血液、阴道分泌物、乳汁、脑脊液和有神经症状者的脑组织中。 ​​​​,否,,2012-09-29 09:05,转发,评论,赞,微博 weibo.com,https://weibo.com/2013595335/yE4WJEEjq
2,如何喝茶最健康,是,【如何喝茶最健康】①常感四肢发凉，适合饮用性温的红茶、茉莉花茶。加入桂圆一起冲泡效果会更好。②绿茶、生普洱茶、岩茶等都有瘦身效果。③早晚各喝1杯茉莉花茶能让体味清新。④长期使用电脑者，易患眼病。多喝绿茶可抗辐射作用，多喝些菊花茶对缓解眼睛干涩有帮助。喜欢健康养生就关注@健康养生知识 ​​​​,2012-09-29 09:03,转发,评论,赞,微博 weibo.com,https://weibo.com/2013595335/yE4W1DK8M
3,伏案午睡会使视力受损,是,【伏案午睡会使视力受损】一般人在伏案午睡后会出现暂时性的视力模糊，原因就是眼球受到压迫，引起角膜变形、弧度改变造成的。倘若每天都压迫眼球，会造成眼压过高，长此下去视力就会受到损害。 ​​​​,2012-09-29 09:02,转发,评论,赞,微博 weibo.com,https://weibo.com/2013595335/yE4VM0fFt
4,严重威胁着人类的健康和社会的发展，已成为威胁人们健康的第四大杀手。1988年，WHO总干事长宣布每年12月1日为世界艾滋病日。 ​​​​,否,,2012-09-28 09:19,转发,评论,赞,微博 weibo.com,https://weibo.com/2013595335/yDVC5FPwO
5,艾滋病严重地威胁着人类的生存，已引起世界卫生组织及各国政府的高度重视。艾滋病在世界范围内的传播越来越迅猛 ​​​​,否,,2012-09-28 09:19,转发,评论,赞,微博 weibo.com,https://weibo.com/2013595335/yDVBZtycW
6,初秋穴位养生,是,【初秋穴位养生 按走“秋老虎”】秋主肺，它喜润恶燥，秋燥之气最容易伤肺，容易产生呼吸系统疾病。秋天养生就要多吃点梨，吃点滋润的东西。补肺气润肺阴的主要穴位有肺俞、膻中、天突、中脘、足三里和气海。养肺的同时，健脾胃也必不可少，说到健脾养胃，有两个穴位不得不提，它们就是足三里和阴陵泉 ​​​​,2012-09-28 09:17,转发,评论,赞,微博 weibo.com,https://weibo.com/2013595335/yDVBtxwve
7,9月28日是世界狂犬病日,是,#世界狂犬病日#9月28日是世界狂犬病日。（World Rabies Day）。狂犬病的危害：世界卫生组织在报告中说，狂犬病遍布于全世界，每年全球有55000人死于狂犬病，即每10分钟就有1人死亡。此外，亚洲和非洲有1000万人在被可能患有狂犬病的狗咬伤后，接受狂犬病疫苗注射。 (图片来自corbis) ​​​​,2012-09-28 09:17,转发,评论,赞,微博 weibo.com,https://weibo.com/2013595335/yDVBi2dyk
8,1985年，男影星Hudson成为第一个死于AIDS的公众人物，同年，一位到中国旅游的外籍青年患病入住北京协和医院后很快死亡，后被证实死于艾滋病。这是中国第一次发现艾滋病。 ​​​​,否,,2012-09-27 09:04,转发,评论,赞,微博 weibo.com,https://weibo.com/2013595335/yDM5xgvAz
9,艾滋病病毒在人体内的潜伏期平均为9年至10年，在发展成艾滋病病人以前，病人外表看上去正常，他们可以没有任何症状地生活和工作很多年。 ​​​​,否,,2012-09-27 09:04,2,评论,赞,微博 weibo.com,https://weibo.com/2013595335/yDM5sf55v
