序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,生活百科---洁厕灵千万别和84液同时用 ​​​​,否,,2012-09-10 11:36,转发,评论,赞,专业版微博,https://weibo.com/2656323087/yBcOFsgG1
1,【世界急救日】9月8日（本周六）主题是：生命高于一切,是,【世界急救日】9月8日（本周六）北京120在北京市电力公司供电服务中心展示厅（东城区朱市口东大街13号天都京港大厦一层）举办科普活动。现报名已经结束，请接到电话确认的朋友当天九点到培训现场。由于名额有限，这次没有参加上的朋友请关注下次培训，感谢大家的热情参与。急救知识等你学习！ ​​​​,2012-09-06 15:59,转发,评论,赞,微博 weibo.com,https://weibo.com/2656323087/yACPGaxj4
2,9月10日是第十个“世界预防自杀日”，有关自杀的一些数字触目惊心：纵览国际国内，全球每30秒就有1人死于自杀，每3秒有1人自杀未遂。自杀已成15—35岁人群首要死因；中国每年超过28.7万人死于自杀，200万人自杀未遂，自杀率为23/10万人，中国属于高自杀率的国家。中国女性自杀率全球排第二。,是,【活着 总会有希望】一组残酷的数据显示，全球每30秒就有1人死于自杀，每3秒有1人自杀未遂。自杀，早已从个人行为演变成威胁人类发展的一大隐患。于是，产生了9月10日———“世界预防自杀日”，为的就是让公众对自杀引起关注。全文详见：O网页链接 ​​​​,2012-09-06 15:57,转发,评论,赞,微博 weibo.com,https://weibo.com/2656323087/yACOTpJfl
3,9月10日为第十个“世界预防自杀日”，今年的主题为：“全球预防自杀：加强保护因素，唤醒生命希望”,是,#你可能不知道的那些纪念日#世界预防自杀日在每年公历的9月10日，是由创建于奥地利的国际预防自杀协会和世界卫生组织确立的，其目的是引起公众对自杀关注，希望各国政府、预防自杀协会和机构、当地社区、医务工作者等加入到当天的各项行动中，共同提高公众对自杀问题重要性的意识以及降低自杀率。     ​​​​,2012-09-06 15:57,转发,评论,赞,微博 weibo.com,https://weibo.com/2656323087/yACOGFDEe
4,【秋季保健四方面】入秋天气多变化，昼夜温差特别大；感冒发烧和肺炎多发，提醒大家从以下四方面预防：先说穿衣要适量，天热减衣夜晚加；再说饮食需清淡，少吃油腻多瓜果；人多地方咱不去，人群密集细菌发；最后在把身体炼，多晒太阳品秋茶。四句顺口溜希望能对大家有帮助。 ​​​​,否,,2012-09-06 15:56,转发,评论,赞,微博 weibo.com,https://weibo.com/2656323087/yACOw52ca
5,【推荐补钙剂量】,是,【推荐补钙剂量】补钙误区认为孕期补钙会导致孩子头太硬无法自然分娩。实际上宝宝的发育需要充足的钙。孕妈妈在孕期补多少钙合适呢？早孕期每天不少于800mg的钙，中孕期每天1200mg，孕晚期每天1500mg，哺乳期每天1200mg。如果每天喝牛奶或酸奶，大约每100ml的奶约含有100mg的钙@大兴妇幼健康教育 ​​​​,2012-09-04 16:08,转发,评论,赞,微博 weibo.com,https://weibo.com/2656323087/yAk2eAScN
6,北京西站启动交通标志大改造 字体变大导向标识渐清晰】,是,【北京西站启动交通标志大改造 字体变大导向标识渐清晰】为适应火车站和地铁站的合二为一，西站即将开始交通标识大改造。新导向标识大而清晰，蓝底白字、大字号、中英文双语。目前已悬挂100余块。在保证导向清晰的基础上，预计改造后的标识将少于现有的标识。如有好的建议欢迎微博联系。@西站地区 ​​​​,2012-09-04 16:07,转发,评论,赞,微博 weibo.com,https://weibo.com/2656323087/yAk1WzdBn
7,为普及健康知识、宣传健康生活方式，9月3日中午，林校中心联合区CDC慢病科，在林校中心门口和区医院食堂分别开展以“我行动 我健康 我快乐”为主题的健康宣传活动。通过摆放展板、电子屏循环滚动健康科普知识、悬挂条幅、发放健康处方、发放凉扇、购物袋等宣传品形式宣传，达到了良好的宣传效果。 ​​​​,否,,2012-09-04 16:06,转发,评论,赞,微博 weibo.com,https://weibo.com/2656323087/yAk1mfpzF
8,值得一看的科普宣传。,是,【中国营养学会：《关于营养那点事（谷类篇）》】很多人认为富含碳水化合物类食物会使人发胖。这是不正确的。造成肥胖的真正原因是能量过剩。脂肪比碳水化合物更容易造成能量过剩。 以谷类为主的膳食模式可避免摄入过多的脂防及脂肪较高的动物性食物，有利预防相关慢性病的发生。O网页链接 ​​​​,2012-08-29 16:40,转发,评论,赞,微博 weibo.com,https://weibo.com/2656323087/yzpGa0eAt
9,注意!注意!!注意!!!==【三裂叶豚草现怀柔】,是,【三裂叶豚草现怀柔】有着“植物杀手”之称，对人体、水质、作物都有害的外来物种三裂叶豚草，近日，在怀柔水库等饮用水源保护地周边现身。目前，蔓延趋势也已被控制，预计一个月内可将其全部连根儿拔掉。小布提醒大家，该植物花粉与人接触后，轻则引起咳嗽、哮喘，重则肺气肿。所以，开花的千万别碰！ ​​​​,2012-08-29 16:34,2,评论,赞,微博 weibo.com,https://weibo.com/2656323087/yzpDO0VVI
10,秋季适宜吃的食物状元榜===第一菜：莲藕 “秋藕最补人”今正值莲藕应市，吃些莲藕，能养阴清热、润燥止渴、清心按神、养肺补血、治疗便秘；搭配黑白木耳，可以滋补肾阴。第一补：山药 可预防心血管疾病、健脾益胃、滋肾益精、益肺止咳。第一肉：墨鱼 其味鲜美、营养丰富，是一种高蛋白低脂肪滋补食品 ​​​​,否,,2012-08-29 16:30,1,评论,赞,微博 weibo.com,https://weibo.com/2656323087/yzpCkoPNC
