序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,中国神经外科的泰斗，大医精诚！王院士一路走好,是,[讣告]我院名誉院长、北京市神经外科研究所所长王忠诚院士，因病医治无效，于2012年9月30日16时08分在北京医院不幸逝世，享年87岁。(王忠诚院士治丧委员会) ​​​​,2012-09-30 22:56,9,4,赞,微博 weibo.com,https://weibo.com/1623842133/yEjOCEreJ
1,海上生明月，天涯共此时假期到来，或走亲访友，或游走于山水之间，只有在旅行过程中注意预防疾病侵袭，才能保持良好的身体状态、拥有轻松愉快的行程。祝大家中秋快乐[放假啦],是,#中秋节#举杯邀明月，共庆团圆时！希望朋友们在假期中好好休息或游玩，在享受山水、花草、美食的同时，还要记得坚持良好的卫生习惯，远离疾病，过一个轻松愉快的假期！我在这里祝愿朋友们中秋团圆，祝您和您的家人、朋友身体健康、万事如意、阖家欢乐！[玫瑰][玫瑰][玫瑰] ​​​​,2012-09-30 08:33,转发,评论,赞,微博 weibo.com,https://weibo.com/1623842133/yEeamE3Xw
2,#十一长假#金秋十月是旅游度假的黄金时期，即将到来的中秋、国庆8天长假更是旅游、探亲、聚会的高峰期。北京市疾病预防控制中心在此提醒您：外出郊游注意饮食卫生，天气逐渐转凉，积极预防呼吸道传染病。祝大家度过一个健康、平安、快乐的假期！@首都健康 @新浪健康 @与点阁 ​​​​,否,,2012-09-29 09:55,13,9,赞,微博 weibo.com,https://weibo.com/1623842133/yE5hgCGwL
3,果断转发，咱北京的很多地名还是灰常欢乐滴！,是,搞笑的 北京 地名~( ¯▽¯；) ~~你的家乡有什么有趣的地名咩？ via 鼠小吉  ​​​​,2012-09-28 19:15,3,2,赞,微博 weibo.com,https://weibo.com/1623842133/yDZvPAmLe
4,狂犬病病毒对脂溶剂(肥皂水、氯仿、丙酮等)、75%酒精、碘制剂以及季胺类化合物较为敏感，采用肥皂水和消毒剂能够有效地杀灭伤口周围的大部分病毒，大大降低狂犬病发生的风险，因此在伤后的第一时间自己先处理伤口非常重要,是,【狗咬后伤口处理指南】被狗咬伤后，自己怎样处理伤口，具体应该怎么做？(1)首先使用一定压力的流动清水(比如自来水)冲伤口。(2)再用20%的肥皂水(也可用肥皂)或其它弱碱性清洁剂清洗伤口。(3)重复第(1)、(2)步至少15分钟。(内容整理自中国疾病预防控制中心)详情点击O网页链接  ​​​​,2012-09-28 19:12,12,1,赞,微博 weibo.com,https://weibo.com/1623842133/yDZuXvLA4
5,彻底冲洗伤口和消毒可大大降低狂犬病发生的风险。伤口处理得越及时，对侵入伤口的病毒清除和杀灭效果就会越好，因此不管伤者是否准备去医院进行处理，在伤后的第一时间自己先处理伤口都是非常重要的。,是,【狗咬后伤口处理指南】被狗咬伤后，自己怎样处理伤口，具体应该怎么做？(1)首先使用一定压力的流动清水(比如自来水)冲伤口。(2)再用20%的肥皂水(也可用肥皂)或其它弱碱性清洁剂清洗伤口。(3)重复第(1)、(2)步至少15分钟。(内容整理自中国疾病预防控制中心)详情点击O网页链接  ​​​​,2012-09-28 18:59,3,评论,赞,微博 weibo.com,https://weibo.com/1623842133/yDZpu10ic
6,北京市部分医院中秋节“国庆节”门急诊安排，分享给大家。但不希望有人用上,是,#服务信息#本市部分医院中秋节“国庆节”门急诊安排，戳图点链接都可以！O网页链接 ​​​​,2012-09-28 12:32,2,评论,赞,微博 weibo.com,https://weibo.com/1623842133/yDWSq3ZnU
7,托幼院所、学校、职工食堂的食品安全最重要,是,【贵州正安42名孩子疑似食物中毒1人已死亡】9月21日，贵州遵义正安县大坎村童星幼儿园42名小孩疑似食物中毒，先后出现腹泻、呕吐等症状，被送往医院抢救。其中一名小女孩因抢救无效，于9月26日晚离世。有家长称，当天孩子们在幼儿园吃了黄豆肉沫稀饭。O网页链接 ​​​​,2012-09-28 12:26,1,评论,赞,微博 weibo.com,https://weibo.com/1623842133/yDWPTa4yk
8,爱生活、爱工作、爱科普，爱分享知识，更爱给大家提供病媒生物防制支持。您家中有讨厌的虫子出没吗？来微博找@曾晓芃 博士吧！他与病媒生物“不共戴天”//@曾晓芃: 我的工作就是让大家“远离有害生物困扰，拥有健康快乐生活”,是,爱国卫生工作的核心就是体现“预防为主”。除四害，搞清洁，做好预防工作，从而达到使人们少生病不生病的目的。如今，各地依然组织和发动广大群众，大力开展有害生物防制、全民健康生活方式行动、改水改厕、血吸虫病防治等社会性的卫生活动，有效地控制了多种传染病、地方病的流行，保障了人民的健康。 ​​​​,2012-09-28 10:50,2,1,赞,政府版微博,https://weibo.com/1623842133/yDWde9BsD
9,今天是#世界狂犬病日#并非只有狗才能传播狂犬病病毒。事实上，几乎所有的温血动物都可以感染狂犬病病毒，但在自然条件下，主要的易感动物包括狗、猫、狐狸、狼、浣熊、蝙蝠等。我国的狂犬病病例中绝大部分为狗或猫引起，尤以狗最多。,是,#世界狂犬病日#9月28日是世界狂犬病日。（World Rabies Day）。狂犬病的危害：世界卫生组织在报告中说，狂犬病遍布于全世界，每年全球有55000人死于狂犬病，即每10分钟就有1人死亡。此外，亚洲和非洲有1000万人在被可能患有狂犬病的狗咬伤后，接受狂犬病疫苗注射。 (图片来自corbis) ​​​​,2012-09-28 10:45,11,5,赞,微博 weibo.com,https://weibo.com/1623842133/yDWb8p7lS
10,纯净水+2滴柠檬+2滴尤加利。消除火锅味，节日期间试一下//@健康伴您同行: 学习一下~,是,【教你自制消除火锅味喷剂】昨晚吃火锅，饭后同事拿出一个小喷壶，衣服上下一喷，火锅味全无！100ml纯净水+2滴柠檬+2滴尤加利。冬天经常吃火锅，消除气味，就这么简单！追求高品质生活，快DIY啦！ 「via李静」 ​​​​,2012-09-25 20:23,11,7,赞,微博 weibo.com,https://weibo.com/1623842133/yDxGb2deC
11,#北京全城拥堵# 预测的太准今天下班晚高峰，北京下了秋雨，给本来就拥堵的交通状况雪上加霜，市内道路基本就是个“大停车场”。提醒北京的朋友们，下雨路面湿滑，请小心慢行。秋雨愁煞人啊,是,早上看新闻，北京市交通委24日透露，临近双节假期，节前四天（26日、27日、28日、29日），晚高峰交通将出现严重拥堵，如果遇到突发降雨现象，可能会出现大范围长时间交通拥堵。北京的朋友们，这几天出门尽量选择公共交通，少开车，离得近的可以骑车、步行。我打算走着上下班，不添堵，又锻炼身体[呵呵] ​​​​,2012-09-25 20:18,4,4,赞,政府版微博,https://weibo.com/1623842133/yDxEfEWwc
12,马上就是十一黄金周啦，在享受饕餮盛宴的时候，记得多吃蔬菜、水果//@曾晓芃: 转给朋友们看看 //@首都健康:防癌原来很简单,是,【多吃蔬菜、水果也防癌】富含蔬菜和水果的膳食有利于健康，重要的原因是蔬菜、水果中含多种微量营养素和其他生物活性物质，如类胡萝卜素（包括β胡萝卜素和番茄红素）、叶酸、维生素C、维生素D、维生素E、槲皮素、维生素B6和硒等。这些物质在防止细胞蛋白质和DNA的氧化损伤方面起着重要作用。 ​​​​,2012-09-21 10:35,7,1,赞,微博 weibo.com,https://weibo.com/1623842133/yCS7v5Qe6
13,//@北京12320在聆听: //@挂号网_全国健康平台: 转发微博,是,,2012-09-21 10:35,2,评论,赞,微博 weibo.com,https://weibo.com/1623842133/yCS7psNke
14,今天是第24个#全国爱牙日#，今年的活动主题为“健康口腔，幸福家庭”，副主题为“关爱自己，保护牙周”，旨在普及口腔卫生保健知识，动员社区和家庭关注口腔健康，提高居民防治牙周疾病的意识和能力。1989年，我国确定了每年的9月20日为全国爱牙日。@新浪健康 @首都健康 @大众医学杂志 ​​​​,否,,2012-09-20 11:39,73,12,赞,微博 weibo.com,https://weibo.com/1623842133/yCJ759qHp
