序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,今晚，你同月亮拍照了么？,是,今晚，你同月亮拍照了么？一组创意照片献给大家！ ​​​​,2012-09-30 22:32,10,4,赞,微博 weibo.com,https://weibo.com/2590508280/yEjEUr9LH
1,转发微博,是,#交通资讯#9月29日，全市客运量2467.37万人次，比去年同期增长1.4％。轨道交通客运量835.97万人次，比去年同期增长11.51％。9月29日高速公路总交通量为162.7万辆，9月30日截止18时总交通量为126.2万辆。去年10月1日总交通量为126.3万辆。 ​​​​,2012-09-30 22:26,转发,评论,赞,微博 weibo.com,https://weibo.com/2590508280/yEjCEEle9
2,明天去看升旗的，大家不要迟到哦！,是,【晚安北京】10月1日升旗时间6:11，降旗时间17:57。今天夜间晴，南转北风1、2级，最低气温11℃，明天白天晴间多云，北转南风2、3级，最高气温27℃。下周本市除有时阴天以外，大部分时间天气晴好，风力不大，气温适宜，适合大家外出游玩。今晚是中秋月圆夜，愿大家都团团圆圆。但愿人长久，千里共婵娟。 ​​​​,2012-09-30 22:24,2,1,赞,微博 weibo.com,https://weibo.com/2590508280/yEjBJ4g6i
3,辛苦了各位同学！,是,#交通资讯#9月29日的客运量，假期仍然坚守在工作岗位的交通人，大家辛苦啦！ ​​​​,2012-09-30 22:23,转发,评论,赞,微博 weibo.com,https://weibo.com/2590508280/yEjBmBA0C
4,"在中秋、国庆双节到来之际, @北京市石景山 祝福各位同学佳节快乐,合家幸福!感谢各位同学的支持、关注。 ​​​​",否,,2012-09-30 22:18,转发,1,赞,微博 weibo.com,https://weibo.com/2590508280/yEjztz4Va
5,#双节消费提示#机动车应停放在有停车收费标志牌的正规停车场，看清收费标准，确认进出场时间，应缴金额要心中有数，拒绝支付超过标准的费用；停车缴费后注意保留停车计时单，索要停车收费票据，方便维权。特别提醒机动车驾驶员，不要到无资质的停车场停放车辆。 ​​​​,否,,2012-09-30 11:00,1,1,赞,皮皮时光机,https://weibo.com/2590508280/yEf89m6pI
6,#双节消费提示#节日期间商场超市降价、打折、赠送等促销活动集中，消费者应当理性消费，避免盲目购物。一要了解促销活动规则，现场核对购物小票，谨防促销活动中的价格欺诈行为；二要谨慎选购数码产品，购买前应充分了解所购产品性能及大致价格，做到目标明确，价比三家，尽量先验货后付款，慎重购买。 ​​​​,否,,2012-09-30 10:00,2,评论,赞,皮皮时光机,https://weibo.com/2590508280/yEeJOy4gm
7,转给需要的同学。,是,【全国高速路报警电话公布 24小时可拨打】公安部今日集中对外界公布了各省、自治区、直辖市高速公路报警服务电话。高速公路报警服务电话由专人24小时值守，接听驾驶人报警求助，并协调有关部门提供相应的救助服务。长假期间要外出的网友可以收藏，或者转给你身边需要的人哦！ ​​​​,2012-09-30 09:27,3,1,赞,iPhone客户端,https://weibo.com/2590508280/yEewvfaO5
8,大栅栏新街景十一迎客。[做鬼脸],是,#文化西城#【大栅栏新街景十一迎客】拥有北京最核心地理位置和几百年商业文化传统的大栅栏街区，近年来正逐渐绽放其独特的设计活力。今年的“大栅栏新街景”设计之旅将带来一系列紧扣街区生态的设计活动。O网页链接 ​​​​,2012-09-30 09:26,转发,评论,赞,iPhone客户端,https://weibo.com/2590508280/yEevL7lYB
9,#石景山微新闻#近日，北京市安全监管局第五督导组到石景山区进行专项督导检查。督导组对企业生产现场、安全管理制度的建立及落实情况进行了细致的检查。督导组要求，做好隐患排查工作，明确责任，落实到人，以良好的安全生产形势迎接党的十八大的召开。 ​​​​,否,,2012-09-29 12:20,转发,评论,赞,政府版微博,https://weibo.com/2590508280/yE6e1cbCx
10,#石景山微新闻#9月26日，区委副书记、区长夏林茂带队对石景山区部分农贸市场、超市和商场安全工作进行检查。在古城金五星市场，夏林茂详细了解了该市场的经营情况，在销售生鲜肉类的摊位前，他详细查看了摊主提供的进货凭证，并要求市场管理者做好质量把关，确保百姓吃上放心食品。 ​​​​,否,,2012-09-29 11:50,6,3,赞,政府版微博,https://weibo.com/2590508280/yE61TrHr7
11,两节防范电信诈骗,是,"#平安北京微广播#【两节防范电信诈骗】目前3大类6小类电信诈骗案件处于高发态势,3大类包括冒充熟人电信诈骗案件、冒充公检法电信诈骗案件、网络购物电信诈骗案件。其中又包括6个小类,分别为:QQ冒充熟人诈骗、电话冒充熟人诈骗、社保卡欠费诈骗、歌华有线欠费诈骗、办理假证件诈骗和网购二手车诈骗。 ​​​​",2012-09-29 11:06,转发,评论,赞,iPhone客户端,https://weibo.com/2590508280/yE5JWA4ly
12,#八面来风#【脐血配型可实现全国联网】　北京市脐血库近日透露，该库已经建立中国脐血查询网，这是全国首个脐带血造血干细胞配型查询平台，两年内有望实现与全国七家脐血库的资源共享，脐血配型将实现全国联网。  ​​​​,否,,2012-09-29 11:00,转发,评论,赞,皮皮时光机,https://weibo.com/2590508280/yE5HD2E9X
13,#微提示# 【空腹时不宜吃的11种食品】  ​​​​,否,,2012-09-29 10:30,3,评论,赞,皮皮时光机,https://weibo.com/2590508280/yE5vyeRff
14,#八面来风#【儿童医院将试点医药分开】 日前市医改办到北京儿童医院调研医药分开试点工作，儿童医院等将成为新一批医药分开试点医院。  ​​​​,否,,2012-09-29 10:02,转发,评论,赞,皮皮时光机,https://weibo.com/2590508280/yE5jUl9FL
15,#微提示# 【石景山医院2012年“中秋、十一”专家出诊安排】   ​​​​,否,,2012-09-29 10:00,1,评论,赞,皮皮时光机,https://weibo.com/2590508280/yE5jj7314
16,#微提示# 【石景山医院2012年“中秋、十一”门诊工作安排】 ​​​​,否,,2012-09-29 09:30,转发,1,赞,皮皮时光机,https://weibo.com/2590508280/yE574zSF7
17,“十一”黄金周期间本市所有收费公路将对7座以下（含7座）小客车免费通行，预计节日期间市域内主要高速公路车流量将有大幅上升，易出现交通拥堵。,是,#出行提示# “十一”黄金周期间本市所有收费公路将对7座以下（含7座）小客车免费通行，预计节日期间市域内主要高速公路车流量将有大幅上升，易出现交通拥堵。@交通北京 为您准备了市域内8条主要高速公路拥堵绕行路线图，请您参考：[推荐] ​​​​,2012-09-29 09:30,2,评论,赞,政府版微博,https://weibo.com/2590508280/yE56W2IgQ
18,#石景山微新闻# 近日，金顶街街道联合社区卫生服务中心开展了家庭医生式服务宣传推广活动。街道社区卫生服务中心负责人表示，街道非常重视在各社区开展家庭医生式服务宣传推广工作。通过宣传引导居民要转变就医观念，不用一有病就往大医院跑，身边的社区医生一样可以让大家放心就医。 ​​​​,否,,2012-09-28 16:00,3,2,赞,皮皮时光机,https://weibo.com/2590508280/yDYf1FvOO
