序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,给力平谷！,是,北京首支贯名“旅游”的投资基金发起成立——北京市第一支以“旅游”贯名的中诚腾龙旅游文化产业投资基金26日在京发起成立。这支汇聚了金融、建设和地产等多家行业龙头企业的投资基金注册北京平谷区，它将为北京旅游文化的大发展提供充裕的资金和专业人才支持。O网页链接 ​​​​,2012-09-26 19:19,2,2,赞,微博 weibo.com,https://weibo.com/2590508332/yDGGD0Wby
1,平谷成为——基金谷,是,平谷成为“基金谷“—— 9月26日，汇聚了金融、建设和地产等多家行业龙头企业的“中诚腾龙旅游文化产业投资基金”发起仪式隆重举行。 中诚腾龙旅游文化产业投资基金注册在平谷区，是平谷推动融资创新，加强资本运作的成果之一，前景广阔。北京市委常委、常务副市长李士祥出席并讲话。 ​​​​,2012-09-26 19:19,1,2,赞,微博 weibo.com,https://weibo.com/2590508332/yDGGsCTGD
2,为进一步提高平谷区人民检察院反贪污贿赂局调阅区内各村财务会计资料工作效率，加大打击和预防职务犯罪力度，平谷区人民检察院与区经管站签订合作协议，拟利用其农村财务会计电算化管理系统，快速查询涉案村集体经济组织的财务会计资料，此举将会使反贪部门查账工作更加顺畅和便捷。 ​​​​,否,,2012-09-25 16:15,3,1,赞,政府版微博,https://weibo.com/2590508332/yDw3rfFQP
3,为促进园区内银行和企业之间沟通合作、支持入区企业经营发展、解决企业金融方面的需求，9月25日，马坊物流基地召开“中秋银企座谈会”，管委会招商主管领导邀请杭州银行北京分行代表及30多家企业代表参加此次座谈会。 ​​​​,否,,2012-09-25 15:59,转发,评论,赞,政府版微博,https://weibo.com/2590508332/yDvX9tnAy
4,9月25日，平谷区召开“中秋节”、“国庆节”旅游黄金周交通安全保障部署会。副区长王志勉主持会议。 会议要求，各相关职能部门要提高大局意识、责任意识和服务意识，做到提前预警、及早准备、快速处理，切实把“两节”道路交通保障工作做实、做细、做到位，为全区创造和谐的社会环境和旅游环境。 ​​​​,否,,2012-09-25 15:55,1,评论,赞,政府版微博,https://weibo.com/2590508332/yDvVgsAhs
5,近日，市监察局、市行政投诉中心统一受理行政投诉电话96160开通。96160是统一受理群众投诉全市各级行政机关及其工作人员违规违法行政行为电话。群众可通过固定电话、手机、网络、传真、短信、来信、来访等方式进行投诉。 ​​​​,否,,2012-09-25 15:51,3,1,赞,政府版微博,https://weibo.com/2590508332/yDvTA9hWZ
6,为全面普及消防安全常识，切实提高全民消防安全意识。日前，平谷区举办“安正杯”家庭消防安全知识竞赛。此次竞赛的内容以《中华人民共和国消防法》、《北京市消防条例》、火场逃生自救常识、日常家庭消防安全知识问答为主。涉及内容包括家庭防火、自救逃生、消防法律法规等与生活相关的消防常识。 ​​​​,否,,2012-09-25 15:49,转发,评论,赞,政府版微博,https://weibo.com/2590508332/yDvSOzkA1
7,转发微博。,是,黄松峪乡举行麻核桃研讨会。近百人前来斗核桃~ 我在:2顺平路 ​​​​,2012-09-18 22:28,1,1,赞,iPhone客户端,https://weibo.com/2590508332/yCuvlgeia
8,平谷区政府门户网站对“档案馆日”进行前期宣传、政务微博发布信息、跟踪报道的形式，在网站开展专项活动。此次活动主要以 “弘扬档案文化、建设幸福平谷”为分主题，开展档案资源共享利用服务活动；“见证历史、感受幸福”为分主题档案展览活动，体验老照片数字化、查询体验、参观观摩、档案探究等。 ​​​​,否,,2012-09-07 14:19,转发,13,赞,微博 weibo.com,https://weibo.com/2590508332/yALBj947a
9,道路施工公告：2012 年8 月25 日至9 月30 日，区公路分局对S330 昌金路70 至87 公里处北屯至靠山集路段进行施工，对X007 平关路0 至32 公里处齐各庄至关上路段进行施工，对S222 崔杏路0 至14 公里处崔家庄至东杏园路段进行施工，对S330 昌金路、X007 平关路、对S222 崔杏路进行预防性养护施工。 ​​​​,否,,2012-09-06 08:41,2,1,赞,政府版微博,https://weibo.com/2590508332/yAzXLrDWJ
