序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,合理膳食，适量运动，节日快乐 //@北京房山健康教育: 过节也要注意生活规律、劳逸结合啊！朋友们节日快乐啊！[呵呵],是,【节前提示】暴食、酗酒、油腻容易诱发胆囊炎、胰腺炎；过度疲劳诱发心脑血管病；不洁饮食易患肠炎、肝炎；出入人员嘈杂、不通风处，易患流感；长时间玩麻将不动，易造成静脉血栓形成，严重者出现猝死。因此，清洁规律的饮食，充足按时的睡眠，室内良好的通风，远离危险隐患是欢度节日的关键。 ​​​​,2012-09-29 09:50,转发,评论,赞,专业版微博,https://weibo.com/2656295317/yE5f7lrm1
1,十一长假温馨健康提示,是,十一长假温馨健康提示： 金秋十月是旅游度假的黄金时期，即将到来的中秋、国庆8天长假更是旅游、探亲、聚会的高峰期。北京市疾病预防控制中心在此提醒您：外出郊游饮食需谨慎，天气逐渐转凉，积... O网页链接 （使用新浪长微博工具发布 O网页链接） ​​​​,2012-09-29 09:46,转发,评论,赞,专业版微博,https://weibo.com/2656295317/yE5dItNPc
2,如果一旦被狗咬伤或抓伤，要立即用20％肥皂水反复冲洗伤口，在伤口处涂2-3％碘酒或75％酒精进行消毒，并立即到北京市指定的狂犬病免疫预防门诊接种狂犬病疫苗。 ​​​​,否,,2012-09-28 09:22,转发,评论,赞,专业版微博,https://weibo.com/2656295317/yDVD9xzz2
3,预防狂犬病最主要的还是提高自我防范意识。养犬人要做到文明养犬，要定期给犬类接种疫苗；不要与犬类过于密切接触，不要抚摸和挑逗陌生犬，特别应避免手和粘膜部位与动物唾液直接接触；饲养动物的家庭不要随意遗弃动物，以防流浪动物伤及他人；带狗出门要栓上链绳，以免误伤他人。 ​​​​,否,,2012-09-28 09:20,1,评论,赞,专业版微博,https://weibo.com/2656295317/yDVCByxm3
4,今年的9月28日是第6个“世界狂犬病日”，主题是“共同行动，使狂犬病成为历史”。强调人类和动物狂犬病的影响，并宣传如何通过防治动物狂犬病来预防和控制该病。狂犬病控制联盟和美国疾病控制中心报告，全球每年有5.5万人死于狂犬病，即平均每10分钟有1人死亡。@北京平谷@平谷报@平谷法治 ​​​​,否,,2012-09-28 09:18,转发,评论,赞,专业版微博,https://weibo.com/2656295317/yDVBOdFqq
5,[放假啦],是,【平谷天气 2012.09.28 早】今天星期五，平谷 白天到夜间 晴，气温 22℃～7℃， 北风5-6级；【明天】晴，气温 24℃～7℃。未来7日天气：O网页链接 ​​​​,2012-09-28 08:57,转发,评论,赞,专业版微博,https://weibo.com/2656295317/yDVsZgjX5
6,//@健康教育何超: 根据《2012世界卫生统计报告》，非传染性疾病引起的死亡48%归因于心血管疾病。而我国每年死于心血管病的约300万人，几乎每死亡3个人中就有1人是心血管病。马长生教授强调，心血管疾病的预防和其他慢性疾病的预防其实完全一样：戒烟、避免有害饮酒、加强锻炼、健康饮食,是,"#世界心脏日#新闻发布会上@胡大一 说,非传染性疾病引起的死亡48%归因于心血管疾病,在中国,心血管疾病(心脏病、卒中)的发病和死亡率一直呈持续上升阶段,估计全国心血管病患者2.3亿人,其中高血压2亿人,中风至少700万人,心梗200万人,而中国每年死于心血管病者约300万人,每死亡3个人中就有1人患有心血管病. ​​​​",2012-09-28 08:55,转发,评论,赞,专业版微博,https://weibo.com/2656295317/yDVsbBomU
7,冷空气过敏摩摩鼻,是,【冷空气过敏摩摩鼻】不少人鼻腔黏膜对冷空气过敏，秋风一起就易感冒、流涕，宜常按摩鼻部。两手拇指外侧互相摩擦，有热感后用两手拇指外侧沿鼻梁、鼻翼两侧上下按摩30次，然后再按迎香穴30次。或将鼻子浸在冷水中，憋气，浸一会儿后抬头换气，再浸入水中，反复3-5遍。中大医院中医内科主任医师窦国祥 ​​​​,2012-09-28 08:36,转发,评论,赞,微博 weibo.com,https://weibo.com/2656295317/yDVkywPpA
8,//@葫芦岛市健康教育: 今天是世界狂犬病日，大家都来关注，群策群力，尽快使狂犬病成为历史,是,今天是9月28日，第一个“世界狂犬病日”是2007年9月8日，各项活动获得里程碑式成功，将全球狂犬病预防和控制工作向前推进一大步。这使狂犬病控制联盟倍受鼓舞，决定将每年9月28日正式设立为世界狂犬病日。通过设立世界狂犬病日，将集合众多的合作者和志愿者，群策群力，尽快使狂犬病成为历史。 ​​​​,2012-09-28 08:34,转发,评论,赞,专业版微博,https://weibo.com/2656295317/yDVjKAqbl
9,转发微博,是,肺结核患者可以结婚或者生育吗？ 育龄的妇女，如果患了肺结核，应暂时避孕，此时怀孕，可能会导致患者肺结核病情加重，且胎儿可能会出现发育不良或死胎；如果肺结核患者已经怀孕，最好终止妊娠。通常肺结核治愈半年后，可以正常妊娠，如果想要孩子，最好事先咨询经治医生。 ​​​​,2012-09-28 08:33,转发,评论,赞,专业版微博,https://weibo.com/2656295317/yDVjysovD
