序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,@北京延庆 祝大家双节快乐！节日里出游、聚会多，请大家一定要注意交通安全和食品卫生，开开心心的过好中秋、国庆节！ps.提醒节日准备到延庆游玩的朋友尽量选择乘坐公共交通。 ​​​​,否,,2012-09-30 09:12,2,2,赞,微博 weibo.com,https://weibo.com/2357622927/yEeqc0XqR
1,转发微博,是,今天的天池好蓝，真心不枉骑了两个小时来看她@一咖一茶自逍遥 @全_景_全景拍摄 @北京延庆 ​​​​,2012-09-29 16:52,1,1,赞,微博 weibo.com,https://weibo.com/2357622927/yE80z8JrT
2,【中秋国庆期间天气预报】9月30日-10月7日，延庆地区大部分时间天气晴好，风力不大，气温适宜。其中10月2日受冷空气影响，有6级左右偏北风，部分地区有短时小阵雨。节日期间总体气象条件有利于交通出行和户外活动，但空气干燥，需注意防火。中秋之夜，天气晴朗，宜于赏月，但气温略偏低，注意保暖。 ​​​​,否,,2012-09-29 16:45,2,评论,赞,微博 weibo.com,https://weibo.com/2357622927/yE7XKtgww
3,双节来临，为应对高速免费可能引发游客剧增的情况，八达岭长城景区新增7万平方米临时停车场，可多停放2000多辆私家车。如游客人数过多，景区将实行分流。景区工作人员还是提醒居民最好乘坐S2线或公交车直达景区外，景区将安排环保接驳大巴免费接送游客到达核心景区。O网页链接 ​​​​,否,,2012-09-29 15:39,2,3,1,微博 weibo.com,https://weibo.com/2357622927/yE7wUg7H7
4,两节前夕天气大好，湛蓝的天空万里无云，航拍的效果一定很好！ ​​​​,否,,2012-09-29 11:14,转发,2,赞,微博 weibo.com,https://weibo.com/2357622927/yE5Njezih
5,向日葵看不到太阳也会开放，生活看不到希望也要坚持。~早安！ ​​​​,否,,2012-09-29 08:36,5,1,赞,微博 weibo.com,https://weibo.com/2357622927/yE4LibNE5
6,#延庆发布#延庆今天夜间到明天，晴，气温6℃～22℃，北转南风3-4级间5级。天凉了，大家记得加衣！ ​​​​,否,,2012-09-28 16:57,2,评论,赞,微博 weibo.com,https://weibo.com/2357622927/yDYBPisNL
7,【“海坨戴雪” 雨后呈现】昨天下午，延庆一场小雨过后，延庆海坨山山顶变成了白色，再现了海坨戴雪的美景。据了解，海坨戴雪是延庆著名景观之一，但是一般出现在10月以后，9月出现海坨戴雪非常罕见。 ​​​​,否,,2012-09-28 11:50,24,5,赞,微博 weibo.com,https://weibo.com/2357622927/yDWBxsxZ2
8,#驴友游延庆#【山水画中游---自驾延庆百里画廊】如诗如画的百里山水画廊 转自O网页链接 ​​​​,否,,2012-09-28 11:40,13,7,赞,微博 weibo.com,https://weibo.com/2357622927/yDWxxfR47
9,【延庆推出“农宅”直销农产品新模式 网上订菜可享快递到家服务】客户网上订购蔬菜后，农庄便派人驱车百里送菜上门。近日，旧县镇“想田”农庄推出农产品销售新模式——“农宅”直销，实现农庄和居民住宅的直接对接。“想田” 农庄以套餐的形式提前公布蔬菜订单，顾客可根据自己饮食习惯进行调整。 ​​​​,否,,2012-09-28 11:34,10,5,赞,微博 weibo.com,https://weibo.com/2357622927/yDWuJtCXd
10,十年如一日照顾两位聋哑失明老人，不是亲人胜似亲人！,是,"【特殊""家人""】在延庆县刘斌堡乡上虎叫村，有一对聋哑失明的哥俩，一位87岁，一位82岁。他们完全没有自理能力，也没有照顾他们的亲人。十年前，同村一名64岁的农妇韩凤英受村委会的委托，担负起照顾这对哥俩儿的责任。十年来一天没断过。""只要自己挺得住，就不会不管两位老人。""O网页链接 ​​​​",2012-09-28 09:05,6,1,赞,微博 weibo.com,https://weibo.com/2357622927/yDVwzcfLm
11,只有水果能边摘边吃？在延庆紫薯、甜玉米也行,是,【今晚播出】金秋北京正是采摘好时节，国庆假期您有没有去京郊游玩的计划？想不想去广袤农田体验丰收的喜悦？今晚20:45《财富故事》为您介绍延庆县的一家生态农场，不仅可以采摘紫薯、花生、甜玉米带回家，还能现采现吃，土灶烧烤，让您找到小时候的味道哦 @北京延庆 @山间别薯 ​​​​,2012-09-28 08:34,4,2,赞,微博 weibo.com,https://weibo.com/2357622927/yDVjPlNS6
12,真正制约我们的，是勇气和信念。出发，才能到达。~早安！ ​​​​,否,,2012-09-28 08:32,4,评论,赞,微博 weibo.com,https://weibo.com/2357622927/yDVjdexKO
13,转发微博,是,延庆县医院挂号可以通过114电话预约。电话预约需提前至少一天，当日不能预约；预约时，需提供姓名、身份证、联系电话、就诊卡号等信息，预约成功后，按照约定时间携带身份证、就诊卡、医保或社保卡、手机短信识别码到预约挂号窗口排队取号，再去相应诊室就诊即可。电话预约专家号占全部专家号源的50%。 ​​​​,2012-09-27 15:04,2,1,赞,微博 weibo.com,https://weibo.com/2357622927/yDOrP6hyC
14,【巨无霸南瓜丰收】近日，位于永宁镇的北京阳光沐禾养生蔬菜基地培育的30余个巨型南瓜陆续成熟，其中最大的重约240斤，直径约1.5米，吸引了众多采摘客前来观赏。巨型南瓜是该基地去年新引进的观赏品种，目前，这些巨无霸南瓜基本被订购一空。 ​​​​,否,,2012-09-27 11:33,26,7,1,微博 weibo.com,https://weibo.com/2357622927/yDN3NrKpE
15,【延庆健身秧歌农运会获奖】近日，第七届全国农运会健身秧歌比赛决赛在河南南阳举行，19个省市的32支队伍参赛。本县选派的青年、老年健身秧歌队代表北京市参加了决赛，并取得了团体总分第三名的好成绩。图为本县青年健身秧歌队队员在表演。 ​​​​,否,,2012-09-27 11:31,转发,3,赞,微博 weibo.com,https://weibo.com/2357622927/yDN3m0s1r
16,2011至2012年度的20个“北京最美的乡村”新鲜面世，其中延庆县玉皇庙村和珍珠泉村成功入选。如今延庆获得“北京最美的乡村”之称的村庄已经达7个，分别是大庄科乡香屯村、张山营镇龙聚山庄、八达岭镇岔道村、井庄镇柳沟村、大榆树镇岳家营村、张山营镇玉皇庙村、珍珠泉乡珍珠泉村。 ​​​​,否,,2012-09-27 10:17,12,5,赞,微博 weibo.com,https://weibo.com/2357622927/yDMz8garK
17,觉得自己做得到和做不到，其实只在一念之间。自己要先看得起自己，别人才会看得起你。一切伟大的行动和思想，都有一个微不足道的开始。有理想在的地方，地狱就是天堂；有希望在的地方，痛苦也成欢乐。乐观者在困难中看到机会；悲观者在机会中看到苦难。理想的路总是为有信心的人预备着。~~大家，早安！ ​​​​,否,,2012-09-27 08:02,23,评论,赞,微博 weibo.com,https://weibo.com/2357622927/yDLGppv1Q
18,#延庆发布#延庆今天夜间到明天，晴转阴有阵雨，气温13℃～21℃，南转北风2-3转5-6级。 ​​​​,否,,2012-09-26 17:32,转发,评论,赞,微博 weibo.com,https://weibo.com/2357622927/yDFZdFmhT
19,便民好事！,是,#民生海淀#流动超市开进社区！为方便社区残疾人，香山街道和沃尔玛超市举办了“喜迎佳节、情暖香山”流动超市节日专场活动，让残疾人不出社区就能买到生活用品。据介绍，该社区居住着140余名身患残疾的居民，外出购物一直是一大问题之一，经热心助残志愿者牵线搭桥，才将“流动超市”开了进来。 ​​​​,2012-09-26 15:14,转发,评论,赞,微博 weibo.com,https://weibo.com/2357622927/yDF5fq879
20,#延庆发布#延庆今天夜间到明天，阴转多云，气温10℃～23℃，北转南风3-4级 ​​​​,否,,2012-09-25 18:01,转发,评论,赞,微博AIR,https://weibo.com/2357622927/yDwKtdPmY
21,【东周时期房址 延庆现身】延庆县张山营镇胡家营村日前发现房址24座，并出土陶器、石器等遗物。据介绍，该房址为北方地区首次发现的东周时期房址。该遗址以东周时期居住址为主，有一定代表性，填补了该时期该区域的文化空白。该遗址有可能是军都山遗址中墓穴主人的居住区。 O网页链接 ​​​​,否,,2012-09-25 11:54,9,评论,赞,微博 weibo.com,https://weibo.com/2357622927/yDulx7VZz
22,北京最美秋色，延庆玉渡山,是,"北京最美秋色，延庆玉渡山。玉渡山一天一个样,十一景色最美.这里宁静而辽阔,落叶,松鼠,溪流,再加上五彩斑斓的彩叶,构成一幅美丽的自然画卷. ​​​​",2012-09-25 09:38,12,3,赞,微博 weibo.com,https://weibo.com/2357622927/yDtshc1sv
23,天凉了，请大家多多保重身体，关注@北京延庆健康教育 更多健康知识送给您。,是,延庆今早下了点小雨，正所谓一场秋雨一场寒啊，大家出门带件外套呦！早安，新的一天工作开始喽！@北京延庆 ​​​​,2012-09-25 09:01,转发,1,赞,微博 weibo.com,https://weibo.com/2357622927/yDtdv8S7G
24,让你少奋斗10年的工作经验：1不要停留在心灵的舒适区域；2不要把好像、大概、晚些时候、或者、说不定之类的话放在嘴边；3不要拖延工作；4不要认为理论上可以实施就大功告成了；5不要让别人等你；6不要认为细节不重要；7不要表现得消极；8不要把改善工作能力仅寄托在公司培训上；9不要推卸责任。~早安！ ​​​​,否,,2012-09-25 08:54,3,1,赞,微博 weibo.com,https://weibo.com/2357622927/yDtawbj1i
25,#延庆发布#延庆今天夜间到明天，阴有阵雨，气温14℃～20℃，偏南风3-4级。 ​​​​,否,,2012-09-24 16:39,1,评论,赞,微博 weibo.com,https://weibo.com/2357622927/yDmMJjXQL
26,【紫色风】延庆的秋天，绚丽多彩，瓜果飘香。伴随着葡萄的甘甜和美酒的醇香，2012北京葡萄文化节如约而至，延庆人与中外宾朋又一次欢聚一堂，分享硕果的甘甜和丰收的喜悦。O网页链接 ​​​​,否,,2012-09-24 15:48,5,2,赞,微博 weibo.com,https://weibo.com/2357622927/yDms2hZiJ
