序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,健康最好！,是,【保持健康心态】钱多钱少，够吃就好。房屋大小，能住就好。人丑人美，顺眼就好。人老人少，健康就好。家穷家富，和气就好。名不名牌，能穿就好。两轮四轮，能驾就好。一切烦恼，能解就好。坚持执着，放下最好。天地万物，随缘就好。人的一生，平安就好。说这么多，明白就好。 ​​​​,2012-09-30 21:34,2,1,赞,Android客户端,https://weibo.com/2661618375/yEjhqgWLB
1,5.备好药物。节日期间因忙碌和生活节奏的改变，高血压及冠心病患者切莫忘了坚持服降压药、血管扩张剂及降脂药等。 ​​​​,否,,2012-09-29 15:25,转发,评论,赞,专业版微博,https://weibo.com/2661618375/yE7ribsMQ
2,4.保证睡眠。国外科学家证实，睡眠不足或失调容易导致人体内血液中胆固醇含量升高，使心脏病发作的几率相应增加。 ​​​​,否,,2012-09-29 15:25,转发,评论,赞,专业版微博,https://weibo.com/2661618375/yE7r9B3sZ
3,3.忌烟酒茶。春节期间，切莫为应酬而嗜烟酒，更不能烟酒不离口或边抽边饮，因为烟酒中含有的大量有害物质，进入血液会导致血管痉挛而发生意外，高血压和冠心病患者尤其应注意。 ​​​​,否,,2012-09-29 15:25,转发,评论,赞,专业版微博,https://weibo.com/2661618375/yE7r135ds
4,2.节制饮食。节日中，餐桌上多美味佳肴，不可贪吃暴食而摄入太多的高脂肪食品。科学研究表明，暴食后消化器官负担加重，血液过多集中在胃肠，心脑等重要器官相应缺血，易诱发心绞痛;特别是高脂肪食物摄入过多，血脂增高会导致血液黏稠度增加及血流缓慢，容易发生心肌梗死。 ​​​​,否,,2012-09-29 15:24,转发,评论,赞,专业版微博,https://weibo.com/2661618375/yE7qOCzu9
5,1.避免劳累。每逢春节，因走亲探友，迎宾送客，娱乐活动等常使人处于紧张忙碌之中，如果疏于休息，劳累过度，极易导致植物神经紊乱。 ​​​​,否,,2012-09-29 15:24,转发,评论,赞,专业版微博,https://weibo.com/2661618375/yE7qCe0I1
6,所以，节日期间人们更应强化防病意识，如果本身患有心脏病、高血压(尤其是老年患者)，做到如下几点是很有必要的。 ​​​​,否,,2012-09-29 15:23,转发,评论,赞,专业版微博,https://weibo.com/2661618375/yE7qrzvgx
7,专家认为，除了寒冷气温会促使中风、心脏病发病率增加外，“节日”本身也是一个独立的“致病因素”。比如，节日期间，人们比平时会多喝酒、多抽烟、多摄入脂肪、吃东西更咸等，再加上节日更忙碌、劳累、欢乐过度等等因素 ，都可能导致血压、血脂、血糖等升高，促使心脑血管病突发。 ​​​​,否,,2012-09-29 15:23,转发,评论,赞,专业版微博,https://weibo.com/2661618375/yE7qgCVZ0
8,预防这种疲劳综合征，关键是要调整好“生物钟”，注意休息，保证睡眠，勿乱作息。另外，节日诸事繁多，还容易发生如气管异物、人群挤压伤、车祸、火灾等生活意外，对此要加强安全以及自我防护意识，千万不可忘乎所以，以免乐极生悲。 ​​​​,否,,2012-09-29 15:22,转发,评论,赞,专业版微博,https://weibo.com/2661618375/yE7pTBq9m
9,］假日生活缺少规律，往往会出现“休而不闲、休而不空”的情况，从而导致假日综合征。主要表现为过完节后注意力不集中，无精打采，腰酸背痛，疲乏无力等，多是由于节日起居失常，劳逸无度，睡眠不足，以致生活节律被打乱所造成。 ​​​​,否,,2012-09-29 15:22,1,评论,赞,专业版微博,https://weibo.com/2661618375/yE7pRfJ5T
