序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,北京 ～贵州疾控中心健康教育工作交流会在贵阳举办，来自北京市各区县健康教育所的33位健教同仁在市所刘秀荣所长的带领下认真与贵州健教同仁交流学习！ 我在:O网页链接 ​​​​,否,,2012-09-22 14:15,1,1,赞,Android客户端,https://weibo.com/1167157512/yD2Zodaq8
1,我注册成为了#比购网#会员，免费注册后去淘宝购物，最高有35%的现金返还。最给力的是：到拉手、京东商城、1号店等400多家知名商城不仅能享受最低价格，还能额外省钱40%。喜欢网购的童鞋都去注册一个省钱吧！官方网址：O网页链接 ​​​​,否,,2012-09-21 15:12,转发,1,赞,比购微券,https://weibo.com/1167157512/yCTVIbNED
2,怀柔区2012年城乡居民健康素养监测调查，今天走进大地海通汽车配件有限公司。 我在:O网页链接 ​​​​,否,,2012-09-19 10:27,1,评论,赞,Android客户端,https://weibo.com/1167157512/yCzd5edkA
3,中医医院专家走进社区百姓，致敬！,是,分享图片#骨科杨大夫在义诊现场为群众进行颈椎按摩手法治疗 ​​​​,2012-09-14 22:09,转发,评论,赞,专业版微博,https://weibo.com/1167157512/yBSFCzw77
4,怀柔健康教育都要加油！最后怀北镇社区卫生服务中心的马艳大夫、怀柔镇社区卫生服务中心的秦英大夫、泉河街道社区卫生服务中心的刘赛大夫喜获一等奖！,是,预祝各位选手取得好成绩！加油啊同志们！ ​​​​,2012-09-14 22:06,转发,评论,赞,专业版微博,https://weibo.com/1167157512/yBSElFqBJ
5,好及时的报道啊！,是,2012年9月14日，怀柔区疾病预防控制中心举办怀柔区2012年“公民健康素养大课堂”师资演讲比赛，金永坤大夫代表渤海镇卫生院参赛，比赛正在进行中 ​​​​,2012-09-14 22:01,转发,评论,赞,专业版微博,https://weibo.com/1167157512/yBSCfF89V
6,感动！,是,分享图片9月14日上午医院组织医务人员在滨湖公园举办防治脑痴呆义诊宣传活动，一位在马路边的大妈突发头晕，恶心呕吐，齐主任和孙蕊护士马上跑过去查看，测量血压170/100，呕吐物呈咖啡色，初步考虑不排除脑血管病合并消化道出血，几分钟之内我院救护车赶到现场将患者送往医院进行治疗。 ​​​​,2012-09-14 22:00,转发,评论,赞,专业版微博,https://weibo.com/1167157512/yBSBYdkkX
7,餐后绝不能做的事,是,【餐后绝不能做的事】①吃水果:致非碘性甲状腺肿②喝茶:致缺铁性贫血和蛋白质缺乏病③吸烟:加速有害物质吸收④饮水:使胃内压增加并稀释胃液致消化不良⑤喝汽水:冲淡胃液降低食欲，产生二氧化碳致急性胃扩张⑥吃糖:可导致肥胖⑦剧烈运动:致胃下垂和消化不良⑧看书:可致胃胀胃痛等⑨洗澡:致消化不良。 ​​​​,2012-09-14 21:58,转发,评论,赞,专业版微博,https://weibo.com/1167157512/yBSBj9Vf0
8,真没想到你们能到怀柔那么深的山沟沟里，希望下次再到深山区时方便联系一下69689050，最好能给我们当地的村民上一堂瑜伽课！,是,,2012-09-08 21:38,转发,评论,赞,微博 weibo.com,https://weibo.com/1167157512/yAXUcwuDU
9,来自北医的张玉梅教授精彩的“限油控盐”讲座使“北京市集体单位健康食堂骨干培训班”的学员受益匪浅，会场不时爆发阵阵掌声和笑声！ 我在:O网页链接 ​​​​,否,,2012-09-07 11:53,转发,评论,赞,Android客户端,https://weibo.com/1167157512/yAKEamrAA
10,“北京市集体单位健康实堂创建工作培训班”继续在花园饭店举办，我们在认真听取北京市健康教育所刘秀荣所长的工作部署！ 我在:O网页链接 ​​​​,否,,2012-09-07 08:43,转发,评论,赞,Android客户端,https://weibo.com/1167157512/yAJp1eKEp
11,探索健康之路打造健康食堂～今天健康促进食堂现场会在东城区政府举办，各区县健康教育所及申报创建单位负责人认真听取经验介绍。 我在:O网页链接 ​​​​,否,,2012-09-06 15:15,转发,评论,赞,Android客户端,https://weibo.com/1167157512/yACxzg0Rw
12,“2012年北京市城乡居民健康素养监测培训班”在花园饭店隆重举办 我在:O网页链接 ​​​​,否,,2012-09-06 09:43,1,2,赞,Android客户端,https://weibo.com/1167157512/yAAmQzx0o
13,加强培训、提高技能、锻炼队伍、更好服务！,是,9.2-9.3日，我中心进行了为期2天的全员培训，邀请了首都医科大学的彭老师，怀柔社区教育中心的李娜老师以及怀柔疾控中心的孙亚娟科长，为大家带来了精彩的课程。 ​​​​,2012-09-05 20:29,转发,评论,赞,微博 weibo.com,https://weibo.com/1167157512/yAvaI04vd
14,讲百姓所需要的！,是,2012年9月3日下午，渤海镇卫生院在辛营村开展了一场“应急技能之--洪水、泥石流、滑坡逃生技能”的知识讲座，受到村民欢迎。 ​​​​,2012-09-05 20:28,1,评论,赞,微博 weibo.com,https://weibo.com/1167157512/yAvaaAh0B
15,,是,今天上午和下午，卫生院杜大夫为河防口和段树岭村居民带来高血压知识讲座 我在:O网页链接 ​​​​,2012-09-05 20:25,转发,1,赞,微博 weibo.com,https://weibo.com/1167157512/yAv9c1NJi
16,健康大课堂深入民心！,是,随着生活水平的提高，为了让高血压患者养成良好的生活习惯，提高高血压患者生活质量，2012年9月4日上午，我们来到了喇叭沟门官帽山村，开展了“预防高血压快乐生活”知识讲座。讲座由彭秀兰院长主讲。 ​​​​,2012-09-05 20:25,转发,评论,赞,微博 weibo.com,https://weibo.com/1167157512/yAv8Y8qr2
17,,是,怀北社区举办健康素养师资演讲比赛，医务人员积极参加，锻炼自己， 我在:O网页链接 ​​​​,2012-09-05 20:23,转发,评论,赞,微博 weibo.com,https://weibo.com/1167157512/yAv8gmWxx
18,//@北京西城南健康教育: 防猝死1.2.3.4//@长沙市疾控中心:转发微博,是,【防猝死记住一二三四】1、一半心脏猝死有先兆，如出现不明原因的乏力、出汗、胸痛、胸闷，甚至恶心、呕吐等；2、工作压力大的中年人应随身带两个药盒，一个装硝酸甘油，一个装阿司匹林；3、动态心电图、心脏彩超、运动心电图三项心脏专科检查意义大；4、有家族史等四类人群最危险。 ​​​​,2012-09-05 20:23,2,评论,赞,微博 weibo.com,https://weibo.com/1167157512/yAv85qT7F
19,//@北京西城南健康教育: 养犬小贴士,是,#健康知识#【养犬提防布鲁氏菌病】那么该如何预防布鲁氏菌病呢？首先大家要加强个人防护意识，在和宠物玩耍的时候尽量不要过于亲密，另外还要注意别被宠物咬伤或抓伤。当大家有伤口在身时，切记不要让您的狗狗舔。 ​​​​,2012-09-05 20:23,转发,评论,赞,微博 weibo.com,https://weibo.com/1167157512/yAv82tz49
20,//@北京西城南健康教育: 灭杀结核菌,是,#有哪些方法可以杀灭结核菌？#在湿热情况下，60℃30分钟，或70℃10分钟，80℃5分钟及90℃1分钟，就可以杀死结核菌，因此煮沸和高压蒸汽消毒是最有效的杀灭结核菌的方法。此外常用的“84”消毒液，用0.5%的浓度，15分钟可以杀死结核菌。但是如果结核菌是混在痰液中的，则酒精或84消毒液的效果不佳。 ​​​​,2012-09-05 20:22,转发,评论,赞,微博 weibo.com,https://weibo.com/1167157512/yAv7PuHJa
21,//@北京西城南健康教育: 治疗误区,是,【骨科治疗三大“误区”】误区一：颈椎不适多“按摩”。误区二：膝关节疼痛多运动。误区三：颈椎病必须做手术。鉴于骨科疾病多存在的误区，建议大家，骨科疾病治疗要在专科医生指导下进行，否则一旦走入误区，很可能加重病情。@医疗畅想 ​​​​,2012-09-05 20:22,1,评论,赞,微博 weibo.com,https://weibo.com/1167157512/yAv7NqCCj
22,支持//@冬翔莹晓: 坚决不看 //@史宇心理医生://@草根歌手刘敏: //@赤峰联通任伟华: 坚决不看,是,中国人拍的《金陵十三钗》小鬼子票房为零。小日本拍的《贞子》3D将于9月12日在中国大陆上映。而9月12日既是南京大屠杀纪念日，又是国难日。勿忘国耻！ 作为中国人，让 贞子3D 9月12日票房为零。朋友们拿起你的鼠标，复制然后粘贴一下转@公子爱吃抱罗粉 @呀诺达-娟子 @雨林一号朱泉宇 @比京雁 ​​​​,2012-09-05 20:21,转发,评论,赞,微博 weibo.com,https://weibo.com/1167157512/yAv7yl7WJ
23,感动！,是,我院医生在全民健康生活方式日到来之际，为西台村村民组织健康大课堂，并教授村民BMI尺的使用方法、中国居民膳食宝塔的解读、健康大步走等知识 ​​​​,2012-09-03 22:02,转发,评论,赞,微博 weibo.com,https://weibo.com/1167157512/yAcVtsHqu
24,,是,我院医生在全民健康生活方式日到来之际，为杏树台村村民组织健康大课堂活动，为村民讲解健康四大基石、中国居民膳食宝塔灯相关知识。 ​​​​,2012-09-03 22:02,1,评论,赞,微博 weibo.com,https://weibo.com/1167157512/yAcVmEO2u
25,转发微博。,是,在我国大部分地区，立秋后很长一段时间，气温通常较高，空气湿度也较大。在这样的气候条件下，调理脾胃须侧重于清热、利湿、健脾，不妨多吃一点绿豆、扁豆、薏米等，以使体内的湿热之邪从小便排出，促进脾胃功能的恢复。其次，调理脾胃还要因人而异_北京社区卫生服务网 O网页链接 ​​​​,2012-08-31 21:05,2,评论,赞,政府版微博,https://weibo.com/1167157512/yzKgVm6zw
26,//@北京市社区卫生服务管理中心:正确判断低血糖,是,【判断低血糖】低血糖发作会出现虚汗、心跳加快、身体颤抖、手足发麻，甚至癫痫发作、昏迷。应给予含糖食品，一刻钟不缓解应去医院。糖尿病患者不要随意改变降糖药药量，除了预防低血糖昏迷，也要预防血糖显著升高引起的酮症酸中毒及高渗性昏迷。如果糖尿病患者发生昏迷，应先测血糖，不要盲目喂甜食。 ​​​​,2012-08-31 21:05,2,评论,赞,政府版微博,https://weibo.com/1167157512/yzKgSF88d
27,//@北京海淀健康教育: 支持,是,【十招对付孩子挑食】1，让孩子体验饥饿，而后获得饱腹感;2，进餐时间要保证在25分钟以下;3，每一种新食物喂15次以上;4，喜欢的和不喜欢的食物掺着喂;5，常带孩子到超市采购食品;6，鼓励用食物玩游戏;7，避免分散注意力;8，不买你不希望孩子吃的食物;9，多做口腔训练;10，父母做孩子的榜样。 ​​​​,2012-08-31 21:04,2,评论,赞,微博 weibo.com,https://weibo.com/1167157512/yzKgtx38Y
28,,是,【请记住这8个健康的生活习惯】1、每天喝杯绿茶。2、最少开窗半小时。3、常吃葱和蒜。4、每天晒15分钟太阳。5、每天散步。6、吃饭细嚼慢咽。7、每天睡够7小时。8、少吃糖和加工肉制品。 ​​​​,2012-08-31 21:04,1,评论,赞,微博 weibo.com,https://weibo.com/1167157512/yzKgnkNVg
