序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,//@健康伴您同行: 一旦被狗咬伤或抓伤,是,"【狂犬病暴露处理】一旦被狗咬伤或抓伤,要立即用20%肥皂水反复冲洗伤口,在伤口处涂2-3%碘酒或75%酒精进行消毒,并立即到指定的狂犬病免疫预防门诊接种狂犬病疫苗.狂犬病疫苗接种通常为五针程序,即:第被咬伤的0,3,7,14,28天分别接种1针.伤势严重者在疫苗接种前,还需注射抗狂犬病血清或狂犬病免疫球蛋白. ​​​​",2012-09-27 21:29,1,评论,赞,微博 weibo.com,https://weibo.com/2688703383/yDQXYhyOZ
1,#监督动态#【怀柔区卫生监督所开展旅游景区食品安全大检查】为确保双节期间来怀游客健康欢度佳节，怀柔区卫生监督所自2012年9月17日至21日，对怀北镇、喇叭沟门满族乡、长哨营满族乡三个镇乡旅游景区及沿线180户民俗接待和餐饮单位进行了食品安全专项检查，共出动卫生监督人员60人次，车辆15台次。 ​​​​,否,,2012-09-21 17:31,3,1,赞,微博 weibo.com,https://weibo.com/2688703383/yCUQaeTwy
2,#监督动态#【怀柔区召开迎“十八大”早餐示范企业食品安全工作会】9月20日，怀柔区卫生监督所联合区商委召开了迎“十八大”早餐示范企业食品安全工作会。会上，从事食品卫生监督工作的监督员，向参会的29家早餐示范企业的负责人介绍了食物中毒的种类，就如何预防食物中毒提出了操作要点和注意事项。 ​​​​,否,,2012-09-21 16:37,1,1,赞,微博 weibo.com,https://weibo.com/2688703383/yCUuzFz3o
3,关爱老人，关注健康,是,老人夜晚易发4种急症 警惕心脑血管病——心绞痛、心梗、心衰等心脏疾病。心血管疾病易在夜晚发作的原因，与脑血管病类似，可能会因血液黏稠度过大导致栓塞，也可能会因劳累、气候突变或晚上看电视心情紧张等导致交感神经兴奋，出现血压升高等血流变化，增加心脏负荷，引发心脏急症。 ​​​​,2012-09-20 08:34,1,评论,赞,微博 weibo.com,https://weibo.com/2688703383/yCHTYvwlA
4,#监督动态#【开展监督执法稽查活动 保障十八大顺利召开】9月18日，怀柔区卫生监督所稽查人员对怀北镇峪道河村及椴树岭村7家民俗旅游户的监督执法情况进行了现场稽查。在稽查中，监督员均按规定着统一监督服装，肩章、胸牌佩戴齐全，出示证件并在当事人陪同下检查，检查后书写现场笔录及监督意见书。 ​​​​,否,,2012-09-20 08:33,2,1,赞,微博 weibo.com,https://weibo.com/2688703383/yCHTwrbBe
5,#监督动态#【加大检查力度 确保校园食品安全】新学期陆续开始，怀柔区卫生监督所加大检查力度，开展了对辖区内中小学、幼儿园、送餐企业和军训基地食堂的专项检查，共检查中小学23所，幼儿园19所，民办学校3所，军训基地1所，送餐企业4户，确保孩子们在新的学年里安心就餐、健康成长。 ​​​​,否,,2012-09-18 17:21,1,6,赞,微博 weibo.com,https://weibo.com/2688703383/yCsuNrFmZ
6,#监督动态#【怀柔区卫生监督所严查小型诊所】为进一步规范中小型医疗机构经营行为，保护患者健康权益，9月12日，怀柔区卫生局副局长、卫生监督所所长杜秉利带队对辖区小型诊所进行了检查。监督员对发现的问题予以指导改正，同时要求各诊所负责人提高责任意识，加强卫生安全管理，为患者生命健康负责。 ​​​​,否,,2012-09-18 16:41,1,评论,赞,微博 weibo.com,https://weibo.com/2688703383/yCsenuedF
7,怀柔区卫生监督所启动“诚信经营 从我做起”的思想教育活动，为每个获得卫生行政许可审批的企业负责人发放《诚信经营告知书》，要求做到“生命至上、安全为先、合法获利、取之有道” ，目前已发放一百余份。该活动今后将贯穿卫生行政许可审批的始终，成为一种长效机制。 ​​​​,否,,2012-09-11 08:53,转发,评论,赞,微博 weibo.com,https://weibo.com/2688703383/yBlb9pPgq
8,#监督动态#【怀柔卫生监督所再推便民新举措】怀柔卫生监督所再推便民新举措：对所有申办人提出的许可申请，现场审查由20日改为7日内完成；材料齐全后办结时限由原来的10个工作日缩短至5个工作日；重点企业和有实际困难的申办人，实行上门服务。 ​​​​,否,,2012-09-07 10:29,转发,评论,赞,微博 weibo.com,https://weibo.com/2688703383/yAK6geDS7
9,//@首都健康: 情绪低落了吗？看看这个吧~,是,【如何控制低落情绪】转移注意力：有些事情是无法改变的，既然已经成为事实，面对现实；学会宽容：宽容既是对犯错误的人的救赎，也是对自己心灵的升华，不要总是想着对方如何得罪了你，对人不要过于苛刻；客观公正的看待所有的事情和人，好的学习，不好的摒弃。所谓人无完人，金无足赤，知足者常乐吧！ ​​​​,2012-09-06 19:20,1,评论,赞,微博 weibo.com,https://weibo.com/2688703383/yAE9hvSvc
10,海淀卫生监督所建立公共场所卫生质量在线监测系统,是,#卫生监督在行动#推动电子远程监控 保障公共卫生安全！海淀卫生监督所建立公共场所卫生质量在线监测系统。目前，空气卫生质量监测点共25处，监测指标为温度、湿度、风速和二氧化碳。游泳池水质监测系统共设置10处监测点，监测项目为游泳池水温、ORP和pH值等相关卫生学指标，详情：O网页链接 ​​​​,2012-09-06 19:17,2,1,赞,微博 weibo.com,https://weibo.com/2688703383/yAE86wvFq
11,#监督动态#【怀柔区卫生局检查军训基地和学校食堂】9月4日，怀柔区卫生局局长高永革带队对怀柔区的军训基地、学校、学生营养餐配送单位的食品安全状况进行了监督检查。高永革局长强调，食品从业人员应掌握相关的食品安全知识，要严把食品原料采购关，让卫生制度落到实处，为学生们的身体健康负责。 ​​​​,否,,2012-09-05 16:45,转发,1,赞,微博 weibo.com,https://weibo.com/2688703383/yAtHJkcLD
12,我刚上传了一张图片，推荐大家也来看看。怀柔区卫生局检查军训基地和学校食堂，O北京怀柔卫生监督 ​​​​,否,,2012-09-05 16:40,转发,评论,赞,政府版微博,https://weibo.com/2688703383/yAtFxFRmM
13,【怀柔区卫生监督所圆满完成献血任务】近日，怀柔区卫生监督所组织职工参加献血活动，大家积极响应号召，踊跃报名，圆满完成了2012年献血任务。8月31日，副书记于永明一行来到3名献血职工的家里，送上了全所职工的关心和慰问。 ​​​​,否,,2012-09-05 16:30,转发,评论,赞,微博 weibo.com,https://weibo.com/2688703383/yAtBI6ZXX
14,三寸之舌，强于百万粉丝。昔日帝王一言九鼎，如今同学我才气逼人一言众人顶，并获得微博特发【一言九“顶”】勋章。O网页链接 ​​​​,否,,2012-08-31 10:45,转发,评论,赞,勋章馆,https://weibo.com/2688703383/yzGdivLXm
15,亲们，避免“被酒驾”，更要约束自己，避免真“酒驾”,是,#健康知识#【如何避免被酒驾】如果吃了蛋黄派后遇到交警，可在说明情况后申请血液酒精测试。我国《道路交通安全法》规定，每100毫升血液里达到20毫克酒精就被认定为饮酒驾驶，超过80毫克被认定为醉酒驾车。蛋黄派中的酒精含量，经过身体代谢后残存的微乎其微，很难进入血液，所以不会造成“酒驾”。 ​​​​,2012-08-31 10:43,转发,评论,赞,微博 weibo.com,https://weibo.com/2688703383/yzGcu1e3t
