序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,//@huamulanlan: 转发微博，满山的红叶，还有安静舒适的环境，远离喧嚣，只有身临其境才能体会。,是,@北京怀柔喇叭沟门健康教育 9.22，去了喇叭沟门原始次生林，虽然未到景致的鼎盛状态，但已是五彩斑斓。特别是白桦林，风景最美。想来十一时候应该是风景这边独好了。在去的路上，还能看到山上的变换色彩。 ​​​​,2012-09-30 12:56,转发,评论,赞,专业版微博,https://weibo.com/2720494871/yEfT51pWp
1,近日有人问我喇叭沟门山上的叶子红了没有，今天我特别留意了一下叶子发黄，微微有点红还没大红，听说要下了霜就好了，十一应该就可以了吧。我会继续留意，欢迎各位前来赏红叶。 ​​​​,否,,2012-09-25 16:25,转发,16,赞,专业版微博,https://weibo.com/2720494871/yDw7BrT6B
2,2012年9月24日上午，我们迎来了区中医院心内科张美兰主任的到来，为政府工作的人员讲解了“高血压防治”的相关知识，讲座持续1小时余，张主任的生动而全面的讲解深深的吸引着每一位听众，使大家受益不少。 ​​​​,否,,2012-09-24 18:42,转发,评论,赞,专业版微博,https://weibo.com/2720494871/yDnAuvB8I
3,2012年9月20日是第二十四个全国爱牙日，今年的宣传主题是“健康口腔，幸福家庭”副标题是“关爱自己，保护牙周”我院组织来到喇叭沟门小学，教学生怎样养成良好的口腔卫生习惯，早晚刷牙、餐后漱口。 ​​​​,否,,2012-09-20 14:49,转发,1,赞,专业版微博,https://weibo.com/2720494871/yCKlT2qUQ
4,"今天上午安佳医院的刘丛伟主任与蒋爽大夫,来到我院为亲自为精神患者进行二期排查,询问病史、发病情况等。 ​​​​",否,,2012-09-18 10:24,转发,评论,赞,专业版微博,https://weibo.com/2720494871/yCpLwbaBg
5,"为了积极开展党的十八大安保公共卫生安全隐患排查整治专项行动,上周我院对此进行了宣传工作. ​​​​",否,,2012-09-18 10:14,转发,评论,赞,专业版微博,https://weibo.com/2720494871/yCpHimPOD
6,昨早上去楼下倒垃圾，看见“小明”唱着歌，刚捡完垃圾，准备去下一站。在他脸上一点也看不出生活带给他的无奈与忧愁，据了解他家中只有母亲和哥哥三人，母亲80多岁患多种疾病，哥哥和他从小就患精神发育迟滞，每月靠吃低保生活。但是他不偷、不抢、不要，用自己的双手支撑着生活. ​​​​,否,,2012-09-18 10:07,1,1,赞,专业版微博,https://weibo.com/2720494871/yCpEB8I4Q
7,,是,【餐后绝不能做的事】①吃水果:致非碘性甲状腺肿②喝茶:致缺铁性贫血和蛋白质缺乏病③吸烟:加速有害物质吸收④饮水:使胃内压增加并稀释胃液致消化不良⑤喝汽水:冲淡胃液降低食欲，产生二氧化碳致急性胃扩张⑥吃糖:可导致肥胖⑦剧烈运动:致胃下垂和消化不良⑧看书:可致胃胀胃痛等⑨洗澡:致消化不良。 ​​​​,2012-09-17 11:02,转发,评论,赞,微博 weibo.com,https://weibo.com/2720494871/yCgAApPTu
8,今天参加公民健康素养大课堂师资演讲比赛，又听到了新的好的演讲，向大家学习 ​​​​,否,,2012-09-14 11:57,转发,评论,赞,我的索尼Xperia,https://weibo.com/2720494871/yBOFk558t
9,"今天怀柔区安佳医院及爱卫会领导,来我院指导了精神卫生和艾滋病工作,孙大夫对具体工作情况进行了介绍，安佳、爱卫会领导及政府主管乡长一起听取了工作进展情况，并作出指导。 ​​​​",否,,2012-09-12 17:50,转发,评论,赞,专业版微博,https://weibo.com/2720494871/yBy7xgpTW
10,喇叭沟门乡乡医培训今天已经是第三天了，15个行政村，19名大队医，除去60岁以上不用考试的还剩6名乡医参加学习考试了。 ​​​​,否,,2012-09-12 17:34,转发,评论,赞,专业版微博,https://weibo.com/2720494871/yBy192z4c
11,"下乡访视新生儿与高危孕妇,大家都很配合,还一个劲往我们口袋装糖,你们的平安是我们做好的回报. ​​​​",否,,2012-09-11 11:26,转发,2,赞,专业版微博,https://weibo.com/2720494871/yBmbf55HY
12,"喇叭沟门乡各村乡医一起学习中医穴位,由常大夫主讲,大家主动参与,亲自动手找穴位,现场气氛活跃. ​​​​",否,,2012-09-11 11:19,转发,1,赞,专业版微博,https://weibo.com/2720494871/yBm8pgCgl
13,喇叭沟门乡各村乡医一起学习心肺听诊 ​​​​,否,,2012-09-11 11:12,转发,评论,赞,专业版微博,https://weibo.com/2720494871/yBm5qhuMq
14,好好活，慢慢过，一年更比一年乐，不要攀，不要比，不要自己气自己，少吃盐，多吃醋，少打麻将多散步。 ​​​​,否,,2012-09-11 10:49,1,1,赞,专业版微博,https://weibo.com/2720494871/yBlW3mfeX
15,拒绝烟草 引领健康 ​​​​,否,,2012-09-10 17:51,转发,评论,赞,专业版微博,https://weibo.com/2720494871/yBfgQuLx0
16,真的假的，转了再说,是,,2012-09-10 17:06,转发,评论,赞,微博 weibo.com,https://weibo.com/2720494871/yBeYxdBSf
