序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,看后我笑了…[呵呵]//@村医同强:转发微博。,是,1、气不和时少说话，有言必失；心不顺时莫做事，做事必败。2、事莫虚应，应则必办，不办便结怨；愿莫轻许，许愿必还，不还便成债。3、 万物在说法，看你如何着眼；一切是考验，试你如何用心。4、知足是富人，平常是高人，无事是仙人，无心是圣人。5、想开了自然微笑，看破了肯定放下。（转） ​​​​,2012-09-30 15:28,1,评论,赞,Spring微博.Android,https://weibo.com/2713235063/yEgT2ov27
1,在北京站等了4个多小时了，终于排到我了…估计到家得8点了… ​​​​,否,,2012-09-30 15:25,转发,评论,赞,Spring微博.Android,https://weibo.com/2713235063/yEgRF0GaR
2,安东尼不是中国人，他不了解中国国情…//@经典丶微小说:喜欢安东尼的情书。,是,#安东尼# 很多时候，男人会让你觉得他爱上了你，其实他真没有；而女人会让你觉得她不可能会爱上你，结果她却动了心——#亲爱的不二# ​​​​,2012-09-30 15:15,转发,评论,赞,Spring微博.Android,https://weibo.com/2713235063/yEgNLiska
3,我有一个好爸爸，每次只跟我说一句话 爸爸没上过学，学习上要靠自己！潜台词是1不学习只能像爸爸一样干体力活儿挣血汗钱，2你要珍惜学习机会，只要你学爸爸就供你，3学不学在你自己，你学吭爸爸，爸爸要拼命挣钱，你不学坑你自己，早早的帮爸爸挣钱…于是我从家里考了出来…,是,,2012-09-30 15:02,2,1,赞,Spring微博.Android,https://weibo.com/2713235063/yEgIv6dZX
4,呵呵，你问题问的不够严密，应该加上平均二字，因为毕竟发动机转速是动态的，油门大小也是变化的，呵呵如果按照你那问法儿，结果得从一公里到七百二十公里共计720个答案…,是,别克凯越，跑了720公里，用了48.3升油，百公里油耗6.7，每公里五毛五，看来凯越这个吞油机没有传说中的那么夸张啊！关键还是走高速省油！这个可以出个应用题：油箱加满后开了720公里，花费400再次加满油箱，油价8.28元每升，请问每公里油耗多少？家有小学生的粑粑麻麻不用谢我！ ​​​​,2012-09-30 14:50,转发,评论,赞,Spring微博.Android,https://weibo.com/2713235063/yEgDwzKFI
5,我猜她说的不是你，而是她自己//@经典丶微小说:是在说我么？,是,,2012-09-30 14:37,转发,评论,赞,Spring微博.Android,https://weibo.com/2713235063/yEgy1Aigv
6,不能单纯的从燃烧值计算所谓纯热量，会误导大众的，首先热量不会完全吸收，其次代谢本身消耗热量，不要自己吓唬自己…//@葫芦岛市健康教育:多运动，少积累//@健康时报:亲，吃了月饼，别忘了多走几步路啊！（虽然一秒变不成胖子，但胖子确实是一秒一秒变出来滴～～～）,是,【小月饼大热量！】一块五仁月饼（重量110克），摄入能量458千卡。中速步行（10分钟走1000步）131分钟才能消耗掉。via@临床营养于康 真可怕，有木有？！[bed凌乱] ​​​​,2012-09-30 13:07,1,1,赞,Spring微博.Android,https://weibo.com/2713235063/yEfXQcKlL
7,当大街小巷遍布探头，犯罪行为将嘎然而减，犯罪行为的发生有时是一时冲动，有的是被逼无奈，有的是心存侥幸…但当莫伸手伸手必被捉，法网恢恢疏而不漏这些道理深入人心时，社会安定稳定也就到来了…//@杭锦后旗公安局:,是,#一线警情#【好心扶人被冤枉，肇事者都看不下去！】9月26日晚，王师傅骑车下班途经04省道清黄湖镇清波村路段时，发现一男子被撞昏迷路边。王当即上前去扶并报警。伤者醒来却说是王撞了他。王深感冤枉，此时边上一“仗义男”现身，要帮王作证。谁知，经交警调查，此“仗义男”竟是真凶。 ​​​​,2012-09-30 01:17,1,评论,赞,Spring微博.Android,https://weibo.com/2713235063/yEbjzmwsg
8,//@经典丶微小说:太经典了，顶一下！,是,,2012-09-30 01:08,转发,评论,赞,Spring微博.Android,https://weibo.com/2713235063/yEbfJtMK8
9,我今天在电视上也看到了这经典的回答，是记者问的有问题，她要问我姓福吗？我会告诉她我姓刘！还有句经典的回答 记者问你性福吗？那人索性回答 还可以！真是仁者见仁智者见智呀…,是,,2012-09-30 01:04,转发,评论,赞,Spring微博.Android,https://weibo.com/2713235063/yEbempQyM
10,唉！除了爱情就内别的地方可以花钱了？活的也太儿女情长了吧…,是,,2012-09-30 00:58,转发,评论,赞,Spring微博.Android,https://weibo.com/2713235063/yEbbCcd0y
11,我猜他递给你了一颗烟，我劝阻过很多次，可几乎所有人都很不情愿，我认为关键在于社会氛围，吸烟者很难主动控烟，被动吸烟者和不吸烟者很少劝阻吸烟行为，如果人人都敢于和乐于向吸烟行为说不，控烟将不再是难事…因此要有政策导向，要有舆论造势，更要坚持健康教育工作…,是,"@肯德基 真，在那里吃饭的人也真!在那里吃饭真是一种享受就在半个小时前，我遇到一个抽烟的哥们，当时服务人员都在忙别的。于是我就告诉他""师傅你好，你不知道这里是不能抽烟的吗?请你把烟熄灭可以吗?""---你猜发生了什么事呢? ​​​​",2012-09-30 00:52,1,1,赞,Spring微博.Android,https://weibo.com/2713235063/yEb9f2Iin
12,//@健康教育何超:放弃肛诊也就失去了在常规体检中有可能发现直肠癌，直肠息肉的宝贵机会，中国人直肠癌发生率要高于结肠癌。在2010年@爱康国宾 接近100万人次的体检中，20万人放弃了肛诊。北京15%的人放弃，上海10%的人放弃，广州与深圳超过一半以上的人放弃。,是,肛门指诊是肛门直肠疾病检查方法中最简便、最有效的方法之一。往往通过肛门指诊检查可及早发现肛门直肠的早期病变，据国内统计，有80％的直肠癌就是通过直肠指诊时被发现。但体检时人们多因怕羞、怕痛等原因拒绝此项检查。@健康教育何超 @MSN健康 ​​​​,2012-09-30 00:39,转发,评论,赞,Spring微博.Android,https://weibo.com/2713235063/yEb45CxfD
13,,是,【胃有十怕】1怕精神紧张；2怕过度劳累；3怕酗酒无度；4怕嗜烟成癖；5怕饥饱不均；6怕食物不洁；7怕晚餐过饱；8怕狼吞虎咽；9怕咖啡浓茶；10怕滥用药物。望大家避开“胃十怕”，常保肠胃健康。 ​​​​,2012-09-27 21:43,转发,评论,赞,Spring微博.Android,https://weibo.com/2713235063/yDR3KpzqY
14,平时做学问，脑子有学问，不怕别人问…,是,"这位我国抗生素研究的教授大哥,请他来讲课,他不用什么PPT的,站在讲台上,行云流水,滔滔不绝,抗感染药的分类,每种抗感染药所针对的菌种是哪些,如何保障使用青霉素类药物的安全性,那是嘴到话来呀!给力!赞叹!感谢亲爱的教授哥! ​​​​",2012-09-26 13:32,转发,1,赞,Spring微博.Android,https://weibo.com/2713235063/yDEpNv3g3
15,我内心洒脱，外表拘泥…//@经典丶微小说:会放弃的生活才会更洒脱。,是,拼命对一个人好，生怕做错一点对方就不喜欢你，这不是爱，而是取悦。分手后觉得更爱对方，没他就活不下去，这不是爱情是不甘心。你拼命工作努力做人，生怕别人会看不起你，这不是要强，而是恐惧。许多人被情绪控制，只敢抓住而不敢放弃。但什么都不敢放弃，你活得多累。会放弃的生活才会更洒脱。   ​​​​,2012-09-26 13:08,转发,评论,赞,Spring微博.Android,https://weibo.com/2713235063/yDEgbbZBg
16,勿忘国耻，居安思危，警钟长鸣，理性抗日，振兴中华！//@爱怀柔:勿忘国耻！今天就是九一八 //@勤劳的-木偶: 转发微博,是,【新华社：写在“九一八事变”81周年之际】1931年的9月18日，炮声轰隆，炸毁了南满铁路，炸开了沈阳城。日本侵华是铁的事实，正如钓鱼岛是中国领土无可争辩。从甲午战争直至窃占钓鱼岛，日本右翼势力对外扩张的图谋100多年来从未停息。81年后回望，是为从历史中找寻未来的方向。 O网页链接 ​​​​,2012-09-18 11:39,转发,评论,赞,Spring微博.Android,https://weibo.com/2713235063/yCqfQFPEp
17,不知道其中的科学道理，但不妨碍尝试,是,【这些食物能改善性格】1、任性多吃鱼、黄绿色蔬菜及红萝卜，少吃过咸食物；2、优柔寡断多吃蔬菜少吃肉；3、胆小怕事多喝果汁少量饮酒；4、易怒多吃海产品和含钙食物；5、粗心多吃卷心菜、牛奶、红枣、辣椒；6、多疑多吃牛肉猪肉；7 、爱唠叨多吃瘦肉和粗粮；8、顽固多吃黄绿色蔬菜。 ​​​​,2012-09-18 11:31,转发,评论,赞,Spring微博.Android,https://weibo.com/2713235063/yCqcPDFKn
18,嘎嘎，你还可以代表村民？！这个真代表不了！我代表村民向赵主任和同仁致敬！,是,2012年9月6日下午，我中心组织了北宅村健康素养大课堂，赵海燕主任为大家奉献了一堂精彩的中医养生课，并且为大家做各种示范动作。在此感谢赵主任在如此繁忙的情况下，抽出时间为居民做出贡献。我代表居民以及我个人对赵主任以及所有为健康教育出工出力的同仁们，由衷的说一声“谢谢” ​​​​,2012-09-07 15:35,转发,评论,赞,Spring微博.Android,https://weibo.com/2713235063/yAM6fasaU
19,我很不招蚊子喜欢…庆幸中,是,【七种人受蚊子“青睐”】1、汗腺发达、体温较高的人。排出的汗液使得体表乳酸值较高，对蚊子具有“吸引力”。2、劳累或呼吸频率较快的人。3、喜欢穿深色衣服的人。蚊子具有趋暗的习性。4、新陈代谢快的人。5、化过妆的人。气味对蚊子具有诱惑力。6、孕妇。7、饮酒的人。@医药文摘 ​​​​,2012-09-07 10:54,1,评论,赞,Spring微博.Android,https://weibo.com/2713235063/yAKg4lqKQ
20,原来如此,是,"新生儿由于受母亲体内雌性激素、孕激素、生乳素和催产素的影响，部分新生儿无论男女都可出现乳房肿胀，为对称性,无红肿,有的还会分泌乳汁。这不是病态，不必害怕，一般过1～2周，这种现象就会逐渐消失，个别小儿也有延迟到2～3个月的，但终归会消失的，千万不要挤乳头。如强烈挤压，可致继发性感染 . ​​​​",2012-09-07 10:42,1,评论,赞,Spring微博.Android,https://weibo.com/2713235063/yAKbeqSv8
21,养兵千日好，用兵一日怂！符合时代需求，经的住实践检验的兵才是好兵，我们卫生人员也是一样，日常工作是一方面，只有不断学习提高，参加各种应急演练，经得住考验才行，而这个过程就是亮剑的过程,是,【沙坪坝：卫生紧急医学救援人员忙“充电”】为进一步提沙坪坝区医疗卫生单位紧急医学救援整体水平，造就一支高素质的卫生应急队伍，日前，该区卫生系统召开紧急医学救援能力培训会，组织全区各医疗卫生机构卫生应急工作负责人、急诊急救技术骨干和卫生应急志愿者进行了专题培训。@沙坪坝团区委 ​​​​,2012-09-07 09:03,转发,1,赞,Spring微博.Android,https://weibo.com/2713235063/yAJxfeRGm
22,母乳喂养 母亲的义务，孩子的权利，全社会的责任…,是,纯#母乳喂养#是出生后1小时内按需哺乳，除母乳外不添加任何食物、饮料和水。而且，不使用奶瓶、奶嘴和安慰奶嘴。母乳是大自然赐给婴儿最营养、最安全的天然食物，既能为孩子提供均衡营养又能使孩子免受疾病侵扰，还有利于加深母子感情、母亲子宫恢复和推迟再次妊娠，大大降低卵巢癌和糖尿病几率。 ​​​​,2012-09-06 08:44,转发,评论,赞,Spring微博.Android,https://weibo.com/2713235063/yAzZ6q9z7
23,宝山镇社区卫生服务中心定于2012年9月7日在宝山寺村组织开展一次学雷锋献爱心免费义诊宣传活动，届时将邀请首都机场医院中医科内科专家为村民义诊，希望村民互相转告积极参加，活动中还将发放健康宣传资料和小礼品哦… ​​​​,否,,2012-09-05 14:22,转发,评论,赞,Spring微博.Android,https://weibo.com/2713235063/yAsLIAGzd
