序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,//@蘭心蕙质兰: 拍张好照片不容易呀。,是,【10个摄影爱好者应该避免的常见错误~】看看有米有你曾经犯过的错误··看过就快快改正吧~~ ​​​​,2012-09-27 07:57,转发,评论,赞,专业版微博,https://weibo.com/2733271985/yDLEb7gyf
1,//@北京怀柔龙山健康教育: 转发微博,是,【女宝教养重点】1.多经历各种场合，开阔视野增加阅历，培养气质。2.在温言软语中成长，用女性婉约特质应对男性社会。3.有主见、健康心态，温柔大方，干净健康身体最重要。4.从小开始和谐、融洽交流。5.妈妈做亲密的良师益友，女儿永远是妈妈贴心小棉袄。成长为优雅、聪慧、大方小女人。 ​​​​,2012-09-27 07:55,转发,评论,赞,专业版微博,https://weibo.com/2733271985/yDLDm026L
2,//@北京怀柔龙山健康教育: 转发微博,是,,2012-09-27 07:54,转发,评论,赞,专业版微博,https://weibo.com/2733271985/yDLDheZl1
3,//@北京怀柔怀北健康教育: 转发微博,是,"【如果你身边有人胃不好，抄下来有用处】1、最养胃的，面条；2、如果熬粥，少放点苏打进去；3、小米粥就馒头，可以养胃；4、有两种饮料应该多喝,一是牛奶,二是热水；5、胃不好，要少食多餐；6、大枣、豆腐、白菜、牛奶、胡萝卜、健脾和胃；7、花生，蜂蜜都是养胃的；8、红茶蜂蜜，十分养胃。 （转） ​​​​",2012-09-25 08:19,转发,评论,赞,专业版微博,https://weibo.com/2733271985/yDsWlCvVw
4,//@北京怀柔龙山健康教育: 学习了,是,【新生宝宝护理禁忌】1、忌用塑料薄膜作婴儿尿布。2、忌拧捏婴儿脸蛋。3、忌让婴儿睡在大人中间。4、忌用洗衣粉洗婴儿衣服。5、忌剪婴儿眼睫毛。6、新衣物宝宝不能直接穿。7、忌久留婴儿头垢。8、忌拍打婴儿的后脑。9、忌在婴儿卧室放花卉。10、忌给婴儿洗澡过多。准妈妈要注意哦！@辣妈潮爸萌宝宝 ​​​​,2012-09-25 08:16,转发,评论,赞,专业版微博,https://weibo.com/2733271985/yDsUQh1jQ
5,//@北京怀柔龙山健康教育: 谢了 //@潮女部落: 你知道怎么给宝宝选择适合的枕头吗？,是,【给宝宝选用枕头，4个误区和3个关键点】年轻的爸爸妈妈们，你们会给自己的小宝宝使用枕头吗？宝宝的枕头可是很有讲究的。给宝宝选择合适的枕头，关系到宝宝的安全健康和正常的发育生长，这是万万不能忽视的哟！爸爸妈妈赶紧来看看吧！[阳光] ​​​​,2012-09-25 08:15,转发,评论,赞,专业版微博,https://weibo.com/2733271985/yDsUDxtTD
6,//@北京怀柔龙山健康教育: //@健康教育何超: 开车不系安全带，也可能面临这种创伤危险！,是,,2012-09-25 08:13,转发,评论,赞,专业版微博,https://weibo.com/2733271985/yDsTEosMx
7,//@北京怀柔龙山健康教育: 转发微博,是,,2012-09-25 08:12,转发,评论,赞,专业版微博,https://weibo.com/2733271985/yDsTz5sRi
8,转发微博,是,秋分养生：因秋属肺金，酸味收敛补肺，辛味发散泻肺，秋日宜收不宜散，尽量少食葱、姜等辛味之品，适当食酸味甘润的果蔬。同时秋燥津液易伤，引起咽、鼻、唇干燥及干咳、声嘶、皮肤干裂、大便燥结等燥症，宜多选用甘寒滋润之品，如百合、银耳、淮山、秋梨、莲藕、柿子、芝麻等，以润肺生津、养阴清燥。 ​​​​,2012-09-24 08:38,转发,评论,赞,S60客户端,https://weibo.com/2733271985/yDjDn7iW2
9,转发微博,是,【秋季主食吃玉米】从立秋到秋分，暑热未消，降雨频繁。玉米调中健脾，是秋季的上佳补品。煮熟或蒸熟的玉米营养更轻易接收。吃玉米时，把玉米粒的胚尖一路吃掉落，很多营养都集中在这里。肠胃不好的人不要多吃，可用玉米粒做玉米羹；用玉米面蒸锅窝头、个贴饼子，或熬棒子面。 ​​​​,2012-09-24 08:37,转发,评论,赞,S60客户端,https://weibo.com/2733271985/yDjD6x4au
10,转发微博,是,【急性心梗救治问题】急性心肌梗死救治的成败关键是时间！时间就是心肌，时间就是生命！近发现一些城市，设备技术水平都很好，但遇到地方主要领导同志突发心肌梗死却不做直接介入，也不溶栓，而是保守处理后送北京的指定医院治疗。不能理解这种现象，是不敢？抑或其他？ ​​​​,2012-09-20 15:50,1,评论,赞,专业版微博,https://weibo.com/2733271985/yCKKKzpyD
11,//@北京怀柔卫生监督: 关爱老人，关注健康,是,老人夜晚易发4种急症 警惕心脑血管病——心绞痛、心梗、心衰等心脏疾病。心血管疾病易在夜晚发作的原因，与脑血管病类似，可能会因血液黏稠度过大导致栓塞，也可能会因劳累、气候突变或晚上看电视心情紧张等导致交感神经兴奋，出现血压升高等血流变化，增加心脏负荷，引发心脏急症。 ​​​​,2012-09-20 15:48,1,评论,赞,专业版微博,https://weibo.com/2733271985/yCKJU1SxU
12,转发微博,是,【中医养生】中医认为，牙齿与肾脏关系密切。“肾主骨，齿为骨之余”。即肾脏能支持骨骼的生长和骨髓的生成。牙齿是人体骨骼的一部分，牙齿松动，常常是由于肾气虚衰及气血不足而引起的。常扣牙齿，能强肾固精，平衡阴阳，疏通气血，畅通经络，从而达到延年益寿的目的。 ​​​​,2012-09-20 15:47,1,评论,赞,专业版微博,https://weibo.com/2733271985/yCKJQadZW
13,我们在红螺镇为村民们进行全国爱牙日咨询义诊活动！ ​​​​,否,,2012-09-20 08:10,转发,评论,赞,S60客户端,https://weibo.com/2733271985/yCHKiEwtx
14,//@临床营养于康: 很多人误将＂维生素=水果＂。实际上水果主要提供维生素C，而非B族或其他维生素...另外，水果绝非多多益善，＂水果控们＂要注意了 //@营养医师王兴国:预防口腔溃疡，饮食均衡才是关键，蔬菜水果不是关键。因为吃很多蔬菜水果，耽误了吃肉蛋奶粗粮等其他食物，照样会缺B族维生素,是,,2012-09-19 14:01,转发,评论,赞,专业版微博,https://weibo.com/2733271985/yCABVEiBr
15,转发微博,是,,2012-09-19 13:59,转发,评论,赞,专业版微博,https://weibo.com/2733271985/yCABucBUB
16,转发一下吧，为即将到来的年底做好充分准备！//@蘭心蕙质兰: //@粉兔0516:这也太深奥了！,是,【别告诉我你会用WORD】据说，80%以上的人看了这个，都相见恨晚。 ​​​​,2012-09-19 13:58,转发,评论,赞,专业版微博,https://weibo.com/2733271985/yCAAK5JTm
17,我中心将于9月20日在红螺镇村与牙防所共同为当地村民进行爱牙日义诊活动//@房山区卫生局: 牙齿口腔是否健康的自我检查.,是,牙齿口腔是否健康的自我检查：（1）刷牙时刷毛是否沾有血迹，咀嚼食物时食物上是否有血迹，可判断是否患有牙龈炎。（2）照镜子看看牙龈的健康状况，如果有牙龈红肿，并伴随出血现象，可判断有牙龈炎。（3）牙齿有不同程度的松动，牙根暴露或牙龈红肿、有脓，可判断已发展到牙周炎。 ​​​​,2012-09-19 13:57,转发,评论,赞,专业版微博,https://weibo.com/2733271985/yCAAnkpjr
18,//@房山区卫生局: 牙齿口腔是否健康的自我检查2.,是,（4）口腔有口气，可能有牙周炎。（5）对着镜子看到蛀牙，说明口腔环境不容乐观。（6）看到牙结石和牙渍，说明口腔清洁方面存在问题。（7）牙痛，可能是牙龈炎、牙髓炎或牙周炎。（8）对冷热刺激有酸疼的反应，说明牙齿过敏。（9）牙表面出现裂痕，缺乏光泽，说明牙齿开始出现釉质流失，牙齿再现矿化。 ​​​​,2012-09-19 13:56,转发,评论,赞,专业版微博,https://weibo.com/2733271985/yCAzZpeQy
19,转发微博,是,牙齿口腔是否健康自我检查：如果出现1－3个上述症状，说明您的口腔或牙齿已经处于亚健康状态，要及时预防以防止口腔健康进一步恶化；如出现3－6个上述症状，说明你的牙齿及口腔已经处于亚健康状态，必须尽快治疗；如出现7－9个症状，说明您的口腔牙齿已经处于不健康的状态，必须马上进行有效治疗。 ​​​​,2012-09-19 13:56,转发,评论,赞,专业版微博,https://weibo.com/2733271985/yCAzVyFZI
20,预祝各位取得好的成绩，各位加油！ ​​​​,否,,2012-09-14 08:56,转发,评论,赞,S60客户端,https://weibo.com/2733271985/yBNtElbBl
21,预祝各位选手取得好成绩！加油啊同志们！ ​​​​,否,,2012-09-14 08:53,1,评论,赞,S60客户端,https://weibo.com/2733271985/yBNsv9XJW
22,//@房山区卫生局: 纠正错误的办公方式，不仅能降低患病几率，还能保持良好的工作状态。,是,【上班族常犯5大错误】你是不是经常在办公室开着空调不开窗，或者大晴天也亮着灯？其实，这些都是错误的习惯，很可能诱发“办公室综合征”。对大多数上班族来说，每天1/3的时间都会在办公室中度过。纠正错误的办公方式，不仅能降低患病几率，还能保持良好的工作状态。O网页链接（生命时报） ​​​​,2012-09-12 07:53,转发,评论,赞,专业版微博,https://weibo.com/2733271985/yBuds3kkP
23,//@房山区卫生局: 发生泥石流如何自救。,是,【发生泥石流如何自救】泥石流是流动的，冲击和搬运能力很大，所以，当处于泥石流区时，不能沿沟向下或向上跑，而应向两侧山坡上跑，离开沟道、河谷地带，但注意不要在土质松软、土体不稳定的斜坡停留，以免斜坡失稳下滑，应在基底稳固又较为平缓的地方。详见O网页链接 ​​​​,2012-09-12 07:53,转发,评论,赞,专业版微博,https://weibo.com/2733271985/yBudknMQx
24,//@大兴安定健康教育: 转发微博,是,,2012-09-12 07:52,1,评论,赞,专业版微博,https://weibo.com/2733271985/yBucU4nej
25,//@北京怀柔怀北健康教育: //@大兴安定健康教育:转发微博,是,【大蒜的功效与作用】大蒜是药食两用珍品，我国自古已有“大蒜上市，药店关门”的说法。大蒜中所含的大蒜素是细菌的强力杀手，对葡萄球菌、大肠杆菌等都有抑制和杀灭作用。此外，大蒜还有降低血脂、防止血栓、抗癌防癌等功效。大蒜的有效成分是蒜素，但整粒大蒜中并不直接...O网页链接 ​​​​,2012-09-12 07:52,1,评论,赞,专业版微博,https://weibo.com/2733271985/yBucR73rg
26,虽然并不能够完全做到远离办公桌用餐，但是尽量做吧！,是,看到有报道称：上班族，早餐、午餐要远离办公桌。每张办公桌上的细菌含量是厨房餐桌的100倍......。实际上，我一直认为，即便不考虑卫生学问题，在餐桌上吃比在办公桌上吃会让你更放松、更舒服、更从容、更专注，更有味道，因而也更符合健康要求。回到餐桌上吃饭吧，从今天早餐开始。早安！ ​​​​,2012-09-12 07:50,转发,评论,赞,专业版微博,https://weibo.com/2733271985/yBucbqZvV
27,//@北京怀柔杨宋健康教育: //@北京协和医院:扩散~,是,,2012-09-11 08:07,转发,评论,赞,专业版微博,https://weibo.com/2733271985/yBkSzissI
28,//@北京怀柔杨宋健康教育: 转发微博,是,,2012-09-11 08:06,1,1,赞,专业版微博,https://weibo.com/2733271985/yBkSd7Azu
29,//@北京怀柔杨宋健康教育: 祛痘的好方法！你试了吗？,是,,2012-09-11 08:06,转发,评论,赞,专业版微博,https://weibo.com/2733271985/yBkS7vJFO
30,//@北京怀柔杨宋健康教育:,是,【脑力劳动者的营养需求】蛋白质是构成大脑的重要物质，也是大脑智力活动与功能的物质基础。脑细胞的代谢需要靠蛋白质来维持大脑的各种运动状态。参与神经传导、复杂信息传递的化学物质---神经递质也是有蛋白质的分解产物氨基酸或其衍生物所构成的。 ​​​​,2012-09-11 08:04,转发,评论,赞,专业版微博,https://weibo.com/2733271985/yBkR1f1Un
