序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,小小的透露下，忙到深夜啊@北京怀柔健康教育 @北京怀柔宝山健康教育 ​​​​,否,,2012-09-11 08:32,转发,评论,赞,专业版微博,https://weibo.com/2792568624/yBl2ApRAn
1,煎中药的患者有福啦！！ 我在:O网页链接 ​​​​,否,,2012-09-10 14:57,转发,评论,赞,魅族手机,https://weibo.com/2792568624/yBe8esZCx
2,愿老师都身体健康！,是,,2012-09-10 13:37,转发,评论,赞,魅族手机,https://weibo.com/2792568624/yBdBZsTau
3,2012年9月6日下午，我中心组织了北宅村健康素养大课堂，赵海燕主任为大家奉献了一堂精彩的中医养生课，并且为大家做各种示范动作。在此感谢赵主任在如此繁忙的情况下，抽出时间为居民做出贡献。我代表居民以及我个人对赵主任以及所有为健康教育出工出力的同仁们，由衷的说一声“谢谢” ​​​​,否,,2012-09-07 15:03,1,3,赞,专业版微博,https://weibo.com/2792568624/yALTh8YoZ
4,我刚换了“品味人生”模板 ​​​​,否,,2012-09-07 14:52,转发,评论,赞,专业版微博,https://weibo.com/2792568624/yALOV32Qs
5,我在用刚刚发布的#新版微相册#，看起来还不错～是个分享照片的好地方，想看看朋友们的照片吗？猛击这个链接O网页链接 ​​​​,否,,2012-09-04 10:37,转发,评论,赞,微相册,https://weibo.com/2792568624/yAhRKpfXY
6,在各位领导，前辈的及指导培训后，中心的几位同事精心准备了课件，交流了在桥梓镇社区卫生服务中心的感受和自己的心声。 ​​​​,否,,2012-09-04 10:27,转发,评论,赞,微博 weibo.com,https://weibo.com/2792568624/yAhNYls7R
7,9.2-9.3日，我中心进行了为期2天的全员培训，邀请了首都医科大学的彭老师，怀柔社区教育中心的李娜老师以及怀柔疾控中心的孙亚娟科长，为大家带来了精彩的课程。 ​​​​,否,,2012-09-04 10:24,1,评论,赞,微博 weibo.com,https://weibo.com/2792568624/yAhMK5PLo
8,真漂亮，我都没发现,是,啦啦啦啦啦..........，呵呵 O中医人王彦颖 ​​​​,2012-09-04 10:17,2,2,赞,微博 weibo.com,https://weibo.com/2792568624/yAhJzkOc7
9,我中心，请社区培训学校的李娜老师为全院职工培训“社交礼仪” 我在:O网页链接 ​​​​,否,,2012-09-02 14:23,转发,评论,赞,魅族手机,https://weibo.com/2792568624/yA0uDtdc7
10,2012年桥梓镇社区卫生服务中心，院感培训 我在:O网页链接 ​​​​,否,,2012-09-02 11:23,转发,评论,赞,魅族手机,https://weibo.com/2792568624/yzZjymDfk
11,今天你微博了吗？ 我在:O网页链接 ​​​​,否,,2012-08-31 09:46,转发,评论,赞,魅族手机,https://weibo.com/2792568624/yzFPg5a46
12,铠甲庄正在为村民讲逃生技能！太感谢刘大夫了，硬是给我们抓来这么多人！如果没有好的大队医以及好的村政府@北京怀柔健康教育 的支持，那在基层有再好的课件，再好的老师也是无济于事！ 我在:O网页链接 ​​​​,否,,2012-08-01 14:40,转发,评论,赞,魅族手机,https://weibo.com/2792568624/yv8VHrBqC
13,桥梓镇社区卫生服务中心，将在汛期为辖区各村带来自然灾害逃生技能的大课堂！敬请期待 我在:O网页链接 ​​​​,否,,2012-07-31 18:13,9,7,赞,魅族手机,https://weibo.com/2792568624/yv0TtBhHH
14,转发微博。,是,北京友谊医药分开四周初判：护理是突破口之一。他们面临的凹地现象足以说明这点：他们是肾透析和肾移植的国家临床重点，因此取消药品加成之后，周边的医保鼓励他们到该院肾透析，因此服务与技术收费或其他不予以补偿，必定拖垮他们。或者阻碍改革进程。 我在:2福长街头条 ​​​​,2012-07-30 18:28,转发,评论,赞,魅族手机,https://weibo.com/2792568624/yuRz7474F
15,转发微博,是,,2012-07-23 11:57,转发,评论,赞,魅族手机,https://weibo.com/2792568624/ytL0Taa4f
16,转发微博,是,【车困水中，如何逃生】1）解除安全带，2）在水未淹过窗前，开窗，3）如果无法开窗，用尖物体（安全锤、高跟鞋底、雨伞等）打碎玻璃窗。前后挡风玻璃较难打破，专注打左右窗。如果没有尖物体，用重物（相机、电脑）。如果都没有，只有用脚踢。（落水车自救，英文全文：O网页链接） ​​​​,2012-07-23 11:56,转发,评论,赞,魅族手机,https://weibo.com/2792568624/ytL0shwGb
17,刘姐培训死亡证明书填写 O网页链接 ​​​​,否,,2012-07-13 14:13,转发,评论,赞,魅族手机,https://weibo.com/2792568624/ysfDhnabM
18,我刚更新了#微博客户端夏日版#，全新推出微博好友列表、手机通讯录找好友、摇一摇互粉、微博表态、兴趣社区等众多功能。清凉夏日版，快来和我一起开启微博新能量吧！O网页链接 ​​​​,否,,2012-07-12 10:48,转发,评论,赞,魅族手机,https://weibo.com/2792568624/ys4RwhDco
19,村民太积极了！座位不够，仍然认真听 ​​​​,否,,2012-07-05 15:29,转发,评论,赞,魅族手机,https://weibo.com/2792568624/yr2I64yhK
20,在峪口村，牙防所的宋大夫为大家讲了一堂轻松、精彩的牙齿健康大课堂！ ​​​​,否,,2012-07-05 15:25,1,评论,赞,魅族手机,https://weibo.com/2792568624/yr2Gme5Ld
