序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,希望天气给力啊,是,9月30日中秋佳节即将来临。据天文专家介绍，不同于“十五的月亮十六圆”，今年中秋节是“十五的月亮十五圆”，这轮满月最圆时刻将是北京时间9月30日上午11时。不过，从普通人观赏的角度看，30日凌晨和晚上的月亮和11时差别不大，只要天气给力，便能欣赏到皎洁明亮的月亮。O网页链接 ​​​​,2012-09-25 10:17,转发,评论,赞,专业版微博,https://weibo.com/2735331763/yDtI7DMF9
1,转发微博,是,【北京全城“大扫除”周五完成 天安门可席地而坐】北京市市政市容委、市爱卫办昨天表示，本周五北京将完成环境卫生大扫除工作，以迎接中秋、国庆双节以及党的十八大。作为重点地区，天安门将安排专人和专用设施，实施24小时高标准环卫作业，整洁程度可让游客席地而坐。O网页链接 ​​​​,2012-09-25 10:15,转发,评论,赞,专业版微博,https://weibo.com/2735331763/yDtHwpSw1
2,转发微博,是,【今日微访谈】泌尿系结石发病与年龄、性别、职业、饮食、水分摄入量、代谢和遗传等因素密切相关。上尿路结石好发于20～50岁。男性发病年龄高峰为35岁。女性有两个高峰，30岁及55岁。如何防治泌尿系结石？15点北京医院泌尿外科副主任医师金滨@jinbin2012 答疑相关问题。提问请点O网页链接 ​​​​,2012-09-25 10:15,转发,评论,赞,专业版微博,https://weibo.com/2735331763/yDtHbr1SN
3,,是,如果晚上（甚至夜里）出现明显饥饿感，应及时进食，如一片烤面包片或两片苏打饼干，有时还要加一杯酸奶……不要拘泥于所谓“担心胖……、担心……”之类而强忍饥饿，否则可能对身体产生不利影响，这点对于糖尿病患者、老年朋友等尤应注意 ​​​​,2012-09-21 10:56,转发,评论,赞,微博 weibo.com,https://weibo.com/2735331763/yCSg6qVtC
4,,是,【10种养生美食】①豆类：可帮助预防乳腺癌。②猕猴桃：有助于降低胆固醇。③樱桃：减少痛风。④菠菜：保护前列腺。⑤豆瓣菜：预防癌症和黄斑变性。⑥胡萝卜：预防肺癌。⑦洋葱：减少过敏。⑧洋白菜：修复消化性溃疡。⑨西兰花：中和致癌物。⑩蒲公英：天然利尿剂。详见：O网页链接（康康） ​​​​,2012-09-21 10:54,转发,评论,赞,专业版微博,https://weibo.com/2735331763/yCSfidNRv
5,,是,【准备好秋装，降温开始啦】今天起至周六，我国大部自西向东将出现降温。今天，西北、西南以及河南、湖北降温3-6℃，局地降8℃；明天，降温范围扩展到华北一直到长江中下游一带；后天，降温主要集中在东北、山东、江苏、上海、浙江。周六，乌鲁木齐将迎来入秋来最冷的一天。O网页链接 ​​​​,2012-09-20 16:11,1,评论,赞,专业版微博,https://weibo.com/2735331763/yCKToAWCC
6,//@北京怀柔怀柔镇健康教育: 转发微博,是,【中医养生】中医认为，牙齿与肾脏关系密切。“肾主骨，齿为骨之余”。即肾脏能支持骨骼的生长和骨髓的生成。牙齿是人体骨骼的一部分，牙齿松动，常常是由于肾气虚衰及气血不足而引起的。常扣牙齿，能强肾固精，平衡阴阳，疏通气血，畅通经络，从而达到延年益寿的目的。 ​​​​,2012-09-20 16:10,转发,评论,赞,专业版微博,https://weibo.com/2735331763/yCKSS6QAn
7,//@北京怀柔怀柔镇健康教育: //@北京怀柔卫生监督: 关爱老人，关注健康,是,老人夜晚易发4种急症 警惕心脑血管病——心绞痛、心梗、心衰等心脏疾病。心血管疾病易在夜晚发作的原因，与脑血管病类似，可能会因血液黏稠度过大导致栓塞，也可能会因劳累、气候突变或晚上看电视心情紧张等导致交感神经兴奋，出现血压升高等血流变化，增加心脏负荷，引发心脏急症。 ​​​​,2012-09-20 16:10,转发,评论,赞,专业版微博,https://weibo.com/2735331763/yCKSOghGW
8,//@北京怀柔怀柔镇健康教育: 转发微博,是,【急性心梗救治问题】急性心肌梗死救治的成败关键是时间！时间就是心肌，时间就是生命！近发现一些城市，设备技术水平都很好，但遇到地方主要领导同志突发心肌梗死却不做直接介入，也不溶栓，而是保守处理后送北京的指定医院治疗。不能理解这种现象，是不敢？抑或其他？ ​​​​,2012-09-20 16:09,转发,评论,赞,专业版微博,https://weibo.com/2735331763/yCKSG13DJ
9,2012年9月20日是“全国爱牙日”，主题是“健康口腔，幸福家庭”，副主题是“关爱自己，保护牙周”，渤海镇社区卫生服务中心紧紧围绕主题，开展形式多样的宣传活动，在中心领导的多方筹备、精心组织和大力支持下，收到了良好效果。 ​​​​,否,,2012-09-20 16:06,转发,评论,赞,专业版微博,https://weibo.com/2735331763/yCKRaD8hW
