序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,转发微博,是,【孩子最需要的十件东西】1.临睡前的一个吻；2.尊重我的个人形象；3.爸爸妈妈平等待我；4.爸爸妈妈给我当榜样；5.告诉我做人的道理；6.让我和爸爸妈妈一起玩；7.给我一个小伙伴；8.和我一起养成好习惯；9.给我一个可达到的目标；10.让我们一起笑起来。你能为宝宝做几件？ ​​​​,2012-09-30 03:47,转发,评论,赞,vivo智能手机,https://weibo.com/1622058750/yEciumSA0
1,//@健康教育何超: “黄金”密码：从粪便看健康。节日期间如有吃坏肚子（腹泻）的可以对照一下。,是,,2012-09-29 18:32,转发,评论,赞,vivo智能手机,https://weibo.com/1622058750/yE8EWcQuY
2,推荐适合秋季吃的水果：梨、柑橘、石榴、大枣、荸荠、苹果-、葡萄、柚子、柿子 ​​​​,否,,2012-09-29 12:23,转发,评论,赞,专业版微博,https://weibo.com/1622058750/yE6flA4UF
3,转发微博,是,不怕，有妈妈在！★~想看更多经典视觉作品 就关注@全球视觉图宴 ​​​​,2012-09-29 03:51,转发,评论,赞,vivo智能手机,https://weibo.com/1622058750/yE2TntUj8
4,转发微博,是,对的那条路，往往不是最好走的。  爱视觉 就关注@全球视觉图宴 ​​​​,2012-09-29 03:50,转发,评论,赞,vivo智能手机,https://weibo.com/1622058750/yE2T886ZA
5,转发微博,是,蒲公英：你见证了这逝去的时光 ，你守候着你的幻想；当风起的时候，你随风而去，四处安家   爱视觉 就关注@全球视觉图宴 ​​​​,2012-09-29 03:49,转发,评论,赞,vivo智能手机,https://weibo.com/1622058750/yE2SMg2mX
6,转发微博,是,没有过不去的事情，只有过不去的心情。只要把心情变一变，世界就完全不一样了   爱视觉 就关注@全球视觉图宴 ​​​​,2012-09-29 03:49,转发,评论,赞,vivo智能手机,https://weibo.com/1622058750/yE2Sw10cP
7,【什么人不适合服用药酒】临床上高血压、肝脏病、心脏病患者及小儿、孕妇、对酒精过敏的人不宜服用药酒。久置药酒可有部分沉淀物，此时不宜饮用。 ​​​​,否,,2012-09-28 18:33,转发,评论,赞,专业版微博,https://weibo.com/1622058750/yDZeRls4P
8,"//@辽宁健康教育与促进: #世界心脏日#，2012年9月29日世界心脏日主题是“世界同心，全家一心（One World, One Home, One Heart）” 心脏病是人类健康的头号杀手，每年夺走1730万人的生命。高血压、高血脂、肥胖等都是诱发心脏病的危险因素。心血管疾病是可防可控的，改变不健康生活方式是防控心脏病重",是,"【9月29日:世界心脏日】同一颗心, 同一个家, 同一个世界(one world，one home，one heart)! ​​​​",2012-09-28 18:26,转发,评论,赞,vivo智能手机,https://weibo.com/1622058750/yDZcgjiXS
9,转发微博,是,【不同颜色葡萄的养生作用】1、紫葡萄：富含花青素，可美容抗衰老。2、黑葡萄：滋阴养肾，黑发功效更为突出。3、红葡萄：含逆转酶，可软化血管、活血化淤，防止血栓形成，心血管病人不妨多吃。4、绿葡萄：偏重于清热解毒。5、白葡萄：具有补肺气、润肺功效，适合咳嗽、呼吸系统疾病患者食用。 ​​​​,2012-09-28 13:41,转发,评论,赞,vivo智能手机,https://weibo.com/1622058750/yDXkjhnsn
10,//@健康教育何超: 《健康报》：统计数据显示，目前我国犬只数量约为1.3亿只，其中一半以上分布在农村。每年全国接种狂犬病疫苗人数为1000万～1200万，暴露后直接花费为数十亿元。 @疫苗与科学 //@张文大夫: 狗多了，被狗咬的也自然多起来,是,"【狂犬病暴露处理】一旦被狗咬伤或抓伤,要立即用20%肥皂水反复冲洗伤口,在伤口处涂2-3%碘酒或75%酒精进行消毒,并立即到指定的狂犬病免疫预防门诊接种狂犬病疫苗.狂犬病疫苗接种通常为五针程序,即:第被咬伤的0,3,7,14,28天分别接种1针.伤势严重者在疫苗接种前,还需注射抗狂犬病血清或狂犬病免疫球蛋白. ​​​​",2012-09-28 13:22,转发,评论,赞,vivo智能手机,https://weibo.com/1622058750/yDXcCDIZ5
11,转发微博,是,教你6种抱宝宝的方法！妈妈们，请这样抱宝宝，才会舒服哟～～ ​​​​,2012-09-28 03:04,转发,评论,赞,vivo智能手机,https://weibo.com/1622058750/yDTa14Po7
12,转发微博,是,如果你不快乐，那就出去走走，世界这么大。风景很美、机会很多、人生很短，不要蜷缩在一处阴影中。 ​​​​,2012-09-28 03:01,转发,评论,赞,vivo智能手机,https://weibo.com/1622058750/yDT8I8g7s
13,转发微博,是,【12种水果的秘密功效】1.草莓培养耐心补维生素 2.香蕉快乐心情 3.葡萄增强免疫力抗衰老 4.梨助器官排毒 5.火龙果缓解重金属中毒 6.柚子维护血管 7.苹果防癌症 8.西瓜利尿排毒 9.荔枝生血养颜 10.猕猴桃降低胆固醇 11.龙眼开胃益脾大補元氣12.菠萝帮助消化肉食~~@点子总动员 ​​​​,2012-09-27 22:28,转发,评论,赞,vivo智能手机,https://weibo.com/1622058750/yDRlYDrXJ
14,#健康大课堂#9月27日下午，龙山社区卫生服务中心联合龙湖居委会为辖区居民开展了主题为“老年人安全与防范”的健康大课堂活动。 ​​​​,否,,2012-09-27 14:16,转发,评论,赞,专业版微博,https://weibo.com/1622058750/yDO834jDD
15,转发微博,是,宿舍里的那几个傻瓜，一辈子都忘不掉。。。 @快乐淘萌物（转） ​​​​,2012-09-27 13:26,转发,评论,赞,vivo智能手机,https://weibo.com/1622058750/yDNNOFv2v
