序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,爬墙治疗肩周炎：用拇指、中指或食指点、按、揉另一侧肩部疼痛的部位，以能忍受为度，每次揉10分钟左右，然后放松肩部软组织；面对墙壁站立，用双手或单手沿墙壁缓缓向上爬动，上肢尽量上举，然后缓缓退下回到原处。每天反复练习，可逐步恢复胳膊上举功能。 ​​​​,否,,2012-09-29 09:53,1,评论,赞,专业版微博,https://weibo.com/2662572801/yE5gubYcy
1,倒走治腰痛：早晨在绿化地带或公园里地面较平、行人较少的空地，先做些辅助锻炼活动，如松动几次筋骨、转动数次腰部、进行一些深呼吸，然后练习倒走。倒走时要思想集中，放松全身，挺胸收腹，摆动双手，稳步倒走，同时还要顾及左右，避免碰撞他人、跌倒摔跤。每天坚持倒走15-20分钟，可改善腰痛。 ​​​​,否,,2012-09-29 09:49,转发,评论,赞,专业版微博,https://weibo.com/2662572801/yE5eRqs8q
2,养清净心，做自在人！,是,【养清净心，做自在人】求人不如求己，求佛不如求心；人到无求心自净，人到无求品自高。任何外在的力量都无法从根本上改变我们的命运，只有我们的信念才是最有威力的法宝。在紧张忙碌的日子里，要懂得拿出一些小小的空闲为自己净心。即使是片刻的净心，也会为我们带来些许安宁。   ​​​​,2012-09-29 09:42,转发,评论,赞,微博 weibo.com,https://weibo.com/2662572801/yE5bQFVo0
3,过节也要注意生活规律、劳逸结合啊！朋友们节日快乐啊！[呵呵],是,【节前提示】暴食、酗酒、油腻容易诱发胆囊炎、胰腺炎；过度疲劳诱发心脑血管病；不洁饮食易患肠炎、肝炎；出入人员嘈杂、不通风处，易患流感；长时间玩麻将不动，易造成静脉血栓形成，严重者出现猝死。因此，清洁规律的饮食，充足按时的睡眠，室内良好的通风，远离危险隐患是欢度节日的关键。 ​​​​,2012-09-29 09:38,2,1,赞,微博 weibo.com,https://weibo.com/2662572801/yE5avkH6b
4,活动左手防脑溢血：近70%脑溢血患者右脑半球的微血管破裂出血。专家认为，人的左脑半球控制右半身，但生活中人们右手使用明显多于左手，左脑半球得到锻炼也就多于右脑半球，故缺少锻炼的右脑半球的脑血管壁就显得脆弱，易发生破裂。因此应多活动左手，方法是空抓手，每天早中晚各3次，每次做400-800次 ​​​​,否,,2012-09-28 08:27,转发,评论,赞,专业版微博,https://weibo.com/2662572801/yDVgW0ime
5,耸肩防脑梗死：每天早晚可以各做一次双肩上提、放下的反复运动，每次做4-8分钟。耸肩可使肩部的神经、血管和肌肉放松，活血通络，为颈动脉血液流向大脑提供人工驱动力，从而预防因脑部血流缓慢而发生堵塞血管的脑梗死。此法还可轻松地减去肩膀外侧、后侧和周围的多余脂肪，长期坚持能缓解肩酸背疼。 ​​​​,否,,2012-09-28 08:20,转发,评论,赞,专业版微博,https://weibo.com/2662572801/yDVe0gOb4
6,转发微博,是,#世界狂犬病日#9月28日是世界狂犬病日。（World Rabies Day）。狂犬病的危害：世界卫生组织在报告中说，狂犬病遍布于全世界，每年全球有55000人死于狂犬病，即每10分钟就有1人死亡。此外，亚洲和非洲有1000万人在被可能患有狂犬病的狗咬伤后，接受狂犬病疫苗注射。 (图片来自corbis) ​​​​,2012-09-28 08:11,1,评论,赞,专业版微博,https://weibo.com/2662572801/yDVax9N84
7,转发微博,是,【冷空气过敏摩摩鼻】不少人鼻腔黏膜对冷空气过敏，秋风一起就易感冒、流涕，宜常按摩鼻部。两手拇指外侧互相摩擦，有热感后用两手拇指外侧沿鼻梁、鼻翼两侧上下按摩30次，然后再按迎香穴30次。或将鼻子浸在冷水中，憋气，浸一会儿后抬头换气，再浸入水中，反复3-5遍。中大医院中医内科主任医师窦国祥 ​​​​,2012-09-28 08:09,转发,评论,赞,专业版微博,https://weibo.com/2662572801/yDV9Bw6Pa
8,转发微博,是,宝宝发烧勿输液，蔬菜三样保平安：在宝宝生病发烧的时候，轻易不要给宝宝吃退烧药，也不要输液！告诉各位妈妈退烧的一个方子：香菜去叶子留茎和根3-4根 白萝卜2-3片 生姜1-2片 加冰糖加水煮15分钟。待温度适中给宝宝喝，宝宝喝下去会出汗退热的。各位麻麻们可以试试看，效果非常好。   ​​​​,2012-09-27 08:13,转发,评论,赞,微博 weibo.com,https://weibo.com/2662572801/yDLKDww7Y
9,转发微博,是,【不同年龄宝宝健康睡眠时间表】不同时期的孩子，需要的睡眠多少是不一样的： 新生儿：19～20小时; 1月～3个月：17～18小时; 3月～6个月：16～18小时; 6月～1岁：13～14小时; 1岁～3岁：12～13小时; 3岁～6岁：10～12小时; 6岁以上：9～10小时。@北京儿童医院 大概是这样不？ ​​​​,2012-09-27 08:11,转发,评论,赞,微博 weibo.com,https://weibo.com/2662572801/yDLK8ehxl
