序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,"北京09/30 10:38 今日,晴,25℃～11℃,无持续风向≤3级;星期一,晴转阴,26℃～14℃,无持续风向≤3级;星期二,阴转晴,25℃～14℃,无持续风向≤3级转3-4级;详细天气: (来自 @手机新浪网) O网页链接 ​​​​",否,,2012-09-30 10:38,转发,评论,赞,手机新浪网,https://weibo.com/1907969871/yEeZ9oLqK
1,"北京09/27 11:46 今日,阵雨转晴,23℃～12℃,北风5-6级;星期五,晴,22℃～11℃,北风4-5级;星期六,晴,25℃～10℃,无持续风向≤3级;详细天气: (来自 @手机新浪网) O网页链接 ​​​​",否,,2012-09-27 11:46,转发,评论,赞,手机新浪网,https://weibo.com/1907969871/yDN9t3Uid
2,"北京09/26 08:02 今日,晴转阴,26℃～15℃,无持续风向≤3级;星期四,阴转多云,23℃～14℃,北风5-6级;星期五,晴,22℃～13℃,北风4-5级转≤3级;详细天气: (来自 @手机新浪网) O网页链接 ​​​​",否,,2012-09-26 08:03,转发,评论,赞,手机新浪网,https://weibo.com/1907969871/yDCg6lXmN
3,"北京09/24 08:00 今日,多云转阴,26℃～17℃,无持续风向≤3级;星期二,阵雨,23℃～14℃,无持续风向≤3级;星期三,晴转阴,26℃～16℃,无持续风向≤3级;详细天气: (来自 @手机新浪网) O网页链接 ​​​​",否,,2012-09-24 08:00,转发,评论,赞,手机新浪网,https://weibo.com/1907969871/yDjo9yRkT
4,"北京09/23 11:47 今日,晴,28℃～16℃,无持续风向≤3级;星期一,多云转阴,25℃～16℃,无持续风向≤3级;星期二,阵雨,22℃～15℃,无持续风向≤3级;详细天气: (来自 @手机新浪网) O网页链接 ​​​​",否,,2012-09-23 11:47,1,评论,赞,手机新浪网,https://weibo.com/1907969871/yDbrGDz9N
5,"北京09/22 11:23 今日,阴转晴,26℃～15℃,无持续风向≤3级;星期日,晴转多云,28℃～16℃,无持续风向≤3级;星期一,多云,26℃～16℃,无持续风向≤3级;详细天气: (来自 @手机新浪网) O网页链接 ​​​​",否,,2012-09-22 11:23,转发,评论,赞,手机新浪网,https://weibo.com/1907969871/yD1RkaiVT
6,"北京09/21 08:53 今日,阵雨,25℃～15℃,无持续风向≤3级;星期六,阴转晴,26℃～15℃,无持续风向≤3级;星期日,晴,28℃～15℃,无持续风向≤3级;详细天气: (来自 @手机新浪网) O网页链接 ​​​​",否,,2012-09-21 08:53,转发,评论,赞,手机新浪网,https://weibo.com/1907969871/yCRrXyIe4
7,"北京09/20 08:07 今日,晴转多云,29℃～18℃,无持续风向≤3级;星期五,阵雨,25℃～14℃,无持续风向≤3级;星期六,阴转晴,26℃～15℃,无持续风向≤3级;详细天气: (来自 @手机新浪网) O网页链接 ​​​​",否,,2012-09-20 08:07,转发,评论,赞,手机新浪网,https://weibo.com/1907969871/yCHIVgIIb
8,"北京09/19 09:30 今日,多云转晴,28℃～15℃,无持续风向≤3级;星期四,晴转多云,28℃～19℃,无持续风向≤3级;星期五,阵雨转中雨,25℃～14℃,无持续风向≤3级;详细天气: (来自 @手机新浪网) O网页链接 ​​​​",否,,2012-09-19 09:30,转发,评论,赞,手机新浪网,https://weibo.com/1907969871/yCyQ4hBCd
9,"北京09/18 08:16 今日,晴转多云,29℃～16℃,无持续风向≤3级;星期三,多云转晴,28℃～16℃,无持续风向≤3级;星期四,晴转多云,28℃～19℃,无持续风向≤3级;详细天气: (来自 @手机新浪网) O网页链接 ​​​​",否,,2012-09-18 08:17,转发,评论,赞,手机新浪网,https://weibo.com/1907969871/yCoVM2FIv
10,"北京09/17 08:16 今日,晴,28℃～15℃,无持续风向≤3级;星期二,晴转多云,29℃～16℃,无持续风向≤3级;星期三,晴,28℃～16℃,无持续风向≤3级;详细天气: (来自 @手机新浪网) O网页链接 ​​​​",否,,2012-09-17 08:16,转发,评论,赞,手机新浪网,https://weibo.com/1907969871/yCfv4bJmI
11,"北京09/16 09:44 今日,晴,27℃～15℃,无持续风向≤3级;星期一,晴,29℃～17℃,无持续风向≤3级;星期二,晴,29℃～16℃,无持续风向≤3级;详细天气: (来自 @手机新浪网) O网页链接 ​​​​",否,,2012-09-16 09:44,转发,评论,赞,手机新浪网,https://weibo.com/1907969871/yC6Ec7rHA
