序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,京开高速西红门入口一直到西红门南桥均很堵，建议大家五环或六环绕行吧！ 我在:O网页链接 ​​​​,否,,2012-09-30 08:23,转发,评论,赞,iPhone客户端,https://weibo.com/2652917971/yEe6cqbR8
1,做个科普//@健康伴您同行: 转发微博,是,肺结核患者可以结婚或者生育吗？ 育龄的妇女，如果患了肺结核，应暂时避孕，此时怀孕，可能会导致患者肺结核病情加重，且胎儿可能会出现发育不良或死胎；如果肺结核患者已经怀孕，最好终止妊娠。通常肺结核治愈半年后，可以正常妊娠，如果想要孩子，最好事先咨询经治医生。 ​​​​,2012-09-28 09:27,转发,评论,赞,专业版微博,https://weibo.com/2652917971/yDVFfhtX0
2,起风了冷空气过敏的人注意啦//@健康时报: 鼻炎、牙痛的童鞋们赶紧记住迎香穴的位置吧//@北京东直门医院: 迎香穴可以治疗鼻炎、鼻塞、鼻窦炎、流鼻水、鼻病、牙痛、感冒等，尤其是上齿牙痛，指压该穴，可以快速止痛。,是,【冷空气过敏摩摩鼻】不少人鼻腔黏膜对冷空气过敏，秋风一起就易感冒、流涕，宜常按摩鼻部。两手拇指外侧互相摩擦，有热感后用两手拇指外侧沿鼻梁、鼻翼两侧上下按摩30次，然后再按迎香穴30次。或将鼻子浸在冷水中，憋气，浸一会儿后抬头换气，再浸入水中，反复3-5遍。中大医院中医内科主任医师窦国祥 ​​​​,2012-09-28 09:22,1,评论,赞,专业版微博,https://weibo.com/2652917971/yDVDpdrYZ
3,说得好！,是,【炒菜“过火”不可取 会增加致癌物】哗一下大勺一颠，轰一声火苗猛窜。许多人觉得炒菜“过火”特酷，实际上过火并不会增添多少美味，反而会增加致癌物的产生。普通食用油加热时间越长、温度越高，产生的有害物和致癌物就越多，它们附着在菜肴上，严重危害人体健康。 ​​​​,2012-09-27 12:50,转发,评论,赞,专业版微博,https://weibo.com/2652917971/yDNzq1PE1
4,长假来临 老年人外出注意了//@全国卫生12320: //@平安北京: 旅游#微提示#【老年人旅游注意事项】,是,#微警示#【老年人旅游注意事项】作为旅游的主力军之一，老年平友外出旅游，无论跟团旅游还是自助旅游，都有许多要特别注意的地方，@临朐公安 为老年朋友外出旅游支招，诚请亲们一起转发、告诉给身边的老年平友。@平安中原 @山东交通出行 @乐行南昌 @平安辽宁 @浙江公安 @西安公安 @广州公安 @平安北京 ​​​​,2012-09-27 12:41,转发,评论,赞,专业版微博,https://weibo.com/2652917971/yDNvEh11r
5,中秋一定要吃蟹 一起来学学优雅的吃法吧,是,【如何优雅食用大闸蟹】①减掉大闸蟹的八只脚；②揭开蟹盖；③用小勺把大闸蟹蟹黄舀出；④剪掉蟹脚、蟹嘴和蟹肺；⑤蟹心部分，丢弃；⑥吃蟹黄；⑦吃成丝状的蟹肉；⑧用剪刀把蟹腿剪成三截；⑨吃蟹钳。提醒：脾胃虚寒和一些慢性病人不宜吃蟹。点这里查看螃蟹菜谱和食用禁忌O网页链接（康康） ​​​​,2012-09-27 12:40,1,评论,赞,专业版微博,https://weibo.com/2652917971/yDNvb1Pfy
6,#天气#要刮风啦！,是,#出行提示#今日11：10，市气象台发布大风蓝色预警信号，受较强冷空气影响，午后本市风力将逐渐加大，傍晚到夜间平均风力可达5-6级，阵风可达7级[风]。明天白天仍有4-5级偏北风。请大家做好防风准备，适时增加衣服，注意出行安全。[bed凌乱] ​​​​,2012-09-27 12:36,转发,评论,赞,专业版微博,https://weibo.com/2652917971/yDNtHpgfF
7,【长时间戴耳机等于养细菌】,是,【长时间戴耳机等于养细菌】近日，网上一则“戴耳机1小时，耳内的细菌会繁殖700倍”的微博吓着了不少网友。针对这条消息北大医院检验科进行了实验，结果证明戴耳机确实会加速细菌繁殖，但只有3.5倍，700倍的说法实属夸张。不过小布要提醒大家：为了身体健康，最好定期用酒精对耳机表面进行擦拭清洁。 ​​​​,2012-09-26 09:59,1,评论,赞,专业版微博,https://weibo.com/2652917971/yDD1hr2gM
8,同志们都注意下吧//@健康伴您同行: 谁在“透支生命”？,是,【谁在“透支生命”？】调查显示，目前近两成职场人明确认为自己“过劳”，IT阶层“过劳死”的平均年龄仅37.9岁。IT行业已被称作是最“僵”的行业，久坐不起，甚至很少喝水上厕所，因此有超50%IT人员平均每年超5次颈椎疼痛，这支“硬梆梆”大军正大步迈向老年人专用病—“颈椎病”O网页链接 ​​​​,2012-09-26 09:58,转发,评论,赞,专业版微博,https://weibo.com/2652917971/yDD0KCvqR
9,这个方法好//@北京市疾病预防控制中心: 纯净水+2滴柠檬+2滴尤加利。消除火锅味，节日期间试一下//@健康伴您同行: 学习一下~,是,【教你自制消除火锅味喷剂】昨晚吃火锅，饭后同事拿出一个小喷壶，衣服上下一喷，火锅味全无！100ml纯净水+2滴柠檬+2滴尤加利。冬天经常吃火锅，消除气味，就这么简单！追求高品质生活，快DIY啦！ 「via李静」 ​​​​,2012-09-26 09:56,转发,1,赞,专业版微博,https://weibo.com/2652917971/yDD0h66TO
10,再次提倡绿色出行//@交通北京: #转发微博#早动一会，早到一阵。,是,#出行提示#@交通北京 提醒您，今年中秋国庆双节叠加，节前城市道路餐饮、商圈周边交通流量骤增，易发生交通拥堵，建议您多选择公共交通工具出行，驾车避开高峰。 ​​​​,2012-09-26 09:39,1,评论,赞,专业版微博,https://weibo.com/2652917971/yDCTadnnB
11,【如何选购月饼】1、看品牌，选择正规厂家的产品。2、看标签，看名称、配料表、生产日期、保质期、厂址、产品执行标准号、QS标志及生产许可证编号等。3、适量吃，少量多样，以品为主。一次不宜超过一个。月饼不能代替正餐。4、合理存放，注意避光。不宜与其他食品、杂物放在一起， ​​​​,否,,2012-09-25 11:33,转发,评论,赞,专业版微博,https://weibo.com/2652917971/yDucTlQxJ
12,【十一长假小贴士】1.准备一双舒适的鞋子，外出要少穿新鞋、皮鞋和高跟鞋；2.随身携带水杯，尽量避免使用小餐馆餐具；3.准备好防晒霜，尤其是前往紫外线较强地区游玩；4.携带雨伞、湿巾、创可贴等应急物品；5.贵重物品随身携带，注意防盗。 ​​​​,否,,2012-09-25 11:13,1,评论,1,专业版微博,https://weibo.com/2652917971/yDu4U7cSM
13,纯水果早餐族们注意了,是,【别拿水果当早餐】不少上班族对早餐敷衍了事，一个苹果、香蕉就打发了，完全不care营养组合。专家指出：早餐光吃水果，所供能量和营养素不足，会影响上午的工作效率。有胃病的人更不应空腹吃水果，水果中的有机酸会刺激胃壁的黏膜，不利于胃部健康。你是纯水果早餐族吗？内容摘自中新网 #三餐经# ​​​​,2012-09-25 10:15,转发,评论,赞,专业版微博,https://weibo.com/2652917971/yDtH9Ey2J
14,石景山区金秋趣味运动会开始啦，今年运动会的主题是“每天锻炼一小时 健康生活一辈子”~~ ​​​​,否,,2012-09-25 09:43,1,评论,赞,专业版微博,https://weibo.com/2652917971/yDtuo3QqJ
15,哈哈哈 十一颐和园赏花去,是,【颐和园百年古桂飘香】#聚焦北京#第11届“颐和秋韵”桂花展开幕，共展出460余株大型盆栽桂花。此次桂花展持续到10月12日，您在闲暇之余，不妨前往颐和园感受72盆百年古桂的清香，还可以在桂花展区购买桂花糖、桂花茶、桂花糕、桂花饼、桂花酒等特色桂花食。 ​​​​,2012-09-24 14:10,2,评论,赞,专业版微博,https://weibo.com/2652917971/yDlOeip3q
16,全年最堵周,是,【准备抗击 “全年最堵周”】节前的最后一周有6个工作日，被预测为 “全年最堵周”。周三26日尾号4和9限行；周四27日；周五晚高峰28日；都有可能拥堵严重。而限行的周六29日据预报还有可能降雨。但相信大家对节前的忙碌都有心理准备了。咱该地铁的地铁，该公交公交。绿色出行抗击最堵周！ ​​​​,2012-09-24 10:49,1,评论,赞,专业版微博,https://weibo.com/2652917971/yDkuukwKu
17,咬袋喝牛奶很常见嘛 看来大家要注意了//@北京海淀健康教育: 转发微博,是,【咬袋喝奶会中毒？】国际食品包装协会食品安全专家董金狮在今日的博客中表示，很多袋装纯牛奶、酸奶、果味牛奶的包装颜色鲜艳，这意味着包装袋要使用较多油墨。如果用嘴咬开包装袋直接对着包装袋喝牛奶，容易将油墨中的重金属成分吸食入内，久而久之会造成安全隐患。张诗尧/摄 O网页链接 ​​​​,2012-09-24 10:47,1,评论,赞,专业版微博,https://weibo.com/2652917971/yDktToeDG
18,这个有用~~//@北京平谷健康教育: //@健康教育何超: 【流鼻血的正确止血法】流鼻血时，应低头朝下，甚至比图中所示更低一些。再用手指压住两侧鼻翼，往鼻中膈直接加压止血，约5至10分钟。坊间流传的许多方法，包括流鼻血要仰头、压迫鼻根，常常止不了血。,是,【流鼻血怎么办？】小儿流鼻血，90%以上出现在鼻中膈前端，鼻孔往里1.5公分以内的位置，血管网丰富，只要稍微碰撞，就容易破裂出血。流鼻血时，应低头朝下，用手指压住两侧鼻翼，往鼻中膈直接加压止血，约5~10分钟。若重复两次5~10分钟的鼻翼压迫，还是有出血现象，就应立即就医，不宜再尝试自行止血。 ​​​​,2012-09-24 09:24,转发,评论,赞,专业版微博,https://weibo.com/2652917971/yDjW2uKv5
19,#全国爱牙日#【正确刷牙】//@首都儿科研究所: 转发微博,是,#全国爱牙日#【正确刷牙】专家提倡竖刷法。即把牙刷头放在牙一侧，刷毛靠着牙龈和牙齿，毛端朝着牙根方向，与牙大约成45°角，牙刷头沿着牙列方向做上下颤动。来回颤动四五次，使牙刷毛进入牙龈沟和牙间区，清除牙菌斑，同时按摩牙龈。其后将牙刷从牙根向牙冠部竖刷，清洁牙面。 ​​​​,2012-09-20 13:14,转发,评论,赞,专业版微博,https://weibo.com/2652917971/yCJJue3eU
20,果断转发喽,是,今天是第24个#全国爱牙日#，今年的活动主题为“健康口腔，幸福家庭”，副主题为“关爱自己，保护牙周”，旨在普及口腔卫生保健知识，动员社区和家庭关注口腔健康，提高居民防治牙周疾病的意识和能力。1989年，我国确定了每年的9月20日为全国爱牙日。@新浪健康 @首都健康 @大众医学杂志 ​​​​,2012-09-20 13:09,1,评论,赞,政府版微博,https://weibo.com/2652917971/yCJHD1rLc
21,爱牙从点滴做起，不要听信广告的夸大宣传,是,"【中华牙膏""魔丽迅白""广告涉嫌欺诈】有一种牙膏自称""魔丽迅白""，包装盒正面清晰地写着""实验证明，一次刷牙后，牙齿迅速更美白""，电视、网络广告铺天盖地，这就是""中华""牌牙膏。美白牙膏的效果非常有限，即使对于外源性色斑，也不可能刷几次牙就能美白，更别提一次刷牙就美白了。O网页链接 ​​​​",2012-09-20 13:08,转发,评论,赞,专业版微博,https://weibo.com/2652917971/yCJH2DhZe
22,,是,根据《国务院关于批转交通运输部等部门重大节假日免收小型客车通行费实施方案的通知》（国发〔2012〕37号）要求，经市政府同意，2012年“十一”黄金周期间，7座以下（含7座）小型客车免收收费公路通行费，通告见链接O网页链接 ​​​​,2012-09-20 13:06,转发,评论,赞,专业版微博,https://weibo.com/2652917971/yCJG8uzdJ
23,十一有游园活动哦//@北京发布: 双节期间，市属公园推出十大游园活动。带上你的TA，一起来放松一下吧！,是,【市属公园双节推出十大游园活动】双节期间，北京市属各公园将以“弘扬文化 团圆金秋”为主题，结合传统节庆特色与公园历史文化，举办传统祈福、文化表演、休闲健身等10项游园活动。北京名城文化、民俗文化、非物质文化遗产等将在北京公园中联袂呈现。 ​​​​,2012-09-19 16:01,转发,评论,赞,专业版微博,https://weibo.com/2652917971/yCBoYhepg
24,,是,【北京西站今起可自助购票】#聚焦北京#今天起，北京西站将可自助购票。二楼进站口东西两侧将增设两个自助售票网络购票换票厅。厅内18台自助售票网络购票换票机将于每日6时至23时投用。您可按照屏幕显示自助购票、自助换票，这样就会大大减少您在窗口排队等候的时间。 ​​​​,2012-09-19 15:58,转发,评论,赞,专业版微博,https://weibo.com/2652917971/yCBnAhKan
25,“男人毕业后的五个阶段”说的很对嘛//@健康教育何超: //@凡人27: 很准确，不同的是IT和财务人员一半是累的，公务人员一半是吃的 //@姚凌云:@乐百事V5 @凡人27 你们都什么阶段了？,是,,2012-09-19 15:31,转发,评论,赞,专业版微博,https://weibo.com/2652917971/yCBcEqReb
26,【怎样挑选食盐】现在超市里的盐有多种，有加锌盐、加硒盐、低钠盐、加铁盐……究竟什么盐适合您呢？①血压高、心脏不好的人可以选择低钠盐②孕妇、儿童可以选择加锌盐③贫血的人可以选用加铁盐。 ​​​​,否,,2012-09-19 11:11,转发,评论,赞,专业版微博,https://weibo.com/2652917971/yCzv1rNmi
27,【洗衣机用后别马上关机门】专业人士提醒说，关上洗衣机的机门不利于残留水分的蒸发，还容易滋生霉菌，危害家人的健康。用洗衣机洗完衣服后应该开着机门。顶部开门的波轮洗衣机要用干抹布将里面的水擦干，侧开门的滚筒洗衣机要把镶嵌在门口的垫圈中的水擦干。以后多让家里的洗衣机透透气吧！ ​​​​,否,,2012-09-19 11:03,转发,评论,赞,专业版微博,https://weibo.com/2652917971/yCzrYjGyC
