序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,#全国爱牙日#【牙齿保护误区】1.孩子的乳牙会被替换所以不用加以保护？——错。儿童乳牙期所需要的营养大部分通过乳牙咀嚼后才被吸收，因此不保护乳牙是错误的。乳牙在以后恒牙排列是否整齐方面具有引导作用。 ​​​​,否,,2012-09-29 10:00,转发,评论,赞,皮皮时光机,https://weibo.com/2656902127/yE5jbraxK
1,双节还请您管住嘴，迈开腿[月儿圆],是,【节前提示】暴食、酗酒、油腻容易诱发胆囊炎、胰腺炎；过度疲劳诱发心脑血管病；不洁饮食易患肠炎、肝炎；出入人员嘈杂、不通风处，易患流感；长时间玩麻将不动，易造成静脉血栓形成，严重者出现猝死。因此，清洁规律的饮食，充足按时的睡眠，室内良好的通风，远离危险隐患是欢度节日的关键。 ​​​​,2012-09-29 09:35,1,评论,赞,专业版微博,https://weibo.com/2656902127/yE593aR4p
2,西城区从2011年开始试点开展第二恒磨牙免费窝沟封闭预防龋齿项目。第二恒磨牙免费窝沟封闭工作现在暂时为西城区中小学卫生保健所及西城区牙防入校开展，或由学校统一安排。,是,#全国爱牙日#【哪里免费做窝沟封闭】为了更好的预防龋齿，北京市政府从2005年开始，拨出专项经费为适龄儿童免费进行窝沟封闭预防龋齿工作。凡是在北京生活居住年满7至9周岁的儿童，可携带户口本或有效证明，到社区卫生服务中心口腔科接受第一恒磨牙免费窝沟封闭服务。图为西城各社区卫生服务中心信息。 ​​​​,2012-09-29 09:30,1,2,赞,皮皮时光机,https://weibo.com/2656902127/yE56YFcpN
3,#全国爱牙日#【哪里免费做窝沟封闭】为了更好的预防龋齿，北京市政府从2005年开始，拨出专项经费为适龄儿童免费进行窝沟封闭预防龋齿工作。凡是在北京生活居住年满7至9周岁的儿童，可携带户口本或有效证明，到社区卫生服务中心口腔科接受第一恒磨牙免费窝沟封闭服务。图为西城各社区卫生服务中心信息。 ​​​​,否,,2012-09-28 14:30,4,评论,赞,皮皮时光机,https://weibo.com/2656902127/yDXEq0Te8
4,说得好，别再抱怨工作忙没时间锻炼了，爬楼梯，提前下车走回家都是日常可以进行的锻炼方式[gst帅毙了],是,假如你处在下面场景中，你会选择哪种方式上楼？排队等电梯所需要的时间跟步行上去是不是差不多？——不要再抱怨没有时间锻炼身体，其实你有过很多机会，只是你放弃了。 ​​​​,2012-09-28 09:37,1,评论,赞,微博 weibo.com,https://weibo.com/2656902127/yDVJsueKC
5,转发微博,是,预防狂犬病最主要的还是提高自我防范意识。养犬人要做到文明养犬，要定期给犬类接种疫苗；不要与犬类过于密切接触，不要抚摸和挑逗陌生犬，特别应避免手和粘膜部位与动物唾液直接接触；饲养动物的家庭不要随意遗弃动物，以防流浪动物伤及他人；带狗出门要栓上链绳，以免误伤他人。 ​​​​,2012-09-28 09:31,转发,评论,赞,专业版微博,https://weibo.com/2656902127/yDVGSBRub
6,#全国牙防日#【窝沟封闭不能替代刷牙】，因此窝沟封闭的孩子还要仔细的刷牙才能更加有效的预防龋齿的发生。如果孩子已经发生了龋齿，就应及时治疗，因为牙病越早治疗痛苦越小，疗效越好。 ​​​​,否,,2012-09-28 09:10,转发,评论,赞,专业版微博,https://weibo.com/2656902127/yDVyolPFc
7,窝沟封闭后应半年复查 窝沟封闭后可以最大限度地预防恒磨牙龋齿的发生，但是因为窝沟封闭有大约5-10%左右的脱落率，其主要原因是，有的孩子在操作过程中口水多，可能使得封闭不牢固，易脱落。因此建议做完窝沟封闭后，半年后再到指定医院复查一下，如发现封闭剂脱落，指定医院会免费为孩子重新封闭。 ​​​​,否,,2012-09-27 15:22,转发,评论,赞,专业版微博,https://weibo.com/2656902127/yDOyLiPCK
8,//@我在120上班:发完伤口异物包扎后，就有朋友问内脏脱出的伤口怎么处理？翻出来给大家看看。要点就是【别送回、要平躺、膝盖高、扣伤口、别压迫、早送医】,是,最近车祸、打架意外频发，伤者多有腹部外伤，如果处理不当，极易引发感染甚至危及生命。【内脏脱出，不要塞回去】让伤者半卧或平卧，膝盖下用枕头垫起，用干净的碗扣住已经脱出的内脏或用一块厚敷料覆盖伤口，然后用绷带包扎，注意不要压迫脱出的内脏。也尽量不要让伤者用力咳嗽，以防内脏继续脱出。 ​​​​,2012-09-27 14:19,1,评论,赞,Xperia arc S LT18i,https://weibo.com/2656902127/yDO9lbjaj
9,转发微博,是,雷雨天气，120提示：打雷下雨时，严禁在山顶或者空旷地带停留；避免在大树下、电线杆附近躲避；不要使用金属柄雨伞，摘下金属架眼镜、手表等，远离其它金属制物体；关掉电视机、收录机、音响等电器；切忌停留在电灯正下面，忌依靠在柱子、墙壁边、门窗边；避免使用手机。 ​​​​,2012-09-27 14:17,转发,评论,赞,Xperia arc S LT18i,https://weibo.com/2656902127/yDO8t6pS0
10,转发微博,是,市气象台发布大风蓝色预警信号：午后风力逐渐加大，傍晚到夜间平均风力达5-6级阵风7级左右，明天白天仍有四五级北风。不要在楼旁、广告牌、大树下行走，以免砸伤。发生事故，移开伤者身上的重物，使其脱离危险环境；如果怀疑脊椎受伤，不要随意搬动，为其盖衣保暖，拨打120。老人儿童尽早回家吧~ ​​​​,2012-09-27 14:16,转发,评论,赞,Xperia arc S LT18i,https://weibo.com/2656902127/yDO8fvuoO
11,//@北京市体检中心:现在小学生都这样啊。。。我记得我上初中之后才这样。。。//@PKU-ZHANG:作业写不完，睡眠严重不足，题海战术，我准备兼职给孩子写小学作业，让他们有充足的睡眠。//@北京西城健康教育:,是,【不同年龄宝宝健康睡眠时间表】不同时期的孩子，需要的睡眠多少是不一样的： 新生儿：19～20小时; 1月～3个月：17～18小时; 3月～6个月：16～18小时; 6月～1岁：13～14小时; 1岁～3岁：12～13小时; 3岁～6岁：10～12小时; 6岁以上：9～10小时。@北京儿童医院 大概是这样不？ ​​​​,2012-09-27 10:03,1,评论,赞,政府版微博,https://weibo.com/2656902127/yDMtu72b0
12,#全国爱牙日#【做窝沟封闭疼吗】只要儿童能够配合操作，做窝沟封闭没有任何痛苦。第一恒磨牙4颗全部做完一般只需20分钟左右，不需要磨除牙体组织，所以没有任何痛苦，需要孩子做的只是张嘴配合医生操作。 ​​​​,否,,2012-09-27 10:01,2,评论,赞,专业版微博,https://weibo.com/2656902127/yDMsOoT9E
13,"//@国妇婴徐医生: 这个出自台湾的儿童健康手册，主要用于帮助新生儿家长及早发现先天性胆道闭锁、及早治疗。不管是金黄色，黄绿色，还是绿色（7,8,9）都是正常的。其他颜色偏浅的要看医生进一步检查，排除胆闭。婴儿大便是门大学问，日本人有专门著述。也有专门研究放屁的机构，有诸多论文发表。",是,,2012-09-26 14:32,转发,评论,赞,微博 weibo.com,https://weibo.com/2656902127/yDEOebXBK
14,,是,【不同年龄宝宝健康睡眠时间表】不同时期的孩子，需要的睡眠多少是不一样的： 新生儿：19～20小时; 1月～3个月：17～18小时; 3月～6个月：16～18小时; 6月～1岁：13～14小时; 1岁～3岁：12～13小时; 3岁～6岁：10～12小时; 6岁以上：9～10小时。@北京儿童医院 大概是这样不？ ​​​​,2012-09-26 14:31,转发,评论,赞,专业版微博,https://weibo.com/2656902127/yDENDy3Zd
15,//@健康教育何超: 在教育孩子的过程中家长一定要警惕自己的情绪化。@张思莱医师 //@精分岚: 更甚 //@健康教育何超:著名教育心理专家尹邓安教授说，很多家长以为只要不打孩子就不算虐待，可他们有所不知的是，虽然身体没有伤痕，孩子心灵上的创伤却不亚于断手断脚、鼻青脸肿，是一种彻底的“冷暴力”。,是,语言虐待跟身体上虐待是一样可怕的，它会对人造成心理和精神上的伤害，如果一个人的精神遭到摧残，那么后果可能就不堪设想了。所以说话给我小心点。  ​​​​,2012-09-26 14:21,转发,评论,赞,专业版微博,https://weibo.com/2656902127/yDEJwy2Fl
16,#全国爱牙日#【窝沟封闭的最佳年龄】第二恒磨牙是继第一恒磨牙之后，在11岁左右萌出的又一颗非常重要的牙齿，同样担负着咀嚼功能、保持牙齿排列整齐和颌面部正常发育的重要功能，由于排列在口腔最后的位置，不易清洁干净，也是比较容易患龋的一颗牙齿，因此第二恒磨牙的窝沟封闭也是非常必要的。 ​​​​,否,,2012-09-26 14:18,转发,评论,赞,专业版微博,https://weibo.com/2656902127/yDEIupRWH
17,因此应该在第一恒磨牙萌出不久，及时对其进行窝沟封闭加以保护，这会使孩子终身受益。,是,#全国爱牙日#【窝沟封闭的最佳年龄】7—9岁是第一恒磨牙窝沟封闭最佳年龄；12—14岁是第二恒磨牙窝沟封闭最佳年龄。第一恒磨牙在6岁左右萌出，是萌出最早的恒磨牙，是发挥咀嚼功能、保持牙齿排列整齐和颌面部正常发育的最重要的牙齿，也是患龋齿几率最高的牙齿。 ​​​​,2012-09-26 14:01,转发,评论,赞,专业版微博,https://weibo.com/2656902127/yDEBKAsVN
18,#全国爱牙日#【窝沟封闭的最佳年龄】7—9岁是第一恒磨牙窝沟封闭最佳年龄；12—14岁是第二恒磨牙窝沟封闭最佳年龄。第一恒磨牙在6岁左右萌出，是萌出最早的恒磨牙，是发挥咀嚼功能、保持牙齿排列整齐和颌面部正常发育的最重要的牙齿，也是患龋齿几率最高的牙齿。 ​​​​,否,,2012-09-26 13:59,1,1,赞,专业版微博,https://weibo.com/2656902127/yDEALr9gF
19,@北京西城健康教育：#全国爱牙日#【为什么儿童和青少年要做“窝沟封闭”？】另外，由于孩子年龄小，一般喜欢吃甜食、软食、粘食，这些食物易粘在牙齿上，再加上新萌出的牙齿钙化不够完全，更容易受细菌侵蚀而坏掉。因此，当第一、第二恒磨牙萌出后，应及时做窝沟封闭 ​​​​,否,,2012-09-25 14:35,转发,评论,赞,专业版微博,https://weibo.com/2656902127/yDvoNwpcY
20,如果任由窝沟龋发展，就会出现牙痛等严重症状，甚至需要拔除，严重儿童影响健康和生长发育。据统计，全市儿童恒牙龋齿90%以上都是窝沟龋。因此，做好儿童和青少年的窝沟封闭将会大大降低儿童恒牙龋的患病率。,是,#全国爱牙日#【为什么儿童和青少年要做“窝沟封闭”？】儿童新长出的恒磨牙咀嚼食物的面凹凸不平，上面有很多的窝沟点隙，导致龋齿的细菌和食物残渣很容易堆积在这些部位，而且刷牙也无法清除干净。时间长了，窝沟部位就容易发生龋坏，称为“窝沟龋”。 ​​​​,2012-09-25 14:31,转发,评论,赞,专业版微博,https://weibo.com/2656902127/yDvnnulVM
21,#全国爱牙日#【为什么儿童和青少年要做“窝沟封闭”？】儿童新长出的恒磨牙咀嚼食物的面凹凸不平，上面有很多的窝沟点隙，导致龋齿的细菌和食物残渣很容易堆积在这些部位，而且刷牙也无法清除干净。时间长了，窝沟部位就容易发生龋坏，称为“窝沟龋”。 ​​​​,否,,2012-09-25 14:28,1,1,赞,专业版微博,https://weibo.com/2656902127/yDvm57VGO
22,,是,准妈这样吃宵夜更健康：睡前2-3小时吃宵夜挑选易消化及低脂肪食物，如水果、五谷杂粮面包、燕麦片、优格、豆浆、低脂奶、低脂酸奶等。尽量选天然、少添加物的食物。 ​​​​,2012-09-25 11:37,转发,评论,赞,Xperia arc S LT18i,https://weibo.com/2656902127/yDueKCo2I
23,[落叶],是,【十一长假小贴士】1.准备一双舒适的鞋子，外出要少穿新鞋、皮鞋和高跟鞋；2.随身携带水杯，尽量避免使用小餐馆餐具；3.准备好防晒霜，尤其是前往紫外线较强地区游玩；4.携带雨伞、湿巾、创可贴等应急物品；5.贵重物品随身携带，注意防盗。 ​​​​,2012-09-25 11:34,转发,评论,赞,Xperia arc S LT18i,https://weibo.com/2656902127/yDudxy8j9
24,"#全国爱牙日#【什么是“窝沟封闭”】窝沟封闭是预防窝沟龋的最有效方法之一。它是用一种合成的有机高分子树脂材料（对人体无害），涂在牙齿咬合面的窝沟内，材料硬固后,可长期保留在窝沟中，如同形成一层保护性的屏障，隔绝了细菌和酸对牙齿的侵蚀，从而达到预防窝沟龋的发生。 ​​​​",否,,2012-09-24 14:40,2,1,赞,皮皮时光机,https://weibo.com/2656902127/yDm0h5oos
25,#全国爱牙日#【什么是牙齿的“窝沟”？】磨牙（后槽牙）咀嚼食物的咬合面上有许多凹凸不平的点隙裂沟，是牙齿发育过程中钙化不好形成的，我们称之为“窝沟”。它形态复杂、深浅不一，通过刷牙、漱口等方法无法清除窝沟内的细菌和食物残渣，是龋齿最容易发生的部位。 ​​​​,否,,2012-09-24 09:30,转发,评论,赞,皮皮时光机,https://weibo.com/2656902127/yDjYs3RGa
26,警惕秋季腹泻,是,【警惕秋季腹泻，孩子出现以下症状应及时就医】腹泻次数多却不肯喝水或难以喂水；口服补液后还频繁呕吐或腹泻；目光呆滞，呼吸急促，发热，眼窝凹陷，皮肤干燥；意识处于半模糊状态，四肢发冷、肤色改变；不能正常进食，出现口干、体重明显下降；大便带血或小便量减少。by@健康教育何超 ​​​​,2012-09-24 09:22,转发,评论,赞,专业版微博,https://weibo.com/2656902127/yDjVe2zMu
27,留鼻血肿么办,是,【流鼻血怎么办？】小儿流鼻血，90%以上出现在鼻中膈前端，鼻孔往里1.5公分以内的位置，血管网丰富，只要稍微碰撞，就容易破裂出血。流鼻血时，应低头朝下，用手指压住两侧鼻翼，往鼻中膈直接加压止血，约5~10分钟。若重复两次5~10分钟的鼻翼压迫，还是有出血现象，就应立即就医，不宜再尝试自行止血。 ​​​​,2012-09-24 09:20,1,评论,赞,专业版微博,https://weibo.com/2656902127/yDjUptleG
28,#全国爱牙日#【龋病的预防和控制】3.养成早晚刷牙、饭后漱口、睡前不吃零食的良好口腔卫生习惯，掌握正确的刷牙方法，有效控制菌斑。4.少吃含糖食品、含糖饮料，减少进糖次数，养成良好的饮食习惯。 ​​​​,否,,2012-09-21 14:40,转发,评论,赞,皮皮时光机,https://weibo.com/2656902127/yCTIMe7l1
29,//@急诊科女超人于莺: 妞小时候高热惊厥时我打过一次急救电话，通了，我说：3岁孩子，高热惊厥，家住XXX，小区门口的标志物是XXX，我们有人等在小区口，只需普通车，不需监护。前后1分半，挂电话。再提醒大家，平时把看病相关的病历本（全市通用的），医保卡，就诊卡放在一个固定的地方，避免慌乱。,是,《 #我爱问于莺# 不看你会死的急救常识 28—如何打急救电话 》本集中，@急诊科女超人于莺 告诉我们：①记住两个急救的电话：120和999；②接通电话先说病人情况和病史再说地理位置; ③如果有多余的人手请到小区门口接一下急救车。④ 社保卡，医保卡，就诊卡，身份证带齐。O网页链接 ​​​​,2012-09-21 11:20,转发,评论,赞,微博 weibo.com,https://weibo.com/2656902127/yCSpKuQDK
30,#全国爱牙日#【龋病的预防和控制】1.接受专业预防措施，如定期使用含氟牙膏，及时进行窝沟封闭等。2.定期进行口腔检查，早发现、早治疗。牙齿已形成龋洞者应及时进行填充治疗。 ​​​​,否,,2012-09-21 09:30,转发,评论,赞,皮皮时光机,https://weibo.com/2656902127/yCRH5doKh
31,#全国爱牙日#【龋病的危害】3.牙齿因龋坏破坏严重无法治疗拔出后，还会造成相邻牙齿的移位或松动，导致牙齿排列不齐，影响美观及面部形态。 ​​​​,否,,2012-09-20 14:40,转发,评论,赞,皮皮时光机,https://weibo.com/2656902127/yCKik1KtA
