序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,堪称名言,是,,2012-09-21 09:34,转发,评论,赞,微博 weibo.com,https://weibo.com/2722480607/yCRIClSc4
1,为丰富广大社会化退休人员文化生活，中仓街道举办了“幸福生活在社区”征文演讲活动，共有60名社会化退休人员参加此次活动。 ​​​​,否,,2012-09-17 10:58,转发,评论,赞,专业版微博,https://weibo.com/2722480607/yCgyNkY8q
2,为增强居民安全用药的意识，9月13日中仓街道在东里社区举办了“社会化退休人员健康知识讲座”，此次讲座专门聘请了潞河医院营养专家，为辖区40名社会化退休人员讲解了有关药品安全服用方面的知识，受到了退休人员的广泛好评。 ​​​​,否,,2012-09-14 09:25,转发,评论,赞,专业版微博,https://weibo.com/2722480607/yBNFEp05J
3,#钓鱼岛是中国的# 日本铁蹄曾蹂躏过中国的土地，他们犯下的罪行罄竹难书。中国政府和人民不能、也不会再次任人宰割。以史为鉴，绝不让历史重演。 ​​​​,否,,2012-09-11 10:36,1,1,赞,微话题-钓鱼岛是...,https://weibo.com/2722480607/yBlR5uzcm
4,养兵千日，用兵一时。保家卫国，责无旁贷。,是,【解放军报刊文警告日本政府勿在钓鱼岛问题上玩火】解放军报今日刊发署名文章：日本确定钓鱼岛“国有化”方针把钓鱼岛问题带到危机边缘，是二战结束后对中国主权最为赤裸裸挑战，和平须建立在相互尊重基础上，中国绝不以牺牲主权和领土完整为代价，并郑重警告日本政府：不要玩火！O网页链接 ​​​​,2012-09-11 10:03,转发,评论,赞,专业版微博,https://weibo.com/2722480607/yBlDABdkR
5,坚决拥护中央决定 //@北京发布:中国政府在维护领土主权问题上立场坚定不移。,是,【人民日报：中国钓鱼岛岂容他人肆意“买卖”】从日本处理与周边邻国领土主权争端中，丝毫看不出其对过去侵略战争和殖民统治有真诚悔意。无论日本政府如何辩解粉饰，都掩盖不了这一行径的实质是在拿别人的东西进行“买卖”。这种行为是荒唐的，也是非法的，且注定是不可能得逞的！O网页链接 ​​​​,2012-09-11 10:00,转发,评论,赞,专业版微博,https://weibo.com/2722480607/yBlCayVsn
6,其实，全世界都在看中国的行动，如果对日本忍让，领土被侵占，周围很多国家都会加入到蚕食中国领土的行列。所以此先例不可开，否则就会重蹈覆辙啊。 //@北京发布:中国政府在维护领土主权问题上立场坚定不移。,是,【人民日报：中国钓鱼岛岂容他人肆意“买卖”】从日本处理与周边邻国领土主权争端中，丝毫看不出其对过去侵略战争和殖民统治有真诚悔意。无论日本政府如何辩解粉饰，都掩盖不了这一行径的实质是在拿别人的东西进行“买卖”。这种行为是荒唐的，也是非法的，且注定是不可能得逞的！O网页链接 ​​​​,2012-09-11 09:57,转发,评论,赞,专业版微博,https://weibo.com/2722480607/yBlBboQxt
7,转发了。//@四叶草仙翁: 奥巴马麻省理工演讲，谈新能源、可再生能源 O网页链接 - 原文地址：O网页链接 ​​​​,否,,2012-09-05 22:11,转发,评论,赞,新浪微群-英语名...,https://weibo.com/2722480607/yAvQ3lMhG
8,威武。护航十八大。//@陈士渠: 扩散。,是,#十四条便民利民措施解读#【提供12110短信报警求助服务】拓展110受理报警求助渠道，在全国范围内推行12110短信报警求助服务，方便聋哑人或其他群众在特殊情况下报警求助。 ​​​​,2012-09-05 21:51,转发,评论,赞,微博 weibo.com,https://weibo.com/2722480607/yAvHUnP5M
9,收藏。//@思想聚焦: 转发微博,是,#达人投稿# 新鲜出炉！美国第一夫人米歇尔奥巴马（Michelle Obama），在民主党全国大会DNC上的演说，一展母仪天下风范，现场观众欢呼的欢呼、鼓掌的鼓掌、抽泣的抽泣、抹泪的抹泪、感动的噼里啪啦一塌糊涂，高潮部分12分钟。双字幕视频：O网页链接（by@管鑫Sam 翻译 推荐关注他！） ​​​​,2012-09-05 21:35,转发,评论,赞,微博 weibo.com,https://weibo.com/2722480607/yAvBBrp9f
