序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,,是,【适当晒太阳解秋乏】当阴雨天或早晚无阳光时，打开一些照明装置，使屋内光明敞亮，可调动情绪，增强兴奋性。办公室一族，可利用办公间隙到室外散步，晒太阳，呼吸新鲜空气，或增加办公室内灯光照射的强度，提高人体兴奋性。这样可帮助驱离“秋乏”，提高工作效率。 ​​​​,2012-09-17 10:18,转发,评论,赞,iPhone客户端,https://weibo.com/2658503495/yCgiwvF4E
1,[织],是,#预防肠道传染病#【怎样护理腹泻病人？】1.将病人大便的性状、颜色、次数、有无脓血以及大便时有无腹痛等情况详细记录下来，以帮助医生继续诊治。假如病人是第一次去医院，则应该留好大便标本，交医护人员化验，以便医生对症下药。 ​​​​,2012-09-17 10:17,转发,评论,赞,iPhone客户端,https://weibo.com/2658503495/yCginmSFh
2,//@北京西城健康教育:上下班坐车可以提前几站下，花十几分钟走完剩余路程[带感]//@PKU-ZHANG: 其实不用去健身房，每天在家、在单位、在路上都能健身。,是,,2012-09-17 10:17,转发,评论,赞,iPhone客户端,https://weibo.com/2658503495/yCgifngQ3
3,//@北京西城健康教育:一个月饼的热量占一天需要量的1/3[xb压力]，过节吃一个半个意思意思就行了，您可别吃多了[得瑟]//@北京大兴健康教育: 教你看清月饼的热量,是,【教你看清月饼的热量】一颗蛋黄酥的热量等于一碗饭加二勺油；月饼中的鸭蛋黄，半颗就有三百毫克胆固醇，已远远超过人体一天所需的二百毫克；一个月饼约含三到六勺糖，占了一天需要量的1/3；一颗广式莲蓉月饼，等于吃下一碗半白饭加四勺油。所以，选择低卡冰皮月饼是不错的选择。O健康频道 ​​​​,2012-09-17 10:17,1,评论,赞,iPhone客户端,https://weibo.com/2658503495/yCgi8fRas
4,,是,【五种美食帮助你轻松排毒】1、蜂蜜味甘性平，自古是滋补强身排毒养颜佳品。2、胡萝卜味甘性良，养血排毒健脾健胃的有效解毒食物。3、海带味咸性寒，是化痰消炎排毒通便的理想排毒食物。4、木耳味甘性平，是排毒解毒消胃涤肠和血止血的最佳食物。5、黄瓜味甘性平，有明显清热解毒生津止渴的排毒食物。 ​​​​,2012-09-14 09:12,转发,评论,赞,iPhone客户端,https://weibo.com/2658503495/yBNAcCLMZ
5,,是,【食欲与就餐气氛】食欲的好坏与进餐的气氛密切相关。影响进餐气氛的因素主要有：①情绪波动太大后，马上进餐会加重消化器官的负担，降低食欲；②心不在焉时进餐就难以对可口饭菜产生兴趣 ​​​​,2012-09-14 09:11,转发,评论,赞,iPhone客户端,https://weibo.com/2658503495/yBNzVuo4u
6,[织] //@北京健康教育:③疲劳过度，进餐时便会嚼而无味。因此进食时要保持愉快、温暖而又安静的气氛，并且经常更换饭菜的种类，这样才会有良好的胃口。,是,【食欲与就餐气氛】食欲的好坏与进餐的气氛密切相关。影响进餐气氛的因素主要有：①情绪波动太大后，马上进餐会加重消化器官的负担，降低食欲；②心不在焉时进餐就难以对可口饭菜产生兴趣 ​​​​,2012-09-14 09:11,转发,评论,赞,iPhone客户端,https://weibo.com/2658503495/yBNzQdlvj
7,//@北京大兴健康教育:6个习惯让你年轻二十岁,是,"【6个习惯让你年轻二十岁】①清晨醒来时多吃食物。早餐在饮食计划中,起着决定性的作用。醒来后越快吃早餐,新陈代谢速度就提高地越快。②和孩子一样喝奶。一天喝三杯酸奶的女人,会比没喝酸奶的人多消耗60%的脂肪。③睡不好会发胖。④蜂蜜是人体细胞忠实的捍卫者。⑤每天运动。⑥饮食宜粗不宜细。 ​​​​",2012-09-14 09:11,转发,1,赞,iPhone客户端,https://weibo.com/2658503495/yBNzKgGah
8,,是,接种疫苗之后还要做到什么？保证接种部位的清洁，不要见水；接种之后一天之内注意观察体征；如果出现持续发烧等现象，可以就近到医院就医，并向接种单位报告。 ​​​​,2012-09-14 09:10,转发,评论,赞,iPhone客户端,https://weibo.com/2658503495/yBNzzEaqz
9,,是,接种流感疫苗有哪些好处？降低医疗费用，减少抗生素使用，降低老年人及儿童因流感而住院甚至死亡的危险。 ​​​​,2012-09-14 09:10,转发,评论,赞,iPhone客户端,https://weibo.com/2658503495/yBNzkih7Z
