序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,8．进餐后如出现呕吐、腹泻等食物中毒症状时，要立即组织自行救治，可用筷子或手指刺激咽部帮助催吐尽快排出毒物。要及时向当地卫生行政部门报告，并保留所有剩余的食物、有关工具和设备，以备核查中毒原因。  ​​​​,否,,2012-09-25 10:34,16,评论,赞,皮皮时光机,https://weibo.com/2621307784/yDtOTzI6m
1,7．家庭自办宴席时，主办者应了解厨师的健康状况，并临时隔离加工场地，避免闲杂人员进入。 ​​​​,否,,2012-09-25 10:29,2,1,赞,皮皮时光机,https://weibo.com/2621307784/yDtMTsBzR
2,6．养成良好的个人卫生习惯，在烹调食物和进餐前要注意洗手，接触生鱼、生肉和生禽后必须再次洗手。 ​​​​,否,,2012-09-25 10:24,转发,评论,赞,皮皮时光机,https://weibo.com/2621307784/yDtKQ85ex
3,5．加工、贮存食物时要做到生、熟分开；隔夜食品在食用前必须加热煮透后方可食用。  ​​​​,否,,2012-09-25 10:19,转发,评论,赞,皮皮时光机,https://weibo.com/2621307784/yDtINCO1q
4,4．妥善保管有毒有害物品，农药、杀虫剂、杀鼠剂和消毒剂等不要存放在食品加工经营场所，避免被误食、误用。 ​​​​,否,,2012-09-25 10:14,转发,评论,赞,皮皮时光机,https://weibo.com/2621307784/yDtGM4125
5,3．要做好自备水井的防护，保证水质卫生安全；不要饮用未经煮沸的生活饮用水。 [不要]  ​​​​,否,,2012-09-25 10:09,转发,1,赞,皮皮时光机,https://weibo.com/2621307784/yDtEKsN7E
6,2．购买和食用定型包装食品时，请注意查看有无生产日期、保质期和生产单位，不要食用超过保质期的食品。建议不要购买散装白酒和植物油。 [冒个泡]  ​​​​,否,,2012-09-25 10:04,转发,评论,赞,皮皮时光机,https://weibo.com/2621307784/yDtCK4Tyd
7,#节日预警#两节临近，通州卫生监督提醒您节日期间应防范的食品安全注意事项。[xb自信] 1、要保证食物卫生、安全，不要采摘、捡拾、购买、加工和食用来历不明的食物、死因不明的畜禽或水产品以及不认识的野生菌类、野菜和野果。 ​​​​,否,,2012-09-25 09:45,4,评论,赞,微博 weibo.com,https://weibo.com/2621307784/yDtvdue62
8,转发微博,是,【洋葱对身体的八大益处】①有降血压作用；②具有降血脂、抗动脉硬化作用；③能降低血小板的粘滞性，预防血栓；④能抑制胃癌、食道癌、结肠癌、乳腺癌等；⑤能助性，提高性生活质量；⑥预防骨质疏松；⑦使皮肤光洁、红润而富有弹性，具美容作用。⑧可防治肠炎痢疾。洋葱是好东西哟~ ​​​​,2012-09-25 08:53,1,评论,赞,微博 weibo.com,https://weibo.com/2621307784/yDta8dGU2
9,转发微博,是,#卫生监督在行动# 近日，@北京通州卫生监督 与梨园镇政府等部门联合对梨园镇25家托幼园所进行监督检查，大多数托幼园所在9月1日开园后高度重视公共卫生安全工作，成立传染病防控领导小组，建立健全各项卫生档案及制度，对幼儿的毛巾、玩具、桌椅等日常用品的消毒工作到位。详情：O网页链接 ​​​​,2012-09-25 08:53,转发,评论,赞,微博 weibo.com,https://weibo.com/2621307784/yDta4EIc5
10,"#健康播报#秋季腹泻有哪些特征？】①易患时间:9~11月份是秋季腹泻的流行季节,11~12月份为高峰期;②易患人群:6个月～3岁的婴幼儿,营养不良、佝偻病、贫血和体弱多病的婴幼儿较易患此病;③常见症状:先吐后泻,伴发热,大便次数每日在10次以上,呈水样或蛋花样,花绿色或乳白色,带少许粘液或脓血,无腥臭味。   ​​​​",否,,2012-09-24 09:50,2,2,赞,皮皮时光机,https://weibo.com/2621307784/yDk6Cf76j
