序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,【人生七笑】1.被人误解的时候能微微一笑，是一种素养；2.受委屈的时候能坦然一笑，是一种大度；3.吃亏的时候能开心一笑，是一种豁达；4.无奈的时候能达观一笑，是一种境界；5.危难的时候能泰然一笑，是一种大气；6.被轻蔑的时候能平静一笑，是一种自信；7.失恋的时候能轻轻一笑，是一种洒脱。早上好。 ​​​​,否,,2012-09-29 07:40,37,3,1,微博 weibo.com,https://weibo.com/2590508300/yE4oyprO2
1,转发微博,是,【中共中央决定给予薄熙来开除党籍、开除公职处分】新华社北京9月28日电 9月28日，中共中央政治局会议审议并通过中共中央纪律检查委员会《关于薄熙来严重违纪案的审查报告》，决定给予薄熙来开除党籍、开除公职处分，对其涉嫌犯罪问题及犯罪问题线索移送司法机关依法处理。（全文见长微博） ​​​​,2012-09-29 07:39,1,评论,赞,微博 weibo.com,https://weibo.com/2590508300/yE4o5aezN
2,转发微博,是,9月28日下午，中国·宋庄艺术品交易网启动暨艺术家签约仪式在通州区宋庄镇隆重举行，艺术宋庄网正式上线，并现场与宋庄100艺术家签约。 @2012中国艺术品产业博览会 @北京市通州 ​​​​,2012-09-29 07:38,3,1,赞,微博 weibo.com,https://weibo.com/2590508300/yE4nO1VcA
3,转发微博,是,【宋庄一角】漫步宋庄，随处可见艺术感十足的雕塑、建筑~~ ​​​​,2012-09-28 17:20,2,2,赞,专业版微博,https://weibo.com/2590508300/yDYLw27os
4,转发微博,是,【宋庄国画院】宋庄国画院是一所集中国画创作、研究、交流、收藏、展览、教学为一体的综合性画院，其前身为上上美术馆。国画院内碧草如茵，翠竹环绕，荷池映带其间，荡漾着一股浓郁的人文气息。在9月26日-10月2日举办的#中国艺术品产业博览会中#，宋庄国画院将成为工艺中国展的展览场所。 ​​​​,2012-09-28 17:20,2,1,赞,专业版微博,https://weibo.com/2590508300/yDYLfu27C
5,转发微博,是,【宋庄一角】夜幕降临前的“小堡文化广场”~喷泉~灯光~花卉~行人~还有继续忙碌的工人们，艺博会，为宋庄带来了更多的改变~~ ​​​​,2012-09-28 17:20,2,评论,赞,专业版微博,https://weibo.com/2590508300/yDYLbmYOE
6,转发微博,是,【国中美术馆】国中美术馆位于中国宋庄国防艺术区中心区域，依山而建，环境优美，是中国国内第一家将红酒文化与书画艺术相结合的民间美术馆。在即将开幕的#中国艺术品产业博览会#中，它将汇聚五大洲三十家驻华使馆的上千件艺术精品，涉及到绘画、雕塑、工艺美术等诸多门类~ @宋庄网 @宋庄美术馆 ​​​​,2012-09-28 17:19,1,1,赞,专业版微博,https://weibo.com/2590508300/yDYL3ocJg
7,转发微博,是,9月22日，中国宋庄艺术品交易网签约著名画家捐赠笔会在宋庄镇钟莲生艺术馆举办。来自国画、油画、书法等领域艺术家以文会友，现场创作，每人贡献4-5幅作品，作品将被#艺博会#收藏，并进行国际交流。@禾斗油画 @三藏梵音 ​​​​,2012-09-28 17:19,转发,评论,赞,专业版微博,https://weibo.com/2590508300/yDYL088gc
8,转发微博,是,笔会现场，宋庄艺术家挥毫泼墨，作品将会被收藏并用于国际展览。@中国国家画廊 ​​​​,2012-09-28 17:19,转发,评论,赞,专业版微博,https://weibo.com/2590508300/yDYKTCVKo
9,转发微博,是,最喜欢这种简简单单却耐人寻味的油画！喜欢的童鞋请举手？2012年#中国艺术品产业博览会#9月26日，即将在宋庄举办，喜欢看画的朋友不能错过哦！@蓝正辉重水墨  ​​​​,2012-09-28 17:19,转发,评论,赞,专业版微博,https://weibo.com/2590508300/yDYKOBuHR
10,转发微博,是,【五大洲5000余件艺术珍品，将全部免费向游客开放】今天，#艺博会#就要开幕了，届时将有来自五大洲的5000余件艺术珍品、各国使馆馆藏艺术品、200个艺术家工作室向游客免费开放，欢迎大家的光临！@新华视点 @京华时报 ​​​​,2012-09-28 17:18,1,评论,赞,专业版微博,https://weibo.com/2590508300/yDYKFrRH9
11,转发微博,是,#艺博会#期间，除了七大展馆的展览外，艺博会还将在宋庄美术馆、小堡文化广场、大红大紫、上上国际美术馆、国防艺术区、古玩城、公共服务平台等重要区域展示包括孙伟、朱尚憙等在内的艺术大师的9件雕塑作品，为大众呈现一场艺术盛宴。@99艺术网 @雅昌艺术网官方微博 ​​​​,2012-09-28 17:18,转发,评论,赞,专业版微博,https://weibo.com/2590508300/yDYKCbOF1
12,转发微博,是,【宋庄一角】原创博展中心，门前的雕塑是不是很有创意~~#艺博会#期间，你能欣赏到很多这样有创意的雕塑作品，一定不要错过哦~~@宋庄艺术促进会网站 @宋庄美术馆 ​​​​,2012-09-28 17:18,转发,评论,赞,专业版微博,https://weibo.com/2590508300/yDYKzetI3
13,转发微博,是,上上国际艺展中心已经贴好了横幅，等着您的到来~~@上上国际艺术 ​​​​,2012-09-28 17:18,转发,评论,赞,专业版微博,https://weibo.com/2590508300/yDYKxbucQ
14,转发微博,是,【画家林平画室】林平，一位来自海西名门巨擘、一位浸润于钟灵毓秀人间美景的画家、一位竭力创新挑战国画极限的追求者。图为林平画家工作室的一角~~@林研的V博 ​​​​,2012-09-28 17:18,转发,评论,赞,专业版微博,https://weibo.com/2590508300/yDYKtkTOH
