序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,北京通州消防支队全体官兵祝福亲爱的你们，中秋节快乐，合家团圆，幸福安康！ ​​​​,否,,2012-09-30 09:27,1,7,赞,三星Galaxy SIII,https://weibo.com/2281486434/yEewm3DXx
1,"【节假日一定注意交通安全】~昨日上午9时一辆从天津开往北京的旅游巴士在京沪高速追尾撞上一辆重型箱式挂车，车上的乘客是一支由近50人组成的“中老年人旅行团”全部人员人被困车内~接到报警后通州消防火速救援成功，万幸的是除司机被卡受伤外,车内老年团乘客主要以惊吓过度为主，基本没有受伤。 ​​​​",否,,2012-09-29 09:47,18,5,赞,360安全浏览器,https://weibo.com/2281486434/yE5e0eNzU
2,#每日火情#大家来看看！,是,#每日火情# ​​​​,2012-09-29 09:33,转发,2,赞,微博 weibo.com,https://weibo.com/2281486434/yE585vGb5
3,外出游玩要带好必要药品。,是,旅游#微提示#外出游玩要带好必要药品：秋季正值季节性流感等呼吸道传染病流行期，一旦出现高热不退、咳嗽严重等情况，要及时就诊。老人、儿童、慢性病患者及体弱多病者等，应该接种流感疫苗。预防感冒、腹泻、晕车等药以及创可贴等，要提前备好。一旦发生外伤或疑似疾病，应到正规的诊所就诊。 ​​​​,2012-09-28 09:44,转发,评论,赞,微博 weibo.com,https://weibo.com/2281486434/yDVM7FUlL
4,这样的人怎么为人师表！,是,【幼儿园老师狠摔自闭症幼儿 小孩当场昏迷】2012年7月2日上午，许立欢在该服务中心二楼体育室内上课期间，因四岁多的自闭症幼儿小瑶做运动时不配合，许立欢拉起小瑶的双手将其凌空吊起，快速向后将其甩在地上，而后又拉起小瑶双脚原地360度翻转。小瑶头部撞在地上，马上昏迷不醒。O网页链接 ​​​​,2012-09-28 09:40,3,2,赞,微博 weibo.com,https://weibo.com/2281486434/yDVKz5f3X
5,#每日火情# 大家来看看！,是,#每日火情# ​​​​,2012-09-28 09:37,转发,评论,赞,政府版微博,https://weibo.com/2281486434/yDVJseH5g
6,火灾往往就是因为我们不经意的一个举动而发生了。希望烟民们能引以为戒。,是,『一个烟头烧掉七百多万』近日，南京建邺法院审理了这样一起失火罪案件。去年6月，陆某在某物流公司仓库内违规吸烟被制止，他误将未熄灭的烟蒂置于纸篓中，引发火灾并烧毁仓库内木地板、卫浴五金、烟酒等财物，经鉴定，共造成损失人民币7525564.61元。对自己的行为，陆某后悔不迭。O网页链接 ​​​​,2012-09-27 16:18,3,1,赞,微博 weibo.com,https://weibo.com/2281486434/yDOVyogoW
7,【自驾车去西藏，你肯定没见过这么牛的】一位牛人，刚拿到驾照就迫不及待买了辆越野车，车牌都没上就踏上了魂牵梦绕的西藏之旅。之后发生的事情，消防员五体投地。路过青海湖，谁能看出这是一辆连磨合期都没过的新车呢？「转」 ​​​​,否,,2012-09-27 10:17,19,8,赞,360安全浏览器,https://weibo.com/2281486434/yDMz3fQWV
8,哇哦~~MINI 消防员哦~~~~好可爱~,是,#课桌上的消防员#~ ​​​​,2012-09-26 10:36,转发,3,赞,360安全浏览器,https://weibo.com/2281486434/yDDglvU4w
9,#每日火情#大家来看看！,是,#每日火情# ​​​​,2012-09-26 09:36,转发,评论,赞,微博 weibo.com,https://weibo.com/2281486434/yDCS9iJk4
10,各位，早上好！ ​​​​,否,,2012-09-26 08:46,2,4,赞,微博 weibo.com,https://weibo.com/2281486434/yDCxCkJD1
11,命悬一刻，危难时刻，请相信，有我们在！！！@COFCO段振亮 ​​​​,否,,2012-09-26 07:39,14,7,赞,三星Galaxy SIII,https://weibo.com/2281486434/yDC6pkoDS
12,#每日火情#大家来看看！,是,#每日火情# ​​​​,2012-09-25 09:45,1,1,赞,微博 weibo.com,https://weibo.com/2281486434/yDtv93pOY
13,家庭防火有四宝，不知你家有木有？ ​​​​,否,,2012-09-24 14:36,3,1,赞,微博 weibo.com,https://weibo.com/2281486434/yDlYRiUlu
14,//@湖南消防: #最美消防员# //@广州消防:#英姿消防#很感动~这就是消防员的真实生活~,是,2012北京通州消防【终极视频】新鲜出炉了~前段时间发布了片花~消防员再接再厉做出了这个短片~大家可以从这个短片了解#消防员#的真实生活 同时也能提高自我安全防范意识哦~我们花了1个星期时间做的 1个星期的时间就是希望大家能够了解我们并关注消防~大家记得收藏哦~视频：O网页链接 ​​​​,2012-09-24 12:07,2,1,赞,360安全浏览器,https://weibo.com/2281486434/yDl0eDk0e
