序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,节假日切忌大吃大喝，生活不规律哦~ ​​​​,否,,2012-09-29 10:13,转发,评论,赞,微博桌面,https://weibo.com/2652956713/yE5oAfvDQ
1,祝大家身体健康，节日欢乐。 ​​​​,否,,2012-09-29 09:42,转发,评论,赞,微博桌面,https://weibo.com/2652956713/yE5c3F28r
2,当然还有一种BMI指数，即体重指数。BMI=体重（kg）÷身高（m）^2 。专家指出最理想的体重指数是22。,是,评价自己的体重常用的方法是标准体重法。1）女性的标准体重（公斤）=身高（厘米）－105。2）男性的标准体重（公斤）=身高（厘米）－100。凡是超过标准体重10%者为偏重，超过20%以上者为肥胖，低于10%者为偏瘦，低于20%者为消瘦。 ​​​​,2012-09-21 08:28,转发,评论,赞,微博桌面,https://weibo.com/2652956713/yCRi3zk2q
3,评价自己的体重常用的方法是标准体重法。1）女性的标准体重（公斤）=身高（厘米）－105。2）男性的标准体重（公斤）=身高（厘米）－100。凡是超过标准体重10%者为偏重，超过20%以上者为肥胖，低于10%者为偏瘦，低于20%者为消瘦。 ​​​​,否,,2012-09-21 08:25,1,评论,赞,微博桌面,https://weibo.com/2652956713/yCRgAfEA1
4,再重复一遍，一日的三餐应遵循“早餐要吃好，午餐要吃饱，晚餐清淡并要早”的原则。 ​​​​,否,,2012-09-21 08:24,转发,1,赞,微博桌面,https://weibo.com/2652956713/yCRgkkcsy
5,求防身用创意,是,发明紧急求生胸罩的#搞笑诺奖#获得者Dr. Elena Bodnar上场了，她现场解开了胸罩，把带着体温的胸罩捂在了旁边的人的脸上。因为她膝盖中了两箭，于是在膝盖上还绑着两…… O网页链接 ​​​​,2012-09-21 08:23,1,评论,赞,微博桌面,https://weibo.com/2652956713/yCRfU1kld
6,转给要做父母的夫妻,是,【宝宝学步别拉胳膊】宝宝学走路，千万别拉它的胳膊！否则很容易导致宝宝桡骨头半脱位，又称牵拉肘，宝宝会很疼，胳膊可能也动不了。可改成扶着宝宝的身体走，上阶梯时，牵住宝宝肘部以上的部位。记住，也不要和宝宝玩提起前臂旋转的游戏！ ​​​​,2012-09-21 08:22,转发,评论,赞,微博桌面,https://weibo.com/2652956713/yCRfooTIM
7,"健康教育与健康促进工作很重要啊//@健康教育何超:是//@proactive2011: 不知道@健康教育何超 所说的“卫生宣传、健康教育和健康促进”对应的英文是否为：health advocacy,health education and heath promotion//@毛群安: 向坚持从事健康教育的人们表示敬意！",是,,2012-09-05 10:06,转发,评论,赞,微博桌面,https://weibo.com/2652956713/yAr5RxN4w
8,【千步活动量时间】在水平硬表面以3千米/小时速度慢速行走 20分钟；下楼、下山 10分钟；中慢速上楼 7分钟 ；0.5公斤~7公斤负重上楼 5分钟；7.5公斤~11公斤负重上楼 4分钟。 ​​​​,否,,2012-09-05 08:58,转发,评论,赞,微博桌面,https://weibo.com/2652956713/yAqEcfrLV
9,【如何搭配一日三餐】一日的三餐应遵循“早餐要吃好，午餐要吃饱，晚餐清淡并要早”的原则。既食物的能量分配为：早餐占25%~30%，午餐占30%~40%，晚餐占30%~40%。 ​​​​,否,,2012-09-05 08:57,转发,评论,赞,微博桌面,https://weibo.com/2652956713/yAqDF9ynJ
10,【健康生活从细节做起】定期体检，把投资健康作为最大回报；不吸烟、不酗酒，尽量不熬夜，戒烟限酒，规律作息；天天有奶豆制品，多吃水果蔬菜，控油限盐；食不过量，规律用餐。 ​​​​,否,,2012-09-05 08:56,转发,评论,赞,微博桌面,https://weibo.com/2652956713/yAqDozb1W
11,【健康生活从细节做起】限盐勺：一日三勺不超标。限盐勺每平勺的分量正好是2克。专家们发现，如果把限盐勺可配合限盐罐使用，把一日三餐一家人的用盐量一次性的装入限盐罐里。这样，一天不管你做几顿饭，你都能很好把握全家人一天的用盐总量，不会超标了。 ​​​​,否,,2012-09-05 08:55,转发,评论,赞,微博桌面,https://weibo.com/2652956713/yAqCYA1eT
12,【健康生活从细节做起】控油壶：每人每天25毫升，壶上有多个容量刻度，每刻度为50毫升，最顶端的刻度是500毫升，正好相当于1个三口之家从周一到周日的“健康用油量”。壶上刻度可提醒市民，要控制每顿饭、每道菜的用油量。 ​​​​,否,,2012-09-05 08:54,转发,评论,赞,微博桌面,https://weibo.com/2652956713/yAqCF5XIQ
13,【健康生活方式】吸烟、酗酒、缺乏运动、膳食不合理等不良生活方式所导致的高血脂、高血压、高血糖、肥胖等，已成为影响市民健康素质的大敌。 ​​​​,否,,2012-09-03 09:06,转发,评论,赞,微博桌面,https://weibo.com/2652956713/yA7QnCxL6
14,【健康生活方式】将每年的9月1日作为全民健康生活方式日，不断强化健康意识，长期保持健康的生活方式。 ​​​​,否,,2012-09-03 09:05,转发,评论,赞,微博桌面,https://weibo.com/2652956713/yA7Q99UnT
15,【健康生活方式】少静多动，适度量力，不拘形式，贵在坚持。 ​​​​,否,,2012-09-03 09:05,转发,评论,赞,微博桌面,https://weibo.com/2652956713/yA7Q24oqF
16,【健康生活方式】合理搭配膳食结构，规律用餐，保持营养平衡，维持健康体重。 ​​​​,否,,2012-09-03 09:05,转发,评论,赞,微博桌面,https://weibo.com/2652956713/yA7PUEPWu
17,【健康生活方式】树立健康新形象。改变不良生活习惯，不吸烟，不酗酒，公共场所不喧哗，保持公共秩序，礼貌谦让，塑造健康、向上的国民形象。 ​​​​,否,,2012-09-03 09:04,转发,评论,赞,微博桌面,https://weibo.com/2652956713/yA7PMotnZ
18,【健康生活方式】追求健康，学习健康，管理健康，把投资健康作为最大回报，将“我行动、我健康、我快乐”作为行动准则。 ​​​​,否,,2012-09-03 09:04,转发,评论,赞,微博桌面,https://weibo.com/2652956713/yA7PC41uC
19,【健康生活方式】为提高全民健康意识和健康生活方式行为能力，有效控制心血管疾病、糖尿病、慢性呼吸道疾病、癌症等主要慢性病的危害及其危险因素水平，疾病预防控制局、全国爱卫会办公室和中国疾病预防控制中心共同发起了以“和谐我生活，健康中国人”为主题的全民健康生活方式行动。 ​​​​,否,,2012-09-03 09:03,转发,评论,赞,微博桌面,https://weibo.com/2652956713/yA7PfjH77
20,//@辽宁健康教育与促进:   积极开展第6个#全民健康生活方式日#行动，促进全民健康,是,#全民健康生活方式日#“平衡膳食，健康体重”六部曲：第六步，美食之后，不想走路？走路太单调？那你也可以选择其他方式让自己的身体动起来哦！ ​​​​,2012-08-31 14:41,1,评论,赞,微博 weibo.com,https://weibo.com/2652956713/yzHKYeY2K
21,转发微博,是,【二十种不能混吃的食物】为了健康，必须记住。#小智慧# ​​​​,2012-08-31 14:41,转发,评论,赞,微博 weibo.com,https://weibo.com/2652956713/yzHKUopaO
22,转发微博,是,【感冒后听力差，快排除中耳炎！】3-8岁儿童最易罹患渗出性中耳炎，这种耳病有时可在感冒后突然发生，孩子会出现听力减退或注意力不集中，感到耳闷、耳鸣。如未及时治疗，渗出液逐渐增加、粘稠度增高，会形成胶冻状，发生中耳粘连、鼓膜萎缩、听力急剧下降。郑州市第三人民医院耳鼻喉科副主任张智风 ​​​​,2012-08-31 14:36,1,评论,赞,微博 weibo.com,https://weibo.com/2652956713/yzHJ4B8uR
23,转发微博,是,【请记住这8个健康的生活习惯】1、每天喝杯绿茶。2、最少开窗半小时。3、常吃葱和蒜。4、每天晒15分钟太阳。5、每天散步。6、吃饭细嚼慢咽。7、每天睡够7小时。8、少吃糖和加工肉制品。 ​​​​,2012-08-31 14:36,转发,评论,赞,微博 weibo.com,https://weibo.com/2652956713/yzHIWlQ5Z
24,转发微博,是,【4个小妙招，教你做豆腐不易碎】豆制品是非常好的食材哦，习惯做菜的童鞋们一定要学学哦！#小窍门# ​​​​,2012-08-31 14:35,转发,评论,赞,微博 weibo.com,https://weibo.com/2652956713/yzHIxvooV
25,转发微博,是,#我是徒步达人#【100公里 极限挑战徒步路线（2012-09-15）】斋堂镇文化广场—爨底下—柏峪—天津关—黄草梁—实心楼—马鞍梁—向阳水—榆树湾—八里石堂—龙门大裂谷—沿河口—幽州大峡谷北京界（折返）—沿河古城—珍珠湖—沿河古城—沿河口—王龙口—林子台—牛战—白虎头—高铺—斋堂镇文化广场。 ​​​​,2012-08-31 14:34,转发,评论,赞,微博 weibo.com,https://weibo.com/2652956713/yzHI912Jh
26,@真噶白玛,是,【清肠绝招：吃苹果】专家点评：苹果的纤维素含量比一般水果高，而且苹果中还含有一些果胶，会使大便变软，对排便有帮助。但是，对于那些肠道问题比较严重的人来说，靠苹果清肠排便效果不会太明显。 ​​​​,2012-08-31 14:34,转发,1,赞,微博 weibo.com,https://weibo.com/2652956713/yzHI62H5c
27,9．救：要学习一定的医救知识，准备一些必备药品，以在灾害期间，医疗系统不能正常工作的情况下，及时自救和救治他人。 10．保：为减少个人和家庭的经济损失，除了个人保护以外，还要充分利用社会的防灾保险。 ​​​​,否,,2012-08-29 08:15,转发,评论,赞,微博桌面,https://weibo.com/2652956713/yzmnihdVV
28,7．避：灾前作好个人和家庭躲避和抗御灾害的行动安排，选好避灾的安全地方，一旦灾害发生，个人和组织大家进行避灾。 8．断：在救灾行动中，首先要切断可能导致次生灾害的电、火、煤气等灾源。 ​​​​,否,,2012-08-29 08:15,转发,评论,赞,微博桌面,https://weibo.com/2652956713/yzmnaA5jH
29,4．察：注意观察研究周围的自然变异现象，有条件的话，也可以进行某些测试研究。 5．报：即一旦发现某种异常的自然现象，不必惊恐。 但要尽快向有关部门报告，请专业部门判断。 6．抗：灾害一旦发生，首先应该发扬大无畏精神，召唤群众，组织大家和个人自卫。 ​​​​,否,,2012-08-29 08:14,转发,评论,赞,微博桌面,https://weibo.com/2652956713/yzmn228OS
30,面对自然灾害，每个人都应尽量按以下十个字去做： 1．学：学习有关各种灾害知识和减灾知识。 2．听：经常注意收听国家或地方政府和主管灾害部门 发布的灾害信息，不听信谣传。 3．备：根据面临灾害的发展，做好个人、家庭的各种行动准备和物质、技术准备，保护灾害监测、防护设施。 ​​​​,否,,2012-08-29 08:14,转发,评论,赞,微博桌面,https://weibo.com/2652956713/yzmmU2f5T
31,【水灾逃生】当发洪水或在山地，想涉水越过溪流是很危险的。假如非过河不可，尽可能找桥，从桥上通过。假如无桥，非涉水不可，不要选择最狭窄地方通过。要找宽广的地方，溪面宽的地方通常都是最浅的地方。 ​​​​,否,,2012-08-23 14:40,转发,评论,赞,微博桌面,https://weibo.com/2652956713/yyukk5Jlc
32,【水灾逃生与自救常识】当你在开阔地带驾车遇上洪水时，你应把车迎着洪水开过去，并闭紧窗户。如果让洪水冲到你车的侧面，它会把车掀翻并卷走。如你处在峡谷或山地，要迅速驶向高地。 ​​​​,否,,2012-08-23 14:39,转发,评论,赞,微博桌面,https://weibo.com/2652956713/yyujZ84De
33,【水灾生存常识】远离高压线塔，电线杆，掉落的电线等。位上涨半尺，所造成的损失也是惊人的。因此在门槛和窗台处堆上装土的沙袋很有效。山区道路上的水位差异，远远大于你的估计。不论驱车或者步行，千万小心查看再通过。 ​​​​,否,,2012-08-22 15:26,1,评论,赞,微博桌面,https://weibo.com/2652956713/yylcDgbeM
34,【水灾生存常识】发生水灾时，第一时间转移到高地，远离低洼地和峡谷。如果是平房，就爬上房顶。不要轻易离开房顶，等待救援。 ​​​​,否,,2012-08-22 15:25,转发,评论,赞,微博桌面,https://weibo.com/2652956713/yylcc4TAd
