序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,北关东路社区参加拱辰街道办事处开展的第十五届推广普通话宣传周活动，以“大力推广和规范使用国家通用语言文字”为主题，通过展板、横幅、发放宣传材料等形式，积极宣传推广普通话的意义，营造与和谐社会相适应的和谐语言生活。 ​​​​,否,,2012-09-29 14:52,1,评论,赞,专业版微博,https://weibo.com/2017832595/yE7dPmR81
1,发表了博文 《老有所养，病有所医》 - 北关东路社区于2012年9月29日上午，为张红艳等5人发放由市计划生育协会为特扶家庭免费办理的“暖心卡”，为他们提供养老保险、疾病身故保险、意外伤害身故保险、意 O网页链接 ​​​​,否,,2012-09-29 11:27,1,评论,赞,新浪博客,https://weibo.com/2017832595/yE5SyePlb
2,发表了博文 《北关东路社区开展灾后健康教育及心理健康疏导活动》 - 北关东路社区于2012年9月27日特邀北京大学医学部研究生到我社区为辖区居民讲解在应对自然灾害时的防灾自救措施，同时针对我社区居民提 O网页链接 ​​​​,否,,2012-09-27 19:18,2,评论,赞,新浪博客,https://weibo.com/2017832595/yDQ6RA1hS
3,发表了博文 《北关东路社区参加北京市“魅力社区大舞台”展风采》 -  自今年五月份开始我社区艺术团精心编排的节目《祖国万岁》、《魅力社区之歌》在由14个区县，580个节目参加的“魅力社区大舞台”评选活 O网页链接 ​​​​,否,,2012-09-25 09:54,1,评论,赞,新浪博客,https://weibo.com/2017832595/yDtyQ1BwB
4,发表了博文 《拱辰街道北关东路社区艺术团走进农村星火演出》 - 近日，北关东路社区艺术团到良乡镇黑古台村、江村和张谢村，开展星火工程文艺演出，在中秋节、国庆节到来之际为村民们送去节日的祝福。 黑古台村 O网页链接 ​​​​,否,,2012-09-24 17:22,1,评论,赞,新浪博客,https://weibo.com/2017832595/yDn3Yo5au
5,社区艺术团参加“炫动北京 魅力绽放”魅力社区大舞台汇演暨魅力社区艺术团成立仪式演出。 ​​​​,否,,2012-09-24 10:08,2,评论,赞,专业版微博,https://weibo.com/2017832595/yDkdOpOds
6,北关东路社区艺术团赴良乡镇江村、黑古台村和张谢村星火演出！ ​​​​,否,,2012-09-22 11:04,2,评论,赞,专业版微博,https://weibo.com/2017832595/yD1JQuQAj
7,今天“长阳杯”门球赛良乡门球分会报名会在我社区活动室举行 ​​​​,否,,2012-09-22 09:04,3,评论,赞,专业版微博,https://weibo.com/2017832595/yD0XcrEVU
8,转发微博,是,【北京动物园白熊馆“十一”开放，4只北极熊回家度中秋】“十一”期间，北京动物园的白熊馆将于正式对游客开放，到时候大家可能有机会看到美美、乐乐、平平、安安这4只可爱的北极熊。它们已阔别北京两年，如今“远游”回来正准备搬入新家。据了解，在新白熊馆里游客站在玻璃墙前近距离观看北极熊。 ​​​​,2012-09-21 14:25,转发,评论,赞,微博 weibo.com,https://weibo.com/2017832595/yCTCV1oFC
9,发表了博文 《市区领导到北关东路社区检察指导社区信息化建设工作》 - 9月19日，市经信委社会信息化处处长彭雪海带领考察团成员到我社区检查指导信息化建设工作。区经信委、区社工委、街道领导陪同检查。 社 O网页链接 ​​​​,否,,2012-09-20 10:09,1,评论,赞,新浪博客,https://weibo.com/2017832595/yCIwqfaRw
10,我社区举办“北京精神在社区”征文颁奖仪式 ​​​​,否,,2012-09-20 10:06,1,评论,赞,专业版微博,https://weibo.com/2017832595/yCIv6EpYY
11,#新浪博客七周年#我的博客今天1岁195天了，我领取了新锐博主徽章。原文地址:O网页链接。你也来领取属于你的博客徽章吧:O网页链接 ​​​​,否,,2012-09-19 09:18,1,评论,赞,新浪博客,https://weibo.com/2017832595/yCyL7fYzj
12,发表了博文 《北关东路社区与华北电力大学“红色1+1”共建活动正式启动》 - 9月15日上午，北关东路社区党总支以共驻共建、共创文明、共同提高为原则与华北电力大学能动力学院形成共建，双方首先签订了共建 O网页链接 ​​​​,否,,2012-09-17 16:19,1,评论,赞,新浪博客,https://weibo.com/2017832595/yCiFfdnrk
13,转发微博,是,【凤言凤语】一剂生命的药方。好心肠一条，慈悲意一片，道理三分，敬人十分，道德一块，老实一个，中直十成，豁达全用，方便不拘多少。此十味药，用包容锅炒，用宽心炉炖，不要焦，不要躁，去火性三分，于整体盆中研碎，三思为本，鼓励做丸药，每日进三副，不限时，用关爱汤服下。《包容的智慧》 ​​​​,2012-09-11 16:53,转发,评论,赞,专业版微博,https://weibo.com/2017832595/yBojWsHFy
14,发表了博文 《北关东路社区创建学习型党组织党员学习交流会》 -  2012年9月11日上午9点，北关东路社区党总支在新建成的党员活动室召开创建学习型党组织党员学习交流会。会上，社区党总支特别邀请社区老 O网页链接 ​​​​,否,,2012-09-11 16:05,1,评论,赞,新浪博客,https://weibo.com/2017832595/yBo0ntvsC
15,老旧小区改造行动在我社区全面开始，为社区老楼更换节能保温窗和加装保温层 ​​​​,否,,2012-09-11 13:53,1,评论,赞,专业版微博,https://weibo.com/2017832595/yBn91sfAY
16,"分享个好玩的活动给你们，都来看看吧。""丝塔芙官方授权旗舰店开业四周年，转发送大礼！"" O网页链接",是,#官方授权放心败#大品牌满200减100，不败不行！9月11日庆丝塔芙官方授权旗舰店开业四周年，@丝塔芙Cetaphil 全场【满200立减100】还有0元抽大奖>>O网页链接，仅此一天！转发微博，即有机会赢取丝塔芙洁面乳1支！错过一天，遗憾万分！快来抢购吧！ O网页链接 ​​​​,2012-09-11 12:55,转发,评论,赞,微活动-丝塔芙官...,https://weibo.com/2017832595/yBmLui0ki
17,转发微博,是,#出行提示#9：55，市气象台发布暴雨蓝色预警，受较强降雨云团影响，预计未来3小时本市城区的南部将出现小时雨量达到20毫米的短时强降水，请您注意出行安全。 ​​​​,2012-08-27 10:31,转发,评论,赞,微博 weibo.com,https://weibo.com/2017832595/yz4po7Ger
18,转发微博,是,#微关注#小编这的雨已经从小雨转成中、大雨了，豆大的雨点滴在地上噼里啪啦的，天还雾蒙蒙的，您那里不知怎样呢？雨天出行，咱们要格外注意安全。[同意]小编帮您整理了点雨天行车小提醒，希望能对您的出行有所帮助。 ​​​​,2012-08-27 10:07,转发,评论,赞,微博 weibo.com,https://weibo.com/2017832595/yz4fH6wEB
19,2012年魅力社区系列活动综合表演请支持218号歌伴舞《祖国万岁》—房山区拱辰街道北关东路社区 O网页链接 ​​​​,否,,2012-08-24 16:57,2,评论,赞,微博 weibo.com,https://weibo.com/2017832595/yyEEPwQtJ
20,发表了博文 《区委老干部局领导到北关东路社区慰问离休老干部》 - 北关东路社区现有离休老干部14名，其中10名老干部常年卧病在床，行动不方便。近日，房山区委老干部局领导在详细了解老干部身体和生活需求的 O网页链接 ​​​​,否,,2012-08-24 10:46,1,评论,赞,新浪博客,https://weibo.com/2017832595/yyCe4f5qb
21,北关东路社区现有离休老干部14名，其中10名老干部常年卧病在床，行动不方便。近日，房山区委老干部局领导在详细了解老干部身体和生活需求的基础上，购买了轮椅、浴凳等用品送到老干部家中，为老干部的晚年生活提供有力保障，让他们感受到党和政府对他们的关怀，赢得了老干部的好评。 ​​​​,否,,2012-08-23 17:59,1,评论,赞,微博 weibo.com,https://weibo.com/2017832595/yyvDadrgC
22,发表了博文 《房山区新一届大学生社工到北关东路社区参观》 - 8月21日下午，房山区新一届大学生社区工作者一行40人来到北关东路社区参观，与我社区工作者一同学习、交流，共同探讨如何做好新时期社区工作。 O网页链接 ​​​​,否,,2012-08-23 09:36,2,评论,赞,新浪博客,https://weibo.com/2017832595/yysl17fUo
23,7.21特大暴雨致使房山区许多农村房屋被冲毁，这些牵动着社区广大青少年的心。近日，北关东路社区团支部组织了以“少花一点零花钱 我为灾区做贡献”为主题的捐款活动，受到社区广大青少年的积极响应。他们把自己平时积攒下来的零花钱捐出来，为房山区受灾地区重建奉献出自己的爱心、贡献出自己的力量。 ​​​​,否,,2012-08-20 16:37,2,评论,赞,微博 weibo.com,https://weibo.com/2017832595/yy2Onl0nn
24,发表了博文 《少花一点零花钱  我为灾区做贡献》 - 7.21特大暴雨致使房山区许多农村房屋被冲毁，这些牵动着社区广大青少年的心。近日，北关东路社区团支部组织了以“少花一点零花钱 我为灾区做贡献”为主 O网页链接 ​​​​,否,,2012-08-20 16:29,转发,评论,赞,新浪博客,https://weibo.com/2017832595/yy2LnsCZp
25,发表了博文 《燕山民政分局领导到我社区调研》 - 8月16日上午，房山区老龄委副主任张芳陪同燕山民政分局副局长刘元源和燕山各街道民政工作负责人20余人，就社区办公用房及规范化建设工作到我社区调研。 调 O网页链接 ​​​​,否,,2012-08-20 11:02,1,评论,赞,新浪博客,https://weibo.com/2017832595/yy0CmAE8F
26,组织社区青少年利用暑期时间到社区图书阅览室读书，丰富课外知识。 ​​​​,否,,2012-08-20 10:08,2,1,赞,微博 weibo.com,https://weibo.com/2017832595/yy0gKelfy
27,"社区组织青少年开展""我为灾区出份力 献出一份零花钱“活动。小朋友们都积极献出自己的一份爱心。 ​​​​",否,,2012-08-20 10:03,转发,评论,赞,微博 weibo.com,https://weibo.com/2017832595/yy0ex8CEl
28,转发微博,是,北京地方标准《门牌、楼牌设置规范》将于今年9月正式实施。《规范》对北京门牌、楼牌、单元牌、户号的设计要求、样式、颜色等，都做出了规定，楼牌将有反光长余辉楼牌、烤漆楼牌、LED等不同颜色，楼牌、门牌、单元牌中的汉字都要采用黑体，楼牌、门牌汉字下方要加注汉语拼音，数字使用阿拉伯数字。 ​​​​,2012-08-20 09:24,转发,评论,赞,微博 weibo.com,https://weibo.com/2017832595/yxZYNp1ch
29,转发微博,是,新“24孝”行动标准发布 呼吁每周给父母打电话 O网页链接 节假日经常与父母共度、亲自给父母做饭、每周给父母打个电话……昨日，由全国妇联老龄工作协调办、全国老龄办、全国心系系列活动组委会共同发布新版“24孝”行动标准。【图：新“24孝”行动标准】 ​​​​,2012-08-15 09:38,转发,评论,赞,微博 weibo.com,https://weibo.com/2017832595/yxeVW9Ume
30,7.21暴雨以来，受灾居民在晾晒衣物过后，楼道院内留下了很多废弃杂物，影响了大家的出行。今天上午北关东路社区工作人员逐楼进行大清理。社区居民也主动配合，很快楼道里的杂物清理干净，营造整洁干净的居住环境，确保了居民出行安全畅通。 ​​​​,否,,2012-08-14 14:58,转发,评论,赞,微博 weibo.com,https://weibo.com/2017832595/yx7Buo6Dj
31,转发微博,是,【中共十八大代表名单公布 共2270名代表】按照党中央的统一部署，党的十八大代表选举工作已经顺利完成。今年4月至7月，全国各选举单位分别召开党代表大会或党代表会议选举产生了2270名出席党的十八大代表。（中国新闻网）O网页链接 ​​​​,2012-08-14 10:22,转发,评论,赞,微博 weibo.com,https://weibo.com/2017832595/yx5NlslG4
