序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,奋斗!,是,对于一件事情，你若不想做，会找到一百个借口；你若想做，会找到一个方法！ ​​​​,2012-09-27 10:16,转发,评论,赞,微博 weibo.com,https://weibo.com/2647260561/yDMyUkHU2
1,今天上午9点，为了普及家庭环境知识，提高生活质量，提倡低碳环保生活，中科力天环境健康中心工作人员来到我社区为大家讲解“餐桌食品安全与室内空气污染”对人体造成的危害等环保健康知识。 ​​​​,否,,2012-09-27 10:15,转发,评论,赞,专业版微博,https://weibo.com/2647260561/yDMyfj4fU
2,好，应该学习，无规矩不成方圆。,是,#分享#【美国孩子必须学习的22条礼貌礼节】美国的父母会要求孩子在七、八岁时就必须学到做到喔！给各位粑粑麻麻们参考参考~ by@中国教育研究   ​​​​,2012-09-27 09:51,转发,评论,赞,微博 weibo.com,https://weibo.com/2647260561/yDMoI0ENQ
3,10.1自驾游的朋友要学习一下喽！,是,"【双节高速免费 今推出行宝典】今年中秋、国庆假期将第一次实行小客车免收通行费政策。政府部门如何确保免费政策平稳实施？作为车主，在出行过程中又需要注意哪些方面？《新京报》通过政策梳理、采访首发等高速路运营方，今日推出""国庆假期小客车免费通行宝典""，希望能为各位车主的出行提供一些帮助。 ​​​​",2012-09-27 09:49,转发,评论,赞,微博 weibo.com,https://weibo.com/2647260561/yDMnJoxpR
4,好事。,是,【市民可登录网上银行购电 目前仅限招行或工行】北京电力公司昨宣布，市民足不出户就可以进行买电、缴电费。这种网上购电方式，目前还仅限于开通了招商银行、工商银行网上银行业务的市民。下一步，将进一步扩大网上购电的合作银行，同时有望实现在95598门户网站进行购电。  O网页链接 ​​​​,2012-09-27 09:47,转发,评论,赞,微博 weibo.com,https://weibo.com/2647260561/yDMmVbLi4
5,绕道走。//@北太平庄西直门北大街社区: 转发微博,是,【双节期间天安门广场等5个地区将实行交通管制】北京市公安局今日发布：为确保双节期间本市道路交通安全与畅通，自2012年9月30日起至10月7日止，天安门广场地区，景山地区，奥林匹克中心区周边等五个地区部分道路将采取交通管理措施。管制路段即时间具体信息参见图片。By人民网O网页链接 ​​​​,2012-09-26 19:04,转发,评论,赞,专业版微博,https://weibo.com/2647260561/yDGAnlMU9
6,T3航站楼新增接站快捷通道。,是,【T3航站楼新增接站快捷通道】首都机场将迎来“十一”黄金周旅客高峰，旅客吞吐量将达27万人次。为方便旅客接站，首都机场在T3一层（到达层）车道边新增快捷接站通道，面向旅客开放。您去机场接站可不进入停车楼，短时停靠在该区域等候到港旅客。同时，机场大巴和中转巴士将根据旅客流量增加发车频次。 ​​​​,2012-09-26 19:02,转发,评论,赞,360安全浏览器,https://weibo.com/2647260561/yDGzEa1BU
7,有需要的同志们看一看。,是,【协和新大楼10月4日试运行】北京协和医院新门诊楼将于10月4日试运行，10月8日起全面启用。国庆长假期间门诊安排为10月4日至7日每天上午半日门诊。为不影响患者就诊，医院全体科室将从9月30日到10月3日完成大规模门诊搬家，急诊开诊时间安排在10月中旬。具体变化如下： ​​​​,2012-09-26 18:59,转发,评论,赞,360安全浏览器,https://weibo.com/2647260561/yDGysxOaT
8,这很重要哦！//@北京市民政局: 大家注意哦用过的火车票千万不要乱丢,是,【提醒：用过的火车票千万不要乱丢】自从实名制实施后，个人的信息都包含在火车票上，在火车票的右下方有一个二维码的图案，上面包含很多信息，不法分子可能利用上面的信息办卡、行骗、甚至勒索…把火车票撕碎或者把二维码销毁，方可丢弃！via南京铁路公安在线 ​​​​,2012-09-26 18:57,转发,评论,赞,专业版微博,https://weibo.com/2647260561/yDGxSvoWM
9,去看看吧！//@海淀区政府网站: #游园海淀# [右边亮了][噢耶]//@海淀公园: 中秋与十一双节将至，海淀公园欢迎您的到来。9月28日周五晚17：00园内浮萍剧场将举办丰富的中秋民俗文化活动，邀您一同河灯祈福，花灯猜谜，与家人，与朋友共赏明月当空，天鹅共舞。,是,#游园海淀# 【海淀公园景观提升完工】经常来@海淀公园 锻炼的人们会发现，这里的绿植增加了，照明效果也好了，让人看着更舒服了。这些变化正是海淀公园于今年5月份启动的景观改造恢复工程带来的。经过104天的施工，景观改造工程已全面竣工，并将在十一国庆节前对外开放~[xb喜欢]O网页链接 ​​​​,2012-09-25 11:11,转发,评论,赞,专业版微博,https://weibo.com/2647260561/yDu3XkcrR
10,好大的花篮啊！,是,【天安门广场摆放“史上最大”花篮】为庆祝国庆63周年，迎接十八大，天安门广场中心的大型花篮“祝福祖国”，9月22日凌晨完成吊装。花篮净高13米，篮盘直径11米，是迄今为止天安门广场所布置过的最大花篮。展示时间一直延续到十八大闭幕，时间超过往年任何一次。 ​​​​,2012-09-24 16:42,转发,评论,赞,专业版微博,https://weibo.com/2647260561/yDmNW4f5I
11,对消防和防震是很大的挑战哦！,是,[中国拟建、在建十大摩天楼] 1.长沙天空城市838米；2.深圳平安金融中心大厦646米；3.武汉绿地中心大楼636米；4.上海中心大厦632米；5.天津中国117大厦570米；6.贵阳中天未来方舟540米；7.华西龙大楼538米；8.广州东塔530米；9.北京中国尊528米；10.重庆国际金融中心520米。@赴汤蹈火119 抄@南方周末 ​​​​,2012-09-24 16:08,转发,评论,赞,微博 weibo.com,https://weibo.com/2647260561/yDmAinlcW
12,有兴趣的朋友可以去赏花哦。,是,【颐和园百年古桂飘香】#聚焦北京#第11届“颐和秋韵”桂花展开幕，共展出460余株大型盆栽桂花。此次桂花展持续到10月12日，您在闲暇之余，不妨前往颐和园感受72盆百年古桂的清香，还可以在桂花展区购买桂花糖、桂花茶、桂花糕、桂花饼、桂花酒等特色桂花食。 ​​​​,2012-09-24 16:03,转发,评论,赞,微博 weibo.com,https://weibo.com/2647260561/yDmybd8lZ
13,天啊，这是真的吗？//@玉东二社区阳光快乐园: 转发微博,是,听说过南京13路公交车是多么生猛和彪悍吧。只要两元钱你就能体验13路将一辆辆出租车甩在尾后的刺激场面。两元钱你去不了新加坡，两元钱你买不了房，两元钱你吃不了亏，只要两元钱你就能进行时空穿越！对！你没有听错，这一切只要两元钱，要想不迟到，就坐13路。南京13路，飞一般的感觉，你值得拥有！ ​​​​,2012-09-24 16:02,转发,评论,赞,专业版微博,https://weibo.com/2647260561/yDmxKzpay
14,可以带小朋友去看看哦！,是,【北京动物园白熊馆“十一”开放，4只北极熊回家度中秋】“十一”期间，北京动物园的白熊馆将于正式对游客开放，到时候大家可能有机会看到美美、乐乐、平平、安安这4只可爱的北极熊。它们已阔别北京两年，如今“远游”回来正准备搬入新家。据了解，在新白熊馆里游客站在玻璃墙前近距离观看北极熊。 ​​​​,2012-09-21 14:23,转发,评论,赞,微博 weibo.com,https://weibo.com/2647260561/yCTC3haty
15,"把便民工作落到了实处，好！//@北京市市政市容委: 北京燃气""96777""新话务中心启用",是,【北京燃气启用“96777”话务中心】北京燃气“96777”新话务中心19日正式启用。新话务中心接线席位和每天来电接听量都显著增加，全天24小时为市民提供燃气咨询服务。今后，“96777”将在节假日向用户发送安全用气提示短信，并有针对性地向隐患多、通气时间长的社区和家庭进行电话安全提示与回访。 ​​​​,2012-09-20 14:07,转发,评论,赞,专业版微博,https://weibo.com/2647260561/yCK4V3VrI
16,昨天上午，海淀区人大代表高祥来我社区向居民征求意见与建议，居民纷纷热烈发言，希望借现在海淀区正在申请文明城区的机会把社区周边环境卫生，特别是私搭乱建的情况予以改观。 ​​​​,否,,2012-09-20 11:24,转发,评论,赞,专业版微博,https://weibo.com/2647260561/yCJ13ptFM
17,是好事哦，不过不要老在电话转接中哦。,是,【儿童医院开通24小时咨询电话】北京儿童医院与市红十字会999急救中心等单位，签署全天候电话咨询服务平台系统的合作协议，儿童电话咨询服务平台正式开通。今后，家长拨打北京儿童医院的咨询电话010-59718686，就可以进行就诊住院、健康保健等相关咨询，将来或有临床医生上阵。  O网页链接 ​​​​,2012-09-20 11:13,转发,评论,赞,微博 weibo.com,https://weibo.com/2647260561/yCIWqc1J1
18,有这种情况的朋友学习啦。,是,【热点问题】#一方为北京户口，一方为外省市户口暂时拿不到户口本是否可以结婚登记需要带什么材料#根据《婚姻登记条例》的规定，内地居民结婚登记，可以到双方任何一方户口所在地的民政局办理。需本人户口簿、身份证、三张大二寸近期合影照片。如不能提交户口簿，可以提交当地公安部门出具的户籍证明。 ​​​​,2012-09-20 11:11,转发,评论,赞,专业版微博,https://weibo.com/2647260561/yCIVG2YyA
19,让我们的心都简单一些吧！,是,【简单与复杂】人，小时候简单，长大了复杂；穷的时候简单，变阔了复杂；落魄的时候简单，得势了复杂；君子简单，小人复杂；看自己简单，看别人复杂。这个世界其实很简单，只是人心很复杂。其实人心也很简单，只是利益分配很复杂。人，一简单就快乐，但快乐的人寥寥无几。把该放下的放下，让心轻松。 ​​​​,2012-09-18 09:10,1,评论,赞,专业版微博,https://weibo.com/2647260561/yCphvb7SR
20,“美”都不能包含它的全部。,是,【完美倒影】—— 美的不真实。。。生活中从来都不缺少美，但缺少一颗善于发现美的心 #旅行# ​​​​,2012-09-18 08:59,转发,评论,赞,微博 weibo.com,https://weibo.com/2647260561/yCpcRDwo7
21,学习！,是,【命运黄金期】哈佛大学有一个著名的理论：人的差别在于闲暇时间，而一个人的命运决定于晚上8点到10点之间。每晚抽出两小时用来阅读、进修、思考或参加有意的演讲、讨论，你会发现，人生正在发生改变，坚持数年之后，成功会向你招手！ ​​​​,2012-09-18 08:57,转发,评论,赞,专业版微博,https://weibo.com/2647260561/yCpcbFOc8
