序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,转发微博,是,#爱故事#【雨中，为受灾乡亲抢建新家】三四米长的金属架足足50斤重，工人们一人肩上扛一根两头颤着往坡上走， 架钢板、通水电、封顶……一栋栋浅灰色新屋在雨中格外显眼……在房山像阎村镇这样的建设点共50处，近9000名工人夜以继日奋战在一线，只愿乡亲们早日有个家。O网页链接 ​​​​,2012-08-02 10:26,1,1,赞,微博 weibo.com,https://weibo.com/2661947373/yvgGU6C7d
1,//@北京铁路: 如今的北京找到了南方“梅雨”季节的感觉，提醒乘车到京的旅客可要注意携带雨具和增加衣物哦！！！,是,【白天小雨东部小到中雨】8月1日7时北京气象信息：今天早晨有小雨，白天小雨持续，东部地区有小到中雨，最高气温24℃，道路湿滑，出行注意交通安全，山区注意防范山体滑坡、泥石流等地质灾害。今天气温不高，凉爽舒适，年老体弱者可以适当穿件长袖衫。夜间阴转多云，最低气温21℃。 ​​​​,2012-08-01 09:36,转发,评论,赞,微博 weibo.com,https://weibo.com/2661947373/yv6WaiXoQ
2,今天凌晨，雷声、叶诗文和林清峰在20分钟内分别在男子花剑、女子200米个人混合泳和男子举重连夺三金。 O网页链接 ​​​​,否,,2012-08-01 09:30,转发,评论,赞,分享按钮,https://weibo.com/2661947373/yv6TL7HDW
3,回复@大头家族99:哦，那就好，有事情一定向居委会反映。平房的事情我们也经常向办事处反映，也在做各项调查，上级也越来越关注这个情况，鉴于军产问题，拆迁还是比较难的，目前可能会首先对平房的厕所有所行动，我们居委会也一直在等待，一点点改进吧。,是,7.21立水桥遇险，我终于把过程和总结的自救经验写完了，大家一定要看要转发，希望更多人在不幸遇到这种情况时，能够比我更知道该如何冷静处理。@薛蛮子 ​​​​,2012-07-27 08:44,转发,评论,赞,微博 weibo.com,https://weibo.com/2661947373/yulsP0T9R
4,回复@大头家族99:您好，请问您是哪号院的居民，您家进水程度如何，是否需要帮助？我们社区的平房问题关系产权单位，属于历史遗留问题，上级部门也一直很重视，但是并非短时间内能够处理好的，您要耐心等待，我们也期待能够很好的解决。 //@北太平庄红联村社区:,是,7.21立水桥遇险，我终于把过程和总结的自救经验写完了，大家一定要看要转发，希望更多人在不幸遇到这种情况时，能够比我更知道该如何冷静处理。@薛蛮子 ​​​​,2012-07-26 16:46,1,2,赞,微博 weibo.com,https://weibo.com/2661947373/yufbHgkOo
5,//@文明北京: 学习，勇于帮助别人，从你向后倒一米开始,是,7.21立水桥遇险，我终于把过程和总结的自救经验写完了，大家一定要看要转发，希望更多人在不幸遇到这种情况时，能够比我更知道该如何冷静处理。@薛蛮子 ​​​​,2012-07-25 15:08,1,2,赞,微博 weibo.com,https://weibo.com/2661947373/yu57jpOKF
6,实在是一个有魅力的男人！//@北太平庄蓟门里社区: 看看,是,他出身于书香门第，父亲是大学教授。他为爱妻，20年来从不上CCTV；他是个好爸爸；他顾家，厌恶应酬，滴酒不沾；他才华横溢，琴棋书画样样精通，学生时是体育全能，探戈高手；他饱读诗书， 季羡林赞他可胜任北大的研究生导师，与钱钟书是忘年之交；他说他只是个戏子。他就是陈道明。一个很给力的男人！ ​​​​,2012-07-12 10:33,转发,1,赞,微博 weibo.com,https://weibo.com/2661947373/ys4Ln6MCg
7,//@文明北京: 转发微博,是,"#您出行""3510""了吗？#【微话题】三公里以内走为上策[路过这儿]、五公里以内两轮解决[自行车]、十公里以内公交万岁[大巴]、远距离出行绿色驾驶[叶子]。亲，您出行""3510""了吗？ ​​​​",2012-07-12 10:29,转发,评论,赞,微博 weibo.com,https://weibo.com/2661947373/ys4JW9Wi3
8,欢迎浏览红联村社区网，关注社区最新资讯O网页链接 ​​​​,否,,2012-07-11 16:47,转发,评论,赞,微博 weibo.com,https://weibo.com/2661947373/yrXMxFUSZ
9,创建文明城市，社区环境整治 为了积极响应北太平庄街道办事处的号召，进一步将创建文明城市活动推向深入，7月11日，红联村社区开展了“北太平庄街道，城市清洁日”活动，红联村社区两委班子带领社区志愿者及广大群众纷纷走进社区，对社区内环境进行集中整治。 ​​​​,否,,2012-07-11 16:03,1,评论,赞,微博 weibo.com,https://weibo.com/2661947373/yrXuXm3XH
10,//@文明北京: //@青年说: 常阿姨，这要是有张照片就更好了！让更多的人认识这位爱心的哥~,是,【爱心传递 】——美丽的哥：十几天来网友们还在热议“爱心的哥”让我感动不已，写下这篇短文以表谢意。  偏颇的价值观让有些人看弱势群体为洪水猛兽。生怕有点意外会牵联到自己，於是各种怪现... O网页链接 （使用新浪长微博工具发布 O网页链接） ​​​​,2012-07-09 16:47,转发,评论,赞,微博 weibo.com,https://weibo.com/2661947373/yrEVD2nNJ
11,//@首都工商:  希望这种真人视频智能银行可以很快普及，以后就不用再去银行排队啦。,是,[金融街真人视频智能银行]#聚焦北京#24小时智能银行昨亮相广发银行北京金融街支行。它采用客户自助服务和远程客服协助服务方式，市民拿二代身份证，在自助设备感应系统前刷一下可进申领储蓄卡或信用卡界面，出现客服真人视频，“面对面”教客户操作。这种智能银行将在京沪等城市推广，并投入居民社区。 ​​​​,2012-07-09 16:45,转发,评论,赞,微博 weibo.com,https://weibo.com/2661947373/yrEUWc3dg
