序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,安装健身器材是好事吧，可偏偏有人超反对 ​​​​,否,,2012-09-25 20:50,9,评论,赞,专业版微博,https://weibo.com/2661262165/yDxR6zo3q
1,一个人来交材料，可同事不在，让转交，我不知同事到底怎么要求的 就多问了此人几句，没成想，这人急了，说了许多。。。（外星语）啥人都有啊，我不知是他敏感，还是我有问题 ​​​​,否,,2012-09-25 20:37,转发,评论,赞,专业版微博,https://weibo.com/2661262165/yDxLS8NRJ
2,好恐怖啊，我手机剩一格电时利用率很高呀，从今后我会注意保护自己，谢，转发啦,是,【爱心提示】记得少喝奶茶，不吃刚烤面包，远离充电电源，白天多喝水晚上少喝，晚上五点后少吃大餐，每天喝酒不多过一杯，不用冷水服胶囊，睡眠不足八小时人会变笨，手机电池剩一格时不要打电话，剩一格时辐射是平时一千倍，还要记得用左耳接电话，用右耳会直接伤害到大脑。请发给每一个你珍惜人。 ​​​​,2012-09-24 22:19,转发,评论,赞,专业版微博,https://weibo.com/2661262165/yDp0RwqFf
3,很是让我吃惊，原来她的性格如此暴烈 ​​​​,否,,2012-09-24 22:11,转发,评论,赞,专业版微博,https://weibo.com/2661262165/yDoXulg0u
4,[din赞好][din厉害],是,不要轻易和人发生争执，当有人和你争执时，你就让他赢，因为你并没有损失什么。所谓的赢，他能赢到什么？得到什么？所谓的输，你又输到什么？失去什么呢？争来争去只会伤了彼此的和气，还会平添无谓的烦恼。谨慎的沉默就是精明的回避，以平常心应对无常的人生！ 要么瘦，要么死！猛击@美女不过100斤 ​​​​,2012-09-08 11:09,转发,评论,赞,专业版微博,https://weibo.com/2661262165/yATMNoBhH
5,我就是太太太太好了，好得都被忽略了。。。。。。悲催啊 ​​​​,否,,2012-09-08 09:24,转发,评论,赞,专业版微博,https://weibo.com/2661262165/yAT6c1prS
6,转发微博。,是,【寻一帘幽梦 悠游古镇】 青岩：名副其实“石头城” 名气并不算大但却也特色鲜明，其他古城再好，都无法取代它的游历感受。城如其名，这座古城整个儿就是用岩石构筑起来的，墙壁、街面、牌坊、阶梯，还有墙上的雕刻，取材都是石头。石头的颜色和传统的青砖颜色相仿，所以整座城都叫做“青岩”了。 ​​​​,2012-08-22 16:15,转发,评论,赞,政府版微博,https://weibo.com/2661262165/yylwstkVX
7,//@琉璃苣海豚: 说的好,是,心态决定命运。不要害怕痛苦的磨难，也不要拒绝痛苦的锤炼，有时，往往正是与痛苦的对抗和奋斗过程，才使我们更坚强，让自己的人生修炼到更高的境界。命运关闭了所有的门的同时，必定会留下一扇希望之窗。你若每天精神昂扬，生活自然阳光灿烂；你若每天萎靡不振，人生自然布满阴霾。   ​​​​,2012-08-18 10:41,转发,评论,赞,微博 weibo.com,https://weibo.com/2661262165/yxHDdhYCt
8,,是,成功不是赢在起点，而是赢在转折点。每颗珍珠原本都是一粒沙子，但并非每一粒沙子都能成为珍珠。人生就是一连串的抉择，每个人的人生命运完全在于正确的放弃与选择。天有下雨与日出，人生高峰与低谷；莫为浮云遮望眼，风物长宜放眼量。不要活在别人嘴里，不要活在别人眼里，而是把命运握在自己手里。 ​​​​,2012-08-18 10:30,转发,评论,赞,微博 weibo.com,https://weibo.com/2661262165/yxHyq2Ctx
9,，,是,,2012-08-17 01:05,转发,评论,赞,微博 weibo.com,https://weibo.com/2661262165/yxuqKr02I
