序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,【微村史】1996年，十里河村当家人还是嗅到了一种新兴商业之风，那就是正在京城蓬勃而起的建材、家居行业。福利分房终止之后，房地产如雨后春笋般兴起，富裕的人们拿出毕生的积蓄置业买房，已购买公房的人也愿意把住房装饰一新。装修成为一种时尚，建材家装市场也就理所当然地成为新兴的朝阳产业。 ​​​​,否,,2012-09-21 13:23,1,评论,赞,专业版微博,https://weibo.com/2649709083/yCTdCfPqn
1,【微村志】十里河村益民书屋正在筹备中...敬请广大村民住户期待... ​​​​,否,,2012-09-20 13:58,1,评论,赞,专业版微博,https://weibo.com/2649709083/yCK1fxzJF
2,【微村志】“2012年温暖西部•善行计划”活动主要是向十里河地区广大村民、住户和商户发起。若社会爱心人士有意捐赠，可将捐赠物发至：北京朝阳区东三环十里河桥南十里河村委会二层宣传办公室。办公电话：67314446 办公时间：上午9：00-11:30 下午14:00-17:00 谢谢 ​​​​,否,,2012-08-29 10:18,1,评论,赞,微博 weibo.com,https://weibo.com/2649709083/yznaZCcRt
3,【微村志】十八里店地区将于近期联合中国青少年发展基金会，共同开展“2012年温暖西部•善行计划”活动，本次活动十八里店地区将发动辖区基层社会单位募集捐助爱心衣物、书籍、文具等物品（不接受钱款捐助）我村将积极响应本次活动，捐赠者请联系十里河村委会宣传办公室。 ​​​​,否,,2012-08-28 10:08,4,2,赞,微博 weibo.com,https://weibo.com/2649709083/yzdGKd9zL
4,【微村志】十里河艺术团五日游归来，44人的团体游，真累人啊不过天公作美，南下几天的气候宜人，还是很凉爽的哦 ​​​​,否,,2012-08-28 10:01,转发,评论,赞,微博 weibo.com,https://weibo.com/2649709083/yzdDz892B
5,//@朝阳宁静致远: 呵呵，这张照片还是我03年照的呢，这个地方91年建的鸡舍，当时发展畜牧业。2000年改成了办公的地方，我们在那办公五年，05年底搬上了4层楼房.改善了办公条件。,是,【微村史】十里河人开始摸第二块石头：村办工业。工业和城市化水平是一个国家现代文明与社会进步的标志。改革开放后乡镇企业异军突起，打破了这种城乡分割的体制，十里河人终于利用自己的区位、交通、人力资源优势亦工亦农，使村庄经济出现了前所未有的活跃和繁荣，使村集体经济实现了第二次腾飞。 ​​​​,2012-08-20 09:38,转发,评论,赞,微博 weibo.com,https://weibo.com/2649709083/yy04pvizs
6,转发微博,是,【前7月北京城镇居民人均可支配收入达21086元】北京市统计局、国家统计局北京调查总队今天发布数据显示，1-7月，北京市被调查的5000户城镇居民人均家庭总收入23703元。其中，人均可支配收入21086元。- #CBD网# O网页链接 ​​​​,2012-08-14 09:04,转发,评论,赞,微博 weibo.com,https://weibo.com/2649709083/yx5hPDykU
7,【微村史】近郊农村要为城市服务，这个道理千真万确，但走起来格外艰难。过去，京门脸子十里河就是拱卫京城的，它既是进出京城的歇脚之地，也是城乡百姓的购物、娱乐、休闲场所，十里河村正是在完成这一历史使命之时，也发展着、壮大着自己的村庄。 ​​​​,否,,2012-08-14 09:04,转发,评论,赞,微博 weibo.com,https://weibo.com/2649709083/yx5hz88Qq
8,【微村史】温饱之后的十里河人还想着让自己的钱包也随着肚皮一样地鼓起来，想追求货币收入。在经济大潮中艰难摸索着的十里河人已经认识到，光是在“农”字上做文章、打转转已经不行了，十里河的出路还是应该盯在亦城亦乡上，要在第三产业上做文章。 ​​​​,否,,2012-08-14 09:03,转发,评论,赞,微博 weibo.com,https://weibo.com/2649709083/yx5hr8bm7
9,【微村史】十里河人开始摸第二块石头：村办工业。工业和城市化水平是一个国家现代文明与社会进步的标志。改革开放后乡镇企业异军突起，打破了这种城乡分割的体制，十里河人终于利用自己的区位、交通、人力资源优势亦工亦农，使村庄经济出现了前所未有的活跃和繁荣，使村集体经济实现了第二次腾飞。 ​​​​,否,,2012-07-30 08:17,5,评论,赞,微博 weibo.com,https://weibo.com/2649709083/yuNyYgVtW
10,【微村史】直到上个世纪末，十里河依然是落后的农村。眼看着一边是现代化寸土寸金的城市，一边是大片不再肥沃的土地。在高楼大厦下是十里河低矮破旧的平房和臭水沟。象征北京城的城墙已拆除成了马路，但在体制上和人们心理上的城墙却固若金汤。二环、三环，咫尺之遥二重天地，十里河是守着金碗饿肚子。 ​​​​,否,,2012-07-30 08:12,转发,评论,赞,微博 weibo.com,https://weibo.com/2649709083/yuNxixALN
11,【微村志】十里河村召开2012年度第二次村民代表暨股东代表大会。十八里店乡统计所所长岳维忠、十里河村两委班子成员、十里河集团领导与200位代表参加了会议。上半年十里河村各项工作均正常平稳运行，经济发展成绩喜人。 ​​​​,否,,2012-07-27 08:22,4,评论,赞,微博 weibo.com,https://weibo.com/2649709083/yuljzqJ9V
12,转发微博,是,8月1日-8月15日期间，国际名品灯饰网每天将有1-2款抢购灯型等待抢购！0元起、不止一款、每款也不止一件商品哦！有台灯、吸顶灯、节能灯等，活动即将正式上线，关注@国际名品灯饰网 ，随时留意抢购最新消息吧亲！O网页链接 ​​​​,2012-07-27 08:16,转发,评论,赞,微博 weibo.com,https://weibo.com/2649709083/yulhnvQaf
13,转发微博。,是,2012年7月25日至8月24日，@北京朝阳 发起“公德接力”微活动，广大网友可通过登录页面（O网页链接 公德接力晒感动；O网页链接 【微征集】诚实守信三字经）参与活动，详情请见活动页面的活动介绍。大家一起传播文明、传播感动吧！[爱心传递] ​​​​,2012-07-26 13:12,转发,评论,赞,政府版微博,https://weibo.com/2649709083/yudN4ErCe
14,【微村史】十里河人常说，村庄的今天是被逼出来的，是“摸着石头过河”。确实，在没有出路的困境中寻找出路，也只能“摸石头”。第一块石头摸对了。十里河人搞田园规划、建温室盖大棚、挖鱼塘，搞了粮、菜、猪、鸡、鱼五业兴旺的大农业。这块石头让十里河人摆脱了贫困，集体经济发展实现了第一次腾飞。 ​​​​,否,,2012-07-24 15:18,转发,评论,赞,微博 weibo.com,https://weibo.com/2649709083/ytVKUozFo
15,【微村史】改革开放的初期，十里河变成了京南的“四季青”，成为北京城的菜篮子和副食品基地，但是随着一条条“绿色通道”的开通，北至内蒙、山西，南至海南的蔬菜、副食源源不断地涌进北京市场，十里河靠大棚、温室种反季节菜，名优特新菜的优势不再。 ​​​​,否,,2012-07-24 15:16,转发,评论,赞,微博 weibo.com,https://weibo.com/2649709083/ytVKjbMgJ
16,分享图片 不算太早的早上好！ 色彩让世界更美好 ​​​​,否,,2012-07-16 09:10,转发,3,赞,微博 weibo.com,https://weibo.com/2649709083/ysFVGgyoA
17,【微村史】直到十八世纪末期，北京城破城墙修铁路，钢铁运输线取代了古老而传统的水陆交通，十里河的区位优势和交通优势才逐渐失去。加上连年战争、经济衰退、民不聊生，十里河持续了几百年的旺盛才渐渐衰落下来，这种状况一直到改革开放之后才得以改变。 ​​​​,否,,2012-07-09 07:52,转发,评论,赞,微博 weibo.com,https://weibo.com/2649709083/yrBqs3Xz4
18,【微村史】从明代一直到清末、民国初这一段时间，十里河村也就是借着京门脸子的区位优势，借水陆交通的便利条件，借庙会旺盛的人气、商气，发展壮大了自己的村庄，使小小的十里河村成为北京东南一个颇有名气的村庄。 ​​​​,否,,2012-07-09 07:51,转发,评论,赞,微博 weibo.com,https://weibo.com/2649709083/yrBqkm75d
19,【微村史】十里河交通便捷、区位优势、优美的田园风光、有美景美食、有寺庙、庙会的人文景观，有淳朴笃实的民风和仁义善良的十里河人，再加上旧时京城城乡百姓独特的生活方式，这一切成就了十里河，使得这一块地方几百年来香火延绵不绝、盛况空前，十里河村也随着发展壮大起来。 ​​​​,否,,2012-07-07 09:26,转发,评论,赞,微博 weibo.com,https://weibo.com/2649709083/yrjbVxEwG
20,【微村史】十一月，冬至大祭，添火炕、消寒，溜冰、打冰球、在冰床上饮酒高歌； 十二月，喝腊八粥、祭灶、扫除、沐浴，贴窗花、门神、对联、辞旧迎新，赏雪中腊梅与温室中培育出来的各种唐花。 ​​​​,否,,2012-07-07 09:26,转发,评论,赞,微博 weibo.com,https://weibo.com/2649709083/yrjbOtJyT
