序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,光环社区在会议室召开了环境天使志愿者工作推进会。参加会议的有辖区三个物业单位代表和社区支部书记及社区和谐促进员代表近30人参加。会上社区领导对前期环境天使志愿服务进行了梳理。志愿者在文明指数测评工作中发挥了重要的作用。力争打造出志愿服务先进典型，树立志愿服务新形象。 ​​​​,否,,2012-09-19 11:29,转发,评论,赞,专业版微博,https://weibo.com/2440018081/yCzCmd0cd
1,光环社区与辖区单位都遵循资源共享、优势互补、文明共建、共同发展”的基本原则，开展公驻共建活动以有利于服务社区居民，有利于加强社区管理，有利于促进社区建设为目标。与辖区单位开展思想工作联做、社区治安联防、公益事业联办，计划生育联管、文明社区联建、党员教育连抓，贫困对象联帮等活动。 ​​​​,否,,2012-09-19 11:28,转发,评论,赞,专业版微博,https://weibo.com/2440018081/yCzBVjuxR
2,朝阳区社工委、区房管局几位领导来到光环社区金海燕物业公司。在街道城建科科长的带领下，领导们认真检查物业公司中“物业服务基本内容”、“园区环境管理”、“业主投诉与业主满意度”等方面，详细了解物业费收取标准，针对检查中所发现问题给与点评和指导，并结合实际情况给与打分评定。 ​​​​,否,,2012-09-19 11:27,转发,评论,赞,专业版微博,https://weibo.com/2440018081/yCzBvjeco
3,光环社区在集中采购安全有效地灭蟑套餐，并及时发放到居民手中。当居干了解到年老多病、行动不便，不能及时来社区领取的情况时，主动将服务送上门，及时帮助居民消灭家中的蟑螂。辖区居民对社区居干这种急百姓所急的服务精神给与高度肯定，并表示为营造和谐、干净、卫生的社区环境贡献自己的力量。 ​​​​,否,,2012-09-19 11:23,转发,评论,赞,专业版微博,https://weibo.com/2440018081/yCzzVdzXp
4,依法纳税、人人有责；光环社区前期利用向辖区单位宣传更高水平的文明城区指数测评的同时，对在辖区内企业进行依法纳税宣传，在工作中充分发挥社区对辖区熟悉商户的优势，不断挖掘新的税收增长点，切实做到应收尽收，做好税源台账的完善，强化税收源泉管理。 ​​​​,否,,2012-09-19 11:16,转发,评论,赞,专业版微博,https://weibo.com/2440018081/yCzxdFmI9
5,再生育一个子女之抱养再孕申请流程 ​​​​,否,,2012-09-14 14:31,转发,评论,赞,专业版微博,https://weibo.com/2440018081/yBPFRuQzH
6,再生育一个子女之病残儿审批申请流程 ​​​​,否,,2012-09-14 14:29,转发,评论,赞,专业版微博,https://weibo.com/2440018081/yBPF4rlCV
7,再生育一个子女之双独家庭申请流程 ​​​​,否,,2012-09-14 14:23,转发,评论,赞,专业版微博,https://weibo.com/2440018081/yBPCpz1qz
8,再生育一个子女之再婚家庭申请流程 ​​​​,否,,2012-09-14 14:20,转发,评论,赞,专业版微博,https://weibo.com/2440018081/yBPBq841w
9,独生子女千元奖励办理流程 ​​​​,否,,2012-09-14 14:17,转发,评论,赞,专业版微博,https://weibo.com/2440018081/yBPA1fT4k
10,祝天下所有的老师们，教师节快乐！[花] ​​​​,否,,2012-09-10 09:28,转发,评论,赞,专业版微博,https://weibo.com/2440018081/yBbYJa7mi
11,转发微博,是,#欢乐早安#1985年举行的六届全国人大常委会第九次会议同意了国务院关于建立教师节的议案，决定每年的9月10日为教师节。教师节是一个感谢老师一年来教导的节日，不同国家规定的教师节时间不同。每年公历9月10日，是中国的教师节。1985年9月10日，是新中国第一个教师节。今天的主题词是：教师节的意义。 ​​​​,2012-09-10 09:26,转发,评论,赞,专业版微博,https://weibo.com/2440018081/yBbXYb13a
12,我刚换了“游览八方”模板 ​​​​,否,,2012-09-10 09:25,转发,评论,赞,专业版微博,https://weibo.com/2440018081/yBbXts3Ew
13,转发微博,是,【王立军涉四罪被公诉 事件回顾】检察院起诉书指控，被告人王立军身为重庆市副市长、公安局局长，明知薄谷开来有杀害尼尔·伍德的重大嫌疑，却违背职责、徇私枉法，以使薄谷开来不受刑事追究，已构成徇私枉法罪。在履行公务期间，擅离岗位，叛逃美国驻成都总领事馆，已构成叛逃罪。O网页链接 ​​​​,2012-09-06 09:48,转发,评论,赞,微博 weibo.com,https://weibo.com/2440018081/yAAp90ITJ
14,转发微博,是,昨天（5日）下午，市政协城建环保委与市环保局、水务局、园林绿化局等市政府相关部门召开2012绿色北京论坛。记者从会上获悉，目前，北京市的“热岛效应”正以平均每10年0.22℃的速率加剧。针对这一问题，到“十二五”末，本市将实现48%的绿化覆盖率，并提高绿地生态功能。 ​​​​,2012-09-06 09:48,转发,评论,赞,微博 weibo.com,https://weibo.com/2440018081/yAAp1Bch8
15,参加双井街道道德讲堂 ​​​​,否,,2012-08-24 14:25,转发,评论,赞,Android客户端,https://weibo.com/2440018081/yyDEJzdB3
16,转发微博,是,#惠提醒#眼下秋高气爽，比较适合室外运动。但北京有季节分明的特点，一入秋，早晚的气温明显转凉。建议有晨练习惯的朋友不要太早出门，因为凌晨是一天中气温最低的时段，也不要穿的太薄，迎着朝阳暖身，科学运动养生，才对身体有益处。 ​​​​,2012-08-23 09:31,转发,评论,赞,微博 weibo.com,https://weibo.com/2440018081/yysiWg1g4
17,转发微博,是,七夕情人节来了，对你的她（他）说出你的爱吧[七夕][玫瑰][中箭][ali扑倒][亲一口]在这个甜蜜的日子里，首都文明网制作了七夕专题O网页链接 ，祝福天下有情人终成眷属，日子过得甜美幸福 ​​​​,2012-08-23 09:30,转发,评论,赞,微博 weibo.com,https://weibo.com/2440018081/yysiTiHbY
18,转发微博,是,【北京公办幼儿园禁收赞助费】今年9月1日起，北京公办幼儿园保教费调整，其中一级一类园保教费由230元/月调整至750元/月，市级示范园可在一级园收费标准基础上上浮20%。此次调整后，赞助费、兴趣班以及书本费等其他费用全部取消。公办幼儿园针对非户籍人口，执行统一的收费政策。O网页链接 ​​​​,2012-08-23 09:30,1,评论,赞,微博 weibo.com,https://weibo.com/2440018081/yysiEfdPX
19,8月10日上午，光环社区在双井街道社区服务中心，举行了 “双井街道光环社区天使飞扬环境天使志愿服务启动仪式”。街道领导将“光环社区环境志愿者”旗帜，授予由社区居干、辖区物业单位、社会单位及凯美保洁公司共同组成的环境天使志愿队。志愿者们庄严宣读“光环社区环境志愿者誓词”。 ​​​​,否,,2012-08-14 09:34,转发,评论,赞,微博 weibo.com,https://weibo.com/2440018081/yx5tMteBv
20,参加双井地区迎接十八大动员部署工作会 ​​​​,否,,2012-08-13 14:58,转发,评论,赞,Android客户端,https://weibo.com/2440018081/ywYaI7dKT
21,8月8日，迎来了全国第四个“全民健身日”又恰逢第十二届全运会倒计时一周年和中华人民共和国第九套广播体操发布一周年纪念日。光环社区居干和居民在双井街道的带领下，共同观看了第九套广播体操展演展示暨北京市民篮球联赛启动仪式。本次活动围绕“每天锻炼一小时，健康生活一辈子”这个主题。 ​​​​,否,,2012-08-09 19:15,转发,评论,1,微博 weibo.com,https://weibo.com/2440018081/ywo94fiN8
