序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,26日，双井街道计生委组织了一堂“关注记忆障碍，远离老年痴呆”讲座，广外南社区居干居民10人参加。由天坛医院与垂杨柳医院的医生，从多角度多方面来讲解老年痴呆的表现、原因、预防、护理、康复等方面知识。居民表示，学到了很多知识，非常有意义。 ​​​​,否,,2012-09-27 14:30,4,评论,赞,专业版微博,https://weibo.com/2416297225/yDOdFsbJl
1,25日，广外南社区于垂杨柳中街发放灭蚁药，红蚂蚁繁殖力较强。它们在有传染性的物体上爬行，会直接携带多种病菌。当它们取食人的食物时，就会把病菌带到食物上，从而引发多种疾病。在垂杨柳中街上发放，使广大居民更方便领取，彻底消除家中红蚂蚁的危害，营造健康安全的家居环境。 ​​​​,否,,2012-09-25 16:20,1,评论,赞,专业版微博,https://weibo.com/2416297225/yDw5tmxh3
2,广外南社区计生协会在25日上午，垂杨柳中街开展了主题宣传服务活动。向广大育龄群众和外来流动人口宣传普及人口计生政策法规、艾滋病防治、青少年生殖健康、奖励扶助政策等内容。并就育龄群众比较关心的一胎、二胎申批手续，及需要的相关条件现场为群众答疑解难。发放避孕药具300余盒。 ​​​​,否,,2012-09-25 11:12,转发,2,赞,专业版微博,https://weibo.com/2416297225/yDu4rre2m
3,#微书评#，《幾米履历表83》作者：幾米 版别：现代出版社 你喜欢什么颜色？曾经到过哪些地方？你有什么梦想？希望自己成为什么样的人？流星划过天际的时候，你会为自己许下什么愿望……@北京图书大厦同时@王府井书店 ​​​​,否,,2012-09-21 17:26,转发,评论,赞,专业版微博,https://weibo.com/2416297225/yCUOioxlh
4,#微书评#《经典传奇图书》作者：于俊燕，版别：机械工业出版社 十段传奇、十种人生、十类精彩，每一个棱角都能折射出炫目的光彩：这是VC高手之间的过招，他们长袖善舞，玩转资本魔方，谱写出跌宕起伏的中国VC曲。他们以不同的大手笔，泼墨中国资本市场。 @北京图书大厦@王府井书店 ​​​​,否,,2012-09-21 17:23,转发,1,赞,专业版微博,https://weibo.com/2416297225/yCUMX6LDy
5,//@文明北京: #绿色家园#美味月饼人人爱，过度包装人人弃，转起//@龙行故里: 眼下月饼包装盒，就是个垃圾减分的话题。既要倡导厂家绿色简易包装，市民拒绝购买过度包装的月饼，也要回收利用好过度包装的月饼盒。还可以把月饼盒设计改造为学习生活用品和艺术品。大家行动起来，让月饼盒躺着中枪吧！,是,发表了博文 《“做文明有礼的北京人垃圾减量垃圾分类标语口号文学绘画作品”征集活动启动》 - 众所周知，垃圾问题是城市最大最基本的环境问题，一个干净、整洁、优美、宜居的城市家园是我们每一个人的诉求和企盼 O网页链接 ​​​​,2012-09-14 16:00,转发,评论,赞,专业版微博,https://weibo.com/2416297225/yBQfNsRkJ
6,怎样选择比较适宜受孕的季节 ​​​​,否,,2012-09-14 15:57,转发,评论,赞,专业版微博,https://weibo.com/2416297225/yBQeLD3TN
7,限制生育和不宜受孕的情况有哪些 ​​​​,否,,2012-09-14 15:55,转发,评论,赞,专业版微博,https://weibo.com/2416297225/yBQdSpezQ
8,办理《独生子女父母光荣证》工作流程图 ​​​​,否,,2012-09-14 15:53,转发,评论,赞,专业版微博,https://weibo.com/2416297225/yBQcXEqCv
9,朝阳区审批办理《生育服务证》工作流程图 ​​​​,否,,2012-09-14 15:51,转发,评论,赞,专业版微博,https://weibo.com/2416297225/yBQcf3rRO
