序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,审批办理再生育服务证需准备材料 ​​​​,否,,2012-09-13 19:37,转发,2,赞,专业版微博,https://weibo.com/2431374693/yBIfu8pwo
1,审批办理再生育服务证流程图 ​​​​,否,,2012-09-13 19:36,转发,评论,赞,专业版微博,https://weibo.com/2431374693/yBIf8fZKs
2,办理千元奖励需准备的材料 ​​​​,否,,2012-09-13 19:32,转发,评论,赞,专业版微博,https://weibo.com/2431374693/yBIdAdFHC
3,审批办理独生子女父母光荣证流程 ​​​​,否,,2012-09-13 19:29,转发,评论,赞,专业版微博,https://weibo.com/2431374693/yBIcoE3gz
4,审批办理生育服务证流程图 ​​​​,否,,2012-09-13 19:19,转发,评论,赞,专业版微博,https://weibo.com/2431374693/yBI89DQTz
5,#便民信息# 9月5日，公安部集中推出14项便民利民措施，涉及户政、交管、消防、报警求助等方面。这些措施近期将陆续实施，而部分措施在本市已提前试行。详情链接：O网页链接（来源：首都之窗） ​​​​,否,,2012-09-07 10:36,转发,评论,赞,专业版微博,https://weibo.com/2431374693/yAK95aD8a
6,#社区活动# 9月5日下午，百善药业的医生们来到百子园社区，为辖区的老年人开展了一系列义诊活动。医生们为老年人测量血压、埋耳针、按摩颈椎，免费赠送了感冒清热片，并且对老年人提出的问题进行了细致详尽的解答。 ​​​​,否,,2012-09-07 10:22,转发,评论,赞,专业版微博,https://weibo.com/2431374693/yAK3ftGyK
7,#社区活动# 近期，百子园社区联合百善药业，组织辖区居民在社区活动室开展了一场踢毽子比赛。社区活动室中，居民们2-4人一组计时一分钟进行比赛。参赛的居民各个身手不凡，有的一下踢了30多个而不掉，有的将毽子前后飞舞，踢出了花样，最终踢得最多的居民得到了小奖品。 ​​​​,否,,2012-09-07 10:12,转发,评论,赞,专业版微博,https://weibo.com/2431374693/yAJZm5jzp
8,转发微博,是,失物招领!!!!!!!!!【王超先生】请联系双井街道富力社区(58621732)!!求扩散!!!!! ​​​​,2012-09-07 09:56,转发,评论,赞,微博搜索,https://weibo.com/2431374693/yAJSvrQgM
9,转发微博。,是,#人文朝阳##朝阳区政府为民服务热线开通运行#朝阳区81890为民服务中心日前正式成立并运行。该中心通过7×24小时朝阳区政府为民服务热线81890000和www.81890000.gov.cn社区服务网及覆盖整个朝阳的便民服务企业加盟网点和志愿者队伍，以统一的标准和统一的管理为广大居民提供服务。 ​​​​,2012-09-07 09:47,转发,评论,赞,政府版微博,https://weibo.com/2431374693/yAJOYtJ0f
10,#社区活动# 2012年8月10日，百善药业的医生再次来到百子园社区，在社区一层为辖区老年人量血压、埋耳针，开展了一系列健康检查活动，并且向前来的老年人免费赠送了感冒清热片或心神安胶囊。 ​​​​,否,,2012-08-15 17:13,转发,3,赞,微博 weibo.com,https://weibo.com/2431374693/yxhUQ4EDL
