序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,中秋节，中国传统节日之一，为每年农历八月十五。八月为秋季的第二个月，古时称为仲秋，因处于秋季之中和八月之中，故民间称为中秋，又称秋夕、八月节、八月半、月夕、月节，又因为这一天月亮满圆，象征团圆，又称为团圆节。恭祝大家中秋节快乐！人月两团圆！@奉献你我他 ​​​​,否,,2012-09-28 16:53,转发,评论,赞,360安全浏览器,https://weibo.com/1067839405/yDYAq7h2w
1,//@北京阿龙_lis: 粉儿们，说点正格的，我招呼大伙好使吗？我真真儿的希望大家给老爷子投一票，用咱的实际行动支持爱北京的北京人O网页链接,是,#北京榜样#舒了，今年80岁，是个地道的老北京，他从上世纪80年代末开始走胡同，出于对胡同的感情，利用23年时间，手绘出北京胡同全图，单绘制胡同的小本子就有几尺高。他为生活留下了一份不褪色的记忆，为研究胡同文化提供了一手的宝贵资料。O网页链接 你可以为他投票 O网页链接   ​​​​,2012-09-26 14:09,转发,评论,赞,360安全浏览器,https://weibo.com/1067839405/yDEERfAqa
2,//@呼家楼关北街社区: //@健康伴您同行: 当心！“100860”是诈骗号码！,是,【当心！“100860”是诈骗号码！】“您的账户余额少于10元，请充值以免停机。欢迎使用短信形式的手机账单服务（免费）！请回复本号码进行话单查询。”发来短信的号码是100860，收到短信的人如果按要求回复就会被扣费，这是近期出现的诈骗新手法，请大家一定要注意啊！不要误看为移动客服号码10086。 ​​​​,2012-09-24 10:21,转发,评论,赞,360安全浏览器,https://weibo.com/1067839405/yDkjt91fr
3,现在社区正在开展“温暖西部”活动，“西部温暖计划”由中国青少年发展基金会于2006年发起，旨在通过发动社会爱心人士向青海、西藏、四川、甘肃等西部偏远山区捐助取暖衣物和学习用品等物资。捐赠地址：金台里社区居委会，我们期待着您的爱心！ ​​​​,否,,2012-09-24 10:19,转发,评论,赞,360安全浏览器,https://weibo.com/1067839405/yDkio5P7s
4,今日白露。此时气温开始下降，天气转凉，早晨草木上有了露水。每年公历的9月7日前后是白露。我国古代将白露分为三候：“一候鸿雁来；二候玄鸟归；三候群鸟养羞。”说此节气正是鸿雁与燕子等候鸟南飞避寒，百鸟开始贮存干果粮食以备过冬。可见白露实际上是天气转凉的象征。 ​​​​,否,,2012-09-07 14:38,转发,评论,赞,微博 weibo.com,https://weibo.com/1067839405/yALJ0CjEM
5,@李文的围脖: “文化”可以用四句话表达：植根于内心的修养；无须提醒的自觉；以约束为前提的自由；为别人着想的善良。----梁晓声,是,"【恐双胞胎乘机扰人 父母发糖果纸条暖人心】纸条上是这样写的：""我们是一对只有14周大的双胞胎，第一次坐飞机机，我们会尽量忍住不哭！但要是我们耳朵实在太痛没忍的话，妈妈爸爸（就是我们的移动牛奶机和自动尿布更换机）给你们准备了耳塞，去找他们要一副吧！"" ​​​​",2012-09-06 09:53,转发,评论,赞,微博 weibo.com,https://weibo.com/1067839405/yAAqO8v8g
6,转发微博,是,"#身边好人影像馆# 【刘继平:为重刑犯抚养女儿的好警察】4年前，武汉民警刘继平擒获一女劫匪。审讯时，女犯谈到14岁女儿生活无着，便歇斯底里用头撞墙。情急中，刘继平与她签下公安史上第一份""托孤协议""，帮她抚养女儿。刘继平又当爹又当妈，料理孩子生活，让她感受到了家的温暖。 O网页链接 ​​​​",2012-09-06 09:51,转发,评论,赞,微博 weibo.com,https://weibo.com/1067839405/yAAqeEDDn
7,//@文明朝阳: 做文明司机，赢零违章奖励哦，大家快来积极参与吧！,是,【9月开车零违章有望获奖】你是遵守交通法规的模范司机吗？现在首都文明办正在举办一个活动，从9月1号—30号，登录首都文明网（www.bjwmb.gov.cn)点击“通北京绿色出行月”页面，按提示签署文明出行承诺书，自觉做到“少开一天车出行礼让。”到月底，会从零违章的参与者中抽1000名给予奖励。@文明北京 ​​​​,2012-09-06 09:50,转发,评论,赞,微博 weibo.com,https://weibo.com/1067839405/yAApR2vhO
8,//@文明北京: 你的形象就是中国印象,是,#文明微评#【你的形象就是中国印象】所谓中国的形象，应当是一个真实的中国给外界的印象。我们不要一听到外国人批评，就火冒三丈。别人说得对，我就改；别人说得不对，也不必过于介意，要让世界认识到，今天的中国是一个正在进步的中国、和平的中国、讲道理的中国。via:人民日报O网页链接 ​​​​,2012-09-06 09:50,转发,评论,赞,微博 weibo.com,https://weibo.com/1067839405/yAApOmMt6
9,//@安居北京: [闪电]紧急！！！电信诈骗团伙的新手段！您如收到类似诈骗短信可以选择以下三个手段：1。立即报警 。 2。登陆网上银行，就打这银行卡号，密码随便瞎输入3次就锁死它，防止再出来害人。 3。 赶集网、58同城........ (此处省略121个字）你懂得！,是,#北京提个醒儿#【这短信哥也收到了。。。骗子最新文案，亲们注意了！】@心-不要再跳了：这还真是无语，大家小心啊，新骗术，骗子的智商还是挺高的。 ​​​​,2012-09-05 08:38,转发,评论,赞,微博 weibo.com,https://weibo.com/1067839405/yAqvTaniy
