序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,转发微博,是,【“独腿教师”刘坤贤：一双拐杖17年撑起一所村校】巫溪县天元乡新田村山村教师刘坤贤，1995年因意外导致左腿高位截肢，凭借着双拐在三尺讲台上一站就是17年，用“三只腿”送走了一批又一批山里娃……详情请见巫溪新闻网详细报道：O网页链接 ​​​​,2012-09-10 10:28,1,评论,赞,微博 weibo.com,https://weibo.com/2649762011/yBcmYlZxA
1,转发微博,是,每个人都有老师，祝老师们节日快乐！亲们，别忘记给自己的老师发个问候短信哦~ ​​​​,2012-09-10 10:26,转发,评论,赞,专业版微博,https://weibo.com/2649762011/yBcmyDb0g
2,//@安徽公安在线: #微提醒#介个好[拍手]！车内常见应急工具你会用了吗？速速转发收藏，任何场面hold住[不好意思]！,是,#车内常见应急工具你会用了吗？#开车之人如果不会换备胎，有时候真的相当“悲催”，求助无门、焦急等待的感觉很不好受。其实，不仅仅是换胎套件，就连安全锤、灭火器等车内常见的应急工具，还真有很多人不知道怎么用？今天@汽车之家 就教教大家车内常见应急工具该怎么用。中枪的快快收藏！ @私家车107 ​​​​,2012-09-05 15:29,转发,评论,赞,微博 weibo.com,https://weibo.com/2649762011/yAtcHp5Jv
3,//@北京地铁: #突发运营信息# 目前运营秩序正常，列车间隔没有受到影响，对乘坐八通线的乘客影响不大。八通线客流和以往周一客流基本一致。,是,#突发运营信息#今天早晨7:39-7:41，地铁八通线四惠东至高碑店上下行区间接触轨跳闸，影响部分列车晚点。车站积极组织客流疏导。 ​​​​,2012-08-20 08:53,转发,评论,赞,微博 weibo.com,https://weibo.com/2649762011/yxZM0DEN9
4,//@北京朝阳: 出行朋友请注意,是,【周六起安贞门站B口封闭改造】从18日开始，10号线安贞门站B（东北）出入口将进行封闭改造，用于完成正式出入口建设。施工期间，安贞门站内、站外将张贴通告，告知各位出入口调整事宜，同时还将利用站内广播进行提示。 ​​​​,2012-08-17 16:22,转发,评论,赞,微博 weibo.com,https://weibo.com/2649762011/yxAqOnoA3
5,转发微博,是,各项研究均表明，在发生车祸时，在系好安全带的情况下，车内人员生还几率大大增加，只有在系好安全带的前提下，安全气囊才能真正发挥保护作用。所以，各位司机朋友们。为了自己和他人的安全，开车时请系好安全带。 ​​​​,2012-08-15 08:36,转发,评论,赞,微博 weibo.com,https://weibo.com/2649762011/yxewJjlzX
6,转发微博,是,#微闻快报#据央视14日报道，苏湘渝系列持枪抢劫杀人案嫌疑人周克华于今晨6点40分左右，在重庆沙坪坝区童家桥一带被击毙。“8.10”案发后，党和国家领导人多次指示要尽快破案。受孟部长委托，公安部副部长张新枫坐镇重庆指挥，在公安部的统一指挥下，重庆警方将周克华击毙 O网页链接 ​​​​,2012-08-14 09:04,转发,评论,赞,微博 weibo.com,https://weibo.com/2649762011/yx5hDgiUm
7,012年8月9日上午，胜古北社区再次组织小小志愿者们在国典华园小区开展暑期学雷锋“争当环保小卫士”志愿服务活动。社区中小学生20余名参加了活动。 ​​​​,否,,2012-08-10 16:11,转发,评论,赞,微博 weibo.com,https://weibo.com/2649762011/ywwn5rgrU
8,转发微博,是,"#一周治安播报#7.30-8.5【撬砸汽车盗窃警情】发案主要分布在:朝阳双井,海淀万寿路,丰台长辛店,案发时间主要集中在清晨和傍晚【拎包盗窃类警情】发案主要分布在:丰台东铁匠营,案发时间主要集中在上、下班高峰期【扒窃类警情】发案主要分布在:朝阳潘家园和丰台蒲黄榆,案发时间主要集中在上、下班高峰期。 ​​​​",2012-08-06 15:52,转发,评论,赞,微博 weibo.com,https://weibo.com/2649762011/yvUxv0uI9
9,转发微博,是,【外交小知识】1958至1970年间，中美两国在瓦津基公园梅希莱维茨基宫进行了数十次大使级会谈，这是当时中美之间对话沟通的主要途径。中美会谈在两个完全没有外交关系的国家之间，旷日持久地进行了十多年，被称为世界外交史上的一大创举。梅希莱维茨基宫也因此被称为“中美会谈宫”。（图片via网络） ​​​​,2012-08-03 17:18,转发,评论,赞,微博 weibo.com,https://weibo.com/2649762011/yvsODuWjx
