序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,发表了博文 《人定湖社区庆中秋迎国庆联欢会》 -  2012年9月25日，在安德里北街25号院活动室。社区为了庆祝中秋节，迎接“十一”国庆节的到来，举办了一场欢乐祥和的联欢会。联欢会上社区工作者、社区 O网页链接 ​​​​,否,,2012-09-27 08:51,13,评论,赞,新浪博客,https://weibo.com/2728258937/yDM089C5s
1,发表了博文 《人定湖社区计生协会纪念“9.25”活动信息》 -  为纪念“9.25”公开信发表30周年，“9.25” 这天人定湖社区计生协在安德里北街25号院7453检测场活动室向社区居民宣传公开信内 O网页链接 ​​​​,否,,2012-09-27 08:48,转发,评论,赞,新浪博客,https://weibo.com/2728258937/yDLZ9yKbO
2,"发表了博文 《汽车侵占便道,社区及时解决》 -  2012年9月10日，在人定湖社区安德里北街25号院1号楼前，一辆汽车横着停放在行人便道上，把便道整个占满了，居民无法从此处行走，严重影响了附近居民的 O网页链接 ​​​​",否,,2012-09-19 14:02,6,评论,赞,新浪博客,https://weibo.com/2728258937/yCACpw82l
3,发表了博文 《传承中华美德   道德讲堂讲述道德故事》 -  2012年8月28日，社区精神文明领导小组组织社区党员、居民代表30多人。进行了一堂意义深刻的道德讲堂活动。课程由社区副书记齐洁同志主讲。 O网页链接 ​​​​,否,,2012-09-04 16:25,转发,评论,赞,新浪博客,https://weibo.com/2728258937/yAk8YnOVn
4,人定湖社区老年人游艺会： 天气炎热，为了丰富居民的夏日文化生活，人定湖社区根据街道办事处的文件精神，于2012年8月3日在安德里北街25号院活动室举行了人定湖社区老年人游艺会。游艺会共设立... O网页链接 （使用新浪长微博工具发布 O网页链接） ​​​​,否,,2012-08-13 11:32,转发,评论,赞,新浪博客,https://weibo.com/2728258937/ywWP3mDti
5,发表了博文 《人定湖社区老年人游艺会》 -  天气炎热，为了丰富居民的夏日文化生活，人定湖社区根据街道办事处的文件精神，于2012年8月3日在安德里北街25号院活动室举行了人定湖社区老年人游艺会。游艺 O网页链接 ​​​​,否,,2012-08-13 11:31,转发,评论,赞,新浪博客,https://weibo.com/2728258937/ywWOTz1GH
6,人定湖社区老年人游艺会： 天气炎热，为了丰富居民的夏日文化生活，人定湖社区根据街道办事处的文件精神，于2012年8月3日在安德里北街25号院活动室举行了人定湖社区老年人游艺会。游艺会共设立... O网页链接 （使用新浪长微博工具发布 O网页链接） ​​​​,否,,2012-08-03 16:31,转发,评论,赞,新浪博客,https://weibo.com/2728258937/yvsvAqgLb
7,发表了博文 《人定湖社区老年人游艺会》 -  天气炎热，为了丰富居民的夏日文化生活，人定湖社区根据街道办事处的文件精神，于2012年8月3日在安德里北街25号院活动室举行了人定湖社区老年人游艺会。游艺 O网页链接 ​​​​,否,,2012-08-03 16:31,转发,评论,赞,新浪博客,https://weibo.com/2728258937/yvsvwgQwp
8,人定湖社区夏日文化广场： 天气炎热，为了丰富居民的夏日文化生活，人定湖社区根据街道办事处的文件精神，于2012年8月3日在安德里北街25号院活动室举行了人定湖社区夏日文化广场。活动由居委会... O网页链接 （使用新浪长微博工具发布 O网页链接） ​​​​,否,,2012-08-03 16:28,转发,评论,赞,新浪博客,https://weibo.com/2728258937/yvsut0sGv
9,发表了博文 《人定湖社区夏日文化广场》 -  天气炎热，为了丰富居民的夏日文化生活，人定湖社区根据街道办事处的文件精神，于2012年8月3日在安德里北街25号院活动室举行了人定湖社区夏日文化广场。活动 O网页链接 ​​​​,否,,2012-08-03 16:28,转发,评论,赞,新浪博客,https://weibo.com/2728258937/yvsuetAd7
10,发表了博文 《人定湖社区2012年八一共建慰问北京军区联勤部第三干休所》 -  八一来临前夕，为更好的和驻社区部队进行共建，人定湖社区购买了夏季饮料及避暑用品来到北京军区联勤部第三干休所，慰问这里的4 O网页链接 ​​​​,否,,2012-08-03 16:25,转发,评论,赞,新浪博客,https://weibo.com/2728258937/yvstlfeRJ
11,发表了博文 《写篇文章献给党——庆祝中国共产党建党九十一周年》 -  中国共产党从诞生到现在，已经走过了91年的光辉历程。91年来，中国共产党创造性地把马克思主义的普遍真理同中国革命和建设的具体实践相 O网页链接 ​​​​,否,,2012-07-05 15:26,转发,评论,赞,新浪博客,https://weibo.com/2728258937/yr2GN6vuq
12,发表了博文 《写篇文章献给党——庆祝中国共产党建党九十一周年》 -  中国共产党从诞生到现在，已经走过了91年的光辉历程。91年来，中国共产党创造性地把马克思主义的普遍真理同中国革命和建设的具体实践相 O网页链接 ​​​​,否,,2012-07-05 11:17,转发,评论,赞,新浪博客,https://weibo.com/2728258937/yr13NjfMO
