序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,感谢和平里街道社区办细心周到，为我们这儿的回族工作者准备了清真月饼！！！[呵呵] ​​​​,否,,2012-09-25 11:46,11,评论,赞,微博 weibo.com,https://weibo.com/2818371641/yDuiaqJWK
1,今天办事处发中秋节月饼，特意给我们这儿的少数民族（回族）预备了清真食品，感谢办事处的细心和关怀！ ​​​​,否,,2012-09-25 11:43,转发,评论,赞,微博 weibo.com,https://weibo.com/2818371641/yDugZb3IP
2,#文明出行秀达人#文明出行有硬件和软件两个方面的要求，这两个方面缺一不可。硬件是道路、车辆、信号标志等方面的，软件就是交通参与者的个人素质。每一名交通参与者的素质决定了出行的文明程度。(来自O网页链接 ) ​​​​,否,,2012-09-21 11:00,6,评论,赞,微博直播组件,https://weibo.com/2818371641/yCShK7fWL
3,文明出行，就是出行方式简约高效、出行方法低碳环保、出行过程安全快捷,是,"#文明出行秀达人#您想成为""文明出行达人""吗？您有什么样的绿色出行高招?今天上午10:00至11:00,首都文明办副主任韩龙彬、市交通委和市公安交通管理局有关部门负责人将围绕""文明出行秀达人""这个主题,利用#微访谈#与大家聊一聊""畅通北京绿色出行月""和中秋、十一长假文明出行这些事儿,欢迎大家参与。 ​​​​",2012-09-21 10:43,转发,评论,赞,微博搜索,https://weibo.com/2818371641/yCSaxhYv9
4,最美社工评选开始咯！！！我们社区书记赵跃桀参加此次评选，请大家多多支持！！！ ​​​​,否,,2012-09-13 09:56,转发,评论,赞,微博 weibo.com,https://weibo.com/2818371641/yBErufY03
5,"我参与了@能动英语 发起的投票【我要能动旅游基金大PK】，我投给了""付靖然——能动英语屋（安贞）""这个选项。你也快来表态吧：O网页链接  ​​​​",否,,2012-09-03 15:31,转发,评论,赞,投票-我要能动旅...,https://weibo.com/2818371641/yAamurFcp
6,雨过天晴云破处、选定将来做颜色————好个响晴白日的天！！！ ​​​​,否,,2012-09-03 15:13,转发,评论,赞,微博 weibo.com,https://weibo.com/2818371641/yAafvedLw
7,8月15日，东城区人大代表、北京市园林局局长周建平来到小黄庄社区，与街道人大办领导一起召开《人大代表群众接待日》，此举获得社区居民的高度认同。 ​​​​,否,,2012-08-16 15:09,转发,评论,赞,微博 weibo.com,https://weibo.com/2818371641/yxqwQr1Wk
8,如果按照长期遗传形成的体质差异来讲，中国仍然是奥运会金牌第一…… ​​​​,否,,2012-08-12 12:20,转发,评论,赞,uc浏览器ios,https://weibo.com/2818371641/ywNI2tNEW
9,尤文图斯队昨晚八点半入住金隅喜来登酒店，走的是东侧侧门，众球迷围观之。。。俺一个也不认识。。。。 ​​​​,否,,2012-08-10 09:56,转发,评论,赞,微博 weibo.com,https://weibo.com/2818371641/ywtUH2gIT
10,孩子们，你们都很棒！！ ​​​​,否,,2012-08-07 16:27,转发,1,赞,微博 weibo.com,https://weibo.com/2818371641/yw4c5Bpow
11,回复@小李Michael: //@小李Michael:不错！支持一下。,是,明天道德讲堂开幕式，孩子们要穿汉服诵读（背诵）《孟子-离娄下》，感谢孩子们！感谢家长们！让着短短的五分钟成为你们暑假中的亮点吧！！ ​​​​,2012-08-06 11:37,转发,1,赞,微博 weibo.com,https://weibo.com/2818371641/yvSRKpxHr
12,明天道德讲堂开幕式，孩子们要穿汉服诵读（背诵）《孟子-离娄下》，感谢孩子们！感谢家长们！让着短短的五分钟成为你们暑假中的亮点吧！！ ​​​​,否,,2012-08-06 11:27,1,4,赞,微博 weibo.com,https://weibo.com/2818371641/yvSNPfdmJ
