序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,@大兴卫生 @大兴妇幼健康教育 @文明大兴,是,金星卫生院妇幼站在十八大期间共查示本辖区共有孕产妇693人，本辖区孕妇120人，高危孕产妇119人，妇幼站均在按要求监测中。经核实本辖区无一例，0-6岁儿童死忘。在册儿童均在按照0-6岁儿童生命监测方案的要求在系统管理中。@金_星_卫_生_院 ​​​​,2012-09-18 13:56,转发,评论,赞,专业版微博,https://weibo.com/2709507907/yCr9rhZtK
1,根据《大兴区党的“十八大”安保公共卫生安全隐患排查整治专项行动实施方案》要求，金星卫生院CDC在主管院长带领下，对辖区内学校及托幼院所开展传染病防控工作检查及指导。 内容包括：传染病制度、晨午检情况、消毒情况、接种证查验等。@大兴卫生 ​​​​,否,,2012-09-14 17:08,转发,评论,赞,专业版微博,https://weibo.com/2709507907/yBQHAukBj
2,@大兴卫生,是,宝宝喝牛奶之后，妈妈要注意给宝宝喝些水。牛奶中的蛋白质（以酪蛋白为主）以及钙、磷、钠等矿物质含量过高。大大超过母乳，这些矿物质进入体内，消耗大量水分，导致大便干结难解，俗称“上火”。如果想要宝宝不出现“上火”现象，就得另外多喂开水。@金_星_卫_生_院 @大兴妇幼健康教育 ​​​​,2012-09-06 08:19,转发,评论,赞,微博 weibo.com,https://weibo.com/2709507907/yAzOH4SE5
3,@北京大兴健康教育,是,为确保9月份完成入托、入学查验接种证工作，2012年9月4日，金星卫生院CDC站于暨辖区幼儿园培训后又开展学校相关负责人查验接种证培训。@大兴卫生 ​​​​,2012-09-04 16:15,转发,评论,赞,微博 weibo.com,https://weibo.com/2709507907/yAk5c3Uwt
4,为确保9月份完成入托、入学查验接种证工作，2012年9月4日，金星卫生院CDC站于暨辖区幼儿园培训后又开展学校相关负责人查验接种证培训。@大兴卫生 ​​​​,否,,2012-09-04 16:14,1,评论,赞,微博 weibo.com,https://weibo.com/2709507907/yAk4O98of
5,@北京市公共卫生信息中心 @大兴区卫生监督所二科,是,2012年9月1日，金星卫生院CDC工作站以“减盐预防高血压”为主题分别在院内及辖区内各村开展全民健康生活方式知识宣传活动。此次活动共发放宣传资料2种400份，咨询200人次。这次活动宣传了健康的生活方式，介绍了健康观念的变化，同时向居民提出“我行动，我健康，我快乐”的健康理念。@大兴卫生 ​​​​,2012-09-03 18:21,1,评论,赞,微博 weibo.com,https://weibo.com/2709507907/yAbtMAen9
6,2012年9月1日，金星卫生院CDC工作站以“减盐预防高血压”为主题分别在院内及辖区内各村开展全民健康生活方式知识宣传活动。此次活动共发放宣传资料2种400份，咨询200人次。这次活动宣传了健康的生活方式，介绍了健康观念的变化，同时向居民提出“我行动，我健康，我快乐”的健康理念。@大兴卫生 ​​​​,否,,2012-09-03 18:21,3,评论,赞,微博 weibo.com,https://weibo.com/2709507907/yAbtypgdE
7,为确保9月份完成入托、入学查验接种证工作，结合辖区流动人口多、私立幼儿园不放暑假的特点，金星卫生院CDC于8月24日对未放暑假的14所幼儿园的负责人开展查验接种证培训，并要求于9月3日前将大卡及接种证交到CDC站，预计9月5日正式开展补证、补种工作。@大兴卫生 @北京大兴健康教育 ​​​​,否,,2012-08-27 16:29,1,评论,赞,微博 weibo.com,https://weibo.com/2709507907/yz6KHFu4E
8,转发微博,是,应广大家长的要求，在这里将周六讲课的精华内容和图片分享给大家。含铁丰富食物能够帮助宝宝补铁，防止缺铁性贫血。食物有：动物肝脏、血豆腐、瘦肉、蛋黄、菠菜、紫菜、海带、红枣、红豆、西红柿、樱桃、草莓、蘑菇等。建议每天一荤一素一水果搭配着吃补血效果好，容易吸收。谨记不可以喝含茶咖啡饮料 ​​​​,2012-08-27 14:05,转发,评论,赞,微博 weibo.com,https://weibo.com/2709507907/yz5Od5Rx1
9,为了提高护理人员整体素质，并在全院范围内营造热爱学习、崇尚学习的良好氛围，2012年8月22日，金星卫生院护理部组织开展了护理人员三基三严技能考核。 院领导高度注视此项工作，并由院长、业务副院长等共同组成评委团，对技能操作中存在的问题及时进行点评。 @大兴卫生 @大兴共青团 @西红门健康教育 ​​​​,否,,2012-08-24 16:09,1,评论,赞,微博 weibo.com,https://weibo.com/2709507907/yyEldhgrt
