序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,经济实惠的线路哦,是,【市区到机场八毛钱】从市区到机场，市民大多选择出租车、机场地铁和机场专线大巴。其实，您还可以选择359路、640路等公交车，到了“机场道口”站，换乘可以划公交卡的“空港巴士”就能到达航站楼。此路线不仅价格便宜（全程八毛），发车数量还多，每隔几分钟就来一辆车，全程1小时左右。 ​​​​,2012-08-06 11:32,1,评论,赞,微博 weibo.com,https://weibo.com/2649708913/yvSPDgCZ4
1,《神奇的非洲》展览，看“非洲大草原”,是,【《神奇的非洲》开展可免费参观】#北京进行时#8月1日，《神奇的非洲》在自然博物馆开展。展览以非洲珍贵动物标本为基础，还原了野生动物生存的生境，采用360度环形全景画展示技术，将非洲大陆的野生动物栩栩如生地再现于观众面前，场面震撼。参展免费，需提前预约，详情请拨打预约咨询电话67027702。 ​​​​,2012-08-02 12:28,1,评论,赞,微博 weibo.com,https://weibo.com/2649708913/yvhuIlbvO
2,头七：中国人的丧殡习俗，一般都认为，死者魂魄到了“头七”当天的子时返家，家人应于家中烧一个梯子形状的东西，让魂魄顺着这趟“天梯”到天上~愿逝者安眠，一路走好！,是,悼念在7.21暴雨灾害中逝去的生命。 ​​​​,2012-07-27 14:45,转发,评论,赞,微博 weibo.com,https://weibo.com/2649708913/yunPmaNzX
3,读懂天气预警信号，防患于未然，愿平安、健康长久相随！,是,【今夏暴雨频发 教你读懂天气预警信号】气象专家介绍，根据中国气象局定义，暴雨按其降水强度大小分为三个等级：24小时降水量为50—99.9毫米称“暴雨”；100—200毫米为“大暴雨”；200毫米以上称“特大暴雨”。暴雨预警信号分四级，分别以蓝色、黄色、橙色、红色表示其严重程度，由低至高递增。 ​​​​,2012-07-27 14:39,转发,评论,赞,微博 weibo.com,https://weibo.com/2649708913/yunMKfIwj
4,O网页链接 O网页链接 ~ 关爱生命，祝福北京！愿逝者安眠，生者幸福！ ​​​​,否,,2012-07-27 14:32,转发,评论,赞,微博 weibo.com,https://weibo.com/2649708913/yunJNChi8
5,分享图片 ​​​​,否,,2012-07-16 17:08,1,1,赞,微博 weibo.com,https://weibo.com/2649708913/ysJ3H9xwy
6,党旗凝聚力量，爱心播散朝阳；为党旗添光彩，为社会做贡献——根据大屯街道关于“共产党员献爱心”捐款活动的通知，安慧东里社区党委组织集中捐款活动，自2012年7月11日早9时至7月20日下午5时，捐款地点：社区居委会；联系人：甄亚美。7月21日上午10时社区党委将捐款集中上交大屯街道工委组织科并公示 ​​​​,否,,2012-07-12 14:10,转发,评论,赞,微博 weibo.com,https://weibo.com/2649708913/ys6bFF0FO
7,墨香蕴气度，丹青著春秋——暑期将至，为配合学校开展暑期实践活动，安慧东里社区居委会特为辖区内中小学生开办一期“软笔书法培训班”，为期六天，7月16日至21日，每日下午2点到4点；书法班不收取学费，请学生们自行准备学习工具。欢迎喜欢书法的同学们踊跃参加！ ​​​​,否,,2012-07-12 11:47,转发,评论,赞,微博 weibo.com,https://weibo.com/2649708913/ys5fjFsT5
8,北宅民俗村红线游 ​​​​,否,,2012-07-06 15:51,转发,评论,赞,微博 weibo.com,https://weibo.com/2649708913/yrchHB22I
9,鹤发童颜“红线游”，老党员进新农村——安慧东里社区党委组织社区自管党员参观北宅民俗村，观摩社会主义新农村建设。 ​​​​,否,,2012-07-06 15:47,转发,评论,赞,微博 weibo.com,https://weibo.com/2649708913/yrcfVmAgf
10,请居民朋友们注意调整好出行时间及路程~,是,"#交通出行提示#万柳桥将于6月29日至8月25日进行桥梁维修施工,其中占路施工安排在7月6日至8月6日每周五晚22时至周一早5时进行,期间将分别封闭万柳桥主路两条车道及桥下环岛部分路面(三跨桥洞每次占用一跨),主路及桥下辅路环岛至少保留双向四条车道供车辆通行,其它时间恢复交通。O网页链接 ​​​​",2012-07-06 15:09,转发,评论,赞,微博 weibo.com,https://weibo.com/2649708913/yrc0gnMRo
11,【最好的运动】 1、最好减肥运动——游泳，消耗能量大，消除赘肉。2、最好健脑运动——弹跳，加强血液循环，供给氧气。3、最好防近视运动——乒乓球，使眼睛疲劳消除，改善视力。4、最好抗衰老运动——跑步，促进新陈代谢。5、最好健美运动——体操，加强平衡协调。6、最好抗高血压运动——散步。 ​​​​,否,,2012-07-05 15:20,转发,评论,赞,微博 weibo.com,https://weibo.com/2649708913/yr2EgbOCb
12,浪费可耻！期待无需硬性规定，人人自觉节水时刻的到来~,是,【本市新节水办法实施 浪费水将被罚】#聚焦北京#本月1日起，《北京市节约用水办法》开始实施。办法规定了本市所有洗车行的自来水必须循环使用；人造滑雪场、高尔夫球场、高档洗浴场所需安装用水数据远传设备；对高耗水项目和单位实施重点监控等内容。如发现高耗水行业浪费水的行为将受一定金额处罚。 ​​​​,2012-07-04 17:19,转发,评论,赞,微博 weibo.com,https://weibo.com/2649708913/yqU0aDRPh
