序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,第20条刀叉就算了吧，还是筷子好用，呵呵,是,#分享#【美国孩子必须学习的22条礼貌礼节】美国的父母会要求孩子在七、八岁时就必须学到做到喔！给各位粑粑麻麻们参考参考~ by@中国教育研究   ​​​​,2012-09-27 09:31,转发,评论,赞,专业版微博,https://weibo.com/2002562145/yDMgsbQJT
1,明日要降温，大家注意添衣保暖//@北京市民政局: 风力较大气温降 及时添衣防感冒,是,【风力较大气温降 及时添衣防感冒】26日17时北京气象信息：夜间天空逐渐转阴，最低气温15℃。明日受冷空气影响，大部地区有阵雨，雨量一般不足5毫米。午后风力逐渐增大，傍晚到前半夜可达五六级阵风七级，注意防风并远离广告牌等悬挂物。冷空气也使气温明显下降，最高气温23℃，适当添衣防感冒。 ​​​​,2012-09-26 17:15,转发,评论,赞,专业版微博,https://weibo.com/2002562145/yDFSkEBev
2,【好消息】学院路街道精神文明建设办公室将组织“学院路地区青少年国学公益培训班”培训时间：10月7日下午2：00——5：00。（开班后，每周日下午2：00——5：00开展活动）报名要求：学生年龄最好在7岁以上，学生家长可陪同学习，培训地点：学院路街道二里庄社区活动中心报名截止时间：10月6日下午5：00 ​​​​,否,,2012-09-26 16:15,转发,评论,赞,专业版微博,https://weibo.com/2002562145/yDFu1EMlc
3,【节日的祝福】 中秋、国庆将至，东王庄社区居委会全体人员在此预祝居民朋友节日快乐，合家团圆，幸福美满。顺便提醒大家，节日期间外出要多注意行车安全、人身安全！ ​​​​,否,,2012-09-26 15:56,转发,评论,赞,专业版微博,https://weibo.com/2002562145/yDFm9e2Dp
4,分享自东王庄居委会  《大红灯笼高高挂 多彩灯谜随风飘——东王庄社区青年汇猜灯谜·庆中秋活动   ...  (来自 @头条博客) -   O网页链接 ​​​​,否,,2012-09-26 14:37,转发,评论,赞,新浪博客,https://weibo.com/2002562145/yDEQacln6
5,【活动信息】9月26日上午，社区居委会在中心广场举办了猜灯谜庆中秋活动，灯谜涉及猜字、歌曲名、地点、成语、口语、日常用品、词牌名等十余种谜底。居民参与积极，冥思苦想。很多较难的灯谜都能猜出来，真是太厉害了哦。 ​​​​,否,,2012-09-26 11:12,转发,评论,赞,专业版微博,https://weibo.com/2002562145/yDDv11jXu
6,//@海淀共青团: //@青年说:,是,【青年思语】1、气不和时少说话，有言必失；心不顺时莫做事，做事必败。2、事莫虚应，应则必办，不办便结怨；愿莫轻许，许愿必还，不还便成债。3、 万物在说法，看你如何着眼；一切是考验，试你如何用心。4、知足是富人，平常是高人，无事是仙人，无心是圣人。5、想开了自然微笑，看破了肯定放下。 ​​​​,2012-09-25 16:37,转发,评论,赞,专业版微博,https://weibo.com/2002562145/yDwcj8cT3
7,【通知】 由于天气原因，场地湿滑，今天下午活动取消，特此通知。 ​​​​,否,,2012-09-25 14:10,转发,评论,赞,专业版微博,https://weibo.com/2002562145/yDveLvEN9
8,【致谢】13楼3单元自2002年10月至2011年12月更换智能电表时，一直未交过电费，超用电表字1375度，合计电费每户60元，由于时间太长，住户变化较大，经居委会与各住户协商，并多次到供电所办理，最终顺利解决。在次，感谢401住户，他们也为此付出很大努力。 ​​​​,否,,2012-09-25 11:13,转发,评论,赞,专业版微博,https://weibo.com/2002562145/yDu4PmaoD
9,【孕妇建母子健康档案须知】本市、外地孕妇想建母子健康档案的收藏一下吧 ​​​​,否,,2012-09-24 16:15,转发,评论,赞,专业版微博,https://weibo.com/2002562145/yDmD930x9
10,【活动通知】9月25日（周二）下午2：30在社区广场举办“猜灯谜 庆中秋 话家常 促和谐”活动，灯谜多而有趣，等您一显身手哦。 ​​​​,否,,2012-09-24 15:40,转发,评论,赞,专业版微博,https://weibo.com/2002562145/yDmoN2Sl9
