序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,寻狗启事：看到狗狗的居民朋友也可与居委会联系62311900，大家一起帮主人找皮皮吧,是,@学院路二里庄社区 我是二里庄34号楼9门201的住户，我家的雪纳瑞，叫皮皮昨天晚上在社区活动站附近丢失了，全家人特别着急，希望您哪能发条微博帮我找找小狗，万分感谢！！！真的特别着急 ​​​​,2012-09-28 09:33,转发,评论,赞,专业版微博,https://weibo.com/2011660960/yDVHFnwVT
1,//@首都社区服务: 国庆期间交通预测,是,#出行提示#【国庆期间交通预测】今年双节叠加，预计节前部分工作日交通拥堵等级可能达到严重拥堵级别；如果遇到突发降雨现象，可能会出现比较严重大范围长时间交通拥堵。为避免拥堵，小编建议通心粉们尽量少开车，更多选择公共交通出行[大巴]。小编给您总结了几个重点日，您关注下： ​​​​,2012-09-25 09:05,转发,评论,赞,专业版微博,https://weibo.com/2011660960/yDtf6pl7q
2,65岁以上老人乘车证应更正为65岁以上老年人优待卡//@交通北京: #转发微博#[彩虹] 可免费乘坐公交车的证件您知道吗？ //@文明北京:目前我们有这样几种免费乘座公交车的证件：员工卡、士兵证、盲人乘车证、离退休干部荣誉证、伤残军人免费乘车证、65岁以上老人乘车证、残疾证。,是,,2012-09-21 11:22,2,评论,赞,专业版微博,https://weibo.com/2011660960/yCSqG9qfs
3,家长朋友们一定要注意，谨防上当！,是,走关系，上名校，交了几十万的赞助费，到了开学的日期，孩子没学上，骗子销声匿迹，巨额赞助费也打了水漂。日前，海淀警方抓获了三名以走关系上重点小学为名，诈骗家长钱款的犯罪嫌疑人，被骗学生家长十余人，被骗金额高达260余万元。 ​​​​,2012-09-20 10:15,转发,评论,赞,专业版微博,https://weibo.com/2011660960/yCIyMvySB
4,很方便实用哦！,是,【环保狗狗便便包】养狗狗的主人常常头痛在外遛狗时，狗狗突然在路中央拉了大屎一坨，尴尬迎面扑来。那就赶快来学习这个便便包的做法，下次遛狗记得带上，废物利用，环保又便利～   ​​​​,2012-09-20 10:09,转发,3,赞,微博 weibo.com,https://weibo.com/2011660960/yCIwwrqbH
5,十一快到了,是,#自驾游全攻略# 应急药箱：创可贴、云南白药、绷带、医用胶布、体温计、退烧药、止腹泻药、止痛药、风油精或清凉油。如果去的地方常有毒虫出没，那么蛇药最好还是备一些。针线包：大小号的缝衣针各准备一两根，线要结实，稍粗一些。针除了缝东西外，也会有其他的用处，比如说挑扎到肉里的刺。[bed凌乱] ​​​​,2012-09-17 11:00,1,评论,赞,专业版微博,https://weibo.com/2011660960/yCgzJetm6
6,居民朋友们：学院路地区“和谐杯”第十届交谊舞大赛开始报名啦！凡居住在学院路地区，40岁以上，身体健康的居民均可报名。望广大交谊舞爱好者踊跃参加，抓紧时间报名。报名地点：二里庄社区居委会 联系电话：62311900 报名截止日期：2012年9月24日 ​​​​,否,,2012-09-13 10:08,1,评论,赞,专业版微博,https://weibo.com/2011660960/yBEwHuKvH
7,妇女朋友们：接到海淀妇幼保健院通知，前段时间未参加两癌筛查的适龄妇女，可于9月17日-21日前往补查，请户籍在我社区、未参加筛查的35-59周岁适龄妇女于9月14日前先来社区居委会领取筛查三联单。 ​​​​,否,,2012-09-12 16:41,转发,评论,赞,专业版微博,https://weibo.com/2011660960/yBxFL9xjU
8,转发微博,是,【求证:参加养老社保其实很划算】有网友表示，社会养老保险缴费不如存银行获得复利划算，并且缴得越多越不划算。国家规定社会养老保险最低缴费年限为15年，如果从45岁开始缴费，缴费15年到退休时领取养老金最划算。事实是否如此？有关专家算了一笔账，看看如何养老更划算。 O网页链接 ​​​​,2012-09-12 09:04,转发,评论,赞,专业版微博,https://weibo.com/2011660960/yBuG6ff75
9,转发微博,是,【偏北风三四级间五级】#北京你好#今日限行4和9，最高气温24℃。三四级间五级偏北风。特别要提醒大家，虽然白天气温舒适但夜间气温下降得厉害，本周四至周日的夜间最低气温都在12℃至14℃，该把簿簿的空调被换一换了。原创图片——路的那头是什么？我想去看看。[彩虹] ​​​​,2012-09-12 09:03,转发,评论,赞,微博 weibo.com,https://weibo.com/2011660960/yBuFAlXk9
10,//@学院路东王庄社区: 爱在烧烤摊吃烧烤的朋友注意哈//@y_竹叶酒: 转发微博,是,【烧烤摊主说烤串：这行太黑！我一口不吃】傍晚，一盘烤得香喷喷肉串，加上一杯冰凉扎啤，北京街头不计其数的饭馆门前的聚会。但很多烧烤摊主自己对烤串却是一口不吃，“鸡骨浸膏是做烤翅用的，羊肉精是腌肉串时用的，腌出来很有羊肉味儿，咱自家做菜可别放，一点好处没有。”O网页链接  ​​​​,2012-09-07 14:52,转发,评论,赞,专业版微博,https://weibo.com/2011660960/yALOJvlSR
11,居民朋友们要注意啊！//@文明北京: #便民消息#骗子又有新招了，咱见招拆招[得瑟]//@平安北京: 希望大家能转告家中的老人，不要上当受骗。,是,今天又接到新型诈骗，骗子又冒充歌华有线工作人员，说事主身份证被别人冒用申请了有线电视，并称与某公安局联系。请大家帮助宣传，共同防范！ ​​​​,2012-09-07 14:50,2,评论,赞,专业版微博,https://weibo.com/2011660960/yALO49hbh
12,居民朋友们：由于市政工程队正在修理污水管道，目前小区西门至石油附小南门不能通行，只能绕行社区内两侧小路，请早晨送孩子或上班的居民朋友尽早出门，以免小区内道路拥堵，耽误您的时间。@可乐加芬达611 ​​​​,否,,2012-09-04 17:06,转发,1,赞,微博 weibo.com,https://weibo.com/2011660960/yAkpy7EAH
13,//@北京市民政局: 信用卡丢失先电话挂失,是,【信用卡丢失先电话挂失】你是否有信用卡找不到的时候？此时，千万别着急去银行挂失。您可以先电话挂失，银行会给您一段时间确定卡是否真的遗失。如果直接去银行挂失，首先您可能要交付20至85元不等的挂失费。即使您找到了信用卡，银行也不会把钱还您。同时，您挂失的卡也失去作用，还要花钱补卡。 ​​​​,2012-09-04 09:30,转发,评论,赞,微博 weibo.com,https://weibo.com/2011660960/yAhqOeQGd
14,发表了博文 《海淀区流动人口避孕节育检查定点医疗机构介绍》 - 海淀区计划生育生殖健康技术服务中心  地址：北京市海淀区大钟寺14号   服务热线：52395827   乘车路线：地铁13号线、300 O网页链接 ​​​​,否,,2012-08-31 17:33,转发,评论,赞,新浪博客,https://weibo.com/2011660960/yzISJDQLw
15,转发微博,是,【北京公布19家婚检机构名单】昨天，北京市卫生局公布19家可以进行婚检的医疗机构名单，鼓励二级及以上医疗机构开展此项服务。从朝阳区妇幼保健院获悉，免费婚检时间为每周二至周六上午八点至十点半。夫妻双方中有一方是朝阳区户口，即可持两人身份证免费婚检。以下是19家婚检医疗机构名单~ ​​​​,2012-08-30 11:23,1,评论,赞,微博 weibo.com,https://weibo.com/2011660960/yzx27msgU
16,转发微博,是,#食品退市信息#（2012年8月29日）在近期的食品安全监管中，抽检出下列不合格食品，现将不合格食品名单予以公示，并决定对这些不合格食品在流通领域采取停止销售措施。其中市工商局在抽检中发现不合格食品11个(见图)。凡已购买上述不合格食品的消费者可凭购物小票和食品外包装向销售单位要求退货。 ​​​​,2012-08-30 09:14,转发,评论,赞,微博 weibo.com,https://weibo.com/2011660960/yzwbHy59W
17,塔楼小广场活动提示——居民朋友们：接到塔楼居民反映，晚上十点后在广场玩耍的孩子活动时声音较大，影响了周围居民的正常休息，请家长朋友们安排好孩子的作息时间，共同营造和谐的社区氛围。 ​​​​,否,,2012-08-24 16:24,转发,1,赞,微博 weibo.com,https://weibo.com/2011660960/yyErp8OSd
18,"//@海淀区政府网站: 【二代身份证不会被消磁】二代身份证使用的芯片类似于U盘,是不会发生所谓的""消磁""的情况。如果您的二代身份证信息无法读取,应该是芯片四周的线圈出现了损坏或者是对方身份证识别仪出现了故障,建议到派出所进行检测,如确实是损坏了,需要重新办理。大家平时放置身份证时注意别折了",是,#求证# 有报道称【身份证不能长期与手机放在一起】有市民反映他的第二代身份证在办理业务时读不了信息，结果发现原来是他常把证件与手机放一起所致。二代身份证采用内置IC芯片技术，不能长期与手机、电视机等有磁性物体放一起，否则会使芯片出现故障，从而影响设备读取数据导致不能使用。@平安北京 ​​​​,2012-08-24 16:14,1,评论,赞,微博 weibo.com,https://weibo.com/2011660960/yyEnkbPAX
19,//@学院路建清园社区: //@学院路768厂社区: 留心//@学院路北科大社区:,是,【特别提醒】最近发现经常有居民咨询，有关接到一通关于“自称是自来水公司，免费为老年人提供自来水过滤器”的电话，我们特在此声明并提醒大家，社区没有接到相关通知，对类似电话内容不要轻信，以防上当受骗！！ ​​​​,2012-08-23 16:01,转发,评论,赞,微博 weibo.com,https://weibo.com/2011660960/yyuRs2Z6O
20,北京市老年优待政策之二：办理65周岁以上老年优待卡。办理人员条件：年满65周岁以上且具有北京市户籍；提交材料：近期免冠白底1寸彩照1张、身份证原件及复印件1张（正反面印一张纸上）；办理时间：提前两个月办理（如2012年10月满65周岁，可于2012年8月20日前来居委会办理）；办理地点：社区居委会。 ​​​​,否,,2012-08-21 15:42,1,3,赞,微博 weibo.com,https://weibo.com/2011660960/yybSOE6T4
21,北京市老年优待政策之一：办理60-64周岁老年证。 办理人员条件：年满60-64周岁且具有北京市户籍；提交材料：近期免冠1寸彩照1张、身份证原件及复印件1张（正反面印一张纸上）；办理时间：年满60周岁的当月20号前；办理地点：社区居委会。 ​​​​,否,,2012-08-21 15:21,3,1,1,微博 weibo.com,https://weibo.com/2011660960/yybKijswj
22,转发微博,是,【秋天5大水果冠军挑着吃】1、柚子：碳水化合物最低，糖尿病患者与减肥者佳选，每天食用量别超200克，一天一大瓣即可；2、柑橘：维生素B1冠军，止咳化痰，吃多易上火；3、鲜枣：软化血管，抗癌降压，一天吃8~10个即可；4、石榴：含膳食纤维最高，防便秘治腹泻；5、板栗：富含矿物质。 ​​​​,2012-08-21 09:28,转发,评论,赞,微博 weibo.com,https://weibo.com/2011660960/yy9r4clvC
23,//@平安北京: 遇到马蜂袭击，千万不能跑，立即蹲下，用衣服包住头部，不要进行反击。万一被蛰伤，建议立即去医院检查，别抓伤口，以免溃烂。,是,昨天，西二旗消防中队接到报警称：海淀区铭科苑一住户阳台窗户左上角有一大概约15厘米左右马蜂窝，严重影响了居民生活。消防员接到报警后迅速赶到现场将马蜂窝“一锅端”。这个提示大家如遇马蜂来袭，要用衣物保护好自己的头颈，并原地趴下，不能进行反击，否则只会招致更多马峰攻击。 ​​​​,2012-08-20 14:24,转发,评论,赞,微博 weibo.com,https://weibo.com/2011660960/yy1WG3DYQ
24,回复@紫水晶myw:您好，工程预计60天，9月底完工。 //@紫水晶myw:什么时候能完成啊？,是,居民朋友们，小区斜街改造已经开始了，给大家出行带来的不便，请大家谅解，谢谢居民朋友们的支持。 ​​​​,2012-08-20 10:59,1,1,赞,微博 weibo.com,https://weibo.com/2011660960/yy0BtjTDK
25,居民朋友们，小区斜街改造已经开始了，给大家出行带来的不便，请大家谅解，谢谢居民朋友们的支持。 ​​​​,否,,2012-08-17 16:32,2,5,赞,微博 weibo.com,https://weibo.com/2011660960/yxAuOx492
26,//@学院路768厂社区: 出伏后昼夜温差大，易感冒，大家记得及时增减衣物,是,【今天京城正式出伏】#生活提示#今天京城正式出伏，气温也应景地有所回落，一年中最热的“三伏天”宣告结束。气象部门提醒，随着今年“三伏天”结束，昼夜温差将逐渐加大，傍晚前后气温回落较快。夜间最低气温有时在20℃之下，市民夜间休息要注意保暖。 ​​​​,2012-08-17 16:04,转发,评论,赞,微博 weibo.com,https://weibo.com/2011660960/yxAjFnhRs
27,学生和家长朋友们：暑期已接近尾声，还需要做社会实践的同学，请尽快与居委会联系，以便工作人员及时安排实践内容。联系电话：62311900 ​​​​,否,,2012-08-17 15:33,转发,评论,赞,微博 weibo.com,https://weibo.com/2011660960/yxA7ern03
28,,是,8月20日前，有适龄青年需要办理入学报名手续的，请本人携带身份证、一寸电子版照片（50K以下），到海淀区武装部现场办理兵役证（8:30--11：30；14:00--16:30），其它大批量的发放时间不变。联系人：李雪刚。 ​​​​,2012-08-16 09:01,转发,3,赞,微博 weibo.com,https://weibo.com/2011660960/yxo7syILA
29,//@文明北京: 注意啦，避免中暑，秋老虎来啦,是,#每日天气#市气象台：今天北京上空是偏北气流控制，阳光强烈，[阳光]气温将快速上升，下午的最高气温可以达35度上下，空气湿度明显下降，只有25%。今天将告别潮湿闷热，转而是高温炎热，大家出门要注意遮阳防晒。 ​​​​,2012-08-09 14:12,转发,评论,赞,微博 weibo.com,https://weibo.com/2011660960/ywmaalqlV
30,转发微博,是,【建议收藏——本市下凹式立交桥】从交通北京微博中看到的信息，交通北京的小编为了大家看着不眼晕分了几条发布，小布整理成一条长微博，建议大家收藏。以后再有比较大的雨情时您先查看一下自己回家路上是否要经过这些桥区，看看能否找到更好的绕行路线。感谢交通北京小编辛苦整理。 ​​​​,2012-07-30 16:08,转发,评论,赞,微博 weibo.com,https://weibo.com/2011660960/yuQEl9Jib
31,发表了博文 《防汛紧急通知》 - 居民朋友们：   根据市气象局预报，7月25日傍晚和28日还将有两轮暴雨来袭，请居民朋友们做好防汛工作。雷雨天气注意防雷电，关闭家中燃气、电器开关，暴雨时尽量待在家中 O网页链接 ​​​​,否,,2012-07-25 16:40,转发,评论,赞,新浪博客,https://weibo.com/2011660960/yu5IOEiIb
32,居民朋友们：二里庄社区灭蚁工作将于7月25日今天下午15点至20点进行，届时社区工作人员将陪同专业消杀人员入户为您进行免费灭蚂蚁作业，请您家中留人并予以配合。 ​​​​,否,,2012-07-25 10:45,转发,评论,赞,微博 weibo.com,https://weibo.com/2011660960/yu3oR0Df3
33,社区18至22岁的男青年及家长朋友们，2012年兵役登记已开始，请在规定时间内及时进行兵役登记及验证。详情见《北京市海淀区人民政府征兵办公室兵役登记公告》。 ​​​​,否,,2012-07-25 10:33,转发,评论,赞,微博 weibo.com,https://weibo.com/2011660960/yu3jZBBBf
34,发表了博文 《北京市海淀区人民政府征兵办公室兵役登记公告》 -  根据《中华人民共和国兵役法》和《北京市征兵工作条例》有关规定，现将海淀区二〇一二年度兵役登记有关事项公告如下： 一、兵役登记的范围和年 O网页链接 ​​​​,否,,2012-07-25 10:24,1,1,赞,新浪博客,https://weibo.com/2011660960/yu3g4pFa7
35,,是,重要提醒：【今明两天将遇中到大雨 仍可能造成积水或山洪】市气象局已于7月24日启动四级应急响应。周五夜间到周六白天本市部分地区仍有阵雨，雨量较小。周日雨过天晴，度过休整期，下周一又有雷阵雨到来。气象部门提醒，近期降雨密集，应加强防范，不可麻痹大意。O网页链接 ​​​​,2012-07-25 09:49,2,评论,赞,微博 weibo.com,https://weibo.com/2011660960/yu326C0LI
36,转发微博,是,【三伏天】今天，是今年入伏第一天，接下来，人们将迎接“高温、高湿”的“三伏天”。同时，北京也进入了“七下八上”的主汛期，会频繁出现大到暴雨，市民外出最好随身携带雨具。“三伏天”常出现在小暑至立秋前后，今年，7月18日交初伏，7月28日交中伏，8月7日交末伏。O网页链接 ​​​​,2012-07-18 08:50,转发,评论,赞,微博 weibo.com,https://weibo.com/2011660960/ysYEHAUgL
37,居民朋友们：根据大家反映的买菜远、菜价贵等问题，居委会在本真幼儿园东侧、塔4楼西侧空地设立了一个便民流动菜点，每天上午7:30-11:30向居民销售新鲜蔬菜，其他时段禁止销售。目前该流动菜点为试运行阶段，欢迎广大居民朋友提出宝贵意见，协助居委会监督菜价和环境卫生。 ​​​​,否,,2012-07-17 09:36,转发,4,赞,微博 weibo.com,https://weibo.com/2011660960/ysPwRjuqK
38,您好，此次老旧小区居民楼防震加固节能改造工程属于北京市惠民工程，所有老旧小区的居民楼都将进行改造，目前二里庄小区改造的七栋居民楼产权归属志新物业，为海淀区首批改造试点楼，如果您想了解您所在居民楼的改造计划，请咨询您所属的产权单位。如有其他疑问也可拨打居委会电话62342686咨询。,是,最近26、27号楼在楼外墙在装隔热砖，@学院路二里庄社区 请问某几个楼的个别行为还是社区有统一的安装计划？ ​​​​,2012-07-13 16:29,转发,5,赞,微博 weibo.com,https://weibo.com/2011660960/ysgwkCywO
39,,是,【新闻发布】#本市调整小额担保贷款政策#7月10日，市人力社保局、市财政局等部门共同发布了《北京市小额担保贷款担保基金管理实施办法》和《北京市失业人员从事微利项目小额担保贷款财政贴息管理办法》，对本市小额担保贷款政策重新进行调整：（下图） ​​​​,2012-07-10 14:32,转发,评论,赞,微博 weibo.com,https://weibo.com/2011660960/yrNtsAkrX
40,2012年7月6日上午 社区厨艺大赛 居民各显身手 ​​​​,否,,2012-07-06 16:37,转发,1,赞,微博 weibo.com,https://weibo.com/2011660960/yrcAiiLXX
41,发表了博文 《夏季居家安全提示》 - 居民朋友，您好! 夏季已到来，为增强居民的安全意识，共同维护社区平安，居委会特提示大家在以下方面注意居家安全。 一、为保持楼道畅通和防止可燃物堆积，请大家自觉清理 O网页链接 ​​​​,否,,2012-07-06 16:30,转发,评论,赞,新浪博客,https://weibo.com/2011660960/yrcxvrR1V
