序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,最近有社区老人反映险些被电话骗走钱财，再次提醒广大居民，尤其是老人，空巢老人，一定提高警惕，谨防上当。对不明来历电话及时挂断，不要轻信什么以公安局、法院、社保单位等名义打来的电话，被他们的谎话迷惑。遇到这些情况请及时与子女或居委会联系。公务繁忙的子女请拿出多一些时间陪老人。,是,【直播预告】今天上午11点至11点半，我们与@北京交通广播 合作奉献#平安北京微广播#，本期话题为【两节防范电信诈骗】，您可选择收听FM103.9广播，或评论、转发微博参与节目，有关打击电信诈骗的意见建议也可以发表在微博评论里，会由小武博主在节目中念出来分享给大家。感谢大家的支持！@北京广播网 ​​​​,2012-09-29 11:57,转发,评论,赞,微博 weibo.com,https://weibo.com/2653900945/yE64IBLVV
1,两节到了，在此恭祝各位同仁和社区居民群众节日快乐！敬请注意居家安全，出行安全，饮食安全。祝大家安全、快乐、健康地度过这节日长假！ ​​​​,否,,2012-09-29 11:50,转发,评论,赞,专业版微博,https://weibo.com/2653900945/yE61J4xpH
2,为创建全国文明城区9月20日健翔园社区组织党员和环境卫生志愿者队开展了环境卫生大扫除，活动气氛热烈，大家都为即将到来的两节一会献出了自己的一份力。在此，我们向为支持社区建设的居民表示感谢！希望大家今后一如既往地支持我们的工作。 ​​​​,否,,2012-09-27 10:47,转发,评论,赞,专业版微博,https://weibo.com/2653900945/yDMLpq2ic
3,报名时请写明学生姓名、所在社区、所在学校和联系电话，方便联系。,是,学院路街道青少年国学公益培训班开始报名啦！即日起至10月6日下午5:00，家中有7岁以上的学生可通过xylxcb@126.com发邮件报名参与。培训时间：10月7日下午2:00-5:00（开班后每周日2:00-5:00开展活动），培训地点：二里庄社区活动中心。家长可陪同学习。[呵呵] ​​​​,2012-09-26 17:19,转发,评论,赞,专业版微博,https://weibo.com/2653900945/yDFTLCt0f
4,学院路街道青少年国学公益培训班开始报名啦！即日起至10月6日下午5:00，家中有7岁以上的学生可通过xylxcb@126.com发邮件报名参与。培训时间：10月7日下午2:00-5:00（开班后每周日2:00-5:00开展活动），培训地点：二里庄社区活动中心。家长可陪同学习。[呵呵] ​​​​,否,,2012-09-26 17:17,1,评论,赞,专业版微博,https://weibo.com/2653900945/yDFT0kHtP
5,家庭美德（20字）：尊老爱幼 男女平等 夫妻和睦 勤俭持家 邻里团结 请各位社区居民相互普及 提高知晓率~~ ​​​​,否,,2012-09-19 16:45,转发,评论,赞,专业版微博,https://weibo.com/2653900945/yCBGIpFzB
6,本市城镇居民医疗保险（原“一老一小”和“无业居民”大病医疗保险）参保和续缴保险费工作于9月1日开始，尚未办理参保手续的人员，于2012年11月25日前到社保所办理参保手续. ​​​​,否,,2012-09-11 11:32,转发,评论,赞,专业版微博,https://weibo.com/2653900945/yBmdG6Dys
7,本市城镇居民医疗保险（原“一老一小”和“无业居民”大病医疗保险）参保和续缴保险费工作于9月1日开始.已在学院路社保所办理了参保手续的人员，请于2012年9月15日前在缴费银行账号（北京银行借记卡或邮政储蓄存折）中存入足额保费，确保划账成功。具体金额：老人：301元；儿童：101元；无业：601元。 ​​​​,否,,2012-09-11 11:30,转发,评论,赞,专业版微博,https://weibo.com/2653900945/yBmcZeipK
8,祝老师们节日快乐！[玫瑰] ​​​​,否,,2012-09-10 08:49,转发,评论,赞,专业版微博,https://weibo.com/2653900945/yBbIOv9uS
9,今天是白露节气，此时气温开始下降，天气转凉，早晨草木上有了露水。请各位居民早晚外出时添加衣服，以免着凉。 ​​​​,否,,2012-09-07 11:10,转发,评论,赞,专业版微博,https://weibo.com/2653900945/yAKmNhPc4
