序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,吃葡萄不吐葡萄皮~~,是,【请按月份吃水果】反季节水果很多是用一些化学物质催熟、保鲜。不但营养价值不高，还会给身体带来危害。来看看每月该吃的应季水果吧： 九月：葡萄；十月：梨；十一月：苹果；十二月：橘子；  一月：猕猴桃；二月：甘蔗；三月：菠萝；四月：山竹；五月：草莓；六月：樱桃；七月：桃子；八月：西瓜；  ​​​​,2012-09-26 14:30,转发,评论,赞,专业版微博,https://weibo.com/2013712730/yDENotR8k
1,好可耐,是,,2012-09-21 16:31,转发,评论,赞,专业版微博,https://weibo.com/2013712730/yCUs8nLEj
2,转发微博,是,近日房山警方接报多起以社保卡诈骗为手段的警情，骗子利用事先准备好的话术，冒充社保所工作人员和民警，通过事主信息泄流涉嫌犯罪为由，利用网络模拟电话号码，以多人合作的形式实施诈骗。要仔细甄别对方其实很容易，挂断电话后回拨，或者换手机拨来电提示显示的号码，就会发现根本拨不通。 ​​​​,2012-09-21 16:31,转发,评论,赞,专业版微博,https://weibo.com/2013712730/yCUrN7iWB
3,太恐怖了//@政府微博助理: 洛阳一女子乘电梯踏空从13楼坠亡。提醒大家，电梯门打开时，要留心观察，确认安全后再踏入。,是,【洛阳一女子乘电梯踏空从13楼坠亡】9月18日凌晨，河南洛阳白金都会小区2号楼，一女子乘坐电梯时，直接从13楼坠至负一楼死亡。原来，电梯门打开后，电梯轿厢却不见了。电梯维保人员称，事发前，有人故意损坏电梯。目前，公安机关已经介入调查。 电梯门打开时，要留心观察，确认安全后再踏入。 ​​​​,2012-09-21 15:46,转发,评论,赞,专业版微博,https://weibo.com/2013712730/yCU9LysOM
4,早啊~,是,一个人是否真心快乐，有两个时间感觉最真实：午夜朦胧欲睡的刹那，清晨惺忪醒来时分。早安。 ​​​​,2012-09-19 08:50,1,评论,赞,专业版微博,https://weibo.com/2013712730/yCyzWkNsm
5,转发微博,是,【 注意，小偷踩点六种常用标记！】：1.“+ -”家里白天有人，晚上没人；符号倒过来，就是晚上有人，白天没人；2.“⊙”单身或租户；3.“...”家庭成员三个人；4.“√”已进入过；5.“☆”目标；6.“×”非目标。警方提醒，家门口出现奇怪符号，应尽快檫掉。记住，转发给朋友提个醒。  转 ​​​​,2012-09-18 16:48,转发,评论,赞,专业版微博,https://weibo.com/2013712730/yCshx7MWO
6,转起来//@公益北京: //@小刁蟹:@兜兜里拿糖 @木子li大小姐 @不放弃的小云子 @兔头熊宝 @陈小方是我叔叔,是,,2012-09-17 11:06,转发,评论,赞,专业版微博,https://weibo.com/2013712730/yCgBUwPZ1
7,//@政府微博助理: 转发微博,是,【人民日报：用文明法治凝聚爱国力量】祖国领土遭受挑衅，抑制不住的愤懑、抗议与“反制”，是中华儿女应有的激情，需要释放。这样的爱国情感弥足珍贵，需要充分珍惜保护。但是，文明守法应是公民的基本素质。损害同胞的合法财产，迁怒在华的日本公民，是极不妥当的。O网页链接 ​​​​,2012-09-17 09:52,1,评论,赞,专业版微博,https://weibo.com/2013712730/yCg7XFp0N
8,加油，换醒计划！,是,,2012-09-17 09:02,转发,评论,赞,专业版微博,https://weibo.com/2013712730/yCfNTCVjo
9,创写Note新时代！@糯米网 三星Galaxy Note10.1平板电脑大抽奖，让Note来的更猛烈些！ O网页链接 ​​​​,否,,2012-09-15 18:42,转发,评论,赞,百度糯米网,https://weibo.com/2013712730/yC0Kd2o90
