序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,预祝居民们“双节”快乐呦！ ​​​​,否,,2012-09-28 12:15,转发,评论,赞,专业版微博,https://weibo.com/2549165193/yDWLJtLy5
1,社区即将开展灭蚁工作，居民们可前来了解详情 ​​​​,否,,2012-09-21 09:06,转发,评论,赞,专业版微博,https://weibo.com/2549165193/yCRxc2ec2
2,我社区计生发放暖心卡，有意者前来领取。 ​​​​,否,,2012-09-21 09:04,转发,评论,赞,专业版微博,https://weibo.com/2549165193/yCRwG6Fzw
3,我社区大搞卫生 环境维护靠大家呀！ ​​​​,否,,2012-09-21 09:03,转发,评论,赞,专业版微博,https://weibo.com/2549165193/yCRwjCWip
4,两癌筛查补漏，社区居民们可以前来咨询哟 ​​​​,否,,2012-09-21 09:03,转发,评论,赞,专业版微博,https://weibo.com/2549165193/yCRw40bKm
5,//@北京市小帮手服务中心: 转发微博,是,#气象信息#：今天（9月21日）白天，阴转阵雨，北转南风2、3级，最高气温25℃，最小相对湿度50%。（朝阳区气象局提供） ​​​​,2012-09-21 09:00,转发,评论,赞,专业版微博,https://weibo.com/2549165193/yCRv3kA61
6,关注失独家庭 送去温暖爱心 ​​​​,否,,2012-09-20 08:05,转发,评论,赞,专业版微博,https://weibo.com/2549165193/yCHIe7eS5
7,广泛宣传计生政策 ​​​​,否,,2012-09-20 07:57,转发,评论,赞,专业版微博,https://weibo.com/2549165193/yCHELioP5
8,我社区残协第四次换届选举圆满完成！ ​​​​,否,,2012-09-20 07:55,转发,评论,赞,专业版微博,https://weibo.com/2549165193/yCHE4qxqS
9,今天下午3点在离退休处举办讲座 欢迎前来！ ​​​​,否,,2012-09-12 11:08,转发,评论,赞,专业版微博,https://weibo.com/2549165193/yBvupsSP5
10,各位居民：我校图书馆一层、二层举办校史展，有意者可前去参观！ ​​​​,否,,2012-09-12 11:07,转发,评论,赞,专业版微博,https://weibo.com/2549165193/yBvu03GHF
11,我社区成立了北语社区吟诵会，有意者请到公告栏看详细通知！ ​​​​,否,,2012-09-11 08:05,转发,评论,赞,专业版微博,https://weibo.com/2549165193/yBkRD5JA4
12,热烈庆祝北京语言大学50周年校庆！ ​​​​,否,,2012-09-09 07:58,转发,评论,赞,专业版微博,https://weibo.com/2549165193/yB1XKBBSg
13,今天下午的健康知识讲座 受益匪浅哦 ​​​​,否,,2012-09-05 15:16,转发,评论,赞,微博 weibo.com,https://weibo.com/2549165193/yAt7Eah24
14,中关村学院定于9月6日下午2：00举办“公益营养大讲堂”，欢迎街道社区居民来听。 题目：公益营养大讲堂 主讲人：解放军309医院营养科主任——张晔 地点：中关村学院一分院（北京林业大学南门对面）小院里的多功能厅 ​​​​,否,,2012-09-05 09:44,转发,评论,赞,微博 weibo.com,https://weibo.com/2549165193/yAqWZiZkE
15,社区健身器材广场水泥已经干了，居民朋友们可以放心使用 ​​​​,否,,2012-09-03 15:49,转发,评论,赞,微博 weibo.com,https://weibo.com/2549165193/yAatV83y2
16,社区装修垃圾大清理啦 ​​​​,否,,2012-08-31 09:45,转发,评论,赞,微博 weibo.com,https://weibo.com/2549165193/yzFOIFnX3
17,由于安装健身器材 施工水泥未干 9月3日后才能正常使用 望居民配合！ ​​​​,否,,2012-08-29 16:33,转发,评论,赞,微博 weibo.com,https://weibo.com/2549165193/yzpDi4gNw
18,转发微博,是,,2012-08-29 09:28,转发,评论,赞,微博 weibo.com,https://weibo.com/2549165193/yzmQI0MWC
19,转发微博,是,,2012-08-29 09:27,转发,评论,赞,微博 weibo.com,https://weibo.com/2549165193/yzmQCnKbp
20,施工的师傅们 辛苦啦 ​​​​,否,,2012-08-29 09:26,转发,评论,赞,微博 weibo.com,https://weibo.com/2549165193/yzmQ48gIo
21,居民朋友们 今天上午 开始更新健身器材喽 ​​​​,否,,2012-08-29 09:25,转发,1,赞,微博 weibo.com,https://weibo.com/2549165193/yzmPC3VJU
22,转发微博,是,【8月22日早晨6点北京天气预报】今天白天晴，北转南风2、3级，城区及大部分地区最高气温28℃，最小相对湿度20%，夜间晴间多云，最低气温17℃，最大相对湿度70%。昼夜温差加大，应及时增减衣物。 ​​​​,2012-08-22 10:01,转发,评论,赞,微博 weibo.com,https://weibo.com/2549165193/yyj4R9qjL
