序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,近日，有居民反映，眷31楼前的大门前经常有私家车随意停放，堵塞了居民们的出行通道，社区网格得知这一情况后，迅速联系网格内的驻区单位新星石油公司物业协调解决，短短几天之内，就在该地段安好了5个鲜明的隔离桩。居民出行问题得以迅速速解决，群众连连称赞。 ​​​​,否,,2012-09-17 10:35,10,评论,赞,专业版微博,https://weibo.com/2652361053/yCgpq5b5h
1,三下五除二 我们帮您搬！ 地大二网格消防整治服务行动亮剑学12、学13。鉴于这两栋建于上个世纪50年代的旧楼居住主体为出租户，流动性大，多年来楼道内堆放了大量无人清理的废旧家具。9月13日社区网格力量帮助居民彻底清理了这两栋楼内的堆料堆物，累计清理废旧物品6车，使得楼内的消防隐患大大降低。 ​​​​,否,,2012-09-17 10:17,转发,评论,赞,专业版微博,https://weibo.com/2652361053/yCgii13Zx
2,ding____________________,是,,2012-09-17 09:37,转发,评论,赞,微博 weibo.com,https://weibo.com/2652361053/yCg1OePSu
3,星期二上午是地大二社区环保队活动的日子，连续几周，环保队自发担负起了为社区消杀蚊蝇的工作：向社区范围内的所有雨篦子内投放蚊蝇消杀药物，喷洒灭蚊蝇药水。这几位环保队的成员年龄都在六十岁以上，居住在社区，每周二上午活动一次，风雨无阻，维护环境，感召着更多的人“住我社区，爱我社区”。 ​​​​,否,,2012-09-07 09:04,转发,1,赞,专业版微博,https://weibo.com/2652361053/yAJxsgSCd
4,为进一步做好流动人口管理与服务，学院路街道计生办定于2012年9月14日上午9：00—11：30在学院路街道办事处为地区流动已婚育龄妇女进行生殖健康检查（包含孕检、B超等项目），持有原籍《流动人口婚育证明》并有年检记录的可进行免费检查。有需要的居民朋友请尽快与社区居委会联系！ ​​​​,否,,2012-09-07 08:56,转发,评论,赞,专业版微博,https://weibo.com/2652361053/yAJubgdUS
5,郑重提示，社区工作师考试出成绩了，参加考试的朋友别忘记查分哦：） ​​​​,否,,2012-08-17 14:40,转发,评论,赞,微博 weibo.com,https://weibo.com/2652361053/yxzLBdktp
6,绿化队工作人员在奥运北路原有绿植——大叶黄杨的外侧补种了红叶小檗。烈日炎炎，工人们冒着30多度的高温赤膊上阵，连续作业，先将杂草清理干净，又将一颗颗幼苗，种植在挖好的沟渠内。短短一天多的时间内，就将整个奥运北路东段修饰一新。 ​​​​,否,,2012-08-15 15:24,1,评论,赞,微博 weibo.com,https://weibo.com/2652361053/yxhckaBWK
7,8月3日，地大二网格接到社区居民反映，奥运北路入口处路北侧堆放着一大堆枯树枝和生活垃圾，考虑到天气炎热又处于汛期，堆放的枯树枝和生活垃圾极易滋生蚊蝇，如若降雨还极易堵塞排水体统，造成排水不畅通，社区网格立即上报街道网格，安排工作人员利用周末时间将堆放的树枝和垃圾清理得干干净净。 ​​​​,否,,2012-08-15 15:18,转发,评论,赞,微博 weibo.com,https://weibo.com/2652361053/yxh9TrckF
8,日前，学院路街道安办主任包片科长杨国柱、丁亚生及居民科管片史连生一行三人专程来到地大二社区，与社区网格其他成员：包括驻区单位业兴、航遥及地质附中的管理人员翟跃、赵玉刚、韩海涛，社区副格长张永生等一道共同排查隐患，确保地大二社区有切实准备，应对即将到来的强降雨天气。 ​​​​,否,,2012-08-15 15:07,转发,评论,赞,微博 weibo.com,https://weibo.com/2652361053/yxh5Espns
9,免 费 灭 蚁 通 知! 居民朋友:我社区免费灭蚁时间定为7月24日 下午3:00开始! 届时将有社区居委会工作人员带领专业灭蚁人员登门入户免费为您服务，有灭蚁需要的住户届时请家中留人。请大家相互转告！ ​​​​,否,,2012-07-20 09:22,转发,评论,赞,微博 weibo.com,https://weibo.com/2652361053/ythIvilH4
10,我在用刚刚发布的#新版微相册#，看起来还不错～是个分享照片的好地方，想看看朋友们的照片吗？猛击这个链接O网页链接 ​​​​,否,,2012-07-16 10:48,转发,评论,赞,微相册,https://weibo.com/2652361053/ysGzzhC3m
11,2012年7月纪念党的生日之际，我社区党支部在组织开展“共产党员献爱心”捐献活动。献时间为7月13日-17日（周六日除外）。捐献地点：地大二社区党支部。联系电话：82326616。“共产党员献爱心”捐献活动是发挥广大党员先锋模范作用，展示北京精神的特色活动。欢迎广大党员群众踊跃参加！ ​​​​,否,,2012-07-16 10:44,转发,评论,赞,微博 weibo.com,https://weibo.com/2652361053/ysGxTvFlg
12,地大二社区的灭蚂蚁活动马上开始，请居民朋友关注。,是,#便民微播#（71）家里有小蚂蚁捣乱吗？即日起至9月30日，由市爱卫办启动了全市首次统一集中灭蚁行动。考虑到上班时间段家中大都无人，甘家口地区的统一灭蚁时间初步定在本周末至下周期间18：00-20：00之间。此次统一灭蚁将会有社区居委会干部陪同入户，大家大可放心啦。O网页链接 ​​​​,2012-07-04 11:35,转发,评论,赞,微博 weibo.com,https://weibo.com/2652361053/yqRKrpxU2
