序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,社区第二次灭蚂蚁通知：即日起至9月25日，请需要灭蚂蚁的住户到社区居委会或打居委会电话进行登记，具体入户灭蚂蚁时间居委会另行通知。联系电话：62937876。 ​​​​,否,,2012-09-21 16:54,转发,评论,赞,专业版微博,https://weibo.com/2522031842/yCUB8018l
1,社区联系卡呦！ ​​​​,否,,2012-09-19 15:48,转发,评论,赞,专业版微博,https://weibo.com/2522031842/yCBjHb4FY
2,天气逐渐转凉，请社区居民注意增添衣物。 ​​​​,否,,2012-09-14 10:01,转发,评论,赞,专业版微博,https://weibo.com/2522031842/yBNUbiDSc
3,前段时间未参加两癌筛查的适龄妇女，可于9月17日-21日前往海淀妇幼保健院补查，请户籍在我社区、未参加筛查的35-59周岁适龄妇女于先来社区居委会领取筛查三联单再到医院进行筛查。 ​​​​,否,,2012-09-14 09:50,转发,评论,赞,专业版微博,https://weibo.com/2522031842/yBNPAburN
4,#守护彝良#  ​​​​,否,,2012-09-08 08:15,转发,评论,赞,微话题-守护彝良,https://weibo.com/2522031842/yASE5voKn
5,//@北京消防:今天白天到夜间雾转大雨到暴雨，伴有雷电，降雨从午后到下午开始。请尽量减少外出，避免去山区旅游，驾车注意积水路段，确保安全。,是,【北京今天午后到夜间将有大到暴雨】今天白天，北京大雾天气持续，部分地区可能出现能见度小于500米的雾。气象台今晨发布天气预报：今天白天到夜间雾转大雨到暴雨，伴有雷电，降雨从午后到下午开始。请尽量减少外出，避免去山区旅游，驾车注意积水路段，确保安全。O网页链接 ​​​​,2012-09-01 10:47,1,评论,赞,UC浏览器iPhone,https://weibo.com/2522031842/yzPEkvHu7
6,转发微博,是,【北京天气：大雾黄色预警中】昨天，北京出现了大范围、长时间、较严重的污染，PM2.5浓度值一度超标两倍。今天，污染情况还将持续，建议大家减少户外停留时间。目前北京处于大雾黄色预警中，能见度差，出门要注意交通安全。今天白天雾转阴有雷阵雨，最高气温31℃。O网页链接图片来自@朱诚浩 ​​​​,2012-08-31 08:37,转发,评论,赞,微博 weibo.com,https://weibo.com/2522031842/yzFnfs78q
7,提醒有车一族，应严格遵守交通法规，安全行车！,是,【集中整治故意遮挡号牌】#头条新闻#即日起至10月31日，公安部将开展机动车涉牌涉证违法集中整治。针对“套牌套证”和故意遮挡、污损号牌和不按规定安装号牌等交通违法，将面临扣留车辆、收缴非法牌证、罚款、扣分等处罚。对伪造、变造、买卖机动车行驶证、登记证书，构成犯罪的，将依法追究刑事责任。 ​​​​,2012-08-21 10:57,转发,评论,赞,微博 weibo.com,https://weibo.com/2522031842/yya12xgvr
8,大家一定要提高警惕！遇可疑情况弄不明白的，可以向社区民警，社区居委会咨询！,是,"近日家住大兴的张女士接到冒充《我要上春晚》栏目组的中奖短信,称其被选为场外幸运星,获9万8千元及一IPad。张女士得知中奖喜出望外,马上按照短信提示上网进行领奖操作,并拨打网页电话进行咨询,对方要求其先支付税费、保证金等,张女士仍未起疑,分两次将2万7千余元汇给对方,后因联系不上对方,才知被骗。 ​​​​",2012-08-21 10:55,1,评论,赞,微博 weibo.com,https://weibo.com/2522031842/yya0jDKSE
9,社区室外乒乓球台已建成，新的球台具有防风、防雨雪、阻燃、耐老化等优点，提醒各位居民注意爱护球台，玩球相互谦让。不要让小朋友在球台上和球台周边玩耍嬉戏，防止磕碰，谢谢大家！ ​​​​,否,,2012-08-20 08:57,7,1,赞,微博 weibo.com,https://weibo.com/2522031842/yxZNRf9XG
