序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,转发微博,是,【我市启动垃圾减量作品征集活动】由首都文明办、市市政市容委、市教委联合主办的“做文明有礼的北京人——2012年垃圾减量垃圾分类宣传活动”走进人大附小。与此同时，全市垃圾减量、垃圾分类文学作品、绘画作品、标语口号征集活动正式启动。[图片：网络][gst嘿嘿嘿]O网页链接 ​​​​,2012-09-17 11:04,转发,评论,赞,专业版微博,https://weibo.com/2650826213/yCgBbCDYO
1,富润社区周末外籍志愿者免费英语活动！ ​​​​,否,,2012-09-17 11:03,转发,评论,赞,专业版微博,https://weibo.com/2650826213/yCgAQ5GGe
2,一堂特殊的英语课 看到照片，您一定感到奇怪，一个美国人在给几个保安讲什么？原来这是一堂周末老师是美国人，英语培训课。免费对保安进行培训，不仅要教他们用英语对话，还要培训他们一个保安应有的职业素质， 。 ​​​​,否,,2012-09-14 09:20,转发,评论,赞,专业版微博,https://weibo.com/2650826213/yBNDGk2tt
3,一堂特殊的英语课 看到照片，您一定感到奇怪，一个美国人在给几个保安讲什么？原来这是一堂周末英语培训课。免费对保安进行培训，不仅要教他们用英语对话，还要培训他们一个保安应有的职业素质， 老师是美国人，。 ​​​​,否,,2012-09-14 09:17,转发,评论,赞,专业版微博,https://weibo.com/2650826213/yBNClzIp7
4,下着雨菜车也来了！谢谢啦！ ​​​​,否,,2012-09-03 15:08,转发,评论,赞,微博 weibo.com,https://weibo.com/2650826213/yAadei13i
5,菜车开到家门口，老奶奶也可以买菜了！ ​​​​,否,,2012-08-23 16:38,转发,评论,赞,微博 weibo.com,https://weibo.com/2650826213/yyv6pimt2
6,今天社区对门店人员进行消防安全培训，让消防警察给大家好好上了课！ ​​​​,否,,2012-08-23 16:33,转发,评论,赞,微博 weibo.com,https://weibo.com/2650826213/yyv4A6UtM
7,一定及时办理。,是,区武装部通知：8月20日前，有适龄青年需要办理入学报名手续的，请通知其本人携带身份证、一寸电子版照片（50K以下），到海淀区武装部现场办理兵役证（8:30--11：30；14:00--16:30），其它大批量的发放时间不变。请适龄青年还没办理的抓紧时间办理。 ​​​​,2012-08-17 15:53,转发,评论,赞,微博 weibo.com,https://weibo.com/2650826213/yxAf33YXT
8,好,是,菜车进社区 居民买菜方便多了！很受欢迎！ ​​​​,2012-08-17 15:49,转发,评论,赞,微博 weibo.com,https://weibo.com/2650826213/yxAdI1P8t
9,菜车进社区 居民买菜方便多了！很受欢迎！ ​​​​,否,,2012-08-17 14:24,1,评论,赞,微博 weibo.com,https://weibo.com/2650826213/yxzF2BsFf
10,风雨夜，我们一起坚守！ ​​​​,否,,2012-07-31 15:32,转发,评论,赞,微博 weibo.com,https://weibo.com/2650826213/yuZQ88dP8
11,网格的力量大！ ​​​​,否,,2012-07-27 16:50,转发,评论,赞,微博 weibo.com,https://weibo.com/2650826213/yuoDHaWbf
12,社区居民才艺展示——- ​​​​,否,,2012-07-23 15:19,1,评论,赞,微博 weibo.com,https://weibo.com/2650826213/ytMkZ27PK
13,社区安全燃气宣传 ​​​​,否,,2012-07-23 15:16,转发,评论,赞,微博 weibo.com,https://weibo.com/2650826213/ytMjAqb6T
14,富润社区居民顺口写诗一首赞富润家园：人间仙境 富知学院路 润泽千万户 家家讲和谐 园园宜居住 ​​​​,否,,2012-07-17 14:00,转发,评论,赞,微博 weibo.com,https://weibo.com/2650826213/ysRfMowpp
15,富润社区第二季度简报出炉了 ​​​​,否,,2012-07-16 16:33,转发,评论,赞,微博 weibo.com,https://weibo.com/2650826213/ysIPItP5O
16,地铁扰民太厉害了，我们这里的居民一直来反映噪音无法忍受，都无法办公了。 ​​​​,否,,2012-07-16 15:20,转发,评论,赞,微博 weibo.com,https://weibo.com/2650826213/ysIlKqMCY
17,今夜雷阵雨,是,北京似乎完全进入了多雨的季节。昨日京城天空难得放晴，阳光乍现，午后一小阵降雨来袭。今天本市依然有雷阵雨降临，白天晴转阴，阵雨断断续续持续到夜间，最高气温将达32℃，潮湿闷热依旧。提醒市民，最好查看即时天气资讯，出门最好带上雨具，避免淋雨。 ​​​​,2012-07-12 10:15,转发,评论,赞,微博 weibo.com,https://weibo.com/2650826213/ys4E1a3th
18,社区有了小帮手服务器，满方便的，这不，有位大妈家里突然停电就居委会用小帮手充电了，马上就可以用上了，真高兴！ ​​​​,否,,2012-07-11 11:32,转发,评论,赞,微博 weibo.com,https://weibo.com/2650826213/yrVJ03D8n
19,社区和谐杯，外籍居民踊跃参加： ​​​​,否,,2012-07-09 12:45,转发,评论,赞,微博 weibo.com,https://weibo.com/2650826213/yrDlq8AgV
20,社区举办摄影班、社区居民手工制作才艺展，欢迎社区居民参加！ ​​​​,否,,2012-07-09 12:41,转发,3,赞,微博 weibo.com,https://weibo.com/2650826213/yrDjU9djq
21,十年窗下无人问，一举成名天下知。有了微博无需宅，一呼百应朋友遍天下，今后必当好好织微博，并获得微博特发【一举成名】勋章。O网页链接 ​​​​,否,,2012-07-09 12:36,转发,评论,赞,勋章馆,https://weibo.com/2650826213/yrDhRmSCR
22,​​​​,否,,2012-07-09 11:00,转发,评论,赞,微博 weibo.com,https://weibo.com/2650826213/yrCEJFGek
