序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,6、若发现可疑事件或可疑人员请及时与东升派出所联系62311235、13801195874（社区管片民警） ​​​​,否,,2012-09-28 10:53,转发,1,赞,专业版微博,https://weibo.com/2653487227/yDWelyxoj
1,（接上）3、开车出行的住户请您避免酒后驾驶，车辆停稳请锁好门窗，以防丢失物品。4、老年人或儿童独自在家时，请提高警惕，不要随便让陌生人进入家中。5、在外用餐时请您注意食品的安全卫生，到有安全保障的餐厅用餐、订餐。[放假啦] ​​​​,否,,2012-09-28 10:48,转发,评论,赞,专业版微博,https://weibo.com/2653487227/yDWcdtZ0E
2,为使您和您的家人度过一个平安祥和的节日，我们提醒您注意以下事项：1、请您离家外出时注意关闭水、电、燃气阀门开关，将门窗锁好，外出旅游时，请注意安全。2、请您在使用电磁炉、微波炉、洗衣机等电器时注意用电安全，谨防用电不慎引发火灾事故。[放假啦] ​​​​,否,,2012-09-28 10:44,转发,评论,赞,专业版微博,https://weibo.com/2653487227/yDWaA8sHa
3,国庆、[月儿圆]中秋双节来临之际展春园社区居委会的全体工作人员向全体居民致以节日的祝贺！ ​​​​,否,,2012-09-28 10:42,转发,评论,赞,专业版微博,https://weibo.com/2653487227/yDW9CqHIa
4,各位社区居民：第二轮灭蚁工作将于近期开展，请前期未灭蚁的家庭到居委会进行登记，对于第一次灭蚁后蚂蚁还较多的住户，也可以进行登记。登记截止日期：2012年9月24日，登记地址：展春园社区居委会 ​​​​,否,,2012-09-19 09:37,转发,评论,赞,专业版微博,https://weibo.com/2653487227/yCyT7psjl
5,志愿者活动通知：9月25日（周二）上午9点，展春园社区将开展志愿者活动，对社区绿地、小广告等进行清理。参与活动的志愿者请带好工具，在5号楼健身广场集合。 ​​​​,否,,2012-09-19 09:35,转发,评论,赞,专业版微博,https://weibo.com/2653487227/yCyS4n80p
6,中秋活动通知：9月21日（本周五）上午9点，在5号楼健身广场将举行社区中秋联欢会，欢迎各位居民参加。 ​​​​,否,,2012-09-19 09:32,转发,评论,赞,专业版微博,https://weibo.com/2653487227/yCyQOFF6r
7,我刚换了“游览八方”模板 ​​​​,否,,2012-09-11 09:53,转发,评论,赞,专业版微博,https://weibo.com/2653487227/yBlziFhV5
8,如家中有低保人员或残疾人员的，需提供低保证或残疾证，具体情况您可以打咨询电话：62316515（展春园居委会）、82372009（街道社保所）、88506134-6138（区一老一小） ​​​​,否,,2012-09-11 09:51,转发,评论,赞,专业版微博,https://weibo.com/2653487227/yBlyQ0th8
9,尚未办理参保手续的人员，请于2012年11月25日前到社保所办理参保手续，所需材料如下：户口本原件、户口簿首页和本人页复印件各2张，有变更的同时提交变更页。参保本人名字办理北京银行借记卡或邮局存折，并存入保费。第二代居民身份证复印件一份。一寸免冠白底彩色证件照2张。 ​​​​,否,,2012-09-11 09:45,转发,评论,赞,专业版微博,https://weibo.com/2653487227/yBlwc2zpx
