序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,下周进行环境卫生大扫除，请广大居民朋友积极参与，共同营造良好、整洁的社区环境~！ ​​​​,否,,2012-09-21 10:10,2,5,赞,专业版微博,https://weibo.com/2654670465/yCRXktpKS
1,钓鱼岛是中国的[不要] ​​​​,否,,2012-09-14 11:11,转发,评论,赞,专业版微博,https://weibo.com/2654670465/yBOmMyD2Q
2,//@北京发布: 北京发布曾请120的培训老师为网友做过急救培训，那次大家都说学到很多。急救知识真的是我们非常缺乏又很有必要的“短板”，建议大家去参加这次的活动哦。,是,【现场学急救】9月8日（本周六）是世界急救日。北京120将在北京市电力公司供电服务中心展示厅（珠市口东大街13号天都京港大厦一层）举办科普教育主题活动。急救导师将带领大家学习急救知识、实操急救技能，并进行健康咨询和查体，发放急救手册等纪念品。报名的朋友私信留下姓名年龄电话吧！ ​​​​,2012-09-05 16:50,转发,评论,赞,微博 weibo.com,https://weibo.com/2654670465/yAtJMEKqF
3,每天的太阳都是新的，用热情去拥抱每一天，开心快乐，朋友。 ​​​​,否,,2012-09-05 09:26,转发,评论,赞,微博 weibo.com,https://weibo.com/2654670465/yAqPtlukx
4,//@学院路学知园社区: //@北京消防:今天白天到夜间雾转大雨到暴雨，伴有雷电，降雨从午后到下午开始。请尽量减少外出，避免去山区旅游，驾车注意积水路段，确保安全。,是,【北京今天午后到夜间将有大到暴雨】今天白天，北京大雾天气持续，部分地区可能出现能见度小于500米的雾。气象台今晨发布天气预报：今天白天到夜间雾转大雨到暴雨，伴有雷电，降雨从午后到下午开始。请尽量减少外出，避免去山区旅游，驾车注意积水路段，确保安全。O网页链接 ​​​​,2012-09-01 10:58,转发,评论,赞,微博 weibo.com,https://weibo.com/2654670465/yzPILhcoh
5,//@海淀区政府网站: #海淀惠民# 帮转~海淀医院预约挂号平台启动~,是,8月31日医院开始与北京市预约挂号平台对接，开始实施电话和网络预约挂号。 电话预约挂号的电话为：010-114。网络预约挂号网址为：O网页链接 ​​​​,2012-08-30 16:41,转发,评论,赞,微博 weibo.com,https://weibo.com/2654670465/yzz76h46a
6,,是,居委会近期编出了健翔园社区的邻里之歌 欢迎大伙口口相传 ​​​​,2012-08-30 11:13,转发,评论,赞,微博 weibo.com,https://weibo.com/2654670465/yzwXUsuaj
7,转发微博,是,【北京公布19家婚检机构名单】昨天，北京市卫生局公布19家可以进行婚检的医疗机构名单，鼓励二级及以上医疗机构开展此项服务。从朝阳区妇幼保健院获悉，免费婚检时间为每周二至周六上午八点至十点半。夫妻双方中有一方是朝阳区户口，即可持两人身份证免费婚检。以下是19家婚检医疗机构名单~ ​​​​,2012-08-30 11:07,转发,评论,赞,微博 weibo.com,https://weibo.com/2654670465/yzwVuClad
8,//@海淀区政府网站: #社区精选# 保护环境~文明养犬~@紫竹院社区网,是,#民生海淀#近日，紫竹院街道在北洼路、厂洼、车南里、车道沟等7个长河沿岸、养犬人士较多的社区安装了50个宠物粪便收集器。收集器内装有宠物便便袋和小铲子，方便狗狗主人及时清理宠物粪便。希望养狗狗的童鞋像爱护狗狗一样，爱护环境！ ​​​​,2012-08-29 10:02,1,评论,赞,微博 weibo.com,https://weibo.com/2654670465/yzn4w4aqn
9,转发微博,是,【北京天气：天气晴好需防晒】最近几天，北京天气晴朗，气温不高，正是一年当中最舒适的季节。虽然温度不高，但阳光威力不减，外出仍需注意防晒。周五起气温将略有下降，天气转为多云或阴天。O网页链接 ​​​​,2012-08-29 09:17,转发,评论,赞,微博 weibo.com,https://weibo.com/2654670465/yzmMxqGjt
10,//@北京市民政局: 网上预约拿房产证,是,【网上预约拿房产证】网上预约体检、挂号，如今也能预约办房产证了。即日起，市民可登录海淀区政府或海淀区房屋管理局网站进行网上预约。然后凭借收到的短信或打印凭条，到办事大厅服务台办理二手房买卖、赠与、夫妻更名等业务。用时约1小时。目前只针对个人业务，企业暂不受理。 ​​​​,2012-08-28 16:28,转发,评论,赞,微博 weibo.com,https://weibo.com/2654670465/yzgb1ja5S
11,//@交通路况: 转发微博,是,#限行#明天星期二，尾号为3和8的车主明天您的爱车限行，请提前安排好您的出行@交通路况 ​​​​,2012-08-27 17:56,转发,评论,赞,微博 weibo.com,https://weibo.com/2654670465/yz7k7tW8L
