序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,志新社区与海淀区文化馆联合，将在社区花园广场举办文艺演出，希望大家届时前来观看。时间：9月26日下午3点 ​​​​,否,,2012-09-26 09:30,转发,1,赞,专业版微博,https://weibo.com/2594623531/yDCPCnwqF
1,向志新社区全体居民倡议：为迎接国庆节和十八大，做好环境卫生保障工作，社区居委会决定于本月24日开展清洁日活动。请大家做好楼道内自家物品的清理，不要向楼外的绿地倾倒垃圾，共同营造一个整洁的环境。 ​​​​,否,,2012-09-20 16:57,转发,2,赞,专业版微博,https://weibo.com/2594623531/yCLbTr9i7
2,社区目前在进行“学院路地区“和谐杯”第十届交谊舞大赛”选拔，有华尔兹、探戈、平四、伦巴， 决赛增加维也纳华尔兹。报名条件：年龄40岁以上，身体健康，是学院路地区居民。望广大交谊舞爱好者，踊跃参加，抓紧时间报名。报名方式电话62342682居委会王同志或者微博，报上您的姓名、年龄和电话即可。 ​​​​,否,,2012-09-19 16:56,转发,评论,赞,专业版微博,https://weibo.com/2594623531/yCBLdlW8R
3,通知：原定于9月17日（周一）晚7点举办的金秋文艺晚会，因故取消，请大家谅解。 ​​​​,否,,2012-09-17 11:26,转发,1,赞,专业版微博,https://weibo.com/2594623531/yCgK7EPAY
4,通知：为活跃社区文化，丰富居民生活。志新社区服务中心联合志新社区居委会将于9月17日晚上7点（周一）在志新村小区花园广场共同举办一场喜迎金秋的文艺晚会。欢迎广大社区居民观看演出，届时我们期待您的到来。 ​​​​,否,,2012-09-16 09:42,2,1,赞,专业版微博,https://weibo.com/2594623531/yC6DClZlv
5,中关村学院定于9月6日下午2：00举办“公益营养大讲堂”，欢迎社区居民前往听讲。 题目：公益营养大讲堂 主讲人：解放军309医院营养科主任——张晔 地点：中关村学院一分院（北京林业大学南门对面）小院里的多功能厅 ​​​​,否,,2012-09-05 10:30,转发,评论,赞,微博 weibo.com,https://weibo.com/2594623531/yArfBdmUg
6,//@交通北京: #转发微博#iPad在那里，失主您在哪里？,是,#爱心帮帮转#【寻主人】iPad：主人你在哪里？ 。8月11日19点左右，北京地铁工作人员在地铁2号线安定门站A口附近拾到iPad一部。请失主携带有效证件尽快到车站找工作人员领取，也可以通过私信方式与北京地铁微博联系。 ​​​​,2012-08-28 15:30,转发,评论,赞,微博 weibo.com,https://weibo.com/2594623531/yzfNnlAoE
7,转发微博。,是,#媒体报道#继北京友谊医院之后，北京朝阳医院将于9月1日启动“医药分开”试点，通过取消药品加成、挂号费和诊疗费，建立医事服务费制度，既不让医院收入减少，又能遏制医院多卖药的利益驱动。O网页链接 ​​​​,2012-08-28 15:16,转发,评论,赞,政府版微博,https://weibo.com/2594623531/yzfHMuMul
8,只要您加入 它将更精彩 《志新智囊团》在这里等待您的参与。 ​​​​,否,,2012-08-20 15:31,转发,13,赞,微博 weibo.com,https://weibo.com/2594623531/yy2nNFAyn
9,区武装部通知：8月20日前，有适龄青年需要办理入学报名手续的，请通知其本人携带身份证、一寸电子版照片（50K以下），到海淀区武装部现场办理兵役证（8:30--11：30；14:00--16:30），其它大批量的发放时间不变。请适龄青年还没办理的抓紧时间办理。 ​​​​,否,,2012-08-17 11:13,7,评论,赞,微博 weibo.com,https://weibo.com/2594623531/yxypoaLik
