序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,节前，社区附近的一家旅行社在社区开展公关活动，对社区孤老、困难人员、文艺组织进行了慰问。部分居民对出国游挺感兴趣，也有人钟情于美丽的九寨。 ​​​​,否,,2012-09-20 17:21,转发,评论,赞,专业版微博,https://weibo.com/2652884471/yCLlQ726W
1,秋风正爽，约几个好友去了十三陵附近的农家院，景色还不错，鱼也好吃！ ​​​​,否,,2012-09-13 12:39,转发,评论,赞,专业版微博,https://weibo.com/2652884471/yBFvL5l88
2,社区居民大家好！近期又出现了网上诈骗作案，望社区居民多提高防范措施 ​​​​,否,,2012-09-12 15:37,转发,评论,赞,专业版微博,https://weibo.com/2652884471/yBxfv0ti2
3,"分享图片:居委会献上曲目""友谊地久天长"",祝福社区朋友们! ​​​​",否,,2012-09-06 14:25,转发,评论,赞,微博 weibo.com,https://weibo.com/2652884471/yACdlsOFS
4,"分享图片:男生小合唱,一朵红花插入其中 ​​​​",否,,2012-09-06 14:22,转发,3,赞,微博 weibo.com,https://weibo.com/2652884471/yACcdsap3
5,"分享图片:热情的观众,有不少小朋友在怀抱中欣赏演出 ​​​​",否,,2012-09-06 14:20,转发,评论,赞,微博 weibo.com,https://weibo.com/2652884471/yACbe0uHk
6,"分享图片:陕北民歌,激情高亢,扮相也好 ​​​​",否,,2012-09-06 14:12,转发,评论,赞,微博 weibo.com,https://weibo.com/2652884471/yAC8epLlj
7,"分享图片:沙家浜选段,""你待同志亲如一家"" ​​​​",否,,2012-09-06 14:11,转发,评论,赞,微博 weibo.com,https://weibo.com/2652884471/yAC7zl3Jf
8,"分享图片:整齐划一,雄姿不减当年! ​​​​",否,,2012-09-06 14:08,转发,评论,赞,微博 weibo.com,https://weibo.com/2652884471/yAC6wCgV1
9,"分享图片:艺术之家,珠联璧合 ​​​​",否,,2012-09-06 14:06,转发,评论,赞,微博 weibo.com,https://weibo.com/2652884471/yAC5Iplx3
10,"分享图片:服装艳丽,舞姿优美 ​​​​",否,,2012-09-06 14:04,1,1,赞,微博 weibo.com,https://weibo.com/2652884471/yAC4VDLkx
11,"分享图片,好收成,心情好 ​​​​",否,,2012-09-06 14:03,转发,2,赞,微博 weibo.com,https://weibo.com/2652884471/yAC4haWPw
12,"分享图片:热场舞,爱我中华,气势宏大 ​​​​",否,,2012-09-06 14:00,转发,评论,赞,微博 weibo.com,https://weibo.com/2652884471/yAC3ajKn8
13,分享图片:西王庄社区文化大舞台开场前合影 ​​​​,否,,2012-09-06 13:58,转发,评论,赞,微博 weibo.com,https://weibo.com/2652884471/yAC2fgvlx
14,回复@咖啡领地:今天是社区文艺团体的展示演出，老年人为主。希望上班族也积极报名参与社区文体活动，就可以在周末组织活动了。 //@咖啡领地:回复@学院路西王庄社区:哥，为毛不周末举办。。。明儿很难有人去吧,是,,2012-09-06 12:57,转发,2,赞,微博 weibo.com,https://weibo.com/2652884471/yABDA7fAq
15,回复@紫月妖灵:今天的演出是社区文艺团体自己表演，合唱，舞蹈，京剧，笛子等，老年人为主。希望年轻人也自发组织节目，我们好在周末安排演出。 //@紫月妖灵:回复@学院路西王庄社区:早上出门的时候看到在布置了，为什么不在周末啊。。。。。。,是,@没地儿撒欢的淘淘猫 我家小区也有微博了。。。。@学院路西王庄社区 厉害不？ ​​​​,2012-09-06 12:55,转发,评论,赞,微博 weibo.com,https://weibo.com/2652884471/yABCOwtsx
16,今天咱们社区垃圾分类检查，发现个别楼还有将垃圾扔在了垃圾桶外，给社区环境带来不良影响，希望咱们社区居民互相监督共同维护咱们的社区环境。谢谢！ ​​​​,否,,2012-09-05 20:26,转发,2,赞,微博 weibo.com,https://weibo.com/2652884471/yAv9lrH40
17,换乘地铁，女安检员劝告一小伙子把包安检，小伙子不理。女安检甩了一句：是不是男人？男子大怒，从背后飞踹一脚，女子倒地。旁边一民警跳出，怒目而视，用眼神杀人，小伙子若无其事的走了，一切又恢复了平静…… ​​​​,否,,2012-09-05 17:21,转发,评论,赞,微博 weibo.com,https://weibo.com/2652884471/yAtW8ztYh
18,明天小区有大型文艺演出，居民自娱自乐，敬请关注!,是,@没地儿撒欢的淘淘猫 我家小区也有微博了。。。。@学院路西王庄社区 厉害不？ ​​​​,2012-09-05 17:13,1,5,赞,微博 weibo.com,https://weibo.com/2652884471/yAtT4jv8T
19,#安全提示# 严防入室盗，做好门窗的防护，加装报警器或防护栏。最近，电话诈骗波及到我小区，谎称您的社保卡有问题，千方百计骗人去银行操作，借机盗取您的存款。老年人要加强防范，不要轻易给人汇款或去银行操作，一定要和家人或居委会、派出所核实信息。 ​​​​,否,,2012-08-29 14:48,转发,3,赞,微博 weibo.com,https://weibo.com/2652884471/yzoWTmhfR
20,垃圾分类、垃圾减量是低碳环保生活中的一部分，需要咱们社区居民共同维护、爱护社区环境和长期坚持。 ​​​​,否,,2012-08-28 10:53,转发,评论,赞,微博 weibo.com,https://weibo.com/2652884471/yzdYTaVuq
21,西王庄社区与农业大学“绿行家园”环保团队联手 开展废品换购和垃圾分类宣传活动 ​​​​,否,,2012-08-22 10:16,1,评论,赞,微博 weibo.com,https://weibo.com/2652884471/yyjaU9bqQ
22,小区居民你们好，我是西王庄社区民警秋子，近期入室盗窃案件高发，主要涉及老旧小区楼房钻窗的案件。希望你们睡觉的时候一定把门窗锁好，尤其是楼下安装可攀爬护栏的情况下，更要加强注意。另外，家中不要存放过多的先进，手机等数码产品不要放在明面上，给犯罪分子可乘之机。 ​​​​,否,,2012-08-20 08:50,转发,评论,赞,微博 weibo.com,https://weibo.com/2652884471/yxZKQuD8s
23,近期检查垃圾分类，咱们社区还比较可以，希望咱们继续努力按要求分类，按要求投放。夏季蚊蝇滋生，希望不要将垃圾放在垃圾桶外，谢谢大家， ​​​​,否,,2012-08-16 17:07,转发,评论,赞,微博 weibo.com,https://weibo.com/2652884471/yxriLlAr0
24,社区居民大家好，近期电话诈骗有逐步提升，望社区居民多提高防范措施，以防上当受骗，杨子 ​​​​,否,,2012-08-16 16:44,转发,评论,赞,微博 weibo.com,https://weibo.com/2652884471/yxr9z3nWZ
25,社区居民大家好，我是西王庄社区产权单位物业杨子，我负责咱们社区的物业管理，以后咱们社区的物业方面的事情和其他涉及到社区的安全、环保、卫生等其他事情均可以和我联系，我能帮助大家的一定尽最大努力解决，希望居民多关注，并对居委会及物业等相关部门的工作给予支持，一起为社区建设和发展出力。 ​​​​,否,,2012-08-16 10:32,转发,1,赞,微博 weibo.com,https://weibo.com/2652884471/yxoIqp22U
26,暑假中，青少年也积极参与社区垃圾分类宣传活动。 ​​​​,否,,2012-08-10 15:37,2,2,赞,微博 weibo.com,https://weibo.com/2652884471/yww94CFrd
27,消防安全知识大课堂，让居民增加防火安全意识，安全幸福的过好每一天！ ​​​​,否,,2012-08-10 15:33,转发,评论,赞,微博 weibo.com,https://weibo.com/2652884471/yww7JjZTC
28,安装后崭新的健身器材！ ​​​​,否,,2012-08-10 15:29,转发,评论,赞,微博 weibo.com,https://weibo.com/2652884471/yww64dloA
