序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,//@海淀区政府网站: 扩散~,是,【北京稻香村紧急声明：没有销售过月饼提货券】北京稻香村昨日发布紧急声明说，公司根本就没销售过月饼提货券，网络上大量的“北京稻香村月饼券”全为假冒。大家买稻香村月饼的时候一定要注意啦，一定要去正规店铺购买月饼。 ​​​​,2012-09-27 16:31,转发,评论,赞,专业版微博,https://weibo.com/1560533605/yDP0LAp5R
1,9月24日，由居委会统筹组织，以网格协作为载体，联合社区物业、城管和交警等部门，在社区党支部书记、居委会主任周保满的带领下，社区党员、入党积极分子和社区居民志愿者、新居民服务中心协管员及物业客服经理信金鹏、保洁、保安人员30余人，对社区北门外道路两边的废弃物、垃圾、渣土等进行了清理。 ​​​​,否,,2012-09-27 16:09,转发,3,赞,专业版微博,https://weibo.com/1560533605/yDORXxz6z
2,养犬的同志看过来,是,【环保狗狗便便包】养狗狗的主人常常头痛在外遛狗时，狗狗突然在路中央拉了大屎一坨，尴尬迎面扑来。那就赶快来学习这个便便包的做法，下次遛狗记得带上，废物利用，环保又便利～   ​​​​,2012-09-20 09:51,1,评论,赞,专业版微博,https://weibo.com/1560533605/yCIpgpezE
3,逸成社区第二轮灭蚁工作将于近期开始，请需要灭蚁的住户到居委会进行登记，届时将按登记名单入户灭蚁，登记日期截止至9月25日 ​​​​,否,,2012-09-19 16:42,转发,评论,赞,专业版微博,https://weibo.com/1560533605/yCBFsoTGJ
4,分享图片}咱们美丽的家园 风和日丽 社区美景 ​​​​,否,,2012-09-18 17:40,1,1,赞,专业版微博,https://weibo.com/1560533605/yCsCGu6KV
5,//@北京12320在聆听:,是,【晚上湿着头发睡觉可不好哟】被褥枕头等多潮气，再加上湿头发带来的水分和人体睡眠时散发的热气，就更有助于细菌滋生，并最终感染人体。洗头本是为了健康卫生，却反而会洗出病来。因此，洗头后要先用宽齿梳梳理，等头发半干，再用吹风机整理头发。 ​​​​,2012-09-17 11:18,1,评论,赞,专业版微博,https://weibo.com/1560533605/yCgGUuKEk
6,转发微博,是,#自驾游全攻略# 应急药箱：创可贴、云南白药、绷带、医用胶布、体温计、退烧药、止腹泻药、止痛药、风油精或清凉油。如果去的地方常有毒虫出没，那么蛇药最好还是备一些。针线包：大小号的缝衣针各准备一两根，线要结实，稍粗一些。针除了缝东西外，也会有其他的用处，比如说挑扎到肉里的刺。[bed凌乱] ​​​​,2012-09-17 11:15,2,评论,赞,微博 weibo.com,https://weibo.com/1560533605/yCgFQlcZU
7,转发微博,是,有机产品、绿色产品、无公害产品有何区别？主要区别在于认证依据的标准不同。这些标准的主要区别在农药化肥使用量不同，简单说就是有机产品中禁止使用人工合成的化肥和农药，绿色食品要减少使用农药和化肥，获得无公害认证的产品不使用国家禁止使用的农药和化肥。详文请点击：O网页链接 ​​​​,2012-09-10 09:38,2,评论,赞,专业版微博,https://weibo.com/1560533605/yBc2SwW01
8,中关村学院定于9月6日下午2：00举办“公益营养大讲堂”，感兴趣的居民朋友们可以去听听 题目：公益营养大讲堂 主讲人：解放军309医院营养科主任——张晔 地点：中关村学院一分院（北京林业大学南门对面）小院里的多功能厅 中关村学院：李芳 ​​​​,否,,2012-09-05 09:37,5,评论,赞,微博 weibo.com,https://weibo.com/1560533605/yAqTVknna
9,//@海淀区政府网站:和“书本”直接对话~好想去体验一下啊~~,是,#海淀新闻#真人图书馆现身海淀！海淀五道口东升大厦星辰海“真人图书馆”， “藏书”是形形色色的、有着特殊经历或者新鲜体验的人，读者通过面对面交谈的方式来“借阅”真人书，可多人同时“阅读”一本真人书，就像是一场小型的演讲，类似“真人书友会”。各位童鞋，新鲜么？[带感] ​​​​,2012-09-05 09:22,转发,评论,赞,政府版微博,https://weibo.com/1560533605/yAqNQ0au3
10,已婚流动育龄妇女免费孕检：持有《流动人口婚育证明》，居住在逸成社区的育龄妇女均可参加。详情致电：82429946 ​​​​,否,,2012-09-04 11:26,1,评论,赞,微博 weibo.com,https://weibo.com/1560533605/yAibIsJyB
11,开学啦[呵呵] 那我们就来一起看看校园安全小常识吧,是,#校园安全小常识# ​​​​,2012-09-03 14:28,1,评论,赞,微博 weibo.com,https://weibo.com/1560533605/yA9XcgXjC
12,小朋友们注意啦不要再吃这个了//@猪娃子dabao: 赶紧告诉家里的小朋友大朋友别再吃辣条啦！@骄傲嘀小兔子 @我叫老韩 @我爱食神@天狼星Black,是,【天啊，5毛一袋“辣条”每克含菌超10万个】一家食品检测机构对辣条细菌含量进行了检测。检测的结果是惊人的：每克所含细菌竟超过10万个。10万个 是那个“辣条”吗？是我们小学每天都吃的“辣条”吗？快！赶紧！告诉家里的小朋友大朋友别再吃辣条啦！ 转   ​​​​,2012-08-31 17:05,1,评论,赞,微博 weibo.com,https://weibo.com/1560533605/yzIHg5JIR
13,由林业大学学设计的逸成社区LOGO 现征集大家意见[群体围观] 同时欢迎大家踊跃来稿 ​​​​,否,,2012-08-31 17:03,转发,1,赞,微博 weibo.com,https://weibo.com/1560533605/yzIGryF5E
