序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,安乐林社区今日组织党员、志愿者、楼长对社区内环境进行清理，以干净的面貌贺中秋·庆国庆·喜迎十八大。 ​​​​,否,,2012-09-29 17:20,转发,评论,赞,专业版微博,https://weibo.com/2413766702/yE8bMobY9
1,为切实做好社区工作，加强社区居民对社区工作者的监督，增强社区工作者的服务意识，树立安乐林社区良好形象，打造规范型社区建设，社区人员即日起“挂牌”上岗。 ​​​​,否,,2012-09-28 16:53,1,1,赞,专业版微博,https://weibo.com/2413766702/yDYAdq6TH
2,今天上午，社区工作人员带领灭蚁人员来到景泰西里西区，对之前同意进行蚂蚁密度监测的21户家庭进行监测，对其灭蚁效果不明显的进行二次灭蚁。 ​​​​,否,,2012-09-27 10:33,转发,2,赞,专业版微博,https://weibo.com/2413766702/yDMFN5KWl
3,"今天社区一位老人反映自己的手机无法正常拨打电话,询问社区工作人员该如何处理，由于老人行动不便,社区工作人员上门为老人查询原因。入户后才发现原来是手机号码长时间没有充值导致已被注销,后工作人员与网络运营商长时间沟通，最终，对方同意为老人进行号卡激活及补换卡业务。老人对此表示感谢。 ​​​​",否,,2012-09-26 17:08,1,2,赞,专业版微博,https://weibo.com/2413766702/yDFPhAK0e
4,今天下午2点半，安乐林社区举办了“迎中秋 庆国庆暨永远跟党走光辉五十年”主题活动，共有40多名老党员参加了此次活动。活动分为有奖知识问答、为党龄超过50年的21名老党员献花、党员代表讲话、赠送纪念品等几个阶段，最后为每一位党员送上一块蛋糕。这次活动受到大家一致的好评。 ​​​​,否,,2012-09-25 16:58,18,3,赞,专业版微博,https://weibo.com/2413766702/yDwl62IIK
5,“爱国，但请不要伤害同胞的任何日货与财物。我们有各自抵制的自由，但没有彼此损坏的权利”近日因为钓鱼岛事件，大家的反日浪潮日益高涨，但其中也出现了一些不和谐的现象，如划坏日系汽车，打砸与日本有关商店、餐厅。所以我居委会决定撰写一些理性爱国的提示标语，希望大家团结自律理性爱国。 ​​​​,否,,2012-09-24 17:23,1,2,赞,专业版微博,https://weibo.com/2413766702/yDn4ndv0p
6,安乐林社区计划生育工作心系辖区育龄妇女，向社区居民推荐“生命蓝岛”-东城区计划生育技术服务的阵地，为社区居民提供多项指导服务。“蓝岛”配有专业妇产科医师，向育龄妇女发放配备科普丛书和免费避孕药具并将会陆续签署更多的家庭医生协议，有需要的朋友不妨一试。 ​​​​,否,,2012-09-21 15:01,转发,评论,赞,专业版微博,https://weibo.com/2413766702/yCTRpkEVR
7,小区绿化带中一片自然生长的瓜秧夺取了绿植和花草的营养、阳光，影响了它们正常的生长，还占用了便道，9月20日社区工作者们和热心的居民齐力将其拔出，还植被一个良好的生长环境！ ​​​​,否,,2012-09-20 14:33,转发,2,赞,专业版微博,https://weibo.com/2413766702/yCKfI6LU0
8,今天上午，永外街道协同安乐幼儿园在我社区二层会议室举行了针对0-3岁幼儿早期教育的社区早教指导中心揭牌仪式，就此拉开了社区幼儿早教的序幕，我社区会将此项惠民政策长期开办下去。 ​​​​,否,,2012-09-19 20:00,3,2,赞,专业版微博,https://weibo.com/2413766702/yCCXNwXwL
9,辖区内社会化管理的退休人员，如您属于壁挂炉（即燃气、电）供暖的退休人员请于2012年9月20日至30日（节假日不办，不顺延）到永外社保所退休办（办事处118室），办理2012供暖年度补贴申领手续。具体通知已经张贴在小区内，请居民朋友抓紧时间办理。 ​​​​,否,,2012-09-18 18:47,转发,评论,赞,专业版微博,https://weibo.com/2413766702/yCt3z6uIT
