序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,转发微博,是,【游览北京名胜 处处有消防陪伴】中秋、国庆假期来临，北京各大景区将迎来巨大的客流压力，加之季节因素影响，火灾风险增大。北京消防已组织各大景区园内职工进行了消防知识培训，并加大节日期间景区的执勤力量，为假期游园高峰做好准备。这里也提示大家进入景区不要吸烟，不要携带火种哦！ ​​​​,2012-09-29 16:21,转发,评论,赞,专业版微博,https://weibo.com/2649708963/yE7NXtSKG
1,转发微博,是,#路况#目前北京全路网交通指数已达到8.4，处于严重拥堵状态，四环以内尤其严重.全路网平均车速仅20.0km/h。By交通北京 ​​​​,2012-09-29 16:21,转发,评论,赞,专业版微博,https://weibo.com/2649708963/yE7NTnwZV
2,转发微博,是,双节来临，为应对高速免费可能引发游客剧增的情况，八达岭长城景区新增7万平方米临时停车场，可多停放2000多辆私家车。如游客人数过多，景区将实行分流。景区工作人员还是提醒居民最好乘坐S2线或公交车直达景区外，景区将安排环保接驳大巴免费接送游客到达核心景区。O网页链接 ​​​​,2012-09-29 16:21,转发,评论,赞,专业版微博,https://weibo.com/2649708963/yE7NRhDEI
3,转发微博,是,近日，北京警方缜密侦查、迅速出击，抓获一名在我市东城区故意损坏日系车辆的犯罪嫌疑人。目前，犯罪嫌疑人李某已被东城警方以寻衅滋事罪刑事拘留。 ​​​​,2012-09-28 09:05,转发,评论,赞,专业版微博,https://weibo.com/2649708963/yDVwsn9F8
4,转发微博,是,【公务卡采用628开头银联卡 非预算人员禁办卡】财政部和央行昨日发通知，要求中央一级预算单位不迟于9月底为本单位人员统一办理公务卡，年底前公务卡改革要覆盖到县乡基层预算单位。公务卡要采用专用“628”开头的银联卡，发卡时要报财政部门备案，严禁为非预算单位人员办卡。O网页链接 ​​​​,2012-09-28 09:05,转发,评论,赞,专业版微博,https://weibo.com/2649708963/yDVwfo6hj
5,//@北京发布: 【发布厅昨日热点】@平安北京 称本月30日至10月7日10时至18时，4号线动物园站采取临时封站措施，列车通过不停车；@交通北京 发布【国庆期间交通预测】并贴出预测图；@山水怀柔 整理了怀柔区各镇乡、民俗村和旅游景区推出的22项以游秋山、戏秋水、赏秋花、品美食为内容的旅游线路。,是,#漫游怀柔#今年的假期和中秋相连，很多盆友早就摩拳擦掌的四处寻觅好玩的地方了吧~现在的怀柔山林葱郁，水源充足，就是一幅乡村秋季美景。我区各镇乡、民俗村和旅游景区也应季推出了22项以游秋山、戏秋水、赏秋花、品美食为内容的丰富的旅游线路，有多少盆友将第一站设在了怀柔呢？一起来吧~@北京发布 ​​​​,2012-09-28 09:04,转发,评论,赞,专业版微博,https://weibo.com/2649708963/yDVw6w7h4
6,崛起吧中国//@文明北京:,是,【微评论：中国首艘航母“参军”】中国航母平台16号舰今交付海军，标志着中国海军装备序列中首次出现航母，其现实和象征意义重大而深远。一艘航母并不能根本升华中国海军的整体战力，更不能改变亚太乃至全球的战略棋盘，但它的出现却宣示着中国捍卫海洋主权的坚强决心，折射出“中国崛起”的深厚积淀。 ​​​​,2012-09-24 10:03,转发,评论,赞,专业版微博,https://weibo.com/2649708963/yDkbOhFF7
7,大家还是选择公共交通吧~,是,【准备抗击 “全年最堵周”】节前的最后一周有6个工作日，被预测为 “全年最堵周”。周三26日尾号4和9限行；周四27日；周五晚高峰28日；都有可能拥堵严重。而限行的周六29日据预报还有可能降雨。但相信大家对节前的忙碌都有心理准备了。咱该地铁的地铁，该公交公交。绿色出行抗击最堵周！ ​​​​,2012-09-24 10:02,转发,评论,赞,专业版微博,https://weibo.com/2649708963/yDkbHcbFc
8,希望各位平安出行,是,#租车请注意#黄金周自驾游已成为人们租车主要目的。租车时需注意：预定要提前，选择余地大。：如有计划就要提前下手，别等到最后，万事具备却租不到车了，最好提前半月或一周预订。租车看资质，选择大公司。应提前了解租车的基本价位，如果某公司的租价非常低廉，要仔细询问清楚，避免隐含其他收费。 ​​​​,2012-09-24 10:01,转发,评论,赞,专业版微博,https://weibo.com/2649708963/yDkbhdr5T
9,转发微博,是,#给您提个醒#【秋风秋雨送秋凉】前几天晴朗少云、空气干燥的天气将在今天发生明显变化。今天，会出现一次降水过程，降雨量虽不大，但降水可能会对晚高峰造成影响，导致路面湿滑，因此外出要携带雨具，也要注意交通安全。预计这场降雨将在明早之前结束。 ​​​​,2012-09-21 11:18,转发,评论,赞,专业版微博,https://weibo.com/2649708963/yCSp7dPyz
